product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
glew,The best SNAPSHOT Solution to Understand your eCommerce Business!,"Glew has been an absolute dream to work with. We started with our rep who later transitioned to our primary support contact as well. The team is clearly passionate about the product and it shows. Thier commitment to product development and consumer education is by far my favorite aspect. They host regular webinars, not just training on the product but on bigger industry trends in understanding attribution modeling, acquisition tactics and how to incorporate this data into your decision-making and marketing plans. This is a huge step plus and helps provide the knowledge and data for you and your team to grow your business.",Jonathan J S.,5.0,"October 16, 2019","Glew.io really excels at thing - putting easy to comprehend dashboards at your fingertips with actionable insights for managing your e-commerce business. Whether it's daily reports for you to act on, or delving into rich history of reports for trends forecasts, Glew thrives in merrying in all data from your connected platforms into an easy to understand and customize report. I can quickly see inventory velocity, conversion rate trends, channel marketing gains all coming in from analytics, marketing and CMS system playing together seamlessly. What's best, it's great to share and show snippets to stakeholders with ease, but quickly make custom reports or facet down on the data for your day-to-day to find actionable insights to grow your business. This is all on top a responsive staff and tech support team that has supported us growing from 1 site to 10 sites in less than a year.","Like all aggregator data platforms, not everything is supported or can provide all things to all users. That said, with 3 months on the platform - Glew surprised us by regular adding new integrations and debuting a new one for Salesforce that help complete the complete Stack for us. It's worth noting, Glew does not replace your analytics platforms such as GA, Adobe or built-in reporting with your CMS. It merely enhances them and make the data digestable and multi-faceted by merging all of these sources for new analysis. This does require you have your analytics set-up correctly. So make sure GOALs, KPIs and funnels are configured correctly on the primary system or they will just give you bad data once imported into Glew.",eCommerce Manager,Sporting Goods,Used the software for: 6-12 months
glew,All in one eCommerce strategy planning machine,"As an Shopify Plus Partner agency, our many merchants that are using our white labeled version of the platform (https://analytics.roswellstudios.com) provides a personal touch - which is awesome. We've dubbed it Roswell Analytics (powered by Glew Plus). It solves our merchants main problem: where should I spend my time and money to get the best ROI. Simply put - Glew provides the answer.",Nihar K.,5.0,"December 6, 2018","As an executive in the eCommerce ecosystem, I rarely give a platform 5 stars across the board. However when reps from the Glew platform approached me, he didn't try to sell me on the platform, he worked with me to help empower my merchants to understand how the holistic approach to analytics is the only way to strategically advance your KPIs. As a Shopify Plus Partner, Roswell Studios provides design, development AND strategy / consulting. The Glew platform has enabled us to provide a 4th dimension solution to the age old question - what is working, how and why? By connecting a dozen analytics dashboards in one central place, and combining the granular filtering, with profitability gauges (through the input of COGS) - our merchants can assess, with agility, whether to spend more on paid ads, social ads, email marketing, SEO etc. So - instead of having 7 tabs open - exporting to XLS, then using pivot tables and other madness to engage in quantitative analysis - Glew does it for you in a matter of a few clicks. Just connect your eComm platform, Google Analytics, email service provider, Ad Words, Bing Ads, Facebook, Subscription App, Shipping Platform, Rewards Platform etc. - and utilize the built in reports to get going. Custom reports are a cinch. And if our merchants need a more in depth analysis that isn't out of the box - we access MODE to engage in the BI tunnel to create super customized reports (does require development however).","All of the integrations can initially seem intimidating - and then understanding their attribution model (first order attribution: https://glew.io/making-sense-attribution-modeling/) - and making sense of it versus Google's attribution model (last click) when your merchants are married to GA presented some initial challenges. However, reading further into the science / understanding of the attribution models and educating our merchants proved to be difficult, but eventually rewarding.",VP Business Development & Strategy,Computer Software,Used the software for: 1-2 years
glew,So much potential but a let down ,,Paul B.,3.0,"May 29, 2024","Glew promises to be so much, its sleek design certainly is easy on the eye and its potential is huge, but it lets itself down on two fronts. 1. It's slow! It takes forever to load and often gets stuck, it's painful to use. 2. Support is slow and useless.",Speed and customer support is not good enough.,Manager,Retail,Used the software for: 1-2 years
glew,Glew Brings It All Together,,Chase M.,5.0,"November 15, 2018",Glew is an easy to implement data analytics tool for marketing teams that would like to begin utilizing their data in a meaningful way.,"The report builder in the software could be a little better, but over all no real cons.",Business Strategist,Mental Health Care,Used the software for: 2+ years
glew,Great tool for our Agency,One of the key highlights is the customer service. There is support through chat and they are usually very responsive in resolving any issues that I have.,Vincent W.,4.0,"December 6, 2018",Most features are fairly standard on an analytics tool like this but the biggest value for us is the ease of customer segmentation to assist us in building out re-marketing and lookalikes. The lifetime value feature also helps us benchmark success targets for our clients.,"Most of the reporting are not customizable to our personal needs, but we are acquiring access to BI Tunnel which will solve this issue.",Digital Marketing Analyst,Marketing and Advertising,Used the software for: 6-12 months
glew,"Great sales pitch, not so great in practice",Dissapointing :(,Charlie J.,3.0,"July 16, 2021",Very visually impressive analytics look great in the sales pitch,"The software stopped working, and then we had to keep paying for software that didn't add value to our business and our clients. Customer support didn't budge and they just kept billing us.",CEO,Marketing and Advertising,Used the software for: 6-12 months
glew,Best Platform for Ecommerce Attribution,Glew is awesome!,Robbie P.,5.0,"December 10, 2018","In a world of clouded data and platforms competing for conversion attribution, Glew breaks down all your data so it can be easily interpreted and you can tell where sales are really coming from. Great monthly retention cohorts for subscription.",I wish Glew conversion rate calculation excluded subscription reoccuring orders.,Co-Founder and Chief Marketing Officer,Food & Beverages,Used the software for: 1-2 years
glew,Love this software! ,We launched our e-commerce store about 2 years ago and Glew has really helped us capture important data necessary for the growth of our business.,Sara G.,5.0,"December 13, 2018",We love the ease of use of this software. It provides us with easy ability to see where our online sales are generated from. We use Glew mostly for the reporting and are able to learn buying patterns of our customers. The data that Glew provides us also allows us to send targeted emails out to customers based on what category they fall under. We have lot's of luck with sending out coupon codes to customers that haven't shopped in a specific amount of months.,I don't think that we have any cons to using this software.,CEO,Computer Software,Used the software for: 1-2 years
glew,I use Glew all day and it is awesome!,Glew became our reporting and analytics engine and we use it constantly to run our business.,Rich P.,5.0,"November 14, 2018",It is so fast and the information is quick and easy to use. Integration was smooth and fast. The support has been excellent.,I do not have any cons and any small tweeks I have requested have been put in a later update.,Business Development Director,Financial Services,Used the software for: 1-2 years
glew,Use Glew Daily,Use it daily and find it essential.,Alex C.,5.0,"November 28, 2018","As a Shopify+ merchant I find that GLEW is far more accurate than Google Analytics and provides much more depth than Shopify reports. I love the daily reports sent via email each morning and that we have a simple easy to use place to analyze margin, costs, revenue, profit, sell through, inventory aging and much more.","I think the price is a bit steep, but it does add value to my business so it is what it is.",Vice President,Retail,Used the software for: 6-12 months
glew,Advanced Analytics for eCommerce,"Glew makes it easy to segment and target very specific customer demographics or cohorts, plugging in easily to your ESP. It enables customized reporting, combining data from all of your essential sources.",Gene F.,5.0,"January 28, 2020","It aggregates data from many sources, giving you a centralized hub to understand your online business. It makes data visually appealing, easier to understand, easier to segment for marketing and customize for reporting. It is affordable for really any merchant and an essential tool for insights and growth.",I don't have any issues that are troublesome.,Solution Specialist,Internet,Used the software for: 2+ years
glew,Invaluable inventory insights,Great customer support as well - also occasionally provides free and helpful webinars.,Verified Reviewer,5.0,"July 18, 2019","My company was looking for a more intuitive way to track sales (and non-sales) in our inventory system - Glew offers an exportable file with all the information we needed. It does much, much more, but this simple tool has already proven invaluable.","There's a lot to take in with Glew - it has many incredible uses but sometimes its hard to know where to start. They offer a Glew Academy via YouTube, etc. but it's not always easy to follow along (or get to the meat and potatoes of what you want to know).",Operations Manager,Higher Education,Used the software for: 6-12 months
glew,Easy Data Visualization,,Melissa P.,5.0,"February 23, 2021","At a smaller company, it's so helpful to be able to see data at first glance and have both micro and macro levels of data depending on what you’re looking for, in one easy, visual dashboard.","Have experienced glitches sometimes when trying to load previous years reporting data, but always quickly solved by support.",Ecommerce Director,Non-Profit Organization Management,Used the software for: 1-2 years
glew,5 Star Customer Service!,,Ashley L.,5.0,"November 29, 2018","Great reporting and analytics that our key to business decisions on our E-Commerce platform. Customer service is always spot on, and I receive personal support with any reports that I need. Great product!","Great reporting and analytics that our key to business decisions on our E-Commerce platform. Customer service is always spot on, and I receive personal support with any reports that I need. Great product!","Director, Human Resources",Non-Profit Organization Management,Used the software for: 1-2 years
glew,great ecommerce analytics,,Verified Reviewer,5.0,"March 8, 2018",as an agency working with multiple ecommerce sites we needed a solution that bundled analytics and reporting. glew came through for us,"very pricey, i would not recommend purchasing this as an end user. the native analytics provided by woo and shopify are comparable",Partner Success Manager,Used the software for: Less than 6 months,
glew,Great Product,We find this is a great tool for people who don't have a history working with BI tools,Mark B.,5.0,"December 6, 2018",It comes configured out of the box so people don't have to waste time working out what reports they would like built,"I think if you understand how the product is positioned in this market and you consider how much it costs, there really are no cons",Digital Marketing Manager,Internet,Used the software for: 6-12 months
glew,Great for what I need,Overall it's a great program. I really enjoy being able to learn more and more about my target market.,Collin J.,5.0,"November 29, 2018",The amount of information that is available. I am able to segment exactly who I want and deliver the correct message to the correct audience.,"Sometimes it is a little confusing to find specific information, but a quick call/email to our rep solves all those problems.",Account Management Intern,Marketing and Advertising,Used the software for: Less than 6 months
glew,Great for a small but quickly growing ecommrce companyy,,denetrias C.,5.0,"March 31, 2021","Great to have a dashboard all in one spot. I dont have time to jump between social, email, google, shopify. The team there is also smart -- not just sales machines, they really help.",There are some features that are only on growht that would be helpful on the most basic plans.,Co -founder,Food & Beverages,Used the software for: Less than 6 months
glew,Great software!,,Robert Y.,5.0,"April 24, 2019",I love the ability to standardize analytics across web properties.,Integration can be complicated. Given history with analytics configuration can be complicated.,Solutions Architect,Internet,Used the software for: Less than 6 months
glew,Referred Glew to all of my friends and peers!,,Christopher T.,5.0,"November 21, 2018",The dashboard is intuitive and accessible. The customer service is excellent; they respond to inquries in minutes!,"I wish there would be a report tht gives actionable items. Right now, I just ask one of the VP's and they are helpful in dishing out some potential action items.",Head of Customer Experience,Food & Beverages,Used the software for: Less than 6 months
glew,"Easy to use, Quick to Setup...just didn't use it much.",Really good reporting platform if you're on an e-commerce platform that doesn't have easy to use reporting included. We switched to Shopify and no longer really needed it. I found its predictions for lapsed customers didn't really fit our customers buying habits.,Steve R.,5.0,"July 12, 2024","The setup was incredibly quick and easy, very user friendly and gave us some great insights on Magento.","It wasn't great at giving us information on parent products, it was mainly variants but I think that was down to how they were set up in Magento.",Marketing Manager,Apparel & Fashion,Used the software for: 1-2 years
