product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
rocketcyber,Rocketcyber vs others,Has been really good and the SOC are very good as wellCalled quick when we had a trial attackOffers great demo support and setup.,Mark P.,5.0,"June 13, 2023",Protects and covers alot of items incl 365Quite in depth integrations incl third party AV which others dont do we are comparing now with,Not simple install like some competitors to roll out - not fully integrated into other kaseya/datto products without seemless installation,Managing DIrector,Computer & Network Security,Used the software for: I used a free trial
rocketcyber,Great product with timely action on security threats,"This product largely gives you exactly what they promise, and that is really good.",Dre A.,4.0,"April 4, 2025",A product that proves real timely response to security incidents.,Can be difficult setting up for large MSPs who manage thousands of clients with dozens of techs.,Network and System Administrator,Hospital & Health Care,Used the software for: 2+ years
rocketcyber,Good Product - Improving,We lacked a 24-7 managed SOC option and RocketCyber was an effective option that has provided us a way of offering a real product that our customers could feel confident in.,Charles L.,3.0,"June 13, 2023",The client install level allowing individual endpoint detections give a price effective option to trying to make detections at infrastructure levels. Responsiveness of SOC calling for incident response is impressive.,Issues in the past with exclusions have been improving. Non-incident specific support is through tickets only which is not as responsive as I would prefer.,Client Security Supervisor,Information Technology and Services,Used the software for: 1-2 years
rocketcyber,RocketCyber Reveiw,,Parker B.,4.0,"December 5, 2023",Integrations and ingestion of various items have been critical to identify security issues. The support team is responsive and provides proper guidance.,SOC side response is limited and and still requires large amounts of technical labor,IT Director,Information Technology and Services,Used the software for: 6-12 months
rocketcyber,Decent product with bad support,,christian F.,4.0,"December 5, 2023",The endpoint protection service is very easy to use and honestly very streamlined and it integrates well with almost any Kaseya product.,The Kaseya support is not the best and can take a week or more to solve your problem on average.,network operations technician,Information Technology and Services,Used the software for: 1-2 years
rocketcyber,Review title,,Joe S.,2.0,"December 5, 2023",I like the dashboard and the different apps list.,I don't trust that RocketCyber is reliably capturing all the logs they are supposed to.,SA,Non-Profit Organization Management,Used the software for: 1-2 years
rocketcyber,Everyone should have RocketCyber,,Ron B.,5.0,"June 13, 2023",Fast Response by the SOC team. We get calls from them quickly and they are very supportive.,"There is always room for more features, but I don't have any issues with it the way it is right now. There is not enough Office 365 integration at this time, but I know it is coming.",Senior Enterprise Consultant,Information Technology and Services,Used the software for: 1-2 years
rocketcyber,Discovers more than Sophos MDR,,Michael S.,5.0,"June 13, 2023","Transparency into all the data, easily readable and reviewable if you want to review but the SOC team will raise anything important that needs someone to look into. Well worth the money!",I don't have anything currently to say negatively about rocket cyber,Head of IT Operations,Information Technology and Services,Used the software for: Less than 6 months
rocketcyber,RocketCyber - A Managed SOC,,Thomas V.,4.0,"December 5, 2023",It gives us quick and easy insights to potention security risks.,"There's no consistency between reports. For the same alert (eg new admin user), sometimes only a ticket is generated, sometimes we get a phonecall.",Service Desk Team Lead,Information Technology and Services,Used the software for: 6-12 months
rocketcyber,Great Detection,,Steve N.,4.0,"June 13, 2023",Detection & Monitoring has allowed us to be aware of issues that we never knew about,Incident Notification can be more efficient,CTO,Information Technology and Services,Used the software for: 1-2 years
rocketcyber,RocketCyber,,Bernard G.,5.0,"June 13, 2023",Monitoring is the most important feature for us.,Would like to see it to be compliant with Criminal Justice Information services (CJIS) as this is the core of our business.,IT Manager,Government Relations,Used the software for: I used a free trial
rocketcyber,Improvement to Activity is a Game Changer,,Harry G.,5.0,"June 13, 2023",Being notified from the SOC when abnormal activities are detected.,Initial setup could have been more streamlined.,System Engineer,Information Technology and Services,Used the software for: 6-12 months
rocketcyber,Good ecosystem and last line of defence ,,Janak P.,5.0,"June 13, 2023","Great SOC platform, with active development and solid integrations. Easy to deploy, easy to monitor. Has a wide range of things it can monitor making it ideal for MSP's.",Pricing for stacking on the whole ecosystem means some smaller businesses in Australia are shut out of it.,M&A Analyst,Information Technology and Services,Used the software for: 1-2 years
rocketcyber,Great product. Full feature set,,Jeffrey E.,5.0,"June 13, 2023",Integrated system alerts and billing. Part of Kaseya One,None at this time. Haven't used it enough yet,Channel Sales Manager,Computer & Network Security,Used the software for: Less than 6 months
rocketcyber,Seems like a great product,,Paul A.,4.0,"June 13, 2023",Its great that its part of the Kaseya family - we use other Kaseya/Datto products and its good to have that integrations and common look and feel,"We dont have a dedicated SOC team, so more default remediations would be nice",Senior Service Ops Engineer,Information Technology and Services,Used the software for: I used a free trial
