product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
qualys_cloud_platform,Effective and Scalable Platform for continuous Security Monitoring.q,"My overall experience with the Qualys Cloud Platform has been positive. This platform provide a centralised view of assets and security posture, making it easier to monitor and manage risks accross system.",Amisha J.,4.0,"February 19, 2026","The platform provide effective virus and malware risk detection through vulnerability analysis helping identify security gaps early. It also offers good value for money organization that need continuous monitoring and compliance tracking. The customer support and documentation are very helpful during setup and troubleshooting, and once users understand the interface the platform become efficient to use for daily security operations.",Interface can feel complex to new users due to large number of modules and security options. Initial configuration and understanding reports may require technical knowledge.,Quality Executive,Computer & Network Security,Used the software for: 6-12 months
qualys_cloud_platform,Qualys your CyberSecurity Protection,"Overall, the product is user-friendly with robust vulnerability scanning and has a large library of software updates. Along with training videos and support.",Ketan M.,4.0,"February 8, 2025",It's interface is easy to use and has comprehensive product features for IT professionals and security.,"It can report false positive alerts, and the configurations can be very advanced.",IT-Email Administrator,Information Technology and Services,Used the software for: Less than 6 months
qualys_cloud_platform,"Lots of promises, great marketing. Real quality rather low. Decided to find something better.",That was my first contact with vulnerability management. Perhaps it's a good software for start or for small companies. I was able to recognize my needs and it helped a lot to find a professional solution.,Verified Reviewer,2.0,"July 21, 2018","Lots of features, agent available, flexible pricing. Software as a service, so you don't need any infrastructure.","Useless unprofessional support, unable to solve any of my issues. They were closing unresolved issues. Lot of false positives. Support couldn't solve them, I got promises that it will be fixed in next release. Awful and unreliable reporting (errors on dashboards etc.). Very expensive. They're not using real cloud but couple of concentrators in different regions. Not useful for global customers. They promise they don't have access to customer data, but they request that to solve problems.","Server, storage and messaging team leader",Automotive,Used the software for: 1-2 years
qualys_cloud_platform,Qualys Cloud Platform - A Complete Solution for all your security needs,"Qualys helps companies discover, design, diagonoze,defend and monitor their business assets and corresponding threats .",Gaurav P.,5.0,"November 8, 2022","The Console . The Qualys console has all the modules like VMDR , PC, SCA, PM , FIM etc. The Same agent can be used to perform all these tasks and scan for vulnerabilities . Its pretty straightforward and easy.","Reporting format is a bit shaggy if you would ask me ..But having said that , the addition and deletion of controls also has to be more easily doable.",Lead Security Consultant,Information Services,Used the software for: 2+ years
qualys_cloud_platform,Qualys VM Review,It is one of the better solutions I have worked with. There are false-positives however this is common to most vulnerability scanners. This is one of the top 3 vulnerability scanners I would recommend. Take the time to understand what you require from the product and start building your tasks and reporting around it. The product will proof extremely valuable.,Verified Reviewer,4.0,"March 11, 2020",The interface is nice and clean. Free online training with labs aids in understanding the product. Easy deployment of agents on both Windows and Linux endpoints.,Configuring scans was not the easiest of tasks to perform initially. I recommend doing the free online training first before embarking with the deployment. Reporting needs to be improved especially the look and feel of the .PDF reports. Scheduling tasks I found limited as I wanted a particular scan to run 2 days out of the month and was unable to do so. Instead I had to create 2 tasks. Could not find an option to create custom usernames.,Information Security Adminstrator,Information Technology and Services,Used the software for: 2+ years
qualys_cloud_platform,"In my oppinion, the best vulnerability management solution in the market",,Verified Reviewer,5.0,"December 5, 2019","From my years of experience with vulnerability management solutions, Qualys is the best one in the market. First, it is really easy to set up, specially the cloud solution. In less than few hours you can start scanning your environment. Second, it's vulnerability database is constantly updated with the latest vulnerabilities. Third, it contains tons of apps that extends its capabilities (e.g. Asset management app, web application scanning, PCI compliance monitoring, etc.) ...","The price tag is not the cheapest one. Their licensing model is per IP on the scope, not per live IPs. So for example, if you have three /24 networks with one server each, you will be paying to scan 765 IPs (255*3) instead of only 3 IPs.",Security Consultant,Computer & Network Security,Used the software for: 2+ years
qualys_cloud_platform,Qualys is the No1 Vulnerability Scanner,"very pleased, user friendly, quick and easy to get started but the product just gets better and better",Verified Reviewer,5.0,"October 21, 2024",this product really does allow you to see how secure your assets are. It also has a patch management feature. Great training videos and community,sometimes the new features can cause confusion. This is normally due to consolidation,Infrastructure Lead,Logistics and Supply Chain,Used the software for: 2+ years
qualys_cloud_platform,best tool for VA,"One of the best tool for Vulnerability Assessment, easy to use and complete for recurring activities. Good also integration with documents and KB for remediation activities.",Ilario M.,5.0,"January 13, 2025","Reporting features, wide product catalog KB","Overall price, difficult to setup with client installation",ICT Infrastructure Manager,Mechanical or Industrial Engineering,Used the software for: 2+ years
qualys_cloud_platform,Qualys the best vulnerability scanner,"Based on the experience I have with Qualys, it is very impressive to capture the vulnerabilities, this compiles a complete report of the risks that your infrastructure has, in addition the patches have very precise information that allows you to carry out the remediation very effectively. The analyzes are detailed and very complete, it works very well to carry out the compliance stages of PCI, CIS, etc... Providing a great guarantee that periodically your organization has an armored infrastructure.",Héctor Joel B.,5.0,"January 8, 2019","In the firts instance we could see its operation inside a beast and we were amazed, its different configurations to make scans allows to obtain much more complete results than other programs. Qualys as a pentesting tool allows you to analyze those areas of greatest risk within your organization to remedy them. The ability to perform scans for a particular plugin is one of the features that other software should envy to Qualys. Your reports have a very detailed information that allows you to quickly identify vulnerabilities.","I have no negative comments, it has worked very well in the company and with our allies.",Ingeniero de Implementación y Soporte,Computer & Network Security,Used the software for: 2+ years
qualys_cloud_platform,Best vulnerabilities management tool,,Tushar G.,5.0,"January 13, 2023","Qualys is easily the best VM tool available because of many features like easy deployment, good UI, great customer support and outstanding VM features especially scanning, asset management, reporting etc. Container security and policy compliance modules work like a charm.","There is no offline deployment in qualys, so for air gapped environments Qualys cannot be used.",Lead security Engineer,Information Technology and Services,Used the software for: 2+ years
qualys_cloud_platform,Best vulnerability scanning tool out there,,Tony M.,4.0,"April 24, 2021",Detects the most vulns from a range of scanners tested.,Reporting needs to be improved. This is a flaw in all VM tools though.,IT Manager,Real Estate,Used the software for: 6-12 months
qualys_cloud_platform,Qualys review,"Ease of setting up, scanning environments and reporting, analysis of the reporting and further action on the identified vulnerabilities. Very good overview of all vulnerabilities and action recommendations",Murali G.,5.0,"November 28, 2024","Excellent tool for vulnerability scanning, easy to setup and configure to scan the IT environments",I have not come across any issues or least thing in my use cases,Architect,Telecommunications,Used the software for: 2+ years
qualys_cloud_platform,A competent product,,Johan O.,4.0,"June 10, 2024",The Qualys product has been on the market for a long time. It's used by many people and you know you can trust it.,"The new and the old UI are run in parallel, and sometimes, you're swapped between them. This can be a bit confusing.",CTO,Hospitality,Used the software for: 2+ years
qualys_cloud_platform,A great Cyber Security Tool,,Brendon R.,5.0,"October 4, 2023",I love the ease of use especially when you're managing multiple sites. The Qualys dashboard has to be the best hands down,"It gets a bit complicated when it comes to the set up and deployment. And another thing was the delay in endpoint scanning, it takes a while for the update information from the endpoints",IT Security Engineer,Information Technology and Services,Used the software for: 2+ years
qualys_cloud_platform,"Patching , VAPT , Reporting All-In-One place",Its now supper impressive to showcase security matrix reports to management.,Saumendra M.,5.0,"October 27, 2022","This product has high quality vulnerability scanner , supper easy to setup and implement in enterprise environment. Saves endpoint from any ransomeware , hack and vulnerabilities by patching them at the right time . Vast database of vulnerability detection and fixing .Reporting & dashboard are of highly professional quality. Its now supper impressive to showcase these reports to management.",Nothing specific found till date.,Sr. Technology Specialist,Information Technology and Services,Used the software for: 2+ years
qualys_cloud_platform,Comprehensive Solution for CloudSec Needs,"Overall, Qualys Cloud Security is a comprehensive and powerful security tool",Manoj P.,5.0,"February 20, 2023","Comprehensive security coverage, scalability, and ease of use",Cost can be subjective depending upon the org size. Also configurations are to be done very accurately for getting desired results.,Lead Consultant,Information Technology and Services,Used the software for: 1-2 years
qualys_cloud_platform,The Best VM Solution ,Extremely satisfied,Mohamed H.,5.0,"November 9, 2022",Full fledged VAGreat suiteFlexible deployment optionsFree updates,Integration between modulesWeak patch management integration,CISO,Banking,Used the software for: 2+ years
qualys_cloud_platform,Nice tool for Vulnerability Management.,"Overall We are happy, Web interface is very interactive and training are awesome.",Verified Reviewer,4.0,"January 28, 2019","Easy to implement, enabling sensors are not much techie.",Sometime handling false positive detection are really a tough task.,Senior Information Technology Security Consultant,Hospital & Health Care,Used the software for: 2+ years
qualys_cloud_platform,Great cloud based vulnerability scanning tool.,Great vulnerability scanner to provide accurate vulnerability findings.,Tejas G.,4.0,"October 2, 2018",Qualysguard performs scan based on IP addresses rather than URL’s. It easily accessible from anywhere as its as cloud based scanner. Qualysguard supports scheduling of the scan for target system based on particular time and date and it also acknowledges and share the mail once the scan is completed. It can also perform the scan and give vulnerabilities as per compliance standards such as PCI DSS.,Qualysguard doesn’t support scan for URL’s as we only need to provide IP address of the URL to perform the scan. This tool might be costly for small scale organizations.,Associate Security Consultant,Computer & Network Security,Used the software for: 1-2 years
qualys_cloud_platform,Vulnerability scanning,Overall it has been very positive and we will continue to use it. It has helped us greatly lock down our environment.,Verified Reviewer,4.0,"August 5, 2020",Qualys gives high-quality reports in an easy to read format. The agent has been easy to install and has not caused any issues.,We have had some instances where scan attempts ended up causing confusion or application outages when they were not designed to handle the scans.,Sr. UNIX Systems Admin,Computer Software,Used the software for: 1-2 years
qualys_cloud_platform,Best paid tool for doing Vulnerability Scans ,Costly tool but it is worth the money,Verified Reviewer,5.0,"August 25, 2018",It can scan the systems based on various unique standards like PCI DSS which other scanners by competitors doesn't have . We can define various scanning profiles for doing vulnerability scans . It supports scan based on IP rather than URL. As it is a cloud based scanner it can be accessed from anywhere. I like the feature that it has option to schedule scans in future.,It can't perform credentialed based scans for external or public facing IP’s Does Not support URL based vulnerability scans for application.,Associate Consultant,Computer Software,Used the software for: 1-2 years
qualys_cloud_platform,Incompetent badly supported rubbish.,,Graham N.,1.0,"August 24, 2018",Nothing - I hate it.,"Their ridiculous false positives - apparently it's a critical incompliance that certain options aren't set in the gdm config file /etc/gdm.conf. Fair enough - if gdm was installed. A simple check that the file exists first would eliminate this and (of our 80+ compliance errors) most others. Complaining about mount options on non-existent filesystems, or that /etc/gshadow didn't match a regex - or did, I'm not sure from the report. The file has mode 0000 (so no permissions set at all). The fix was to chown root:root /etc/gshadow* Trust these amateurs at your own risk. If they are as incompetent as this, what are they missing?",Owner,Information Technology and Services,Used the software for: Less than 6 months
qualys_cloud_platform,A great VM Solution,"Once you have the software set up, it is wonderful to use. There are improvements that can be made but this is a great solution for the money. Happy with the product so far.",Timothy G.,4.0,"August 28, 2020",The solution is very detailed in what information it collects. The Cloud agent runs as a service on the endpoints and references back to the cloud periodically (the interval is customizable). The GUI is very nice and they are updating things constantly. It is easy to see our Security stance from the different modules.,"There is no MSI file to deploy the software via GPO! Also, for me, the assetview module shows a different number of assets than the VMDR asset tab. Why there is a difference, I don't know.",Network Specialist,Information Technology and Services,Used the software for: Less than 6 months
qualys_cloud_platform,Very outdated user interface,,Joevanne V.,2.0,"August 8, 2017",The platform provides pretty up to date scanning capabilities. Reporting contains direct links to available exploits.,Very out dated user interface. Reporting modules have to be purchase separately along with actual scanners,IT Security Engineer,Used the software for: 2+ years,
qualys_cloud_platform,Useful Vulnerabilty Management option,,Verified Reviewer,4.0,"March 5, 2019",Detailed explanations and possible resolutions for vulnerabilities that are detected by the Cloud Agents.,"I have used other solutions as well on the same machines and they seem to detect quite a few different vulnerabilities, it seems neither give a rather complete list, so it's a good idea to use multiple solutions from different vendors with a different focus to get a clear insight in the ones that are classified as higher risks.",Senior ICT Advisor - Innovation & Security,Public Policy,Used the software for: 6-12 months
