product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
netskope_active_platform,Great computer security platform,"By giving information about how these applications are being utilized and whether they pose a security concern, Netskope assists in securing the overall cloud infrastructure.",Daniela C.,5.0,"December 10, 2022",You can automatically notify users of specific apps that the app they are using is insufficiently safe.,Does not have a Local Environmenttechnical team should be a little faster when responding,Product Manager,Information Technology and Services,Used the software for: 6-12 months
netskope_active_platform,Efficient Implementation and Customization of Netskope Active Platform by Our Skilled Team,"My overall experience has been highly positive. The platform's robust features, effective risk detection, and comprehensive cloud security capabilities have significantly strengthened our organization's security posture and provided valuable insights for ongoing protection.",Dennis G.,5.0,"June 10, 2023","What I found most impressive was its comprehensive visibility and control over cloud activities. The platform's advanced features and analytics allowed us to effectively detect and mitigate risks, enforce security policies, and ensure compliance across multiple cloud services.",One aspect that posed challenges was the complexity of its configuration and policy management. Navigating and fine-tuning the various settings and policies required careful attention and expertise.,Engineering Technician,Education Management,Used the software for: 6-12 months
netskope_active_platform,Netskope Review,,Akash S.,4.0,"November 7, 2023","Netskope is a great cloud security platform It helps to control Users' Web Traffic, Threat protection for web transactions, granular control over cloud applications, identify different instances of cloud applications, and secure access to private applications. The User-friendly console and the ability to manage a single policy from 1 web console is a very good thing about Netskope.","Netskope should add more features in their endpoint DLP capabilities such as to control copy/paste activities, and screenshots over user endpoints.",Network Security Engineer,Computer & Network Security,Used the software for: 6-12 months
netskope_active_platform,Efficient Cloud Security Administration with Netskope Active Platform Software,"My overall experience has been positive. I appreciate its robust security capabilities, granular control over cloud activities, and effective risk detection, which have greatly enhanced our organization's cloud security posture.",Tatiana N.,5.0,"June 2, 2023","The feature that impressed me the most was its comprehensive visibility and control over cloud activities, enabling me to detect and mitigate risks, enforce security policies, and ensure compliance across various cloud services.",One aspect that posed challenges was the complexity of its reporting and analytics functionalities. Extracting and interpreting actionable insights from the data sometimes required additional effort and could be more user-friendly.,Engeneering Technical,Education Management,Used the software for: 1-2 years
netskope_active_platform,Seamless IT Collaboration and Efficient Cloud Security Management,"my overall experience has been extremely positive. The platform's robust cloud security features, seamless integration, and responsive support have greatly enhanced our ability to protect sensitive data and maintain a secure cloud environment.",Ethan G.,5.0,"June 10, 2023","As a member of the IT team working with Netskope Active Platform, what I liked most was its comprehensive cloud security capabilities, advanced threat detection, and the ability to enforce granular policies to protect our organization's sensitive data and ensure regulatory compliance.","As a member of the IT team using Netskope Active Platform, one aspect that I found less satisfying was the complexity of the reporting and analytics features. Navigating and extracting specific insights from the extensive data could be time-consuming and required a learning curve.",Engineering Technician,Education Management,Used the software for: 1-2 years
netskope_active_platform,Netskope Active Platform Is Accurate and Reliable to Use,,Sahil M.,5.0,"August 4, 2025",Netskope Active Platform is a reliable antivirus protection solution that has been working effectively for us. It is easy to use Netskope Active Platform. I like the customer support team of Netskope Active Platform.,I do not dislike Netskope Active Platform. Netskope Active Platform is so amazing and accurate to use.,Digital Marketing Executive,Information Technology and Services,Used the software for: 1-2 years
netskope_active_platform,Netskope Active Platform: Empowering Cloud Security and Control for Seamless Business Operations,"My overall experience with Netskope Active Platform has been highly positive. The platform's robust features, including advanced threat detection, comprehensive visibility, and real-time monitoring, have significantly enhanced our organization's cloud security. The seamless integration with existing systems, user-friendly interface, and prompt customer support have made our experience with Netskope Active Platform truly exceptional.",Jorge P.,4.0,"June 11, 2023","As a user of Netskope Active Platform, what I liked most was its comprehensive visibility and control over cloud activities. The platform's advanced threat detection capabilities, real-time monitoring, and granular policy enforcement allowed us to effectively manage and secure our cloud environment. The intuitive user interface, customizable dashboards, and proactive alerts were also highly appreciated.","As a user of Netskope Active Platform, one aspect that I found less favorable was the complexity of its initial setup and configuration. It required a significant amount of time and effort to properly integrate the platform with our existing infrastructure and applications. Additionally, some features and functionalities had a steeper learning curve, requiring additional training and support to fully utilize their potential.",Engineering Technical,Education Management,Used the software for: 1-2 years
netskope_active_platform,Reviewing Netskope Active Platform,,Verified Reviewer,5.0,"October 16, 2022",This an amazing software development tool with the better intuitive UI and very easily operable technology. You get this at very optimize cost and maintenance,As of now there is nothing to dislike as it is an emerging cloud solution technology with exponentially growing and its market cap is also good,Cloud Engineer,Computer Software,Used the software for: 6-12 months
netskope_active_platform,Netskope Review,"A great tool for big companies, the SSL Inspection feature is really helpful and provide a lot of customization",Michael S.,5.0,"January 4, 2024","Really easy to use and really versatile. With the integration of the API v2, it's easier to automate tasks within the Network Security",Lack of API command compared to the older API V1 (going to be discontinued) Lack of export features,Student,Education Management,Used the software for: Less than 6 months
netskope_active_platform,A Must Have For Cloud or Hybrid Environments,,Verified Reviewer,5.0,"December 19, 2018",Easy to Use Fast to Deploy Cost Effective CasB solution Effective and secured Overall well designed and getting better,Cannot really think of any thing i do not like so far.,Freelance IT consultant,Information Technology and Services,Used the software for: Less than 6 months
netskope_active_platform,Ottima scelta per chi adotta una nuova soluzione di sicurezza web in sostituzione di una on-premise,Al momento la soluzione è in test. I riscontri sono positivi e la sostituzione con la precedente soluzione è efficace.,Stefano T.,5.0,"May 30, 2023",Velocità di installazione e configurazione e facilmente integrabile con soluzioni di Identity di tipologia Cloud (per es. Azure AD),reattività fornitore e partner a rispondere alle domande e risposte troppo superficiali,CISO,Automotive,Used the software for: Less than 6 months
netskope_active_platform,Eye opening insight,"Worth doing just for the demo duration. Shows, very simply, where outbound data and connects are going. We were very surprised, and were able to take actionable steps to mitigate. Ended up purchasing the product and very happy thus far.",Joel N.,4.0,"February 17, 2017",,,Used the software for:,,
