product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
site24x7,Powerful monitoring platform with occasional plugin and alert reliability issues,"Overall, Site24x7 has been a useful and effective solution for monitoring and visibility across different services and environments. It offers a solid set of features and helps support daily operations. However, we have experienced some instability in certain plugins and occasional issues with alert delivery. Despite these points, it remains a strong tool, and with improvements in stability and alert reliability, it would be even better.",Gabriel F.,4.0,"February 20, 2026","Site24x7 is a very versatile and feature-rich monitoring platform. I especially like the wide coverage (servers, applications, websites, and infrastructure), the dashboards and reporting capabilities, and the overall ease of setup and configuration. It provides good visibility into availability and performance and helps identify issues quickly.","The main drawback has been occasional instability with some plugins. In a few cases, alerts were not properly delivered, which can reduce reliability during critical incidents. Improving plugin stability and notification consistency would make the platform significantly stronger.",Database Administrator,Information Technology and Services,Used the software for: 2+ years
site24x7,Reliable All-in-One Monitoring with Room for Simplicity Improvements,"Overall, my experience with Site24x7 has been very positive. It’s a powerful and reliable monitoring solution that provides deep visibility into infrastructure and applications. While there is a learning curve, once set up properly, it significantly improves system reliability and incident response times. It’s a great choice for teams looking for an all-in-one monitoring solution, especially in cloud-heavy environments.",Santos S.,5.0,"April 1, 2026","Site24x7 offers a comprehensive monitoring platform that covers everything from uptime monitoring to server performance, cloud infrastructure, and application insights—all in one place. The dashboards are highly customizable, and the alerting system is robust, allowing quick response to incidents. I especially liked the wide range of integrations and the ability to monitor distributed systems without needing multiple tools. The reporting features are also detailed and useful for tracking long-term performance trends.","The interface can feel a bit overwhelming, especially for new users. There are so many features packed into the platform that it takes time to fully understand and configure everything effectively. Some advanced configurations are not very intuitive, and documentation, while extensive, can be hard to navigate. Pricing can also become expensive as you scale up and add more monitors.",Senior Manager,Pharmaceuticals,Used the software for: Less than 6 months
site24x7,"it is ok, it can be better","For the price I'm paying, it was ok, we moved to another tool later on to have a consolidated option",Tamer B.,3.0,"May 16, 2025","It is cheap, has a lot of option for monitoring, and their probes are worldwide.","I was expecting more from the customer service, and they were very slow to answer my questions",ProdOps,Retail,Used the software for: 1-2 years
site24x7,Site24x7 - A great tool on the road to 99.9999%,,Verified Reviewer,5.0,"February 20, 2026",Site24x7 immediately filled the void we had - having a third party monitor public services to make sure our platform was online and available for our clients. The entire process from reviewing the product to deploying took just a few days. We onboarded our team and quickly started deploying monitors. Add in being able to host a status page and allow users to subscribe to alerts? Cherry on top.,"What I like least is their SMS credit recharge system for allowing subscribers to receive SMS alerts when we post an update to our status page. But honestly, if that's my biggest drawback, I'm not complaining.",Senior Infrastructure Engineer,Telecommunications,Used the software for: 2+ years
site24x7,Effortless Monitoring,"Site24x7 is generally experienced as a comprehensive, reliable, and cost-effective, all-in-one monitoring solution for IT infrastructure, servers, and applications. Users frequently highlight its ability to provide in-depth visibility into complex environments",Akshay J.,5.0,"March 25, 2026","Site24x7 for its comprehensive, all-in-one monitoring capabilities, which offer deep visibility into servers, networks, applications, and cloud environments from a single, intuitive dashboard.","While base pricing is considered fair, users often find that adding necessary upgrades, advanced monitors, or additional SMS/voice credits makes the total cost quite high.The system often fails to consolidate incidents, sending individual alerts for every affected node rather than one comprehensive message.",CTO,Information Technology and Services,Used the software for: 2+ years
site24x7,"Site24x7: Clear Network Visibility, Reliable Alerts, and Scalable Dashboards",We're able to offer robust monitoring services to our customers at a more affordable cost to them and were able to get additional business as a result.,Ryan D.,5.0,"January 30, 2026","Site24x7 has been a game changer for our operations. The visibility it provides into network performance, availability, and issues is clear and actionable, allowing us to identify and resolve problems before they impact customers. The alerting is reliable without being noisy, and the dashboards make it easy to understand trends at a glance. Setup was straightforward, and the platform has proven to be stable and scalable as our environment has grown. Overall, it has significantly improved our ability to proactively manage the network and maintain high service levels.",The only thing issue we've had is no dynamic interface alerting rules to add monitors but not alerting on access ports.,Service Delivery Manager,Information Technology and Services,Used the software for: Less than 6 months
site24x7,Excellent monitoring with multiple integrations,We were looking for a way to monitor our services and the integrations they have with Zoho came in handy,Carlos Salvador L.,5.0,"December 24, 2025","It is a very useful tool that can not only be integrated into the Zoho environment but also into your website and servers, and has many channels to inform you of incidents with your services in addition to allowing you to manage and customize many things to your liking.","It is a site that requires basic technical knowledge to be able to use the basic actions, plus it has so many menus that it is easy to get lost.",Dev PBX VoIP,Consumer Services,Used the software for: I used a free trial
site24x7,Site 24x7 - First month review,"So far, the product is exactly what we need as a MSP. Easy to configure, easy to add agents to devices.",Jeremy S.,4.0,"January 5, 2026","Easy to configure agents, clean useful dashboard, default monitors are just about all that most people need. Not difficult for a competent tech to implement and manage.",Nothing so far - well perhaps configuring dashboards could be a little easier. Overall I have found this to be one of the easier monitoring / management tools to get going with. Just started to look at MS 365 (cloud) monitoring - not sure how useful this will be in real-life.,IT Support Engineer,Information Technology and Services,Used the software for: I used a free trial
site24x7,Easy to configure monitoring and alerting for API endpoint availability,"Pretty good, reliable and useful system for monitoring API endpoint availability. Not very difficult to update monitoring configuration.",Verified Reviewer,4.0,"March 11, 2026",It is easy to set up monitoring for an API endpoint or to update it. The report of when events have fired is quite useful to see the availability over time. The alerts come through quickly.,It can be a bit sensitive to network connectivity faults between the Site24x7 and the system endpoints being monitored.,Senior Software Engineer,Consumer Services,Used the software for: 6-12 months
site24x7,Reliable monitoring platform,,Bruno O.,4.0,"March 5, 2026","We’ve been using Site24x7 mainly for uptime and basic infrastructure monitoring. What I like most is that it didn’t take long to get running, and once the alerts were configured it’s been pretty reliable. When something goes down or performance drops we usually know right away.","The UI took me a little bit of time to get used to, but after the initial setup it’s mostly “set it and forget it.” Overall it’s been a solid monitoring tool for our needs.",Support Director,Computer Software,Used the software for: 1-2 years
