product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
leadster,Great platform,,Verified Reviewer,5.0,"February 5, 2024",The platform gives you many customization options and also helps me with integration possibilities.,I have nothing to complain about Leadster,media analyst,Computer Software,Used the software for: 6-12 months
leadster,Facilidade e humanização,,Stefanie F.,5.0,"March 27, 2024",O formato de geração de leads e as diversas formas de utilizar são muito importantes em uma estratégia. Consigo coletar dados dos leads de uma forma que eles ficam mais receptivos.,"A parte de integração talvez seja algo que precise de atenção. É sim, algo complicado de se fazer, porém é algo que requer muito teste por parte de quem instala para que tudo rode tranquilamente.",Estratégia e Planejamento,Marketing and Advertising,Used the software for: 2+ years
leadster,A good chatbot but not complete,,Lucas S.,3.0,"January 13, 2023",It has a very customizable interface and chatbot,I feel that it should be more complete like Segment. I miss a lot of features,CEO & Founder,Computer Software,Used the software for: Less than 6 months
leadster,A melhor ferramenta de otimização de conversões que já usei,Nossos números realmente melhoraram depois da implementação da plataforma. A experiência dos usuários se tornou nosso foco e é ótimo poder contar com uma ferramenta completa para conversar com potenciais clientes. Recomendo de olhos fechados.,Ingrid J.,5.0,"February 6, 2024","Fácil implementação, possibilidade de personalização da estratégia, relatório de dados completo e resultado potencializado.","Não é possível extrair relatórios simplificados dos fluxos com condicional, mas não é impossível recolher esses dados. Também seria incrível criar condicionais dentro das condicionais",Marketing Coordinator,"Leisure, Travel & Tourism",Used the software for: 6-12 months
leadster,Leadster é boa?,"Muito boa, mas poderia ser excelente se resolvessem pequenos problemas como dashboard com outras origens além de google ads e facebook ads, remover o descarte automatico de leads que não respondem a perguntas obrigatória que não seja as de nome e e-mail.",Adoilson C.,4.0,"March 27, 2024",A possibilidade de proporcionar uma excelente expêriencia ao usuário por meio das condicionais no fluxo e também a possibilidade de analisar os leads que vieram de facebook Ads e Googles Ads.,"O lead ser discartado automaticamente caso não responda uma pergunta obrigatória em meu fluxo, deveria ficar registrado qualquer lead que não finalizou o fluxo, independente de ter respondida perguntas obrigatporias que não seja e-mail e whatsapp.",Analista de Automação,Computer Software,Used the software for: 1-2 years
leadster,minha experiência com a leadster,,Verified Reviewer,5.0,"April 16, 2024","Gostei da dinâmica da ferramenta, fácil de usar e entender, recebi todo suporte para realizar as integrações com a minha empresa",Os valores dos planos acabou deixando a desejar. O valor mais baixo não tinha todas as ferramentas para minha empresa,Analista de Marketing,Information Technology and Services,Used the software for: 6-12 months
leadster,Plataforma funcional,Nos atende perfeitamente. Conseguimos rastrear nossos leads e entender em qual canal precisamos investir mais e direcionar recursos,Roanna M.,5.0,"March 27, 2024",Plataforma de geração de leads que nos ajudam a direicionar os consumidores para as áreas pertinentes e tb a trabalhar os leads de forma otimizada. A única que nos atendeu da forma que realmente precisamos,Não tem a possibilidade de integrar apenas um canal no CRM.,Analista,Facilities Services,Used the software for: 6-12 months
leadster,Bom em relação aos demais da categoria,,Verified Reviewer,4.0,"March 27, 2024",Possibilidade de personalização Qualificação acertada de leads,"Pode ser pouco intuitivo na hora de integrar com outros SaaS de CRM, mas o suporte é bastante funcional",Especialista em CRM,Program Development,Used the software for: 2+ years
leadster,Plataforma boa para contato interativo,"É uma ótima experiência, a ferramenta consegue atender as minhas demandas.",Flórence B.,5.0,"March 28, 2024",Eu gosto da facilidade de montar o meu fluxo de mensagem.,"Eu não gostei que a plataforma tem um pouco limitação, por exemplo precisava encaminhar um usuário que respondeu a determinadas perguntas para um fluxo diferente porém encontrei limitações para isso, a solução foi usar um link e direcionar o lead para um LP quando ele não era considerado ""qualificado"" para a solução. Outro problema que tive foi em localizar as informações do leads que iniciaram o fluxo mas não concluíram o mesmo, eu queria que esses leads fossem direcionandos para a nossa automação, mas não foi o que aconteceu, tive dificuldades com isso.",Analista de Growth Marketing Jr,Financial Services,Used the software for: 1-2 years
leadster,Avaliação Leadster,,Renan L.,5.0,"March 27, 2024","Muito fácil de usar, o suporte é incrível e super acessível.",O valor para contratar a ferramente me deixou a desejar.,Redator,Computer Software,Used the software for: 6-12 months
leadster,BTG e Leadster,,Matheus G.,4.0,"March 27, 2024","Facilidade de configurar novas jornadas, personalização e testes AB.","Leitura de dados, um BI mais robusto com mais informações sobre as conversões.",Associate Director,Investment Banking,Used the software for: Less than 6 months
