product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
elephantdrive,I use ElephantDrive to backup all my date and work on the go!,,Amber N.,5.0,"April 12, 2018","I love how seamlessly it syncs to all my devices and is accessible from anywhere. I work on the go and in many different locations. It also instructs how to use the software very easily, which helps me a lot because I'm by no means tech-savy. I feel secure knowing my data is protected.","I had some initial trouble using it with Android, but then almost immediately after I ended up switching to Iphone anyway, so when I downloaded the app on ios it was totally fine",Cosmetologist,Used the software for: 1-2 years,
elephantdrive,A personal vault for my most precious files,"ElephantDrive allowed me to save and recover some very useful work documents when our systems were ravaged by a deadly virus that corrupted a large number of files in the institutional cloud storage service we used. Fortunately, I kept a personal backup of all files I worked on in ElephantDrive so I was able to quickly recover the files of interest to make sure no valuable time was lost.",Allan K.,5.0,"August 5, 2021",What I liked most about using ElephantDrive is the ease of use. Setting it up on my multiple devices was very simple and direct. The best part was that my files synced in real time without any delays at all.,The storage capacity given for the free account should be expanded.,Research Officer,International Affairs,Used the software for: 2+ years
elephantdrive,Back up your files,,MONICA Y.,5.0,"March 26, 2018",Backed up files fast once the steps were followed More than one user Works with multiple devices Fast connection,Not user friendly Too many steps needed to back up the information compared to other products Costumer service took long to respond,Program Director,Used the software for: Less than 6 months,
elephantdrive,I back up everything in my life with Elephant Drive - it never fails me! ,,Heather T.,5.0,"February 15, 2018","While I love the automatic backup function, the Elephant Drive Everywhere feature is my lifesaver. I've been far from home and needing to remember some small detail - whether it be a medical record, or something even more personal that no one else would have access to, and Everywhere is there for me. One good story of ElephantDrive Everywhere coming through for me happened when I found myself near the university my mother used to teach at and I wanted to visit the classroom that had been hers. Using ElephantDrive Everywhere, I was able to locate on my cell phone a digital copy of an old letter I had of hers, which had the address of her classroom on it. All of this happened when I was 3000 miles away from the computer to which I had originally scanned and saved that letter! ElephantDrive Everywhere had it right there for me, on my phone. It was awesome.",It took me a little bit of learning to get used to the UI. They could have a better start up or tutorial process.,writer,Used the software for: 2+ years,
elephantdrive,this is a cloud storage service that allows its users to perform data backups in a scheduled manner.,,Moises R.,5.0,"April 11, 2018","it is nice this service runs on both Windows and Mac platforms, and allows users to create simple automated rules for protecting data by moving it into an ElephantDrive account.",the least i like about is that ElephantDrive doesn't offer an unlimited plan. so you have to add that plan because the competitors offer unlimited backup.,Analista de planificación de mantenimiento,Used the software for: Less than 6 months,
elephantdrive,Elephant Drive gives me total peace of mind. No more worries about hard drive crashes!,Peace of mind.,Ben K.,5.0,"August 4, 2017",Multi-device backup all within one account. I have two computers plus my phone backed up to the cloud and the files are sync'd between them. If I add a NAS then backup for that is included too.,It does file sharing very well but isn't designed for collaboration as much as some other programs. This does make sense though since ElephantDrive is more for cloud backup of all my files than for anything else.,Managing Director,Marketing and Advertising,Used the software for: 2+ years
elephantdrive,Very competitive in price and features to more well known storage solutions.,"It is hard to decide between Elephant Drive and Dropbox. I get much more free storage with Dropbox, but all in all, I prefer the interface and reliability of Elephant Drive. Especially on th eAndroid app.",Andrew M.,4.0,"November 29, 2018","The price is competitive. And it works at least as well as Dropbox for my incremental backups. I think it wins on the syncing side. Just seems more reliable in that respect. They had a free trial so I could play with it and see how it was. I liked it. I'm not sure if it is just me, but the android app does seem faster and easier than Dropbox.","I wish file size didn't have limits, so I can backup large backup files. That seems pretty universal though.",Therapist,"Health, Wellness and Fitness",Used the software for: Less than 6 months
elephantdrive,"Simple, yet powerful with an easy to use interface",,Jed P.,4.0,"January 23, 2018",ElephantDrive can backup files to the cloud and synchronize files between computers. Another great feature is the ability to synchronize across different platforms and devices through mobile apps for every device.,The biggest con has to be the file size limits. Currently there is a 1 GB file size limit (5 GB for business plans). I would love to see this increased.,Head of Technology & User Experience,Used the software for: 1-2 years,
elephantdrive,Good solution to NAS backup,,Verified Reviewer,4.0,"March 31, 2018",I have a Qnap Nas and needed a good way to backup the data an Elephant drive seems to do the job and take little management to get things setup,"Pricing is a little more money than others, wish it had a desktop restore client to restore files locally.",Post Production Manager,Used the software for: 6-12 months,
elephantdrive,"Great customer support, great features, but it needs to improve Linux (RedHat) version",,Vicente G.,4.0,"December 1, 2017","I choose this service because it covers almost all my needs ad it works on Linux, which is a must for me. Some others offer the same features but don't have linux support","1. File size limit 2. According to logs it looks like it's excluding some file types from backup, I don't remember this restrictions from the documentation. In any case, if I use a backup system I want all files to be backup up, it's up to me to select which files types to inculde and what to exclude",IT Engineer,Computer Software,Used the software for: Less than 6 months
