product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
formilla_com,Nice apply,Very good,Stéphane G.,5.0,"February 11, 2019","Easy to use, visual and it's instantaneous","May be le prise but, I dit'nt compare with competitors",Président,Professional Training & Coaching,Used the software for: 6-12 months
formilla_com,"Easy integration, and great company!",I run a nonprofit software shop. We provide charitable services to other nonprofits who do social service work. Formilla has supported us extremely well for years and made sure we are running smoothly so that our user base can get their important work done.,Kathy F.,5.0,"April 15, 2020","My favorite feature of Formilla is the ease with which I can integrate it into any of the several platforms that make up our web presence. We have implementations in Wordpress, Drupal, and a several custom software apps. Using Formilla all these components can interact together to provide a single connection point for our partners and support team.",We have not requirements for a customer-interface chat tool that Formilla does not provide.,Founder/CEO,Information Technology and Services,Used the software for: 2+ years
formilla_com,Formilla review,,Verified Reviewer,4.0,"November 21, 2018",Notifications everytime there’s interaction on the website and their repetition until you open the chat. The possibility to view the location and OS used.,The possibility to postpone chat or reactivate it when needed - unfortunately this is connected to a one’s presence on the website,Internal Business Development Consultant,Market Research,Used the software for: 1-2 years
formilla_com,This is a great tool for customer engagement!,We recommend this application to our clients.,Kit M.,5.0,"May 9, 2018","It is easy to navigate, has some cool CRM tools for leads, and is not intrusive to the site visitor. It has a phone app that allows us to interact with potential customers when we are not at our desktop or laptop. That's handy!",I haven't found anything that I don't like about it. The interface is intuitive and informative. :-),Owner,Marketing and Advertising,Used the software for: 1-2 years
formilla_com,Amazing,,Precision F.,4.0,"February 19, 2018","Although this software isn't something that we are going to continue using, I found that throughout the experience it has helped us to communicate further with customers and understand their needs better. LiveChat Plugins are a great way to support the users visiting your site and Formilla had a great approach to this, their mobile application made the Plugin so much easier to manage and it looked professional on our website. The LiveChat helped us to gather information about what people came onto our site looking for, what our Keywords were bringing to our site, how often visitors were visiting our site and what they needed further assistance with; this is something that we can now work on to better our customers experience whilst using our site. I loved that we could chose the colours and theme of the chat as we could easily implement this to reflect our Logo, this way the chat fit into our site and didnt look like an additional add on.","I think the only thing that could require a little work is the notification tone, I found that it was very easy to miss a chat message particularly if I had other things to work on at the same time. I also think that there should be a limit after the chat notification tone that if it hasnt been responded to in x amount of time then the tone is replayed, etc, etc as a lot of the time our customers thought we were avoiding the chat when really we hadnt heard it.",Digital Marketing Apprentice,Used the software for: Less than 6 months,
formilla_com,FANTASTIC Plug In for Live Chat!,"I tried three other chat programs and none of them came close to what Formilla does. Their customer support is fantastic! Instead of canned responses, I got immediate answers to my questions. I love the dashboard and how easy it is is to edit as I see what works best. They were able to help me customize so that the chat window only shows up on my pages and not my blog posts. This means that I am able to focus my attention on visitors to my pages when they are ready to make a purchase versus just there to gather information. I was able to customize the chat button to blend in beautifully with my website colors and I was able to customize the chat message so easily. Their iPhone app is great - I can quickly toggle my availability on and off in a second. I am a Google Analytics junkie and I LOVE being able to see who is on my site and watch their movement from page to page. The cost of this product for the value that I receive is amazing. In fact it paid for itself for the next 5 years in the first week. You can't afford not to try Formilla!",Paige M.,5.0,"February 22, 2017",Ease of use and Customer Support.,None,Owner/Sales,Photography,Used the software for: 6-12 months
formilla_com,Formilla web chat has greatly increased my client interaction,"My clients love being able to ask me questions about my products and services in real time. We can work together to choose the product that best fits their needs. It has helped me convert potential clients into clients, and keep existing clients engaged.",Cynthia R.,5.0,"May 2, 2019","Formilla web chat is very easy to configure and use. Support staff is super responsive, friendly and quick to fix a small issue that I experienced, even though that issue was non-critical and didn't affect the performance of the software...they were still on it, no issue too small!",I really don't have any cons on this software,Owner,Information Technology and Services,Used the software for: 2+ years
formilla_com,Great way to communicate with customers,,Verified Reviewer,5.0,"April 4, 2021",It is very easy to setup and get going and move the team forward.,It would be nice to have more integrations with other software,Asset Manager,Financial Services,Used the software for: 2+ years
formilla_com,Chat program for your website. Very easy to set up and it works great.,,Rick P.,5.0,"June 4, 2018",It worked great with my website - we have a wix website. So easy to just go in and add it to our website and customize the wording. It even has an auto answer feature if you want to automatically give answers to the same questions.,It seems like it lags a little in notifying you of a message - may 15-20 seconds - would like to see that be immediate.,Owner,Used the software for: 1-2 years,
formilla_com,Formilla has been a great tool for our website to allow customers another method of reaching us.,,Verified Reviewer,4.0,"June 13, 2018","I really like the ease of the Formilla platform. Requests come through immediately and responding is quick and easy. Also, the customization is handy.",There isn't much I don't like about Formilla. I do wish it was free...but don't we all wish for great software to be free? ;),Marketing Associate and IT,Used the software for: Less than 6 months,
formilla_com,Great App,Great customer service I had an issue installing the app on my site and the rep followed up with me until it worked.,gerald M.,5.0,"April 2, 2019",what's not to love has everything for e- business,could have been free free but you do get what you pay for,owner,Automotive,Used the software for: 2+ years
formilla_com,Love this chatbox,Outstanding. Fast chat support from them -- of course!,Troy M.,5.0,"January 7, 2021",I like how I get to only pay a small amount per month and still be able to be the person who responds directly to the chats.,I can't think of anything. It works fine,Attorney,Legal Services,Used the software for: 6-12 months
formilla_com,Formilla Chat Bot,I am predominantly using the software as the operator of our 'chat bot' at present. I hope to learn more about the software in time,Leanne W.,5.0,"August 24, 2020","Chat Bot was recently introduced to my business. Formilla has made the introduction simple and efficient, allowing me to focus solely on the needs of our clients","Formilla is simple and efficient, allowing me to focus solely on the needs of our clients",Corporate Support,Financial Services,Used the software for: 6-12 months
formilla_com,Awesome product,Sales,Matt O.,5.0,"August 7, 2017",Formilla has such a thoughtful list of features. They've really put the effort into working out how they can help businesses more easily connect with their visitors than then they made it happen.,,Marketing Manager,Financial Services,Used the software for: 2+ years
formilla_com,Easy to use. Does exactly what I needed and love the customer service!,,Cary S.,5.0,"July 25, 2017",Ease of use Real time traffic Ability to engage the visitors with real time chat message Shows where visitors are from and how they arrived at your website,Wish there was a way that idle visitors over a certain time would not be shown. Also wish it would not pick up my IP address. I don't need to know when I am on my site.,Owner,Used the software for: 1-2 years,
formilla_com,Great Product!,Solved a lot of communication issues with clients. Have seen a great increase in revenue!,Kevin M.,5.0,"January 8, 2019",Love the increase in business I have gotten from the service.,The software needs to have the ability to block individual pages on your site without having to paste code into each individual page. For me this is a real pain. I have a website that has a weather report with a weather cam on it. It is the busiest page on my site and visited TONS times a day by people sometimes the same people over and over that have no intention of purchasing my product. It would be nice to be able to block that page with a simple check box or something similar. Instead what I am left doing is blocking every person who visits that page. A real pain!,Owner,Hospitality,Used the software for: Less than 6 months
formilla_com,Excellent and intuitive app. A must have for anyone wanting to give world class customer service.,,PL W.,5.0,"March 30, 2018","Customer engagement tools are powerful. The platform is easy to learn, use and deploy. The customer demographic information provided is powerful and very useful.",Opportunity to present customer with a message popup that provides a short button menu of commonly searched content would be a great feature to add.,founder,Used the software for: 6-12 months,
formilla_com,Great App,better service to my clients.,Cyro P.,5.0,"September 6, 2017",It is very easy to use and to install the application. The features of it as access tracking is great! But mostly what pleases me is the App for mobile.,"I have no problem with the application, however the price is a bit higher compared to others available in the market. fair.",CEO,Marketing and Advertising,Used the software for: 6-12 months
formilla_com,great,great,Adam N.,5.0,"October 12, 2023","great costumer support, easy install and usage",price of more agents could be better i use 0 features so everything else doesnt matter for me,chief,Internet,Used the software for: I used a free trial
formilla_com,I love this program,Very happy with this product. Customer Service is great.,Lisa A G.,5.0,"August 16, 2019",I feel the live chat adds professionalism and credibility to my on line shop. I love being available when someone has a question. I believe customers are more likely to follow through with a purchase when I am readily available for questions.,"I would like to be able to set different hours for different days, not just weekdays and weekends.",Owner,Arts and Crafts,Used the software for: Less than 6 months
formilla_com,Awesome Chat Software,Easy to set up and use. Highly recommend.,Joe P.,5.0,"December 16, 2019",Great functionality and loaded with features for the money,None yet - our team us using it and it works great,Broker,Real Estate,Used the software for: Less than 6 months
formilla_com,Fantastic Service,"Formilla live chat is offering a fantastic service. Easy to use, great customer support and at a very affordable price is something you can't pass. Keep up the good work!",Joel P.,5.0,"February 24, 2017",Ease and affordability,"Features are pretty standard. Based on the features, there's nothing that really separates formilla from the others.",Partner Manager,Real Estate,Used the software for: Less than 6 months
formilla_com,Love the idea,,Sandra B.,4.0,"February 15, 2018",Tried the free trial to see if this was something we could use to interact with website visitors on our site. We loved the idea and got good feedback from some users regarding the chat feature. Love the mobile app.,Although the program itself is good we couldn't justify the cost. Wasn't very easy to setup (for us at least) and maybe that's why we didn't feel we were getting the full experience.,Owner,Used the software for: Less than 6 months,
formilla_com,Great chat feature,It's been great way to convert leads.,LAURA A.,4.0,"August 20, 2020",It's user friendly and love that I can use from my mobile.,So far so good. New to chat feature so not able to give more constructive criticism.,General Manager,Consumer Services,Used the software for: Less than 6 months
formilla_com,"Easy to set up, support available",,Lucy S.,5.0,"September 23, 2019",Quick to set up Looks good on the website,"Set up instructions would be better as a flowchart, diagram - we don't all know what widgets are!",Practice Manager,Accounting,Used the software for: Less than 6 months
