product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
singlestore,Checked - One solution for Streaming Analytics on Big Data,,Sujay K.,5.0,"December 27, 2019","- Super simple, we implemented the whole of our customer-facing streaming analytics data store in a 2-day hackathon - Natively integrates with AWS & other services (we are a multi-petabyte S3 shop with huge Kafka clusters) - Since most of it is SQL, anyone can hit the ground running in no-time, an ultra-low barrier to entry - We saw a sub-second response on a test case with 1000 concurrent heavy API calls (scanning billions of rows across many tables + window functions etc) along with applying RBAC functionalities on the fly - Incredibly fast out of the box, basic performance tuning will suffice 95% of use cases - Fantastic partners to work with, super helpful, we have access to their core engineering team, +100 on Customer engagement!","In my humble opinion, it solved a very unique hard problem for us elegantly (without having to compromise on any architectural or data principles). Problem of streaming analytics on high-velocity high volume data sets with sub-second API responses can be a handful. For me, this along with other use-cases they mention is their core strength. So anything beyond these capabilities is a ""Nice to have"" for me. Their roadmap covers most of what the community is asking - hot back-up's, better UI, modelling etc.","Sr Manager, Data Engineering - Data & AI",Computer & Network Security,Used the software for: 1-2 years
singlestore,Thoughts on MemSQL,"Our primary use case for MemSQL is an enterprise data lake, which will also serve as a staging area for MemSQL data warehouses. They are currently being developed and are not in production yet. We're learning things as we go, but in general, development is going well and we're satisfied with the product.",Brandon V.,4.0,"October 18, 2019","I appreciate that MemSQL is a distributed database that runs on commodity hardware and can be scaled out as opposed to some fixed, vendor-maintained appliances like Teradata. Columnstore is a valuable feature.","The product is not fully mature. Although it uses the MySQL protocol, it does not always work with MySQL-compliant products. Some administrative functions such as incremental, point-in-time, and object-specific backups and restore are lacking. MemSQL is making progress in these areas, but it still has room to grow.",Data Modeler,Utilities,Used the software for: 1-2 years
singlestore,Single store database features and performance.,I have worked with a project that based out of single store its holds like huge amounts of data and giving top notch performance for analysis and loading or transmission of data from one database to single store.,Verified Reviewer,3.0,"August 3, 2022","Single store basically is a mem-sql. Its comes with concept of shard key, partition and many more unique features that stand this out to any other relational databases. Its give a perfect SQL editor and faster query execution for sharding concept. Its store the data in either rows store or columns store based on the data set. The ease of exporting data from exiting My sql database and loading it into single store is very impressive it’s provided different kind of data loading concepts like data pipe like bloc file loading etc.",Some time the connection of the GUI database tools such as my sql workbench having some issues it’s required some additional configuration for it its a little headache for user.Dashboard part bit confusing its content lots pf details other then that its perfect performance wise and feather wise i can say.,Software developer,Information Technology and Services,Used the software for: 6-12 months
singlestore,SUPERSONIC DB - SUPERB,"I'll rate it at a full star. Having worked with almost all the databases, I can simply say it aces every database that I worked. The Transformation capabilities in LOAD command is something I have not seen anywhere which helps a lot along with capturing errors and rejects in the LOAD command.",MOHAMMAD SUFIYAN A.,5.0,"October 10, 2019","Super fast and would have give a fair bit of competition to CONCORD Aircraft:). But seriously it is the Database of the new generation with huge potential for both On Premise and Cloud. High compatibility, resilience, scalability are some superb features to work on with it. Highly recommended to any Organization wanting to get rid of the Old fashioned drag on DBs.","I don't have any particular dislikes, but would love to see its own Client interface, inbuilt Data Modelling capabilities and a superb front end which can help potentially any Developers or Programmers to start the development from Day 1. Secondly I would also like to see a proper Blogging web portal to help developers resolve their queries, issues faster.",Senior Architect,Information Technology and Services,Used the software for: 6-12 months
singlestore,Very fast,,Manisha S.,5.0,"September 5, 2019","fast response, perfect for real time apps","documentation isnot too clear about what sits in memory and what on disk. even though all our tables were made to reside on disk, we were getting lots of usage alerts, took for ever to resolve.",Tech Lead,Retail,Used the software for: 2+ years
singlestore,"Strong, robust and fast database engine",We are using SingleStore as our main database engine both for online transaction processing (OLTP) and for data warehousing. It has proved to be a robust database engine with great performance and many useful features.,Nir L.,5.0,"September 20, 2023",Singlestore is a very strong relational database management system which produces very good results in terms of speed and robustness. It have many unique features that make it a good system for data consumption and processing. It is also API -compatible with MySQL dialect so you can use mysql-targeted tools to query data on SingleStore.,"It's not the cheapest engine you could get but generally, in terms of cost-value ratio, I feel it's a good match. Also, backup on a self-hosted solution is not always easy to implement since it needs to backup large amounts of data.","VP R&D, DevOps, and Products",Information Technology and Services,Used the software for: 6-12 months
singlestore,A review of few features requested by SingleStore,"Note: This review was incentivized by SingleStore. I was paid to test few features, such as: Kafka integration, Ingestion and migration features. I was requested to write an honest review here after few hours and a 1 hour seminar. Therefore I do not have any significant experience with the tool, and this is like a newcomer's first experience review.",Verified Reviewer,5.0,"April 26, 2022","I loved the simplicity in general. It was easy to use the guides, and to follow the documentations I encountered. In some cases I dug a bit deeper just to try to find some mistakes, but for example the password is not displayed if I request the system to echo back the Kafka connection details I set up. It could have been a security issue, but they were obviously aware of this and they made sure it is not possible. The specific things I liked is the ingestion speed is lightning fast. And to set up a Kafka linked table (real time message data in a table!) is as easy as it can possibly be.","The support. The chat is although quick and efficient, I had no issue to explain that I want a copy of the ""Replicate"" tool, to do similar actions that was shown on a video. The agent confirmed he understood correctly what I said, and that he needs to escalate this as I was a trial user. But of course given I was hired by them they will probably make an exception. But I was shocked that a week later I got a very generic reply and a link to an unrelated page. Like only the higher topic was understood, and all my request to have a copy of the Replicate tool was lost. I reported my disappointment towards SingleStore, and after all they are working on improving this mow. It is uncomfortable to leave this story here but necessary to understand I believe that with Support you can have hiccups and you might need to repeat yourself.",Senior Software Engineer,Information Technology and Services,Used the software for: I used a free trial
singlestore,MemSQL : Needs Time to Mature,This is a good software but needs to mature more for an enterprise level,Verified Reviewer,3.0,"September 10, 2019",Similar to existing RDBMS Supports join In Box implementation with Spark Salable & manageable with memSQL ops,Security Features Consistency Overflow on Disk,AVP,Financial Services,Used the software for: 2+ years
singlestore,MemSQL-6 Administrator Training,"MemSQL solves our DBMS need for fast updates to storage, alert on comp nodes and IP delivery.",Shane T.,5.0,"September 10, 2019","When synchronizing permissions to child aggregators, only non-root users are affected. It has real-time processing features, and a child aggregator can be set as master if necessary.",If a leaf fails it takes the Matser Aggregator 10 seconds to promote the slave partitions from paired leaf.,Devops Engineer,Computer Software,Used the software for: 6-12 months
singlestore,Delivers more than expected!,"The overall experience is super awesome! I would highly recommend this product for all sorts of data processing and analytical needs. The business problem that I face on day to day basis is the need for processing tons of data in minimal time to optimize the overall ETL operations and make the data available for further analysis to carry out necessary business-critical decisions. Therefore, I always feel the need to use a product that is not only easy to configure and use but also super-efficient in handling huge data volumes. Since we are progressing towards a more dynamic environment, I think we should be able to make a more robust and adaptable system that would allow systematic or data changes easy to build and configure.",Syed Muneeb H.,5.0,"April 23, 2022","Easy to configure and use. And on top of it, is the efficiency in which the SingleStorm delivers the results and displays the output.",Using SingleStorm is super easy. I have not found any shortcomings in the platform yet.,Lead Data Engineer,Information Technology and Services,Used the software for: Less than 6 months
