product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
intelligent_service_management,It's been a great partnership. We've been using it for almost 3 years.,The ITSM is really structured now. It's the most importante thing.,Leonardo B.,5.0,"October 4, 2017","I really like what I get as an administrator. Everything is conected, and simple to configure. The self-service portal and it's features is also amazing.","The service feedback is awful. We can't embed the question, we can't personalize our forms, even the service feedback e-mail is bad.",Analista de Negócios,Used the software for: 2+ years,
intelligent_service_management,Amazing customer experience!,"Incredible customer service, precise vehicle maintenance management.",Ryan V.,5.0,"March 18, 2021","Its ability to accurately keep up with customer mileage, so then precisely recommend service when needed.","Training. Their system is very complex, and requires individuals to have a few hours to sit down and learn it. Though this is what I like least, it is also a very important asset to have with this product so we do appreciate SI helping us out so much.",GM,Automotive,Used the software for: Less than 6 months
intelligent_service_management,Service Management solution that will determine how you run your Service Management,"A great solution for an organization that is willing to accept the vendors view of ITSM, not appropriate if your organization has mature IT but a great solution for a small company without that already.",Verified Reviewer,3.0,"February 26, 2018",If you lack leadership in the IT Service Management area and are looking for a solution that will instill discipline (and you are comfortable with outsourcing those choices to a software vendor) then this solution has a lot to offer you. It imposes a way of approaching service management and if you need that outside imposition it'll do a world of good for you. It does have an increasingly modern look a feel (since being set free from CA Technologies). Uptime has also improved through a migration to AWS.,,Chief Executive Officer,Used the software for: 6-12 months,
intelligent_service_management,"Easy to use, does what it's meant to do, interface is great and the advanced reports are a charm!",,Nikhil D.,5.0,"September 11, 2017","The interface is seamless. Setting it up was easy (I come from a fairly tech background but even if you don't, their support is quick to respond to and help you out with the smallest to the biggest of the questions or requests - yeah, I've tried them all :). Once its all setup, you will see the beauty of IT Service Management at the price that this comes at. Defining the workflows for different paths of approvals to be taken depending upon the nature of request was an added advantage. The backend update cycle is efficient since I've seen multiple update cycles and notifications for new features that are made accessible to us. SLAs could be well defined for the request chains. Creating multiple sub-units within a parent unit is one of the main reasons why we use this product as it solved our ever pressing need to restrict visibility of users and implementers from one department to peek into the stuff of others!","The default reporting is great. Advanced reporting is amazing but it does need the help of the support team to set it up but once its setup, it gave us exactly everything what we needed by joining multiple tables across its database.",Manager - Cyber Security Operations Center,Computer & Network Security,Used the software for: 1-2 years
intelligent_service_management,Great product without the complexity,"We reviewed several products in this space and decided on ServiceAide due to the strong workflow engine and simplistic approach. We were able to install the product within a short amount of time (10 days) and begin using the core functionality. Our internal IT resource was able to pick up the product quickly and begin to enhance the Service Catalog to meet our client's expectations. The tool provides importing functionality that allowed us to migrate our customer/user list quickly. ServiceAide provides a Staging and Production environment, which allowed us to thoroughly test features before introducing them into production. We are very pleased with the overall product capability, ease of use, and feature rich environment. The implementation was",Curtis S.,5.0,"January 20, 2017","Ease of use, vast features, robust workflow engine, product integration API's, low cost.",Limited CMDB capability,SVP Operations,Information Technology and Services,Used the software for: 2+ years
intelligent_service_management,"I use the tool since 2014. Is a good IT Management tool, but needs improvement.","Software for centralization the tickets; Tickets saved in cloud; The software is open for ""end user"" register the ticket; Approval flow works via mobile.",Ana Roberta N.,4.0,"September 21, 2017","Easy to set up FLOWS: incident management, demand, change, task and problem; SLA works well; Flows of APPROVAL by the system is very cool; Several organizations; Templates; Groups of service;","REPORT creation is complicated (when we have to find the corresponding tables); Difficult to create a graphics for DASHBOARD; SATISFACTION SURVEY is made by link in email and I would like mailed to the body of the email; Fields ""impact"", ""urgency"" and ""priority"" visible to users; The team of SUPPORT and Engineering are slow.",Analyst,Newspapers,Used the software for: 2+ years
intelligent_service_management,good interface,,Verified Reviewer,4.0,"May 8, 2018","ease of use and interface and the clear to understand the menu and the animation is good,the space is nicely utilized and even a user who is starting to learn can easily understand.",locking of ticket when the other user is using the ticket and timeout is around 15 minutes which will be wasting of time while updating the ticket,Engineering Trainee,Used the software for: 6-12 months,
intelligent_service_management,"Simple and effective product, great value for the business with easy adaptation and good additives.","Incident and change management, easy administration and end-user compliance.",Ana F.,5.0,"September 19, 2017","I have been using this product for more than two years and I can say that in this period, major changes in features and dedication to improvements make this cloud tool one of the best in the market. Simple adherence, efficiency in incident management modules and service request and assets are your strengths, easy administration and rich knowledge network for your company. I hope they continue to improve for the market that each time needs quality and confidence.","There is still a lot to do about reporting and advanced customizations, but I believe that with every new update Service Aide can listen to its partners and bring breakthroughs even in underserved areas.",IT Analyst,Used the software for: 1-2 years,
intelligent_service_management,"From the first demo of the product to the end, I've felt 100% supported and confident in the product",,Jess M.,5.0,"September 14, 2017","I like that you can customise the software to manage organisations, categorisations, workflows, SLAs, etc. to work in a way that suits your business needs. My organisational structure is pretty complex but ServiceAide has given us the ability to customise it how we need and work to the complicated structure we have. I also like the customer support chat functionality... Rather than having to log tickets for every question I want to ask, there are helpful advisers available to chat to and provide instant feedback. Lastly, I really like the project workspace. It is very simple to use, looks good and with customisable lanes, I can add certain sections suited to different projects and remove them for others.","There are a few limitations within the software I'm finding but the good thing is, the product management team are keen to know about these things and see if it's feasible to make some changes. The other thing is that it's a very niche product. It can take some time to get your head around the way each part of the system links up with each other but once you understand it and it clicks, it's simple enough to use.",Systems Engineer,Computer Software,Used the software for: Less than 6 months
intelligent_service_management,It is awesome,value fro money,pooja K.,5.0,"May 6, 2018","This is easy to use. everything is as describe, best price on beauty products and happy with timely delivery received in a good condition. Offers are good. they always have good price with great return policy. I love it.",This is easy to use. everybody can access I just love this application. I think payment method needs to be enhanced.,Software Engineer,Used the software for: 1-2 years,
