product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
carbonite,"249,576 Files Are Safe from Natural Diaster","Since it runs in the background and I don't need to do anything with it - my experience is awesome! I love seeing the reports pop on the screen saying my system just backed up XXXXXXX number of files. And at any time, I can open the software and see the files and view my backup on the Cloud. I am using Carbonite Safe CE 22.2 -- I have clients that say they have a backup to Google or other service, and quite frankly they don't understand the complexity they will go through to try to retrieve their data. I highly recommend Carbonite not only for business but also personal home computers.",Susan A.,5.0,"April 28, 2022","Peace of mind. At any point in time, I know if my hard drive system were to be compromised, by disaster or stolen or other calamity--I could be back in business with all documents and files uploaded into a new computer hard drive system. I have stored in my system at this moment in time 249,577 files - work from over 10 years is compiled here for my marketing clients. My invoices and accounting are backed up. My IRS files are backed up.","As I was recommended to Carbonite by my IT guy, he is the one installed the software and also uploaded all of the docs and files when I purchase new hardware. So if I were to lose my data I would need to figure out how to do it and/or pay him to help me. I trust experts when it comes to my data and security, so this is not a huge issue for me.",Owner,Marketing and Advertising,Used the software for: 2+ years
carbonite,Good software for data protection!,"Overall I think it's a good software that I especially liked because as our organization is growing nationally, it grows with us.",Sunaina B.,5.0,"March 14, 2025",It was helpful for when system glitches or internet outages occur to assist with data recovery.,The keep having an increase in price and have gotten no new features.,Director of Operations,"Health, Wellness and Fitness",Used the software for: 2+ years
carbonite,Avoid like the plauge,The transfer speed is absurd and caused me a lot of embarrassment. I had a client have an 8tb array fail. This took over 2 weeks to completely recovery via carbonite. They have a 1gb/s fiber connection.,Donnie P.,1.0,"August 26, 2024","There's not much. They market heavily, so customers recognize and trust the name, though I do believe that they shouldn't.","The service portal is abysmal, slow, and barely functional. The customer support is terrible. Transfer speed is terrible and the app crashes frequently",Systems Administrator,Information Technology and Services,Used the software for: 2+ years
carbonite,Carbonite Functions Very Well For File Level Backups!,Overall the product has worked very well for us.,Tony M.,4.0,"April 1, 2024",Easy to setup and use for file backups and recovery.,Sometimes support is less than we expect in terms of helpfulness.,VP IT,Banking,Used the software for: 2+ years
carbonite,Carbonite - Great solutiuon for protection!,"Awesome. I ave had to use the backups to recover failed drives, and ransomed disks.",Randy W.,5.0,"December 22, 2021","The software is easy to setup. It allows the individual to set up different backups. Incremental (daily), full (weekly or daily). Support is great and very helpful. You can encrypt the backups. Carbonite checks the backups on a continuous basis for ransomware.","By default it selects the folders for you. This is OK, but not all folders need backed up. It is easy to unselect the folders.",IT Support Manager,Chemicals,Used the software for: 2+ years
carbonite,Great for Baking Up Data,"If Carbonite changed those two factors I mentioned as cons, I would feel way more confident recommending them to friends because I do like the affordable plan and how easy it is to backup files compared to competitors. And like I mentioned, I also like how they will back up your external hard drive which a competitor I was looking at does not do.",Sarah S.,4.0,"December 26, 2021","As a backstory, I was talking to our tech advisor about our need for backing up our data. While I ensure that I back up my data through my external hard drive, I also know that my external hard drive can go kaput as all of them do eventually. So I mentioned to our tech guy that I feel like we need a cloud storage but I wasn't too fond of Dropbox or Google Drive. He had similar sentiments and recommended Carbonite. He said he uses it with a number of clients with good results. So I took the plunge with their Black Friday deal that included backup for my computer and external hardrive. Pros: I liked that it backed up all of my data itself and that I didn't have to do it manually. The only thing I need to do manually is for my future data and the process is SUPER simple even for the tech-challenged. I also liked that there was the mid-tier option (the one I chose) that backs up your external hard drive. You get unlimited storage for the tier I chose which is not true of Dropbox, OneDrive, GoogleDrive, and others.","I don't like that I can't easily access my data to see with my own eyes that my data is backed up which is very different than OneDrive, GoogleDrive, and Dropbox that I can pull up at any time my backup files. I can't tell how good Carbonite is at backing up the files until something goes wrong which makes me nervous. I don't like that if my external hard drive isn't connected for 30 days, the data is wiped out. What if I'm taking a break from my technology and don't have it hooked up? What if I'm using a different computer at the time because my original laptop and backup hard drive are getting repaired? That made me feel uneasy.",Diretor of Creative Content,Broadcast Media,Used the software for: Less than 6 months
carbonite,Carbonite is a Valuable Tool,I have been using Carbonite for Years and the Customer Service is 5 star and the software will auto backup all your data all day long just set it and forget it.,Darell B.,5.0,"August 27, 2020",I have used Carbonite for a long time and recommend to all my business customers because it is the most reliable backup on the market and easy to use.,The pricing is a little expensive but it is a Great Product,Owner,Computer & Network Security,Used the software for: 2+ years
carbonite,Carbonite backs us up,Carbonite has been a great application for backing up computers. We started with mostly desktops and have transitioned to mostly mobile computers without issue.,Scott M.,5.0,"March 5, 2025",Provides seemless backup for team of computers,It is based on amount of storage and we continually have to adjust our plan.,IT Lead,Religious Institutions,Used the software for: 2+ years
carbonite,No-Frills Backup Solution To Give You Peace Of Mind,Carbonite consistently backs-up our end-user Apple and Windows machines– which is exactly what we need it to do.,Luke ..,5.0,"July 6, 2025",Recent software and portal updates have greatly improved the consistency of our backups as well as the ease of administration.,"We recently encountered a problem that broke a large portion of our backups. Support was very helpful and responsive, but it took about a month for a patch to be released to",Director of Technology,Information Technology and Services,Used the software for: 2+ years
carbonite,Fantastic backup products,"Great service, support, and very easy to deploy",Sean H.,5.0,"November 8, 2024",Fantastic for cost effective server/endpoint/365 backups,Can be pricy when you have lots of storage on office 365,IT Consultant,Computer & Network Security,Used the software for: 2+ years
