product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
uila,Great product with awesome dashboards,Great - very responsive and easy company to work with when I have issues or questions.,Tim K.,5.0,"September 12, 2020",The dashboard and easy of drilling down to look at issues. The feature adds have been great. Easy to install and use and interpret what you are seeing. The breadth of things you can monitor/look at and relationships between servers and services.,What was missing when I bought it has been added through feature adds.,Sr. Systems Engineer,Legal Services,Used the software for: 2+ years
uila,UIla,"Our overall experience with Uila has been great! We purchased Uila to provide us with a deeper view into what's happening in our virtual datacenter. So far there haven't been any big issues we've needed to use Uila to resolve, but knowing that it's there keeping an eye on things for us is a comfort. Uila has been awesome to work with, and the way they take customer feedback and integrate it into their offering is fantastic!",Carl J.,5.0,"March 30, 2020",The ability to see areas where there may be issues at a glance. Uila easily lets you dig in to get more details and really see what's happening in your environment.,Sometimes it can be challenging to take the performance statistics provided by UIla and translate them into an understanding of what may be happening in your environment (mostly because it can sometimes highlight issues with things you've never had to think about before). Thankfully UIla support is amazing and always read to review things with you to come to an understanding of what's going on.,Associate Director of Technical Infrastructure,Higher Education,Used the software for: 2+ years
uila,Overall Network performance.,Great when trying to find issues on your network.,John H.,4.0,"August 14, 2020",Advance Virtual look at VM's Hosts and Networking.,Need more training on this software more classes.,Senior System Admin,Transportation/Trucking/Railroad,Used the software for: 1-2 years
uila,Excellent tool for finding issues,The product was well thought out and fairly intuitive. We are very pleased with this product and what it does for us.,Neal M.,5.0,"March 30, 2020","Being able to see traffic source, Destination and path in real time . Very easy to use and drill down to the problem",Sometimes it can be confusing where you need to start the process.,systems and network analyst,Education Management,Used the software for: 1-2 years
uila,server/network/end point performance monitoring system,It is very high-end monitoring system with a very cheap price comparing to existing product in the market like Solarwinds.,SHUCHUNG C.,5.0,"March 27, 2020",Server and network performance assessment. Security intruding detection.,Too many features and hard to find the right place to start. It also means the complexity of the software make the use a bit difficult.,IT Director,"Health, Wellness and Fitness",Used the software for: 1-2 years
uila,Uila in our environment,Overall it has been very good unfortunately customers are not keen on downsizing their vm's even tho the tool shows that they are wasting resources.,Mike D.,4.0,"May 3, 2021",It is easy to install and use and support is quick to fix issues. We primarily use this to track down issues when we have problems and bottlenecks as well as to properly size vm's. We use it it keep our environment healthy.,Sometimes some of the features dont work like on a new release and you have to work thru with support to get it to work as advertised.,Engineer,"Health, Wellness and Fitness",Used the software for: 2+ years
uila,Love working with the Uila Team,"We have been ecstatic with many of the new features of Uila. We love working with [SENSITIVE CONTENT HIDDEN] and team on any problems we run into, and additionally love that our suggestions are heard and implemented! It's so nice to work with such a great and responsive team.",Julia N.,5.0,"March 24, 2020",The software is really great to get a quick glance at the state of all of our systems.,"There are some more complicated aspects of the software that we don't need as much in our institution. For example the ""dependency mapping"" is very cool, but not that applicable to us here at our university.",Systems Administrator,Education Management,Used the software for: 1-2 years
uila,Great software that works,"It has been a great product. It has helped us find and resolve some performance issues. Check it a few times a day, and if everything is green, move on with your day.",Barak R.,5.0,"March 19, 2020","You can easily see where you are having an issue, or may have an issue. It gives you the dependencies that are or may be impacted and what it is talking to.",There are times where I feel I could use a little more drill down or information.,System Administrator,Warehousing,Used the software for: 6-12 months
uila,Great monitoring system,"Support has been excellent, updates are pretty easy.",Jason O.,4.0,"March 27, 2020",Nice live graphical models of our systems,"Limited functionality, we still need a separate monitoring system that can restart services that fail or email us when things are down.",Director of IT,Higher Education,Used the software for: 1-2 years
uila,Uila's Full-Stack Visibility help to monitor the performances of critical biz services & Datacenter,"We have been helping our client to use Uila to manage their virtual data-center, especially the critical application service. Some bugs still need to be fixed though. But so far, we are receiving some great feedback from our customers.This is really an excellent and innovative solution!",Ken H.,5.0,"May 25, 2018",Combined all the data users needed to monitor in one single product. Uila is easy to deploy and use. It helps to identify the issues and performance bottlenecks in seconds and also indicate the root cause in few minutes.,If there's a long-term trend analysis report of the happened issues and resource will be a great help. Resources capacity planning is also one of the crucial features user needs.,SE,Business Supplies and Equipment,Used the software for: 1-2 years
uila,Easy to use and decently priced,,Josh B.,4.0,"March 25, 2020",I can glance quickly at the product and see what is going on fast.,"It can do some much, learning it all can be time consuming.",System Admin,Warehousing,Used the software for: 6-12 months
uila,Integrated view,Able to look at the issue from point to point,Jawahar R.,5.0,"March 23, 2020",Its kind of integrated monitoring across the infra,monitoring time sync across the all the devices,System / Infra Admin,Law Enforcement,Used the software for: Less than 6 months
uila,Simple operation can help clarify problems,,Yongzhang W.,5.0,"May 16, 2018","The operation is simple, you can quickly know what the problem is, the graphic interface, and then the problem can be a great help.","In the stored function, the storage size of the hard disk cannot be displayed, which is inconvenient in management. I hope to add this feature later.",VM manager,Management Consulting,Used the software for: 6-12 months
uila,Uila Review,,Long F.,5.0,"May 16, 2018","The operation is simple, the chart painting is well viewed, and the system resources can be properly managed.","Storage analysis cannot see the size of the disk storage, which is inconvenient for storage management. Hope to improve this problem!",VM Manager,Management Consulting,Used the software for: 6-12 months
uila,easy to use,,Shuwei H.,5.0,"May 17, 2018",Clarify the problem Detect problems and solve them Simplification of resource management Exclude problems,"Analysis of the storage area does not show the size of the hard disk, which makes management difficult.",VMmangner,Education Management,Used the software for: 6-12 months
uila,Intuitive and simple,,Yazhen G.,5.0,"May 22, 2018","The intuitive recognition of color can save a lot of time. In use, you can quickly clarify the problem. You can narrow down the problem and gain insight into the problem.","Some places are inconvenient to operate. In any analysis, the right drag is not easy to operate. The function of sending letters can be better in optimization.",VM Manager,Education Management,Used the software for: Less than 6 months
