product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sharepass,Why we use SharePass,"As we send dozen of system a day we needed the option to provide our clients with reliable and secure password transportation, the Sharepass is easy to use with great literature and fast respond from the vendor, the ease of use and the high level of the added security with our passwords help a lot",Ran L.,5.0,"August 27, 2021",We enjoy to see a product that can improve our security without the hassle,cant find any yet we have enjoyed the features more then having any issues,CFO,Security and Investigations,Used the software for: 6-12 months
sharepass,Must have business product,,Steven S.,5.0,"August 19, 2021","Great, easy to use. Most used software in our business",No complaints on this product so far.....,IT Consulting,Computer & Network Security,Used the software for: 6-12 months
sharepass,Solid tool to share secrets,,Marc C.,5.0,"April 28, 2022","The software is really easy to use and intuitive, our company loves it.","We are eagerly waiting for the feature that will allow the receiver to drop in a secret into a secure envelope, to share for example credentials during a pentest. We see many applications for this in our industry.",CEO,Computer & Network Security,Used the software for: 6-12 months
sharepass,Solid Security,Several. Recent events working from home under a Covid regime have increased the potential for security breaches as we are now dependant on everyone's domestic internet arrangements. Furthermore we are aware of an increase in attempts to breach our firewalls since Covid changed the way we worked. WE know that when we share something via Sharepass it'll be as secure as possible.,Stephen R.,5.0,"August 23, 2021","The ability to share passwords and other sensitive material electronically, knowing that (i) it won't exist in cyberspace for all eternity and (ii) it's protected from prying eyes as it makes its journey.","We've only scratched the surface of the software's potential, and are thus far unaware of any issues that can't be dealt with by becoming more familiar with it.",Director,Media Production,Used the software for: 6-12 months
sharepass,Ticks all the boxes,"Overall very handy tool to have, professionally done platform.",Ilan M.,5.0,"August 20, 2021","Great platform, especially ease of use. Love the extension, very intuitive, saves me time and headache.","There are additional app features in development, hoping to see these live sooner than later.",Director,Aviation & Aerospace,Used the software for: Less than 6 months
sharepass,An excellent digital security or password sharing platform,,Jon G.,5.0,"September 9, 2021","Very quick and easy to use, allowing me and my clients to be able to quickly share secure information/passwords. The fact it is free for personal users is gerat.",N/A - It is much better than having people email through or text me their passwords which is not secure and is a data leak risk.,Director,Marketing and Advertising,Used the software for: Less than 6 months
sharepass,Secure way of sharing passwords,,Dima S.,5.0,"August 25, 2021","Simplicity and reliability. Whether you are an individual or an organisation and you care about a safe way to share confidential information such as passwords, this is the right platform to utilise in your every day activities.","There is no cons when it comes to Sharepass, this is one of the most secure and reliable ways to share secrets.",Project manager,Electrical/Electronic Manufacturing,Used the software for: Less than 6 months
sharepass,Great Privacy for passwords,Great.,Trystan C.,5.0,"September 15, 2021",This product is easy to use. It makes sharing passwords simple & secure.,I haven't had any negative experiences with this software so far.,Director,Hospital & Health Care,Used the software for: 6-12 months
sharepass,Security for your day to day operations ,"Highly recommend. I have been using sharepass for a couple of months now, and it has never been easier and safer to share passwords between my trusted clients and colleagues. I am not going back to unsecure text messages, emails or calls. This is definitively a step up for my company's cybersecurity.",Diego B.,5.0,"September 9, 2021","Easy to use, very secure. Password sharing wont be an inconvenience nor uncomfortable task anymore.","No complaints so far, very solid product",Senior Consultant,Information Technology and Services,Used the software for: Less than 6 months
sharepass,Solid product. Useful and convenient ,,Yuri M.,5.0,"September 4, 2021",It allows me to securely share passwords,I didn't find major issues with it. Met my expectations,PM,Computer Software,Used the software for: I used a free trial
sharepass,Easy Security,,Enrico G.,5.0,"September 9, 2021","This has made sharing secure and confidential details very easy, thank you SharePass!!!!","Nothing I have found to no like yet, thanks!",MD,Telecommunications,Used the software for: Less than 6 months
sharepass,SharePass for FIs,,Max S.,5.0,"August 30, 2021","Great product, very simple implementation and addresses one of the major concerns in the cyber space. Simplicity, capabilities and support is why each FI must use it.",No cons. Liked the roadmap for future enhancements.,Financial Services,Banking,Used the software for: Less than 6 months
