product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
datavault_builder,Best value for money,,Janne T.,5.0,"May 10, 2023","Datavault Builder is easy to use in the distributed DataOps development. Visual, low-code and business driven approach helps to build complex data modelling structures, which are easily accessed by end-users.",Improved Continuous Development and Deployment support,Principal consultant,Computer Software,Used the software for: 2+ years
datavault_builder,fast time to value,great expert tool for data vault modeling,Andreas P.,5.0,"February 3, 2025",quick time to value. great support. great collaboration.,"usability could be better, process management could improved",Data Engineer,Construction,Used the software for: 2+ years
datavault_builder,Fundamental tool to do DataVault modeling,DataVault is a data model that is very flexible but near impossible to handle by hand. DataVault Builder allows to easily create and maintain DataVault models and datamarts. With respect to other tools the fact that there is no intermediate metadata repository makes the tool way easier to use.,Luca P.,5.0,"August 10, 2023","The user friendliness, the automatic and seamless creation and maintenance of data flows, the possibility to use business rules to build golden records.",Several configurations do not have an interface. For example creting users has no interface and needs to be coded.,Head of Technology,Information Technology and Services,Used the software for: Less than 6 months
datavault_builder,Vierde generatie DWH Automation ,"Datavault Builder alle datawarehousing-functionaliteiten in één oplossing. Hierdoor kan je tot negen verschillende softwaretools vervangen, de complexiteit verminderen en het risico verlagen terwijl de onderhoudbaarheid wordt vergroot. Daarnaast een positieve impact op de TCO en ROI.",Verified Reviewer,5.0,"April 6, 2023",Een van de belangrijkste voordelen van Datavault Builder is dat het de productiviteit verhoogt en zorgt voor de snelst mogelijke tijd tot informatie. Met deze oplossing kan je daarnaast de volledige controleerbaarheid en governance toevoegen zonder enige inspanning en het is cloud based.,"Op dit moment geen belangrijke nadelen ontdekt in Data Vault Builder, het vervangt meerdere systemen in in 1 en als het er nog niet in zit, dan pakt het team Data Vault Builder het verzoek op en als het voordelen heeft voor de hele data community, zit het in de volgende release.",CEO,Information Technology and Services,Used the software for: 1-2 years
datavault_builder,Agile und Automatisch mit Datavault Builder,Hohe Qualität in der Programmierung. Excellent Support. Super Preis-Leistungsverhältnis,Daniel O.,5.0,"February 28, 2023",Methodisch und technisch ist DVB kaum zu Toppen - ob für kleine Implementierungen oder für grössere Teams,Der Datalineage Diagramme kann sehr voll werden in risen Implementationen,Director Business Development,Information Technology and Services,Used the software for: 2+ years
datavault_builder,Datavault Builder,Durchdachtes Tool,Matthias J.,3.0,"August 16, 2023",Prozessabbildung des Modellierungsprozesses ist gut abgebildet. Guter Support.,"Durch den Datavault Builder generierte Dokumentation könnte übersichtlicher strukturiert sein. Data Liniage beinhaltet ""nur"" von der Quelle zur Business Rules. Business Vault Modellierungen müssen in einem zweiten/xten Schritt analysiert werden.",Teamlead Data Platform,Apparel & Fashion,Used the software for: 2+ years
datavault_builder,Data Vault auch für kleine Teams!,"Investition, die sich lohnt! Sowohl in Geschwindigkeit bei der Entwicklung, als auch das Qualität angeht.",Andreas P.,4.0,"February 17, 2023",leichte Datenintegration; intuitive Datenmodellierung; Data Lineage; super Support,"Expertentool: man muss wissen, was man tut - Bedienung nicht immer intuitiv",Business Intelligence Spezialist,Machinery,Used the software for: 1-2 years
datavault_builder,alles was man braucht für den schnellen Aufbau von Data Vaults,Integration von verschiedenen Marketingdatenquellen in eine Data Vault Architektur auf Snowflake zur schnellen Entscheidungsfindung für Marketingkampagnen. Funktioniert einfach ohne Zicken.,Henning S.,5.0,"March 27, 2023",Neben den ständig neuen Features vor allem der super schnellen und kompetenten Support,"tatsächlich nichts, könnte etwas schicker visualisieren, aber das ist meckern auf sehr hohen Niveau",Director Marketing,Information Technology and Services,Used the software for: 2+ years
datavault_builder,Datavault Builder to host the Global One Datahub,Keep strong stability in production while extending the data model & data perimeters,José T.,5.0,"April 20, 2023",Perfect alignment with Vault ModelingContinuous integrationLineageStrong Stability while adding new use cases/extend data perimeter,Some little graphical bugs nothing blocking,Data Officer,Accounting,Used the software for: Less than 6 months
datavault_builder,Data Vault State of the Art Modellierungstool,,Jonathan D.,5.0,"March 9, 2023",Einfaches Produkt um ein Data Vault State of the Art Modell zu erstellen und zu administrieren.,Integration von CDC-Tabellen muss noch einheitlicher gestaltet werden.,BI Consultant,Information Technology and Services,Used the software for: 1-2 years
datavault_builder,"Ein Tool, dass (fast) immer passt","Ein Tool, dass durch seine schlauen Pattern und seine hervorragende Architektur jedes BI-Herz höher schlagen lassen kannn.",Simon D.,5.0,"February 19, 2023","Wegen der, durch Containerisierung, flexiblen Architektur und einer Vielzahl an nativen Connectoren für verschiedene Quellsysteme und Object-Storages passt der Datavault Builder in jedes Szenario. Dabei skaliert der Datavault Builder auf dem DWH mittelständischer Kunden genau so wie auf Plattformen großer datengetriebener Konzerne.",Kunden zieren sich manchmal einen Docker Host zu betreiben.,Management Consultant,Information Technology and Services,Used the software for: 2+ years
