product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
libraesva_email_security,High Quality Software,Very good product and solid support.,Patrick H.,5.0,"May 11, 2023",The User Interface is very simple and easy to work with. Searching through emails is also very simple. They also use a URL sandbox checker every time you open a link.,Whitelisting bounce emails is rather hard to figure out.,System Engineer,Construction,Used the software for: 6-12 months
libraesva_email_security,IT Manager,We replaced the previous system due to latency problems in receiving emails. We have been using libraesva for two years and have no longer had problems with late deliveries.,Marco L.,4.0,"December 5, 2024",Very good observability. Usefull feature in troubleshooting.,LDAP interface to use libraesva with onprem mail systems could be improved.,IT Manager,Logistics and Supply Chain,Used the software for: 2+ years
libraesva_email_security,Libra esva great mail security tool,Very good management and great analisys.,Alessandro B.,5.0,"November 28, 2024",Continuos updates available. great support from esva teams,Integration with office 355 could be improved,PM,Computer Software,Used the software for: 2+ years
libraesva_email_security,"A very efficient, light, customizable mail protection system.",Many threats are perfectly blocked by the software. The job of the postmaster has been made easier. Integration with other internal services worked like a charm.,Roberto P.,5.0,"May 19, 2023","Easiness of installation and configuration, powerful interface, few resources needed to run, excellent support team.",There are no important featues missing I'm aware of or I do strongly need.,Head of ICT Systems and Services,Research,Used the software for: 2+ years
libraesva_email_security,"Excellent product, great features and security and keenly priced","As a company, very efficient and flexible when installing and configuring the solution. Allowed to go at our pace and also the way we wanted the rollout to happen. Very little SPAM arrives these days and this without us creating lots of rules etc The system looks after itself to a great extent. Virtually no 'false positives' Issues and requests raised are dealt with very quickly Very good user acceptance, no complaints at all with the product",Verified Reviewer,5.0,"February 8, 2021","Easy to install and configure. Easy to navigate the admin console. Simple to track and act on email related issues Easy for the end user to control their own quarantine, block/whitelists from anywhere Our own instance in the cloud and this available in HA in 2 separate UK Data Centre's Excellent and efficient resolution of support requests",Not much - no plugin to local installation of Outlook client - Web only Mobile Libra APP doesn't honour 365 MFA (available in beta) Restricting some features to end users within the Web App (available in beta),IT service support manager,Information Technology and Services,Used the software for: 6-12 months
libraesva_email_security,LibraESVA (4.9.4),With both deployment and support we've had great response from LibraESVA and I'd rate them highly in terms of technical support. They respond to bugfixes and feature requests in good time.,Craig T.,5.0,"February 19, 2021","Excellent integration of the URL checking service, great integration with Office 365 for both user management and tighter systems. We operate a cluster system which hasn't caused any issues in deployment in over 2 years and the spam capture rates are better than previous deployed products.","While the GUI is fully useable, we do feel it could be improved (as all web front ends can be) and a few tweaks that would suit our use case however overall I couldn't say anything show stopping.",Senior Support Manager,Information Technology and Services,Used the software for: 2+ years
libraesva_email_security,thank goodness Libraesva is here,"I've been using Libraesva Email Security since 2018 and I've found simple installation, easy to upgrade, very quick and good support and customer care and a great security improvement for a cheap price. I'm very satisfied of the product.",Gian Marco C.,5.0,"December 10, 2024","libraesva email security is a very efficient email filtering system, accurate, reliable with an extremely rare case of false positives and a quite total protection for spam, phishing and other bad mail. Excellent the customer support and care.",In my opinion libraesva Email Security has no weak points: all is ok.,Assistente Informatico,Hospital & Health Care,Used the software for: 2+ years
libraesva_email_security,Traffic secure email,"My experience with the product, which I have been using since version 4.x, has always been positive. It has helped me manage the mail flow in a safe and effective way, it allows me to manage quarantine and effectively monitor email traffic.",Renato B.,5.0,"December 11, 2024","There is not just one aspect that I like about the application, there are several, but certainly the reliability and ease of management are really great.","Honestly, I can't find any negative aspects or features that I didn't like.",System engineer,Computer Software,Used the software for: 2+ years
libraesva_email_security,Excellent email security solution,,Marco M.,5.0,"December 10, 2024",It is advanced feautures mail security solutions with quality responsive support,email security solution that do not uses API-based integration,Responsabile System e Security,Facilities Services,Used the software for: 2+ years
libraesva_email_security,Wonderful e-mail security solution,"Worked like a charm from day one. E-mail is a critical tool for our business: so far, that is for more than a year, the system has been running 24/7 with no outages.",Michele M.,5.0,"December 11, 2024","It works! With Libraesva we got rid of most spam, & malware gets blocked upfront. Also, the incoming email log is an useful tool that we use to 'debug' e-mail configuration issues.","Not sure it is a real con, but: Libraesva has tons of config options. Getting it configured properly takes time & professional guidance.",CTO,Newspapers,Used the software for: 1-2 years
libraesva_email_security,"Buono, può ancora migliorare",Un prodotto maturo e affidabile che può ancora essere affinato,Claudio D.,4.0,"May 15, 2024",E' il prodotto maggiormente efficace nel riconoscere minacce rivolte a utenti che utilizzano principalmente la lingua italiana,La non completa configurabilità dei testi inseriti neimessaggi email filtrati,Quadro IT,Higher Education,Used the software for: 1-2 years
