product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
sap_customer_experience,SAP CRM has everything an organization needs to deal with Customers,,M. Sohaib A.,5.0,"November 21, 2018",There are a lot of back end settings that make SAP CRM one of the best CRM software out there. It can be customized and tuned whether the organization implementing it is a utilities company or an FMC i.e. it caters the needs of all kinds of organization.,Need highly qualified personnel to implement the CRM. The scope of implementation has to be carefully and properly defined with proper documentation at each stage of implementation. Any undocumented modification can result in a lot of garbage in the system within no time.,SAP Consultant,Utilities,Used the software for: 2+ years
sap_customer_experience,Great CRM tool,I had an enriching and educational experience as I got to learn a new skill using SAP CRM,Sukesha W.,5.0,"February 2, 2023","The feature I like best about SAP is its adaptability, it can be customised very easily as per the customers needs and the relevant sector.","It takes some time to learn to use the software, which might seem tedious to beginners but post that it is easy to use",Content Curator,Education Management,Used the software for: 1-2 years
sap_customer_experience,An end to end solution with seamless integration capabilities,,Aneesh B.,3.5,"June 19, 2015","SAP CRM is a very robust product and SAP has done well over the past decade to cater to the CRM needs of customers across industries. The best part of SAP CRM is that it not only integrates seamlessly with other SAP softwares but also with various non-SAP softwares providing options to enterprises to keep using certain legacy systems at the same time. CRM solutions in general are very customer centric and SAP has done exceptionally well over the past few releases to come up with advanced features like Social Media Integration to capture market vibe in a more structured and organized fashion. While some of the core CRM modules keep getting better with frequent bug fixes, focus has been on adding new features to cater to industry specific needs. Another important aspect of this software is its ever improving UI. Since CRM 7.0 there has been considerable change in the UI which I should say is extremely friendly now. For customer who want to deploy SAP CRM solution faster, SAP provides them with Rapid Deployment Solution which reduces the implementation time and cost drastically. SAP CRM Best Practices are now successfully used across industries as a proven tool to successfully run business. SAP CRM on HANA platform has made data retrieval a very quick and hassle free affair. SAP also has a great community of developers and professionals who help to share ideas and answer questions when it comes to configuring and customizing their solutions. Another important thing is that for customers who do not want to invest in huge IT infrastructure , SAP CRM comes as an on demand (cloud) solution with most of the features from its on premise version.","SAP CRM releases newer version at a relatively slower rate than most of its competitors. Configurations in SAP CRM backend still remains pretty complex and require highly skilled and experienced professionals to do so. Though SAP CRM can be used as a standalone product but the usability is drastically reduced when SAP ERP is not implemented. Standalone SAP CRM analytics is very basic in its present form and cannot cater to customer need without complex customization.Lastly, lets face it, SAP solutions are still heavily priced compared to other vendors and quite understandably SAP CRM consultants are pretty expensive to hire.",Consultant,Retail,Used the software for: 2+ years
sap_customer_experience,SAP Hybris application is boosting your organization ,I am basically administrative consultant to deployed in the server and configuration of the sap application for the integration level,Ravikumar M.,5.0,"October 23, 2018",The hybris application have lack of clarity and more features inbuilt and inefficient solution and improve the optimization of your business.,I have not yet identified the failure of my application or organization level. it boosting my skill as well as improving the lot of additional feature. The one thing needs to delivery new add-ons on quarterly basis,Sap Basis Consultant,Computer Software,Used the software for: 2+ years
sap_customer_experience,SAP as a primary tool for managing Customer Expierience,"Good - it is easy to get the job done with SAP, but the user experience is quite poor.",Anastasiia M.,4.0,"September 11, 2022",SAP offers a lot of features than can address most of the possible business cases.,The User Interface and User Experience is on a very low level - the interfaces seem to be very outdated when compared to the modern competitors.,Customer Servicer Representative,Chemicals,Used the software for: 1-2 years
sap_customer_experience,SAP Experience in Enterprise Asset Management,,Ritam D.,5.0,"September 22, 2022",Can be customized according to user requirement with the help of Enhancemnets and ZTables.,Standard table entries cannot be rectified directly and correction programs need to be build.,SAP EAM Consultant,Information Technology and Services,Used the software for: 2+ years
sap_customer_experience,SAP Review,"my experience is good using this efficient , user friendly tool with accuracy of inventory and reports.",Raheel A.,5.0,"January 9, 2022","It is efficient tool for business , company mainting their inventory management , account side , as part of telecommunication industry we use this software for maintaing Modems, Drop wire , Rossets and this software make our job more easy.",My use on this software is limited as per my job requirement but one thing that i would share that instead of codes name enrty would be easy,Assistant Business Manager,Telecommunications,Used the software for: 1-2 years
sap_customer_experience,A hearty program to organize details,Helpful but exhaustive.,Logan M.,4.0,"April 15, 2019",SAP gives the user the ability to organize multiple operations and is transparently available to anyone in the company to view and edit if need be. Helpful for large companies to create and organize portfolios for individual transactions.,I found SAP to be a steep learning curve as there are many steps to do just one thing. It is not very creative and can be more of an exhaustive step in the job process than a streamlined step. It communicates with multiple internal parts so one change in one part may affect another so being highly detail oriented is recommended for this program.,Distribution Specialist,Construction,Used the software for: 6-12 months
sap_customer_experience,SAP CRM,I have had a very good experience with this tool because it allows me to leave notes on each of the tickets and in the future I can use them to validate information and resolve the client's failure more quickly. The tickets that I create in SAP CRM are to solve glitches in clioentes so I use it daily to be able to do this in a frayed and simple way.,Stephanie C.,5.0,"February 12, 2019",I use it every day to create incidents of clients that report failure in their internet or telephone service and I like them a lot that is quite simple to manage and in turn you can have a large database of each ticket that you create because everything is stored.,In some cases the tool hangs and takes time to update.,Operador NOC,Telecommunications,Used the software for: 6-12 months
sap_customer_experience,It connects many other systems making it a very functional program.,,Lucas M.,5.0,"April 20, 2018","I really like that I'm able to make orders that can automatically be handled by our production team, that are in a different town.","It takes a lot of effort to install this in your company, and it's so difficult that you need experts to adjust settings.",Customer Success & Sales,Sports,Used the software for: 2+ years
