product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
firmex_virtual_data_room,First experiences,We use it for due diligences.,Dominique M.,5.0,"June 23, 2023",Very easy to use and fantastic customer support !,Search function might be improved in the sense that make the overview easier.,Senior Legal Counsel,Pharmaceuticals,Used the software for: 6-12 months
firmex_virtual_data_room,Firmex_Report,"My over all experience with the system is very good but the overall experience with the agents were EXCELLENT. Agents were very nice, friendly and knowledgeable. Today, thanks to [sensitive content hidden] for a job well done.",CRISTINA S.,5.0,"May 29, 2025",I can organize the folders and files in a the way I wanted them to appear. I like that the dates on each file is shown as it provides information to the administrator if the file is updated.,I did not like the set-up where I have to create redundant folders for users with read only permission and different folder for users with full access permission.,GIS Specialist,Mining & Metals,Used the software for: 2+ years
firmex_virtual_data_room,"Good Product, Secure and User Friendly",,Kevin C.,3.0,"November 28, 2023",It has all the functions needed to effectively manage a dataroom. I trust the security of the datarooms.,I cannot download files with watermark based on a specific user's access.,Senior Associate,Investment Banking,Used the software for: 2+ years
firmex_virtual_data_room,Good overall experience,"Reasonably easy to use, good value for money. Easy to upload, redact, share and download documents. Good Q&A module.",Viorel U.,5.0,"December 23, 2025","Good customer support, good value for money, fast delivery of USB archives. Overall experience and quality on par with the best VDR providers.","The tree structure of the files could be better. As it is today, it is difficult to navigate. It is also difficult to understand where in the folders structure are located files found by searching.",managing partner,Investment Management,Used the software for: Less than 6 months
firmex_virtual_data_room,Firmex for Akuo,"So far, very great ! It is fully adapted to the way we work within our company !",Emeric B.,5.0,"April 22, 2025","Easy to manage, and a great support team ! A contract well adapted to our way of working, trainings helped our company members to use the tool daily.",Probably the desktop sync tool that need a little improvement (or at least more features),Chief Infrastructure Officer,Renewables & Environment,Used the software for: 2+ years
firmex_virtual_data_room,Firmex review,,Timothy W.,5.0,"September 10, 2025","Value and ease of use, onboarding was prompt and professional. File uploading is a breeze and the layout is intuitive.","Not much on cons, but I think if you have to upload very large files or data you might run into capacity or speed issues that might slow performance.",CFO,Consumer Goods,Used the software for: Less than 6 months
firmex_virtual_data_room,Firmex Positive Experience Review,"It has been good, I particularly appreciate how quickly the team responds to inquiries and solves issues in live time.",Joshua M.,5.0,"May 22, 2025","I find it's quiet user friendly, and easy to set up. I also like the ability to create as many user groups as required.","I don't like the way it looks, its very boring and old fashioned, especially compared to the other offerings around.",Legal Assistant,Accounting,Used the software for: 6-12 months
firmex_virtual_data_room,All Five Stars,My overall experience with Firmex Virtual Data Room has been quite positive. I do think that your customer service is probably your greatest strength and the people who work in that space should be rewarded for their work.,Patrick M.,5.0,"November 21, 2025",Customer support is always available and helpful. I have never experienced an issue that customer support could not address in one phone call.,"Perhaps the reporting could be a bit more robust. Not a huge complaint, though. There are simply times when a report request comes in from a client and I cannot find a suitable option within Firmex.",Paralegal,Law Practice,Used the software for: 1-2 years
firmex_virtual_data_room,Easy decision for transaction data room,Great. Any questions I had were promptly and professionally answered by customer service.,Michael V.,5.0,"March 18, 2025",Ease and speed of set up. I was up and running within 15 minutes of agreement.,Nothing really. Setting up specific user access (i.e. access by folder) was not as intuitive and I feel should be part of the initial user set up wizard.,CFO,Financial Services,Used the software for: Less than 6 months
firmex_virtual_data_room,Best Option for Collaboration,My experience with Firmex is always great. It is incredibly user friendly and requires very little assistance from an administration perspective.,Kerstin S.,5.0,"January 28, 2025","Firmex is the most user friendly, easily accessed option. It is the most requested share option for our clients.",I do not love the small scroll bar for the indexing. I find it harder to use than the previous format.,Paralegal,Legal Services,Used the software for: Less than 6 months
firmex_virtual_data_room,Marcus Mollica Review,It's a good VDR provider for a simple transaction / purpose.,Marcus M.,5.0,"June 18, 2024",Ease of use. Very easy to set up a VDR and send invites to individuals.,Permissions are sometimes not very easy to use and customize.,Associate,Investment Banking,Used the software for: 2+ years
