product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
desktime,An honest and friendly activity tracker,"Overall, I have learned to use DeskTime as a tool to know where I should be prioritizing my work and where I should be cutting time. More than just a tracker, DeskTime is an ally.",Eduardo D.,4.0,"June 26, 2021",I personally enjoy having my activities organized by time of use and the ability that the program has of also displaying in which window or document you have worked on; it helps me on my end of day summary because I remember the tasks even when I finished them early in the morning.,"The automatic feature to start DeskTime when Windows boots is not 100% reliable and, in my type of environment where productivity is our main goal, it hurts my numbers. The only other downside I have experienced is during power outages, the app would either stop tracking my time or would mark my activity as neutral. Nothing critical and does not detract the reliability of the program in my opinion.",Business Analyst,Executive Office,Used the software for: 6-12 months
desktime, Desktime the tool of the future,"We are reducing economic and time costs, being able to do the time registration online and automatically when turning on the computer, control of vacation periods, permits and sick leave, among others.",Javier R.,5.0,"November 11, 2022","we like the autonomy of the system, when it comes to starting the computer, desktime is able to start working automatically.In addition, the ""private time"" option is very useful, so that workers can freely review personal matters during break hours, without worrying about being ""monitored"".","At first, there was resistance to the implementation of desktime by the workers, most of them complained about the alleged ""invasion of their privacy"", this was motivated by the screenshots made by the software.However, the company also chooses to keep the screenshots active, in order to supervise the work.",Asesor jurídico,Construction,Used the software for: 6-12 months
desktime,Need's more improvmenet,,Florin G.,3.0,"July 14, 2021",Easy to use Easy to understand Friendly interface,"The administrator should not pay for the account The design of the platform is old, need to be upgrade to the design trends Not so many features Print screen of the employees needs to have better quality, if the space is the problem, it should have a feature to connect a Cloud storage account in order to pay separately for how much print screen quality do you need. It should me more flexible. Ex. Print screen time should not be only 3-5 min. It my choice not a product manager choice what is important for my business or not. Alerts for employees that they have overdue the brake time and many others.",Manager,Automotive,Used the software for: 1-2 years
desktime,Finding the secret time thieves with DeskTime,Wasting time on unproductive tasks was tremendously reduced as DeskTime assisted me with identifying which tasks don't make me money but just steal time,Tino H.,5.0,"November 10, 2022","DeskTime helps me enormously to find hidden time thieves in my everyday life, which was previously much less productive due to much more multitasking and constantly switching between tasks. By using DeskTime to visually record which unproductive tasks/distractions I deal with on a daily basis, I've been able to proactively address them and have regained a lot of productive work time as a result.","The visual approach primarily aims to present information in a pragmatic way, but could use a more contemporary touch.",Writer,Newspapers,Used the software for: 2+ years
desktime,Critical Assessment Made Easy,The overall experience has been very good with the Desktime tool. It really helps to save a lot of time.,Sahil C.,5.0,"August 18, 2022",Time tracking - This is the most critical aspect of the tool. We use Desktime to pull the reports for time management. From time taken to complete any project to monitoring the efficiency and productivity of each and every employee. Helps to save a lot of time.,None as of now. most of the features are really helpful.,Manager,Financial Services,Used the software for: 1-2 years
desktime,Great tool for helping remote-work employees stay productive. ,"Overall, DeskTime has been a very useful tool for us.",Rudy M.,5.0,"December 6, 2022","I love the dashboard, both for admin use and for the employee view. There is much good information to see at a glance. The reports/exports are also very useful.",I would love to see a task management system (including daily/weekly recurring tasks) be implemented in DeskTime instead of having to use an external program.,CS Manager,Retail,Used the software for: 6-12 months
desktime,Desktime - an HR essential,We love Desktime and identified is as an essential tool for management and key to deliver non-negotiables to run the organization.,Dennisse A.,5.0,"November 10, 2022",Attendance and productivity are typically managed by managers along with HR but processes are usually manual and takes a lot of time. This allowed management and HR to have a tool to monitor and inspect productivity and attendance more effectively.,Just that the screenshots are not as often captured as i'd like on the operations level.,Operations Manager,Telecommunications,Used the software for: 1-2 years
desktime,Keep it under control to avoid time and resources wastage. I like DeskTime.,Industrialization and productivity of employees at its finest. Quick andbl reliable output that saves me and my team time and pushes everyone to remain focused.,Henry J.,5.0,"December 1, 2023","Upto today, DeskTime has kept an outstanding performance. Boosting productivity, saving us time and resources, keeping work organized and professional. DeskTime is a friendly software. It has helped me manage shifts and most importantly calculate overtime pay based on how employees spend their time. It is secure for handling confidential information.",Proven reliable. DeskTime has maintained a clean record with us. I cannot find anything to complain about.,Senior Construction Superintendent,Real Estate,Used the software for: 2+ years
desktime,Great tool,All my interactions with desktime has been great.,Nithya S.,4.0,"August 26, 2022","Ability to monitor team in a single window. Knowing productive time vs desktime. Gives me peace of mind knowing i am enabled. Trust does mean I am incapable of monitoring, so I have to Trust. Trust means I am capable of monitoring and I trust. The capability factor is facilitated by desktime.","The team can uninstall or disable the software. I need to control that esp. if office systems are used. I feel that number of screen captures for the configuration do not match, but it does not impact me so much.",MD,Information Services,Used the software for: 2+ years
desktime,Insurance Policy for Employee Productivity,,Amber D.,5.0,"November 8, 2022",I love being able to monitor the idle time and the shared schedules to see when someone is absent/in office/ or remote.,"It is a little confusing have team members listed in 2 different areas. One you can edit, the other one you can't. The set-up was a trial and error issue. The mobile time we turned off as it doesn't actually monitor anything. It just says they are productively working from their phone.",President,Real Estate,Used the software for: Less than 6 months
desktime,Increases productivity,Tracking productivity of a remote employee has been made easy using desktime,Verified Reviewer,5.0,"May 19, 2024",I have noticed productive time surge in my team post using desktime.,Nothing as of now. All the features in desktime are helpful in employee monitoring,Consultant,Human Resources,Used the software for: 2+ years
desktime,Best productivity management solutions ,,Shaheen K.,5.0,"April 13, 2023","It provides a range of features and functionalities to help users track their time, manage projects, and generate detailed reports on their productivity.Some of the key features of Desktime include real-time tracking of time spent on various tasks, activity tracking to see which apps and websites are being used the most, project management tools to help users manage their tasks and projects, and detailed reports on productivity and time usage.","None, it is just perfect. I am loving it.",Support Analyst,Information Technology and Services,Used the software for: 1-2 years
desktime,A very great tool,,Zaw Thura T.,5.0,"August 20, 2021",I've been using DeskTime since I was in university more than 4 years ago. It's been such a great help seeing where my computer time is going to. It allows me to gain perspective and set priorities for my own personal goals. Knowing the amount of procrastination or time wasters I partake in helps me make better decisions with my life.,"Certain features had been limited at the start, such as being able to categorize activities quickly, but the DeskTime team seems to be still supporting the software and improvements.",Student,Mechanical or Industrial Engineering,Used the software for: 2+ years
desktime,Desktime Review,"Great! Overall useful, and provides our employees a better understanding of what their overall productivity looks like throughout the day. Provides further support to our teams in terms of productivity in certain projects, and a better understanding of what they are actually doing/working on during business hours.",Rafael V.,5.0,"August 11, 2021","Snapshot feature has been absolutely an essential staple during our WFH period due to Covid. Along with productivity monitoring, our leads were able to clarify a better understanding of what our employees are completing throughout the days. Very much have utilized this feature, and has been very helpful to our teams productivity overall.","The idle time tracker. Simply holding a key down on your keyboard for long periods of time can be tracked as ""productive"" time and is not the best way of monitoring idle time for employees. However, cross referencing this with the snapshot feature has been a key stable in eliminating this type of behavior.",HR Lead,Human Resources,Used the software for: 2+ years
desktime,Useful if you are remote working,,Trinayan C.,5.0,"November 10, 2022",Desktime is very useful in our line of work(remote-employees). It helps track of times that makes billing automated without having to submit a timesheet and such. The ability to schedule leaves are very useful as well. I also like how you can take screenshots that are blurred to maintain privacy.,"The log in and out process is a bit of hassle. You can’t just keep the software logged in at all times and then just flick a button to get it started. Of course you can do private time, but that is not very intuitive.",Marketing,Information Technology and Services,Used the software for: 2+ years
desktime,Its a good Application but it as a Scope for improvement ,,Girish B.,5.0,"August 9, 2021","Monitoring, ScreenCapture, Time Recording, URL's observed",not completely automated should reduce feature of activity view to their team member,Founder,Information Technology and Services,Used the software for: 6-12 months
desktime,Easy attendance management,,Alice M.,5.0,"November 16, 2022","Easy to use whenever the employer is located in the world. All employees will be logged in Desktime when they work, and the employer has the authority to check on all employees, see their arrival, time of spending on different programs, and their absence daily, weekly, or even monthly.","That DeskTime tracks every single web or program and names it. Depending on the employees' work/responsibility, it is a necessity to check on programs that are even unproductive, even though it's not true. It affects productivity and effectiveness.",Admin Manager & Chief Happiness Officer,Information Technology and Services,Used the software for: 2+ years
desktime,A must have for any company with a remote workforce,Desktime allows management to effortlessly monitor the productivity of a remote workforce and greatly reduces administrative overhead associated with time management and billing.,Johan S.,5.0,"November 8, 2022",Desktime is super easy to deploy and simple to set up.The simplicity of the application makes it easy for employers to know that their remote workforce is productive.Desktime also allows employees wo put in extra effort to get recognized without having to speak up.,Some employees have figured out innovative solutions to appear online / active while not actually working.,Director,Information Technology and Services,Used the software for: 2+ years
desktime,DeskTime allowed me to analyze where I'm spending my day and allowed me to be more productive.,It has helped me analyze where I'm spending most of my day and allowed me to offload some of the non-revenue generating tasks and allowed me to focus more of my time on what is driving the business forward and growing our revenue - tasks that are more closely tied to my role in the company.,Scott W.,5.0,"November 2, 2022","I love that it tracks all of the applications, online sites, and even has the ability to take snapshots. I love that I can toggle a social media site from unproductive to productive or vice-versa if managing those items is part of my responsibilities.","I haven't tried rolling out to others yet, so I'm not sure what reporting and analytics I can get on the rest of my team, but I really do value the information I've gathered about my own habits and unknown ""time-wasters.""",VP,Wholesale,Used the software for: Less than 6 months
desktime,We LOVE Desktime with Basecamp,,April I.,5.0,"November 10, 2022","We use Desktime which seamlessly integrates with Basecamp our Project Management Software. This easily allows us to keep track of where our time is allocated and increase productivity. It is very easy for our team to use. I love the ""screenshot"" feature.",I do not like how all the team members can see all the projects.,CEO,Marketing and Advertising,Used the software for: 1-2 years
desktime,Best work from home app,It's been a very useful app especially for majority of us who had to transition from physical work at the office to working from home. It helps both the user and the teams being monitored to all put in the required effort to get things done whilst also being conscious of our health:),Peggy K.,5.0,"August 9, 2021","apart from the obvious tracking and monitoring of the teams, I have found desk time to be very helpful in managing my work life balance. Reminds me to take a break, stand up and stitch and drink some water etc. This sounds simple and obvious but sometimes you lose track of time and so these small reminders really help you relax and re-focus which makes you more productive!",The fact that screenshots are taken in the background - that is not very security smart,Administrative Manager,Research,Used the software for: 2+ years
desktime,Couldn't live without it,"I think I'm one of the early adopters and I've seen it evolve over the years. I always liked how they added new features and constantly improved the product. It's very easy to use, intuitive, and it gives me everything I need from a time tracking app.",Elena P.,5.0,"August 10, 2021","Love the fact that it captures everything I do on the computer. Even if I forget to track work on a certain project, I can always retrace my steps and assign the minutes/hours manually. The productive/unproductive categorization is very beneficial to have a bird's-eye view of my activity. I've used it in parallel with Toggl for a long time and Desktime was superior on so many levels.",I haven't yet found things I don't like about it.,Virtual Assistant & Social Media Manager,Marketing and Advertising,Used the software for: 2+ years
desktime,A valuable addition to your project management.,I have been using this software for 5 years now and it really helps to keep me motivated to complete my hours. It is one click use application. The listing of recent projects make it easy to switch time tracking.,Abhishek A.,5.0,"August 9, 2021","Time Tracking, Idle time monitoring, tab list, screenshots and many more.",Once time has been deleted then there is no way to recover it back. Sometimes it becomes difficult to navigate and look for information. More UX is required in web app.,Director,Information Technology and Services,Used the software for: 2+ years
desktime,Managers review,,Roochira T.,3.0,"November 29, 2022",Very good with real time tracking. But can improve further to capture productive time more accuractely.,if i am on team call (via microsoft Teams or Zoom) and the other person on the call is talking and if i am just listening the time doesn't get tracked as productive time. This is a problem. So time is getting under recorded.,Manager,Financial Services,Used the software for: 6-12 months
desktime,Great Time Tracking and Efficiency Tracker,Very happy with the system especially during the start of pandemic when all staff had to WFH. It is a good tracker on their performance and productivity.,Sophia P.,5.0,"November 9, 2022","Transparency, Flexibility (being able to set which sites are productive/unproductive), screenshots. Ranking on staff who is most efficient and productive.",Quite expensive if you only need for short period.,Office and Compliance Manager,Financial Services,Used the software for: 2+ years
