product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
copper,The CRM for sales team on Gsuite,"I've used a lot of CRMs, from Salesforce to Pipedrive. Copper is hands down the best. Easy to use, easy for the team to adopt but still very powerful under the hood.",Scott G.,5.0,"July 1, 2020",Automated data entry. Pre-populates a lot of my contacts data so adding new leads is a simple point and click. The gmail integration is amazing. I can get a clear picture of my entire relationship from where I work - gmail. Im really starting loving the workflow automations and cool calculated fields I can make now.,I'd like to see a better native integration with an email automation software,General Manager,Information Technology and Services,Used the software for: 2+ years
copper,Great CRM!,Makes my job so much easier! I can keep track of everything that needs done for each file. Good audit system for all processes!,Tiffany R.,5.0,"November 6, 2024",So easy to use! Love the automatic tasks to remind me to get things done!,A lead/contact can be added multiple times. Would be nice if there would be a trigger that the lead already exists and is assigned to someone else.,Office Manager,Consumer Services,Used the software for: 2+ years
copper,A decent solution for a small business,"Overall, this solution works for our small business.",Cecilia H.,3.0,"January 4, 2025","It's very straight forward and has decent functionality for a small business that isn't ready for an expensive, customized CRM.","Feels clunky at times, some limited features.",VP of Economic Development,Market Research,Used the software for: 1-2 years
copper,Easy to use with Gmail,Support has been great. Very little need for them as nothing has broken... not one single time! They seem to be building based off of their customer requests and growing thoughtfully. We are confident in our choice to go with them.,Dainella N.,5.0,"November 25, 2024","Easy, clean integration with Gmail. Fast. Collaborative features are great for teamwork.",No folders for email templates. Full sync with MailChimp can get costly quickly as the tiers jump you quickly up if your email audience is decently sized.,Community Director,E-Learning,Used the software for: 1-2 years
copper,Copper is very helpful,"The customer service team is very responsive, and Copper has helped me become 10x more productive. I recommend it to everyone, particularly for sales and client relations.",Sarah R.,5.0,"November 14, 2025","I love the task manager and ease of keeping track of contacts. Tags help me stay organized, and adding custom fields to every record type is very helpful.",Sometimes it runs a little slow. I can't merge duplicate companies without scrolling through the entire list.,"VP, Client Relations",Marketing and Advertising,Used the software for: 2+ years
copper,Copper is Queen,I am in Copper every single day. It keeps me on task and I can check in on what my colleagues are doing.,Bethany S.,5.0,"May 8, 2025","It tracks tasks, projects, people and companies. I can see the interactions my colleague have with customers and it is very customizable","It would be great if you could share a task with others, as in both people owning it. Or creating duplicate tasks. But its minor",Finance Coordinator,Non-Profit Organization Management,Used the software for: 1-2 years
copper,Simple but Powerful,"I have enjoyed it. Even with a few things I wish they had, the customer service team is helpful to explain whether or not certain things can be utilized.",Zach R.,5.0,"July 7, 2025",Love the reminders and tasks that we can set to followup or complete tasks with customers. It allows me to assign them to myself or other team members.,Lack of templates for emails or sending estimates through it. I would love to be able to send estimates outside of my accounting software and send them through my CRM,VP Of Sales and Marketing,Building Materials,Used the software for: 1-2 years
copper,Easy/Organized CRM ,Overall experience using Copper is good. Easy to use and organize data. Filtering is great. Ability to customize the pipeline for opportunities is nice. Gmail integration is great. Exporting tools are very useful.,Monique G.,4.0,"December 3, 2024",Organization and Clarity. Easy to understand and the filtering system is very efficient.,Chat bot. Difficult to get in touch with an actual person on the phone.,Administrative Assistant,Construction,Used the software for: 2+ years
copper,"Copper CRM, a true industry winner in the making.","Overall, it's about the people. The people at Copper are amazing and if there's any investors who have yet to pour in, consider doing so because that's the most important part. Pour into the people and the tech will follow.",Jason P.,5.0,"October 17, 2024",How attentive they are in helping you and most recently their drive to further improve the platform. They're growing into becoming a major player.,The interface and some of the intel features. Seemed too rigid and lagged behind some other players but they're addressing all that now and quickly at that.,Digital Account Executive,Media Production,Used the software for: 2+ years
copper,Copper works for me,I would say its been pretty good for the most part.,Amy M.,4.0,"March 17, 2025",I like the user friendly access you have to your complete sales funnel at any given time or place.,When entering a sales prospect having to add so much information.,Business Development rep.,Staffing and Recruiting,Used the software for: 1-2 years
copper,I really like Copper,"For us it all hinges on Opportunity tracking - which we modified into a ""start-to-finish/inquiry-to-money-collected"" tracker. We don't use the project management or task management.",Verified Reviewer,4.0,"August 12, 2021","The Google integration and drag and drop pipelines/stages are what sold me. It didn't take long to learn and start modifying it for our activity/information needs. The mobile version is more than adequate and the whole UI is well done. Like all good software, I'm sure there are features and shortcuts we don't use enough, but basically, it is more than suited for what we use it for; Customer information and job process tracking.","These cost more money - via upgrade; Mailchimp integration, adding many custom fields, and better than limited reporting. We run the Basic version.",Owner,Building Materials,Used the software for: 2+ years
copper,The ONLY Fully-Integrated CRM Solution for Google Workspace,"Our small business has been a Copper client for the last 2-3 years and we have been incredibly happy with the Copper CRM product and the team that supports it. As our business grows, so do our CRM needs. Copper has been able to fulfill each of these needs as they arise, often from regular updates on their product roadmap. It's almost like Copper has been ""inside our head"" and developed exactly what we needed prior to us asking. @TeamCopper - Great job listening to your clients in the community and actually developing your product to suit our needs. This is what encouraged us to sign a 5-year agreement with you!",Michael C.,5.0,"February 2, 2022","Full functionality within Google Workspace plug-in (Gmail, Calendar). Ability to pull a list view of Opportunities, Leads, etc and update individual records without leaving the screen (HUGE time-saver).",Import function needs work in the area of duplicate management and add/ overwrite tags. Third-party integration with Zapier makes this seamless but can add unnecessary expenses.,CEO,"Health, Wellness and Fitness",Used the software for: 2+ years
copper,Disappointed on many fronts,"I had high hopes when making the transition from Pipedrive to Copper. I was interested in custom reports and overall more customization of the product when compared to Pipedrive. The trial period went well with the software and the help from support in the transition, but ultimately we were pushed to commit to the paid account before we could test everything needed for our business. We paid the annual subscriptions for our team and ended up wanting to leave the CRM after about 6 months because the CRM wasn't meeting our needs after we worked with it for some time. When asking to cancel and refund the balance of payment not used they were unwilling to offer any refund, stating the contract says no refunds :( So we left with a bad taste in our mouths and overall disappointment with the software and support.",Erik P.,3.0,"January 28, 2020","I liked the ability to do customized reporting, gsuite integrations and overall customization of the CRM.","The customer service was helpful to certain level. They helped us transition through the trial period in the software but ultimately I was pushed to commit to the product before we could fully test everything we needed. The CRM is somewhat cluttered and the UI is a little too subtle. Specifically the opportunities pipeline and tasks due really don't come forward visually because the status color dots for upcoming task, ect are too small and the color contrast is too low. Pipedrive did a much better job at this quick visual communication for the user showing what might be overdue, coming due, etc.",Founder,Real Estate,Used the software for: 6-12 months
copper,Copper :: A sturdy pipeline to success!,Copper is a saving grace CRM for sales organizations,Celeste M.,5.0,"December 2, 2024",Copper helps create an easy follow-up and sales process while being cheaper than most CRMs,It's a little confusing to figure out how to use at first,Head of Partnerships,Alternative Medicine,Used the software for: 1-2 years
copper,Copper is great,I use copper 10 times a day to track deal progression at our firm. It helps me do that.,Will W.,5.0,"December 9, 2024","Copper is intuitive to use, provides great visuals, and enables impeccable analysis.",There are no problems with Copper just people inputting information wrong.,Senior Analyst,Financial Services,Used the software for: 2+ years
copper,Copper goes great with Gmail,My company uses Copper because it integrates seamlessly with Gmail. I appreciate how I can see what is going on with customers because of the email tracking and feed.,Erin G.,4.0,"October 21, 2024","The feed lets me know what is going on, and being able to edit records inside of lists is convenient. I also like the email tracking when it is functioning.","The reports are not very intuitive or easy to navigate, and the email tracking sometimes doesn't work.",Sales Operations Specialist,Information Technology and Services,Used the software for: 2+ years
copper,Good app for sales,"Great, no issues using the program. Company provided",Aaron K.,5.0,"January 10, 2025","Usability, great program for sales and keeping track of your customers.","None, I haven't ran into any issues using copper/",Sales,Retail,Used the software for: Less than 6 months
copper,Copper review,Very helpful and beneficial! Always helps me accomplish my tasks in a timely manner!,Brett B.,5.0,"December 12, 2024",I love how it keeps everything so organized and neat!,There is nothing I dislike. I think it does a fantastic job.,Strategist,Design,Used the software for: 1-2 years
copper,Luckydog Recreation Copper Review,"loving it, fast and easy to navigate and easy to read",Dennis D.,5.0,"December 9, 2024","Easy integration with other docs, easy to navigate the site",A bit fussy about searching for a name if spelling is incorrect,Project Manager,Construction,Used the software for: 6-12 months
copper,Copper CRM review,Pleased so far but they need to put more into development of features,James M.,4.0,"October 21, 2024",It's cost effective and much cheaper than the alternatives,The livechat feature isn't live. It takes a few hours to get a response,Head of Marketing,Transportation/Trucking/Railroad,Used the software for: Less than 6 months
copper,Copper Has Failed ,"A CRM is a great thing, but Copper has not delivered! The software is unreliable, the customer service has fallen short. What we were promised is not what we have received. It is too bad, because I love a lot of the features.",Bronwyn M.,2.0,"September 3, 2019","It is easy to use, once you get the hang of it. Good customization. Phone App. Copper integrates with all things Google.","The Software isn't solid! In a matter of 6 weeks the CRM has had 2 major malfunctions, called ""bugs"" according to Copper support staff. 1)People Records Malfunction - I am the admin of this software and the person responsible for uploading 28 years of Legacy Data (all of our customer records). In attempting to update some of the outdated contact info changing phone numbers and addresses, emails etc. which I populated into Copper from various spreadsheets, work order lists, Quick Book records, and email contact lists. The ""People"" records began to malfunction; phone numbers literally began jumping around. Example, I would open someone's customer's record and another customers number would populate, I would end up calling the wrong customer. Copper engineers have been ""working"" on this for a month, still no fix. 2.) Opportunity Pipeline Malfunction - Imports are mapping to the wrong Pipeline. I have hundreds of business opportunity records, Google sheet based spreadsheets, that I am attempting to import (bulk) thousands of cells of data to the CRM, despite properly mapping the import (correct methods on my part) this crucial business information imports to the wrong pipeline & tons of data is lost in the process. This is huge, if you can't import and map your customers spreadsheet records (bulk) you have to hand enter each record. What should take 5 mins will take days/weeks/months! This has been going on for over a week now, and no one at Copper seems to care.",Administarative Coordinator,Construction,Used the software for: Less than 6 months
copper,OK product. TERRIBLE customer service. DECEPTIVE cancellation policy,OK product. Terrible company to do business with. Avoid.,Nathan Y.,1.0,"February 5, 2021","Attractive, easy to use, with good G-Suite integration.","Labyrinthian cancellation process with UI designed to lead users as far away from a successful cancellation as possible. No confirmations of cancellation in UI or emailed. No user viewable record of cancellation. I was billed for 10 months after I thought I cancelled. When I tried to login after noticing the charges, I was unable to even after attempting to reset my password (No user exists). I explained the situation to customer service and they reset my account and told me they weren't able to discuss refunds for the past 10 months until I processed another cancellation on my reset account. I did so and was billed AGAIN two days later. When I contact customer service, they said that per their policy, not only was that charge valid, but that I would be charged AGAIN next month before charges stopped. When I asked about a refund for the past 10 months, they said that I should have cancelled and when I said that I did, they said prove it. I told them that their system does not generate cancellation emails and they said that per company policy, they would provide no refunds without proof of cancellation. PROOF THAT DOESNT EXIST BECAUSE THERE IS NO RECORD OF CANCELLATION EMAILED TO YOU OR AVAILABLE IN THE APP.",Managing Director,Marketing and Advertising,Used the software for: 1-2 years
