product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
isl_light,Very reliable program!,,Richard V.,5.0,"July 31, 2025",The stability of the program. No issues with administrator rights etcetera. It always works flawlesly.,That we tried other products from other vendors. Because we thougt it would be a good idea to test some other products. We shouldn't.,Business Owner,Information Technology and Services,Used the software for: 2+ years
isl_light,ISL Light makes support easier,I use isl light at work on a daily basis. It's easy to use and easy to guide new users to receive support. It's easy to get connected and I love the feature to get admin privileges and the user just have to confirm it. Always-on function is really good as it provides a backup when VPN's or RDP have issues.,Andrej Š.,5.0,"September 16, 2025",Remote access works with no hiccups and it works on multiple OS's. The mobile version works well too. Always on is really useful.,A bit of confusion with login as I have 2 accounts with the same email. Sometimes it scrambles the view when user has multiple monitors.,System technician,Information Technology and Services,Used the software for: 2+ years
isl_light,It's almost perfect.,Pretty good the sales team were very good the development team could be a bit better at responding to customer needs and issues.,Joshua H.,3.0,"May 17, 2021",Hosting the software ourselves is very comforting as we don't have to rely on other servers if it goes down we are to blame. Reading the customer the ID is very nice versus the other way around as it helps prevent errors and gets read at a consistent rate. Also being able to email and transfer the session is very helpful. The software file transfer is the best I've tried much faster than the competitors.,"A couple of things that I wish would be improved would be. When comparing to Teamviewer, ISL is considerably slower; if you have them sitting side by side, you will be able to complete tasks almost twice as fast with Teamviewer. When opening UAC within Windows, there is a considerable delay in displaying the Yes and No prompt that doesn't happen with Teamviewer. Multiple monitors work pretty well, but once you get past three monitors, the software starts to fall apart. It's even slower. Also, sometimes, it won't even show dialog boxes in the large zoomed-out view that exists when using Teamviewer. You won't see all the monitors at once, so you will need to toggle each monitor until you are on the right one. Switching monitors is also a drag as it's also very, very slow to display the content of each individual monitor. I've been told that one of the reasons for ISL slowness is that it is more secure than Teamviewer, and while that might be true, I wish they would give the End User the option to have faster speed/less secure or slower speeds more secure.",VP,Computer Hardware,Used the software for: 1-2 years
isl_light,ISL Light Delivers Exceptional Performance and Security,"ISL Light is an outstanding remote support solution. It combines ease of use, strong security, and excellent performance, making it a top choice for professionals who need reliable remote access.",Gregor Ž.,5.0,"January 6, 2026","I really appreciate how simple and intuitive ISL Light is to use. The connection process is fast and secure, and it works flawlessly across different platforms. The performance is excellent, even on slower networks, and the interface is clean and user-friendly. I also like the strong focus on security and privacy, which gives me confidence when working remotely. Overall, it’s a reliable and efficient tool for remote support.","There’s very little to dislike, but if I had to mention something, it would be that the advanced features can take a bit of time to discover for new users. A more guided onboarding or quick tips could make the experience even better.",Professional Worker,Performing Arts,Used the software for: 2+ years
isl_light,Reliable remote support solution that saves time for our IT team,"I have a very good experience with ISL Light. It is fast, reliable, and easy to use for both IT support and clients. I especially appreciate that it offers everything we need while being more cost-effective than similar solutions. The software truly simplifies remote support work and boosts productivity.",Marko O.,5.0,"September 11, 2025","The program provides all the functionalities that IT support needs for efficient remote work for our custumer support (file transfer, screen sharing, system management, simple “run as” admin access, etc.). The system runs stably without interruptions. In addition, the price is excellent — more affordable than similar programs such as TV, which further increases the value of the solution. It supports both online and self-hosted installations, offering an extra advantage when choosing the deployment method. I can manage the server myself, giving me full control over all settings.",I really don’t have many complaints. I didn’t encounter any major problems or glitches. It works satisfactorily even with weaker internet connections.,IT support,Computer & Network Security,Used the software for: 1-2 years
isl_light,Great lightweight tool that puts all the simple features in one place and removes the clutter you don't need often.,"From a user perspective, this is a very convenient tool that puts everything in one place. It doesn't get buried amongst all the open browser tabs and makes it easy to find. Setting permissions is a little cumbersome initially, but it's a very convenient tool to use once all that is set up.",Robert W.,5.0,"September 17, 2025","ISL Light is a great alternative to using the web interface. It removes a step and puts all the access that I need on a regular basis in one place. There are extra options in the web interface but since they aren't used often, it's not needed. This gives me a much simpler option and I am able to package the program and deploy through SCCM removing the need for admin rights to install.",This it nitpicky. I would love to be able to alter the white background and use a custom background and not just change the image. I would also like to be able to remove the computers tab for those that don't need that access.,"Manger, Technical Services",Logistics and Supply Chain,Used the software for: I used a free trial
isl_light,I like it more than I liked Teamviewer,"Better than teamviewer, it works more reliably, no more explaining to customers to click accept EULA. I feel no need to search for other solutions.",Joze V.,4.0,"September 10, 2025","- silent install packages for unattended clients, I can make different packages for different customers so that clients are automatically arranged into my groups - technical support people are knowledgeable and fast","- sometimes it seems a bit slow, specially when switching to admin mode remotely - session links should be nicer (shorter), sometimes the situation forces clients to type it manually (https://islv61.islonline.net/join/XXXXXXXX) - I do not like it that it was sold to US company",general manager,Computer Networking,Used the software for: 1-2 years
isl_light,User-Friendly and Effective,"Overall experience with ISL Light has been very positive. The software is reliable, easy to use, and secure, which makes it an excellent tool for providing remote support. I particularly appreciate how quickly sessions can be started and how smooth the connection usually is. Both technicians and end-users benefit from its simplicity, and it has definitely helped to resolve issues more efficiently",Lenart P.,5.0,"September 17, 2025",Very easy to use for both technicians and end-users Secure and reliable remote connections Quick setup with no complicated installation works on different devices and operating systems,"We have no real complaints about ISL Light – overall it works smoothly, reliably, and meets our support needs",Delivery manager,Information Technology and Services,Used the software for: 2+ years
isl_light,Reliable Remote Support Tool That Just Works,A stable and trustworthy solution for remote access and support. Perfect for long-term use in IT environments.,Uroš Z.,5.0,"September 16, 2025","We have been using ISL Light for several years with a server license. It is very reliable, easy to use, and provides secure remote support without complications. ""Stable, secure, and perfect for IT remote assistance.""","The system works reliably, but occasionally mobile support feels less polished compared to the desktop experience.",Network Administrator,Computer & Network Security,Used the software for: 2+ years
isl_light,Very useful and stable program,ISL Online i very stable and useful program. I racomend it to everyone who need remote control and remote help.,David B.,5.0,"September 16, 2025",implicity of using it and Stability of program. Also the administrator mode is very useful and very simple to use.,File transfer is not so intuitive. When transferring files is not so logical to select target folder of remote computer.,System Technician,Outsourcing/Offshoring,Used the software for: 2+ years
