product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
quadient_accounts_payable_automation,A Powerful AP Automation Tool with Room to Grow in Reporting and Usability,"My experience using Quadient Accounts Payable Automation has been good overall, especially regarding operational productivity and oversight of processes, after implementation, the system saved time by automating invoice capture, approval routing, and payment processing, custom workflow configuration meant we were able to enforce strong workflow, based internal controls, eliminating the need for time-consuming email checks. The platform has been useful for oversight and control for a remote, distributed finance team. Audit trails are complete, and the integration with our ERP system was reliable after the initial configuration, which minimized duplication and reconciliation errors. Of course, the system has its disadvantages, the user interface is clean, but it is not always easy to navigate for new users and non-finance staff, Also the reporting tools are not deep, onboarding for the system was more resource intensive than anticipated, particularly regarding workflow customization and integration with legacy systems. Even with these challenges, the platform was dependable, provided tight security, and proved to be an excellent long-term investment for scaling AP automation after the learning curve was addressed. I recommend the platform for mid-sized and enterprise teams looking to improve their AP processes and cut down manual work.",Musa S.,4.0,"August 6, 2025","The ability of Quadient Accounts Payable Automation to simplify the entire process from invoice capture to payment all on a single, centralized platform is what I found most appealing, the customizable approval workflows, strong ERP integrations, and audit ready documentation make it incredibly efficient and reliable, our processing time was greatly decreased, and remote teams were given complete visibility and control.","The most challenging aspects of Quadient for me, were the initial setup complexity and the limited analytics capabilities, it took some time to fully configure our workflows and integrations, the system is good at processing, but it doesn't have real-time, customizable reporting and the mobile app works well for fast approvals but isn't very good at handling deeper invoices.",Systems Integration Engineer,Information Technology and Services,Used the software for: 1-2 years
quadient_accounts_payable_automation,Healthcare AP Review,"Very good, the whole team really love Quadient AP, we mostly like the bright colourful friendly UI that made AP a joy!",Adam B.,5.0,"December 5, 2025","Fantastic UI, Responsive support team and consistent upgrades to the system. Made coding invoices a breeze!","Having to sync to our accounts system at certain times (not a major issue), PO matching sometimes not perfect and ultimately price vs our native solution (unbeatable!)",Management Accountant,Hospital & Health Care,Used the software for: 1-2 years
quadient_accounts_payable_automation,AP Quadient ruined Beanworks,Awful - these people ruined a once great product (Beanworks). They let go their coding team and introduced AI which produces glitches and errors to this day. It was assigning the wrong vendors causing multiple incorrect payments. I requested partial credit which they refused citing they had already offered a discount. This discount is actually from switching to an annual payment from monthly. They also tried to use the excuse they allowed my company to stay on the old platform until the last migration. I demanded to stay on the platform as they launched and inferior product and their staff were untrained. Their training manuals were not even up to date. Appalling customer service.,Louise M.,2.0,"February 5, 2025",Nothing. It went completely sideways and AP Quadient took little to no accountability.,"As a Beanworks customer for over a decade, I loath the management style of AP Quadient. After a plethora of integration and new platform issues. I became very vocal only to be met with distain and refusal to take accountability.",Controller,Construction,Used the software for: 1-2 years
quadient_accounts_payable_automation,AP automation ,Great document management and improved our overall AP process. Made things a lot more easy to manage and access,Monika M.,4.0,"February 8, 2026",Ability to easily find invoices with notes and comments. Approval channels are easy to set up and follow. Automatic sync with ERP,Sync sometimes didnt work. Invoices would show as exported but they were no where to be found in ERP.,controller,Construction,Used the software for: 2+ years
quadient_accounts_payable_automation,Recommend***,For us its been a great experience - we are a people-focused not for profit organization with several work locations and wherever we can decrease paperwork it is noticed and goes a long way. Our employees can quickly get their purchasing/approving done where ever they may be.,Marnie D.,4.0,"December 4, 2025","There are many things I like about Quadient, one of which is not having to do paper - no printing, no filing, searches take seconds - this not only saves time and money but its keeps us organized and cuts down on that 'where did that file/invoice/backup go' question.","Like most software programs, there are glitches and while it doesn't impact overall business activities, it can be bothersome when a password is forgotten, a file can't be read, or there are updates that require unlearning/relearning.",Finance Clerk,Hospital & Health Care,Used the software for: 2+ years
quadient_accounts_payable_automation,"Quadient provides quality in all areas of AP from Invoicing, approvals and payments",Overall the invoice management we utilize for all our clients through Quadient keeps our day to day business running smoothly and our clients happy.,Angela C.,5.0,"December 2, 2025",The security for our clients and ease of entering invoicing makes this service valuable for our team and our clients. We utilize the service provided for nearly 20 clients all over the world and the ease of entry and approval channel creation works for both our employees and our clients.,"Sometimes it can be slow to code invoices, when we have dropped them into the inbox the auto fill feature takes longer with some invoices than others and sometimes that's depended on the time of day, could be a bandwidth or connection issue.",Controller,Accounting,Used the software for: 2+ years
quadient_accounts_payable_automation,Overall a good experience,"The training was pretty good. Going in, I wasn't sure what questions to ask and how to set things up prior to training but it all worked out well. I no longer have to print and hand-jam invoices into our ERP system so I'm saving time there.",Julia H.,4.0,"December 29, 2025",I no longer have to print invoices and prepare them for entry. Processing invoices electronically rather than hand jamming them into our system is much better.,"There are some quirks that I have had to learn and work out. Sometimes Quadient assigns the wrong PO to the wrong vendor and this has caused me some issues. There is no way for me to add a line for tariffs while I'm in Quadient. There are only preset lines for freight and discounts. This means I have to open POs that have tariffs and add the tariff there. This slows the process down for me so it's not as efficient as it could be. Adding tariff as a preset line would be huge for my process. Overall, I like the program and think it has helped with our invoicing process.",Accounts Payable Specialist,Electrical/Electronic Manufacturing,Used the software for: Less than 6 months
quadient_accounts_payable_automation,Automating invoice entry the best,"in one word Excellent. automates the entire AP workflow, including purchase orders, invoice capture and approval, expense management, and payments.",Jose R.,5.0,"December 29, 2025","Very practical, easy to understand the layout, easy invoice entry, reporting, etc. I love it very much.",1. Be able to create report buy currency 2. On report or in invoice entry to see SAGE 300 VENDOR ID that will make it easier if just want report by VENDORID or range.,ACCOUNTING CLERK,Telecommunications,Used the software for: 1-2 years
quadient_accounts_payable_automation,So happy we switched to Quadient Accounts Payable Automation !,Overall using Quadient Accounts Payable Automation has been a positive experience. Automating our approval process has saved us so much time and frustration,Linda M.,5.0,"December 29, 2025",All of our invoices are in one place and very easy to locate at any time. Automated approvals make it easy to process invoices in a timely manner. The smart code option makes recurring invoice coding simple and quick.,An option to recalculate taxes would be helpful but as a whole the program works great and makes the job of AP data entry efficient and quick.,Financial Generalist,Non-Profit Organization Management,Used the software for: 2+ years
quadient_accounts_payable_automation,Executive Director,"Overall, the system makes our job quick and easy. It's nice to not have paper copies everywhere for tracking purpose",April F.,5.0,"January 5, 2026","Easy and Simple to use, We share the job of processing invoices with our corporation we just upload and approve.","Only con I can think of is power failure as it's an internet base program, when our power goes out for days, we would have that delay.",Executive Director,Hospital & Health Care,Used the software for: 1-2 years
quadient_accounts_payable_automation,Easy to Manage AP Approvals,10 out of 10 Great program!,Kevin S.,5.0,"December 3, 2025","Notifications and workflow routing function consistently, and the ability to access supporting documentation.",i only work with the part of the program for invoice approvals. I cant say anything i disliked about the program.,Fuel Manager,Oil & Energy,Used the software for: 1-2 years
quadient_accounts_payable_automation,It’s not I. The quad,"Time saving automation, accurate invoicing visibility compliance support ls again very limited and insufficient",Christie S.,5.0,"June 20, 2025","Why it’s great: It significantly reduces manual data entry by using OCR (optical character recognition) and intelligent data capture. •Benefit: Faster invoice approvals, fewer human errors, and increased efficiencY","Implementation costs were exuberant, limited flexibility with smaller companies like mine- customer service is not the best with inconstancy",Meetings Director,Government Administration,Used the software for: I used a free trial
quadient_accounts_payable_automation,Classic Quadient ,,Heather M.,4.0,"October 10, 2023","The classic Quadient is a great product. Easy to use for reports, looking up vendors and activity.","The update for Quadient was horrible, slow performance and features were changed and some taken out that used to be helpful. Ease of use was not good. Received multiple calls from my co workers not being able to enter invoices. Put our accounts payable behind.",accounts payable,Non-Profit Organization Management,Used the software for: 2+ years
quadient_accounts_payable_automation,"Clean, easy, and simple",,Adam W.,5.0,"October 10, 2023","I am the farthest thing from an ""Accounting Person"", and the software is super straightforward and easy to use. It makes approving expenses a breeze.","There isn't anything that comes to mind as a con of the product. I mainly use the software for expense approvals, and it gets the job done.",VP,Transportation/Trucking/Railroad,Used the software for: 2+ years
quadient_accounts_payable_automation,SAGE AP - Very Good Solution for AP Automation,"Approval, review, coding and payment of invoices is now automated and savings lots of time.",Chris D.,5.0,"February 22, 2023","Document Flow, Sync with SAGE 300, Audit trail for approvals",Payment feature through a 3rd party. Nvoicepay is not always in sync with SAGE APA or SAGE 300. The change in Customer Support was not an improvement. Still waiting for minor fixes.,CFO,Publishing,Used the software for: 2+ years
