product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
cauliflower,"Really Great! Smart, flexible, high-end consultancy. One of a kind!","Extremely dedicated to the exact need of the project, extremely clever in understanding the core requirements, enriching the results by really clever, proactive contribution. Simply excellent! :-)",Frank K.,5.0,"September 23, 2021","Extremely intuitive and easy to use with sophisticated features, such as the codebook, which can be used to easily group clusters together even after analysis and which can be applied to several projects at the same time.",That we didn´t start earlier to use it. :-),Consumer Insights Manager,Retail,Used the software for: 1-2 years
cauliflower,Begeistert von dem Vorhersagetool von Cauliflower,Das Team von Cauliflower ist sehr sympathisch und ich kann sehr gut mit ihnen zusammenarbeiten. Bei Ihnen wird Dienstleistung großgeschrieben.,Marco W.,5.0,"April 27, 2021","Die Software kann Produkte, die sich nicht gut abverkaufen werden, ca. ein Jahr im Voraus erkennen. Dies ist bisher einzigartig auf diesem Gebiet. Die umfassenden Rechenschritte im Hintergrund (unter Einsatz von KI) münden in eine sehr einfache zu bedienende Software. Auch die internen Auftraggeber empfinden die Bedienung als sehr intuitiv.","Sobald ich Optimierungen bezüglich der Software Cauliflower vorschlage, werden diese sehr zeitnah umgesetzt. Daher gibt es von meiner Seite aus keine weiteren Kritikpunkte.",Senior Research Consultant,Market Research,Used the software for: 1-2 years
cauliflower,Highly committed Cauliflower Team customized and tailored the programm for our needs,"The Cauliflower Team is characterised by a true entrepreneurial start-up spirit - they are extremely responsive and tailored the programme perfectly to our needs. Highly professional and engaged, driven by the desire of delivering true quality.",Sibylle S.,4.0,"August 27, 2021","The software helps us to do qualitative analysis of semi-quantitative studies. It's great for visualising the output, particularly finding relevant patterns in comparing breakouts and focussing our qualitative analysis on the big themes emerging.","We had the priviledge to use the software in a pretty early stage where the algorithms were still in an earlier learning phase. Therefore, the results in the beginning contained some minor bugs, but the Cauliflower team was able to quickly resolve all issues and make the output really useful for us and our clients.",Managing Partner,Market Research,Used the software for: I used a free trial
cauliflower,Impressive toolset for a better understanding of your customer's needs,I recommend Cauliflower and it's services a lot to my business partners. I love the approach of Cauliflower to provide an easy and user friendly access to AI-based analytics. I'm excited for all the upcoming features to come. I strongly recommend anyone to benefit from their Free Trial.,Verified Reviewer,5.0,"September 26, 2021",I really like the navigation of the user area as it's super easy to use and clear in it's functionality. The speed in which uploaded data is being processed is pretty fast. I'm also impressed by the insights as they are extremly valuable for future product development and marketing decisions.,Nothing. Small bugs are being challenged quickly and solved within a short amount of time.,CEO,Information Technology and Services,Used the software for: 6-12 months
cauliflower,Klare Sicht auf komplexe Sachverhalte im CX-Prozeß,"Die BMB Deutschland GmbH optimiert in der DACH-Region alle digitalen und analogen Kundenschnittstellen eines Unternehmens seit fast 25 Jahren. Selbstverständlich nimmt die Analyse von Kunden- und Firmenkommunikationen einen großen Raum in unserer Arbeit ein. Daher sind wir naturgemäß an einer Weiterentwicklung der Analytik naturgemäß interessiert. Vor diesem Hintergrund ist Cauliflower nicht nur ein Tool, um Zeit und Ressourcen zu sparen, sondern auch sehr umfangreiche Kundendialoge eines Unternehmens einfach, prägnant und schnell zu erfassen. Für das Monitoring relevanter CX Themen ist Cauliflower nicht nur uneingeschränkt zu empfehlen, sondern auch ein nicht wegzudenkender Monitoring-Baustein der BMB Deutschland GmbH.",Marc B.,5.0,"May 31, 2021","Mit Hilfe der Cauliflower-Software ist eine einfache Analyse umfangreicher Kommunikationsinhalte möglich. Ganz bequem Texte, Dialoge, Social Media oder Internet Assets im Backend uploaden und zwischen verschiedenen Möglichkeiten der Anzahl von Buzzwords und unterschiedlicher Darstellungen wählen.","Eine Weiterentwicklung der Software in Richtung Spracherkennung mit textueller Auswertung wäre eine tolle Sache, aber nicht zwingend notwendig",Managing Director,Management Consulting,Used the software for: 6-12 months
cauliflower,The future of text analysis - powered by AI,,Verified Reviewer,5.0,"August 23, 2021","In market research, open-ended questions are amazing to get unbiased and detailed feedback from participants. However, their analysis can take quite long and is prone to bias or inaccuracy. Cauliflower helps us save a lot of time by simplifying this analysis, identifying the most important topics, their relevance, and relationships. Beyond their the solution, the service at Cauliflower is outstanding as well!",There is nothing I could complain about.,Team Lead Customer Success,Market Research,Used the software for: 6-12 months
cauliflower,Große Hilfe bei der Auswertung von Texten und super Kundenservice!,Tolle Software und ein tolles Team - weiter so! Freue mich schon auf kommende Projekte mit euch. :),Christopher D.,5.0,"May 27, 2021","Analysen sind wirklich hilfreich und der Service ist Klasse. Es wird immer schnell geantwortet und geholfen, sodass man direkt mit den Ergebnissen weiterarbeiten kann.","Mir fällt auf Anhieb nichts ein, dass schlecht war.",Team Lead Research Consulting,Market Research,Used the software for: 6-12 months
cauliflower,Wenn schnell eine valide Marktstimmung eingefangen werden muss,"Für mich war es noch nie so einfach und schnell möglich herauszufinden, wie ein Markt/eine Nutzergruppe tickt/über ein Produkt/Marke/Kategorie etc. denkt. Damit konnte ich meine Arbeitsprozesse sehr viel effizienter gestalten.",Verified Reviewer,5.0,"May 11, 2021","Alles ist darauf ausgerichtet, dass große Datenmengen schnell ausgewertet werden können. Das macht Spaß, da die Nutzerführung keine Fragen offen lässt. Keine Funktion zu viel, nichts verwirrt.","Es fehlen noch kleinere Funktionen, die das Nutzererlebnis verbessern können. Daran arbeitet das Cauliflower Team aber sicher schon.",UX Designer,Design,Used the software for: Less than 6 months
cauliflower,"Very helpful analyses, friendly support",,Vanessa T.,5.0,"November 4, 2021",I liked that it helped us analyse a very specific research question and gave us valuable additional insights.,"Not sure, not a tableau user, therefore that was new to me but easy to use.",Team Lead,Market Research,Used the software for: Less than 6 months
cauliflower,verbatim coding,"short response time, good orientation on results, constructive trouble shooting if needed;",Benjamin B.,5.0,"August 30, 2021","fast turnaround, reliable results, focus on solutions;",in some cases manual adjustments are necessary.,Account Director,Market Research,Used the software for: I used a free trial
