product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
dotloop,Dotloop user of over 10 years!,"Dotloop has been a regular part of my job for over 10 years. We use it for all real estate transaction docs, TREC forms, rental applications, leases, and so much more. It's great, and I much prefer it to other sites like Docusign.",Suzanne F.,5.0,"April 1, 2026","I've used Dotloop in my Director of Operations role for a real estate team since 2016. It's consistent, easy to use and manage, makes organizing and getting client signatures a breeze, and the support staff is so helpful for any issues or bugs that ever occur. It's worth the money, and reliable for all your real estate transaction needs!","Some of the customization tools can be a tad confusing, namely when you switch real estate brokerages. My team has switched 4 times in ten years, and we've had some bumps with customizing new broker info in our account.",Director of Operations,Real Estate,Used the software for: 2+ years
dotloop, real estate contract management in dotloop,I have used that loop for the last three years straight and it’s easy to maneuver through the system and find the documents that I need as well as set up for online signatures,Tricia J.,5.0,"April 9, 2025",Dotloop platform is very easy to use for creating contracts from existing documents and for online signatures & document storage,Dotloop does charge an annual fee but is provided through my brokerage complimentary to agents,Realtor,Real Estate,Used the software for: 1-2 years
dotloop,Warning! Do not engage e-signing with DotLoop,"Overall I will never suggest this product to any company ever. Their user contracts are not fair and put the user at a disadvantaged financially. If you need to go a different route due to finances, you will be unable to with this company!",Anna Lee W.,1.0,"January 7, 2026",We started using the Outlook because I was with a big box broker and it was their default e-signing system. We were already familiar with how to use it. So when we expanded to another state we started paying Ford out of pocket. It worked for us for a few years very well because we were familiar with it.,"This is a warning to any potential user of.DotLoop! You are tied into a contract for 12 months and whether you use the product or not you cannot escape paying out the end of your contract! There are no negotiations and no exceptions. Warning about that policy! Our brokerage used DotLoop for 5 years and always paid our bill on time. Florida association of Realtors offers a product that syncs better with the Florida forms. We are using that product now. It is a more user-friendly product through Form Simplicity I called DotLoop to cancel My subscription and was offered an appointment 2 weeks out to speak with a customer representative! I let them know that would not work for me and asked for a call back same day. I was asked what country and time zone I was in. I told them USA, eastern time. A phone call was scheduled 2 days out! That's ridiculous in a career where time is of the essence.",Broker Owner,Real Estate,Used the software for: 2+ years
dotloop,Great system ,Good! I enjoy it to send documents to clients to get signatures and it right away comes back to me. It’s easier than going to the client,Dan P.,5.0,"September 25, 2025",You can send out documents to be digitally signed. It makes the process faster for clients instead of having hard copies,I have used another system that is much easier and has way more functions. Dot loop does not have a forms piece,Admin,Real Estate,Used the software for: 6-12 months
dotloop,Dotloop review,"Overall been very please, almost never have issues",Russ C.,5.0,"March 3, 2025",Easy to upload docs and set for initials and signatures,Some agents don't understand how it work or the fact that they can respond back to us using sent loop,Sales Manager Property Manager,Real Estate,Used the software for: 2+ years
dotloop,"Dotloop: A User-Friendly, Collaborative Transaction Management Tool","My overall experience with Dotloop is positive. I find it easy to use and highly collaborative, which streamlines transaction management and document handling. The platform's ability to facilitate real-time updates and interaction with other users makes your workflow more efficient. While there may be minor limitations or occasional hiccups, the benefits of its simplicity and collaborative features likely outweigh these, resulting in a productive and smooth experience.",Carla J.,5.0,"September 25, 2024","What I like most about Dotloop is its user-friendly interface and simplicity. The platform makes managing transactions straightforward, allowing for seamless document creation, editing, and signing. Additionally, it facilitates easy collaboration with other users, enabling real-time updates and ensuring everyone stays on the same page throughout the process. This combination of ease of use and collaborative features streamlines workflows and enhances productivity.","Occasional glitches or slow performance, especially when working with large files. the platform’s interface, while generally user-friendly, could be more intuitive when navigating complex transactions. Additionally, i feel that certain advanced features are locked behind higher-tier plans, which may limit functionality for those using the basic version.",Realtor,Real Estate,Used the software for: 2+ years
dotloop,World Class Transaction Management,This is without a doubt the best document program available. I just wish it was mandatory that all real estate agents used it.,Scott D.,5.0,"October 30, 2024",Their customer service is the best I've ever experienced,"Its a big program, takes some getting used to.",CEO,Real Estate,Used the software for: 6-12 months
dotloop,Dotloop for Real Estate,We use this as our main doc signing platform,Jess T.,5.0,"September 20, 2024",WE love the ease of use and fillable templates,Older users sometimes have issues with the functionality,SSM,Real Estate,Used the software for: 2+ years
dotloop,Signing made easy!,Flawless experience thus far! I was introduced to this platform a few years ago and have been thrilled at how easy it is for my clients and myself!,Mai M.,5.0,"March 19, 2026",I love Dotloop! I was introduced to it by through real estate transactions and now use it in my own business transactions!,NO cons. It is truly the most user friendly electronic doc signing I have used! I refer it to others for it exceptional value and ease of use!,Managing Director,Hospitality,Used the software for: 1-2 years
dotloop,DOTLOOP TO THE RESCUE,it has worked very well and I have learned to by pass the modification issue by making my changes in a pdf writeable program 1st and then uploading to dotloop for signatures and initials only.,Jim C.,4.0,"August 9, 2025",can be used to have clients sign documents securely and quickly. best to use for those out of town or do not have access to a printer and scanner.,difficult to modify documents once in the system. have to use dialogue boxes in order to modify once uploaded to the system,REAL ESTATE AGENT,Real Estate,Used the software for: 1-2 years
dotloop,Dot loop Review,My experience with dot loop was. great. Besides the fact I could not access documents on multiple occasions due to viewing restrictions. It was frustrating as time as of the essence.,Josephine K.,5.0,"September 3, 2024",That is was very secure and privacy restrictions were heavily enforced.,Hard to navigate and I experienced issues with not being able to access documents.,Realtor,Real Estate,Used the software for: 6-12 months
dotloop,Dotloop user for over a decade,I haven’t encountered any inconvenience’s for myself or my clients on Dotloop this far. I’ve been a user for over a decade. The consistency has been outstanding.,Kristine M.,5.0,"July 1, 2024",Ease of use! It is easy to set up for my clients and the software makes it easy with clear prompts for my clients! It by far beats any other software I’ve tried.,"There isn’t anything I’ve disliked this far. I’m not very, “tech savvy,” but the folks at Dotloop have made it very easy for me to learn.",Affiliate Broker,Real Estate,Used the software for: 2+ years
dotloop,"Generally Effective and Simple to Learn, But Pricey and Not Without Idiosyncrasies ","At the end of the day, in real estate we just need something to keep us organized and keep up with the fast pace of modern transactions. Generally speaking, Dotloop allows this to happen via a simple user interface that most clients can figure out. There are probably more features to the software that I don't use (and perhaps, am not even aware of) but for my needs it's just fine. As I described previously, there are some things about it that make me want to tear my hair out, but having identified these annoyances, I'm usually able to avoid them and advise my clients on how to do the same. Would I switch to a different program if something better came along? Probably, in large part because Dotloop is more expensive than many of its competitors, and in the more than half-decade I've been using it, I've never seen the software updated to address some of the same problem areas that have been plaguing it all along. But as I said, it's 95% functional for my needs and I already know how to use it, which counts for a lot.",Andrew G.,5.0,"June 9, 2023","There are a lot of e-signature software programs out there right now. Many of these -- including Dotloop -- are pitched as specific to real estate transaction management, although there's no conceivable reason they couldn't be used in other contract-dependent industries as well. Having tried several of these programs, I've now been a consistent Dotloop user for at least five or six years, possibly longer. Part of that is simply because I've come to know the software and it's what I am comfortable using, which ultimately saves me time. But it really is straightforward, with an attractive user interface and great organizational capacity. I love being able to create folders within folders, to re-use Loops when clients return for multiple transactions, and to archive documents that are not being used. Basic functions like document splitting, renaming, saving, sharing and downloading are very easy and work as intended.","As much as I like the software, it has a variety of quirks that cause me varying levels of irritation. I've learned a few tricks to keep the quirkiness to a minimum, but the program can still be truly obnoxious at times. One of my biggest pet peeves is when another agent wants to share documents with me from his/her Dotloop account; for instance, a buyer's agent sends me an offer for a property I have listed. If this buyer's agent shares it from her Loop (rather than just attaching a PDF to an email) Dotloop frequently creates a brand new Loop on my dashboard -- or worse, asks me to ""sign up"" for Dotloop because the agent has shared it to some variation of my email address that isn't technically my Dotloop address. So in a best case scenario my Loops become disorganized, and in a worst case scenario I can't even look at the offer unless I make a new account or ask the other agent to re-send. Many agents I know have this very same complaint, to the point where we have started adding comments in our MLS listings that say ""Do NOT submit offers via Dotloop; email a PDF instead."" Dotloop has some other quirks, including not saving signatures if two parties (say, husband and wife) are signing at the same time from their respective computers or mobile devices. I have to tell my clients ""Make sure one of you signs completely and THEN the other one of you can do the same.""",Real Estate Broker,Real Estate,Used the software for: 2+ years
dotloop,VERY USER FRIENDLY. WHAT YOU PUT INTO IT AND USE OUT OF IT WILL SHOW,I USE THIS WEEKLY WITH ALL MY CLIENTS AND THEIR REAL ESTATE TRANSACTIONS. I HAVE USED ANOTHER PRGRAM AND IT IS NOT AT ALL ORGANIZED AND HAS TOO MANY STEPS TO GET THE CONTRACT SIGNED AND THEN TO ADMIN FOR REVIEW. DOTLOOP MAKES THE WHOLE PROCESS SMOOTHER.,Maria C.,5.0,"February 2, 2024",THE FLOW OF THE ASSIGNED FIELDS ARE EASY FOR THE CLIENT TO SIGN. SAVES THE CLIENT TIME AND HAPPY TO USE IT. THE USER PUTS IN ALL THE INFO AT THE BEGINNING HELPS THE AUTO FILL TO HAVE EVERYTHING CORRECT SAVING TIME TO COMPLETE.,"WHEN SIGNEES ARE ABLE TO SIGN PASS THE PART THEY NEED TO SIGN. USUALLLY USER INOUT IS THE REASON OR SIGNEE IS CLICKING THE TAB INCORRECTLY. I DO NOT THINK IT IS DOTLOOP, I THINK IT IS HUMAN ERROR.",REALTOR,Real Estate,Used the software for: 2+ years
dotloop,Ryan’s review,Dotloop provides a huge convenience for clients to be able to sign from their phone or computer anywhere they are. Gone are the days of having to drive across town just to get a signature or initial that may have been missed…not that I ever miss any…lol :0),Ryan M.,5.0,"July 20, 2023",Dotloop is very widely used in my market so it makes it easy to transact on both sides of the deal with the other agent. I enjoy the features like document splitting and being able to customize the documents,Nothing I can think of that I don’t like.,Realtor,Real Estate,Used the software for: 2+ years
dotloop,Loving Dotloop,Many of my colleagues continue to use Dotloop even though our company is using a different software. It's because Dotloop is easier to use! I agree.,Barb S.,5.0,"December 23, 2024",The best thing about Dotloop is the end user experience. It is so easy to use.,"Nothing - I find it completely searchable, and easy to find my clients and their purchase/sale addresses.",Agent,Real Estate,Used the software for: 2+ years
dotloop,Solid Solution for Reviewing and Signing Digital Documents,"Only used a couple times, but it worked exactly as designed without any issues or glitches. I would definitely recommend.",Jordan M.,5.0,"June 18, 2025",Only used DotLoop maybe once or twice when a vendor sent me an agreement to sign. It worked seamlessly without any issues.,"No real cons. When I use a digital signing application, I just want it to work when I need to sign a document. This solution did just that.",Corporate Training Manager,Electrical/Electronic Manufacturing,Used the software for: Less than 6 months
dotloop,Great Product! & So simple to use,"It made me feel secure when using it; my relator sent it to me for my purchase offer. The program would highlight for me where to sign, I just clicked on the highlighted area and my signature would be there or my initials. At the end of signing, I would receive a copy with my signature.",Kristal Y.,5.0,"December 13, 2024",It was simple and easy to use. It would not let me submit until each spot was filled out; this allowed me to take my time and review the documents attached.,"Nothing at all! Everything was very easy to use, and I cannot think of anything that I did not like.",Personal,Real Estate,Used the software for: Less than 6 months
dotloop,Great but not as well known,,Ashley D.,5.0,"March 24, 2025",It’s easy to upload documents and prep them to get signatures.,My clients hadn’t heard of dotloop as much as other esignature sites.,Attorney,Legal Services,Used the software for: Less than 6 months
dotloop,Dotloop is great!,,Tara H.,5.0,"May 10, 2024",Dotloop is easy to use and implement in everyday Real Estate needs. Managing forms and transaction history is simple.,"What I like least about dotloop is that you cannot merge loops if someone else has entered info. Also, sometimes fields will randomly delete when I am entering information.",Realtor,Real Estate,Used the software for: 2+ years
