product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
calendesk,Great software for small business ,,Adrian M.,5.0,"February 16, 2023",Easy setup and great support and features we need.,Possibility to customize our company calendars.,Accountent,Accounting,Used the software for: 1-2 years
calendesk,Excellent platform,,Mike D.,5.0,"October 2, 2024","Calendesk has all the features I'm looking for, in one simple, efficient package. Plus their support with incredibly quick and helpful. And you know when you ask about a feature and the company says 'We don't have that yet, but we'll let you know when we do'? Well these guys actually did get back in touch to say it was now available. I've never had that happen before.","It's a fraction more expensive than comparable tools around. But then it does do what several other options did, put together. It was the only one I could find that tick all my boxes.",Colourist,Media Production,Used the software for: 6-12 months
calendesk,Great application to expand ,We are still in transition to Calender's so im sure there will be some twerks however first initial set up was easy.,Bartosz P.,4.0,"February 6, 2022",Product is easy to use. Setting it up was very easy/ intuitive. Price is attractive as on other platforms you have to pay for additional users. Android and iOS apps. SMS reminders are essential to our business and there is possibility to set them up. Easy set up of GDPR/RODO. Support is very attentive.,"Software is styl developing therefore there are some problems, however all the problems are quickly solved after speaking on online chat with support. Only Stripe as method of integrated payment system payment. No names of clients at first glance in android app is a bit of a problem as my team have to click on name of the event to see who is the klient.",Administrator/Technik Prac Biurowych,"Health, Wellness and Fitness",Used the software for: Less than 6 months
calendesk, Efficient and user-friendly,I've had a really good time using Calendesk. It has made organizing meetings much simpler and less stressful. I think it's a great tool for anyone who wants to make scheduling easier.,Kris O.,5.0,"April 17, 2024","The best part about Calendesk is how easy it is to use. It helps me set up and keep track of meetings without any trouble. I really like how it works well with other calendar apps and sends me updates so I never miss an appointment. It also lets me change settings to suit what I need, like the way reminders are sent out.","Although there's a lot to like about Calendesk, the mobile app could be better. It feels a bit ""reduced"" compared to using it on a computer.",Therapist,Mental Health Care,Used the software for: 6-12 months
calendesk,Ready When you Need it,"Great, when tools are needed , it nice to know you have something you can count on.",Verified Reviewer,5.0,"November 21, 2024",User friendly and something very useful when needed.,"Sometimes can be sluggish, time delays. As with anything though, this could be a network issue though too.",Reliability Specialist,Building Materials,Used the software for: 1-2 years
calendesk,Looking for a Great Tool? You’re in the Right Place!,"I’m extremely pleased with the excellent customer service! The team is not only quick to assist whenever an issue arises, but they are also very open to new ideas and suggestions from clients. Their responsiveness and willingness to improve make a huge difference. It’s great to know that I can count on them for support and that they truly listen to their customers. 🌟",Patrycja K.,5.0,"August 13, 2024",I really like the functionality and modern design of the platform. It’s intuitive and makes managing tasks a breeze!,There’s nothing I can find that I don’t like about it. Everything works perfectly!,Stylist,Cosmetics,Used the software for: 1-2 years
calendesk,A service that has everything except a user-friendly interface,I created both a website and a booking system and an app for my clients in just two days through this service! Such a great list of features overcomes all the drawbacks,Yuliia S.,4.0,"December 4, 2021",The most important thing is that this service combines ALL the features I need: - Convenient online booking - A calendar on my phone and laptop - The ability to customize services for your business area - Ability to create a website and app - Easy connection to online payments - Synchronization with Google calendar,"The only and biggest disadvantage is the uncomfortable and non-obvious user interface. Yes, tech support always answers calls and messages, but I wish I could figure it out myself. Some problems can't even be found in the FAQ - it's also poorly written For example, one of the silly mistakes is that when you download the app and want to go into the admin area, the app asks for the company ID, this information is not available on the computer, and only after half an hour of searching in the admin area and in the FAQ I guessed myself that it is just the company NAME. Why? It is not understandable",Photographer,Photography,Used the software for: Less than 6 months
calendesk,Check it out :) ,,Brzuchomechanika Katarzyna K.,5.0,"July 13, 2023","Calendesk is easy to use, both for me and the customer. Making reservations is quick and simple. I can always check the reservation, change it or cancel; I can also contect the customer directly. And customer support is always helpful :)","I'd like the calendar with in color ;) For example holidays in red, etc.",President,"Health, Wellness and Fitness",Used the software for: 2+ years
calendesk,It's OK and could be better,,Beata T.,4.0,"July 15, 2023",I can rely on the calendar and payments. It is functioning well and doesn't stop.,"some functions are missing, I wrote about it to customer service, but the company has no intention of introducing them.",mediatorka,Mental Health Care,Used the software for: 1-2 years
calendesk,I'm satisfied with the cooperation.,,Verified Reviewer,5.0,"January 14, 2022",Customer service is helpful and always guide me to solve my problem.,That my website presents different depends on the scale of monitor which I find a little annoying.,Specialist at Marketing,Medical Practice,Used the software for: Less than 6 months
