product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mega,Great cloud community ,My overall experience with mega has been delightful.,Jerad C.,4.0,"September 20, 2024","What I like the most about mega is that it's more that a ""cloud storage"", it's a community of people who share with other people either photos, documents, music, etc.","What I like the least is if you happen to forget your password to your account, then it is very very difficult to be able to regain access, and if you have a lot of files that you don't want to not be able to access, then remember your password, or even write it down and hide it.",Freelance Photographer,Photography,Used the software for: 2+ years
mega,It is good to have Mega Storage. Even if it is a company out of the country,"It has been a good experience, I think i store some stuff on Google drive and the other stuff I save on mega. I think i have really gotten used to both products",Joseph G.,4.0,"May 19, 2025",It has been around for a long time. I think it is one of the better cloud storage alternatives. I almost gave it five stars.,"It is not very easy to reset the pass word. I think I have not figured out alternatives to a password system, I think it would be good if it had finger print reading ability",Owner,Arts and Crafts,Used the software for: 2+ years
mega,Fraudulent Scammers with a broken app and a bot driven support department,"Horrible, scammers, app doesn’t work and the customer service department is an uncaring Ai robot who just repeats itself no matter what you say.",Lady H.,1.0,"November 11, 2025","The experience was unilaterally awful and there was nothing to like, the app doesn’t work and the support department doesn’t care.",They scammed me - I signed up for 1 month and they charged me for 1 year. Their support department refused to correct the issue. I signed up to download videos from someone who stores on Mega - when I try to download I get the error “insufficient disk space” even though the video is only 1GB and I have 15GB free on my iPad and 3TB free in Mega. So I was fraudulently charged over $100 and still can’t download the videos.,CEO,"Health, Wellness and Fitness",Used the software for: Less than 6 months
mega,Mega Reliability ,I cannot stress enough how reliable this software is. The support team as well. It was a great purchase and I recommend it.,Becky M.,5.0,"October 18, 2024","Mega has never let me down and it has more features than I expected. I like that Mega syncs with my computer so that when I change something it s reflected on Mega as well. I really liked that I was able to select only particular folders for this, and I did not have to do it with all of my files. It saves time and prioritizes the files I choose. Running out of storage has never been a concern. The desktop app is helpful and easy to use, but I can also use the web or mobile app. It's still easy to share with someone who does not have an account with Mega. When sharing I can allow the recipient to view only or I can allow full access. I can also set the invitation to expire so that the shared file cannot be viewed after the date/time I choose.","Although they offer much more than just cloud storage, Mega is not part of a complete ecosystem like some other cloud storage options. This can make some processes more tedious.",Realtor,Real Estate,Used the software for: 1-2 years
mega,MEGA Prominently Delivers Exceptional Cloud Storage & Collaboration Utilities,"MEGA is by far the fastest data-transfer, silky-smooth cloud service I've utilized over the past 7 or so years. I don't think I'll be changing to a different cloud alternative anytime soon since I don't wish to lose my work contacts list & organized data folders. Plus, it's an awesome backup tool that I can retrieve whatever data I've stored on my phone or computers at any given time.",Mohammad M.,5.0,"December 31, 2022","Blazing-fast data transfer rates, secure backup, reliable collaboration tools & compatibility with various file formats are some of the core features I use almost daily to accomplish work with high efficiency & efficacy.",I have no complaints whatsoever with the service. It's just great.,Technical Office Engineer,Civil Engineering,Used the software for: 2+ years
mega,Cloud Storage with Best File Manager,"Overall experience with Mega is great. We use it for file sharing between agency and client. It is so convenient for technical people at the agency and the laymen at the client-side. Apart from the bandwidth thing, it is so simple and easy to use, and highly reccomended.",Nasir A.,5.0,"August 23, 2021","The best thing about Mega is its File Manager. The File Manager or the UI is so simple and easy to use. There is Drag and Drop Functionality which is very helpful. Unlike other cloud storage, its interface is just like our operating systems where file management is so easy and simple. Even a layman can use it easily. 2nd thing is its free space, as it provides 20GB to 50GB free space for new users.","The least likable thing about Mega is its bandwidth limitation. As you can not download and upload unlimited data on the Mega free version, even on paid version there is a data upload and download limit. On the comparator Cloud and File sharing, there is almost no bandwidth.",Senior Project Manager,Marketing and Advertising,Used the software for: 2+ years
mega,I cannot imagine my life without Mega storage,I love Mega as cloud storage is one of the best options,Tameem A.,5.0,"February 23, 2024","So reliable and easy to use, also has large storage space compared to other clouds","Sometimes when I try to download files from other clouds, there is a daily limit when it comes to large files or folders",Sales Generalist,Real Estate,Used the software for: 1-2 years
mega,Excellent Storage,Good. Have used for quite some time and haven't had any noteworthy issues.,Trevor H.,5.0,"May 13, 2025","Keeps what I need to store safe and secure, and allows me access all the time.",With latest updates I can't think of anything that would cause me to say anything negative.,Admin,Hospital & Health Care,Used the software for: 2+ years
mega,Mega is an alright anonymous file sharing tool,,Whitney L.,4.0,"July 23, 2025",I like the file sharing capability and storage even with the free version it will allow a certain amount of upload and download size for free.,I least like the fact that if you want to store larger files you do have to eventually pay for that storage and also after so many days of non use your account will be wiped clear of files stored so it requires consistent usage.,Small Business Owner,Consumer Services,Used the software for: 2+ years
mega,"Feature rich, affordable and secure cloud storage",I use Mega often to store and share large files both for internal use within my company and also when sharing files with external clients.,David S.,5.0,"February 14, 2025",Mega is extremely intuitive and easy to use. It is also a very cost effective cloud storage medium and I feel confident in its high level of security and data protection.,They no longer have the ability to create a public dropzone where visitors can upload content without having to log in.,Owner,Information Technology and Services,Used the software for: 2+ years
