product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
phraseexpander,It's a time-saving program,It's a big idea and useful tool that I used for a specific period but would like to use it more.,Hernando N.,5.0,"September 5, 2019","I used to write clinical cases for a project with my professors. They liked it very much as it is easy to use once trained. It also saves a lot of time when writing patient records and patient history. Some teachers have adopted in their medical practice. The software has made notes readable, compact and easy to share among staff.",I would like the price to be more affordable for students. because it proved to be a great tool for writing charts and sharing notes as it made them short and easier to read.,Medical Student,Medical Practice,Used the software for: I used a free trial
phraseexpander,Best way to save time,The software works very well and support is superb. I cannot imagine not using this anymore and during out classes about entrepreneurship I always mention to the students to consider this.,Rob W.,5.0,"September 15, 2020","This software enables me to quickly fill in information in emails, documents, websites and anywhere where I need to write text. Not only text can be expanded based in certain combinations of character of shortcuts but also customized via forms. Before we copied and pasted text and adjusted it but this was time consuming and mistakes where made. Now the variable pieces of text can be adjusted with a form and this helps me to not forget about each think I need to addapt. Also correction of typing is very useful. Sharing is also very useful. I create form on one laptop and on my other laptopn everything is synced> I can imagine that this is also useful in a company with several employees.","The basics of the forms are quite easy to implement but sometimes I need some additional time to figure out how to tackle a problem in the forms. Working with the variables can sometimes be complicated because this is not something I do daily. Sometimes that is why I procratinate sometimes making a certain form. However, support is great and fast. And when the form is finally ready it saves a tremendous amount of time.",Dean,Education Management,Used the software for: 2+ years
phraseexpander,Expensive can use only on few machines,Except being expensive and restrictive policy in terms of number of machines it can be installed I think it is very good.,sukhwinder S.,3.0,"April 2, 2021","It is easy to use , it works and make life easier feels like everything is on your fingertips.",It used to be unlimited now limited to 5 or 6 machines. I think it should be allowed at least on 10 machines. During this pandemic we have home. office actual office and lap tops for comfort you easily run out of number of computers you can install it on. why went from unlimited to very limited.??,Physician,"Health, Wellness and Fitness",Used the software for: 2+ years
phraseexpander,Awesome support!,"Highly, highly recommended. Great software and, even more important, great product support!",Brad F.,5.0,"April 19, 2019","This software has been easy to use since day one. Very intuitive. Also, it has so much more functionality than simply a ""phrase expander"" that I've become addicted to it. My favorite extra part is starting applications with keyboard shortcuts. It's just great software. But I recently learned about the best part of PhraseExpander. I had an issue with a software update, so I emailed the developer and, within a minute or so, I had a response right back. He was so on top of the issue that I couldn't keep up! I've never experienced that kind of tech support anywhere. BTW, he figured out the issue and sent me an updated version so quick that I never felt for a minute that I was running without the software. I hate writing software reviews because I usually find them fake and insincere, so I guess it says something that I'm actually writing about PhraseExpander. You can trust that not only does the software work well, but if you have a problem, you won't be stranded trying to figure out how to fix it from some blog or website.","Love it all, not a single issue with this software.",Molecular Biologist,Pharmaceuticals,Used the software for: 2+ years
phraseexpander,Great way to save time in typing ,"Overall PhraseExpander is a great time saver when typing frequently used phrases. It keeps things organized and it very easy to add, edit, and upload phrases",Verified Reviewer,5.0,"September 20, 2022","I use this software when teaching to pull up frequently used phrases. I like that you can easily add, edit, and even upload glossaries of phrases. Huge time saver when teaching and we use some phrases very often",There are lots of steps you have to take to create some personalized phrases - like fill in the blank phrases,Math Teacher,E-Learning,Used the software for: 1-2 years
phraseexpander,Easy to use software but ...,First I tested it and figured very quick out that only the Professional version fits my needs because I needed the dynamic templates. Now I don't want miss all the features PhraseExpander offers me. It saves me each day a lot of time by autofill things what I use on daily basis.,Verified Reviewer,5.0,"October 15, 2020",That it is easy to use this software. Also easy to customize to your own needs Saves a lot of time.,The license model. That means that usual a license starts when you buy a license or upgrade one. At prase expander if you bought it for example in March and renew your subscription for example in July of next year your subscripton runs then not from July to July it runs then from July to March of the following year.,Administrator,Computer Networking,Used the software for: 1-2 years
phraseexpander,PhraseExpander makes my life better,,Ryan K.,5.0,"February 6, 2020",Easy to setup and use. Adds extra time to every day.,"It takes a while to figure out how to use all of the features, but once you do it is easy to use.",Physician,Medical Practice,Used the software for: 2+ years
phraseexpander,PhraseExpander is an absolutely essential element of my workflow.,Increased workflow efficiency.,Verified Reviewer,5.0,"April 24, 2018",The customer support is among the best I've ever experienced with any product. I emailed for a little more guidance and recieved a detailed email response almost immediately.,"Initially programming the macros can be tricky, especially if they are complicated. However, this is common to all text expanders that I've tried and PhraseExpander is the most user friendly option that I've been able to find.",Anatomic Pathology Resident,Hospital & Health Care,Used the software for: 6-12 months
phraseexpander,Great Text Expander for Professionals and Physicians,"Overall good experience once learning curve is passed and the program ""learns"".",Verified Reviewer,4.0,"April 19, 2019",Good features for professionals and doctors especially. More efficient with notes Templates for doctors Autocomplete is efficient and time saving,There is a cost to it that some will not be willing to pay. Sometimes the autocomplete gets it wrong is can be a bit annoying.,Chief Medical Officer,Medical Practice,Used the software for: 6-12 months
phraseexpander,Expands my EHR's capabilities,,David A.,5.0,"May 2, 2018","Allows me to save a lot of keystrokes with the repetitive things I type as I document my patient encounters. I bill based on documented work, but talking and counseling patients doesn't get documented, so if I give the same or very similar advice over and over (diet counseling, exercise counseling, etc.), PhraseExpander gives me the ability to quickly enter that information.","I wish it had actual check boxes, but that's a limitation also in the web-based cloud EHR I use, so even if PhraseExpander had it, I couldn't use it.",Owner,Used the software for: 2+ years,
phraseexpander,"Great easy program, great helpdesk.",I can sent a lot of homework with links and pictures very fast and easy.,Mark L.,5.0,"September 9, 2020","I have been using PhraseExpander for 8 years. It is easy to set up, even without any programming knowledge. PhraseExpander offers the most convenience, value and features for its price. If I have a problem, I get great help very quickly from an expert/programmer. PhraseExpander saves me a lot of time and prevents typing errors. I warmly recommend PhraseExpander.",I can always handle the mail and sending homework on my own even it is a lot. That saves a nice colleague. So I have to keep working alone.,Career Coach,Human Resources,Used the software for: 2+ years
phraseexpander,PhraseExpander,"As a product it is first class. It saves me considerable time, effort and removes the tedium from repetitive typing. I looked at a few alternatives, but they seem complicated to set up and didn't have the macro creation capability. Its intuitive user interface is what gives it the edge for me.",Alex M.,5.0,"March 25, 2021","It is simple to set up templates (phrases) Phrases can be formatted to RTF so there is no need to tidy them up once pasted into Word and Outlook It allows you to deign your own macros, so that when the phrase is played, you can insert customisation easily. Support is fast, efficient and friendly.","PRICING If you buy it from the USA, its $149 If you buy it in the UK its £149 With purchasing other software, the USA price is converted into UK sterling.",MANAGING DIRECTOR,Computer Software,Used the software for: 2+ years
phraseexpander,"Surprisingly Powerful, Indispensable to My Work","Strong report writing capabilities that permit complex reasoning processes to be simplified into a template that a less skilled/knowledgeable individual can use, and achieve the same result.",Matthew T.,5.0,"May 6, 2020","The template builder has made a world of difference to me in developing systematic and reproducible templates that make creating intricate arguments, reporting, and data reviews simple.",There is definitely a learning curve to understand the capabilities and significant time required to build your templates in the first place.,Consulting Medical Expert,Legal Services,Used the software for: 2+ years
phraseexpander,Save time and improve accuracy ,"This is such a wonderful program! I worked a full day on Saturday (9am to 6pm) and was able to submit atll my reports later that night. It is not just the time saved, before this I felt exhausted at the end of a day. Now, I get through with my patients faster and I'm not tired as before having this program. I beat the two-weeks deadlines and generally get my reports in within 48 hours. Also, since I’ve shared the templates with my supervisee, the reports are now uniformed no matter who did the assessment. My wife commented that she is happy that I spend less time on the computer. I am continuously editing my templates, hoping to reach the point where the report is fully ready once I'm finished with patient, with no need to do minor edits. Thank you, thank you!!",Devon S.,5.0,"February 16, 2020","The interactive nature makes it fun even when creating templates. Easy to use, flexible.",Cannot think of any. Seriously. It is just a wonderful program to me.,Psychologist,"Health, Wellness and Fitness",Used the software for: 6-12 months
phraseexpander,I use this program constantly. I could not function without it. ,"Saves HUNDREDS of hours. More accurate charting / less typos. Faster than dictation. Faster and using Dragon. I use both Dragon with this program to make custom charts. (So not all notes are identical.) Spend more time with patients / less looking at the ""box."" Every physician needs this! Much better then other programs I have used.",John N.,5.0,"May 1, 2018",Reliable. FAST. Able to customize phrases on the fly. Easy to view a list and organize my HUNDREDS of macro phrases. Back-up on-line via drop box and keep ALL my 13 computers + 2 laptops up-to-date.,I quickly get rusty and creating new more complicated phrases/macros. I have to review the on-line tutorials before making large complex macros. More menu-driven would be easier. Updates are great.. but seems to always have some new update to install.,MD,Medical Practice,Used the software for: 2+ years
phraseexpander,Phrase-Expander Enthusiast,,Sheri H.,5.0,"February 22, 2019",Phrase Expander has removed barriers to documentation efficiencies throughout our organization. We are able to build glossaries and share amongst team members. This has enabled us to create standardized processes which are easy to maintain and update. It multi-functionality works with a variety of programs removing duplicative efforts when you experience a change in software. I appreciate the collaboration and support we have received from Representative and his team for the past 3 years.,I do not see any cons with this software.,Coding Supervisor,Medical Practice,Used the software for: 2+ years
phraseexpander,Save Time and Reduce Frustration,"I have previously used at least 5 other text expanders and used one that is similar to PhraseExpander for the last 5 years in my medical practice. Recently, after changes in my practice model, I realized I could improve by workflow even more by creating new phrases/templates. The product I was using could do 99% of what I wanted but not that last 1%. Then I trialled PhraseExpander. I needed the ability to choose variables with their associated monetary charges and have the total of all the selected items charges listed. It seemed like PhraseExpander could do this but my first attempts to create a template for it weren't quite right. I didn't yet quite understand the advanced macro codes/language. I reached out to customer support responded VERY quickly and sent me a perfect template with explanations. I've been amazed by the customer support that beats all others. And now that I've had more time to read the user manual, I'm able to understand the advanced macro functions better on my own. I highly recommend PhraseExpander!",Carla G.,5.0,"February 23, 2019",Ease of use. Customer support! Does the basics elegantly. Advanced features not found in other programs.,"So far, not really any. The highly advanced macro functions just require a bit more time with the user manual or a little help from customer support (which is superb) and then you're good to go and will be amazed at how much time you'll save in your workflow!",FNP,Medical Practice,Used the software for: Less than 6 months
phraseexpander,Saves time and makes text templates easy.,"As a physician, I type the same thing over and over again in multiple notes. It was very easy to program and create my own note templates using PhraseExpander and save a ton of time letting me use my own personalized templates. It lets me bypass IT and multiple committees and gives me the ability to create all my own personalized templates with ease, saving me lots of time typing.",Matthew K.,5.0,"February 8, 2017",Easy to use and saves tons of time.,Sorta costly with some initial learning curve hurdles. The price is worth it in time saved though and version 5.0 will make the note templates very easy to create making this a easier to use very good template software rivaling that of some of the big EMRs (without the need for IT and multiple committees).,Pediatric Pulmonologist,Medical Practice,Used the software for: 2+ years
phraseexpander,Best Program EVER! ,,Kimberly B.,5.0,"September 9, 2020",I love that you can use this program in any application.,I do not like that if you minimize the program it always hides and you have to go back into the start menu to restart it. I frequently add new shortcuts throughout the day.,Legal Assistant,Law Practice,Used the software for: 2+ years
phraseexpander,PhraseExpander replaces MS Word Autocorrect function.,PhraseExpander has been very important for my work as a Patent Translator. It has improved my productivity.,Renato C.,5.0,"September 8, 2020","The Templates (Text Phrases) and Autocorrects. It replaces the MS Word Autocorrect function and works on every text editor (Google Search, Gmail, Trados Editor, MS Word, etc..)","I do not use all the features of PhraseExpander, thus it is not possible to answer such question.",Chemist and Patent Translator,Writing and Editing,Used the software for: 2+ years
phraseexpander,We love this software!,PhraseExpander has been a real time-saver. We love being able to produce top notch case notes without a lot of effort. We simply key in our pre-defined abbreviation codes and voila! The auto-completion and smart phrase capabilities definitely makes up for those with limited keyboarding skills.,Brad S.,5.0,"September 30, 2020","PhraseExpander is a genius product that grants access to quick and easy ""fill in the blanks"" by using simple abbreviations. We love how quickly we are able to produce very detailed case notes with a few simple key strokes.",This is not so much a con but more so of a desired feature: Voice Recognition would speed things up even more and it would be great if it was also available for the iPad.,Owner,"Health, Wellness and Fitness",Used the software for: 6-12 months
phraseexpander,A time saver & not having to repeat the same comment.,Too numerous to mention!,Rosalind S.,5.0,"November 21, 2017","Ease of use. Logical construction, glossaries & helpful icons to what is needed. Phrases & Autocorrect are very helpful. Templates - excellent!","A little cheaper for non-profits would be very helpful as we are unpaid. This is not really a ""con"" but there is a learning curve!",Director,Used the software for: 2+ years,
phraseexpander,Most useful tool for ambulatory practice I have ever used,This program has changed every aspect of my daily clinical workflow for the better. The customer support is unparalleled and the frequency and value of the updates are the envy of any other program. I cannot recommend this program enough. The depth of options continue to impress me and I continually find new ways to tweak my charting each day.,Jonathan C.,5.0,"January 19, 2017","ease of use, depth of options and ability to modify templates.",unable to do algorithmic templates. (ie. if this box in a list is clicked then do this series of functions and text),Physician / Medical Director,"Health, Wellness and Fitness",Used the software for: 2+ years
phraseexpander,EHR helper,"This software is amazing, it completes words and sentences for me while I type into the EHR. I have made some templates which I can customize for each patient. The software is easy to learn and the cost is reasonable. Andrea has been very helpful whenever I have reached out to him. I would recommend this as a time saver and helps with the quality of the documentation.",Hardeep S.,5.0,"February 14, 2017","Easy to install, the tutorials are informative and the product run very well without crashing It is customizable to my practice.",none that I am aware of,Psychiatrist in Private Practice,Medical Practice,Used the software for: 2+ years
phraseexpander,One of my most used programs,,Larry H.,4.0,"September 21, 2020",I use PhraseExpander (PE) every day in most communications that I write. PE saves me a tremendous amount of time and makes my job must faster. My work day would not be the same without PE.,Sometimes slow to respond to keystroke commands.,Vice President of Sales and Marketing,Machinery,Used the software for: 2+ years
