product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
uipath,UI Path - A perfect path to automation,"My experience with UiPath was positive. I used it to automate invoice processing, extracting data, validating it and posting to an ERP. It reduced manual effort significantly, though it required careful handling during error scenarios.",Manish S.,5.0,"December 19, 2025","I liked UiPath’s intuitive design. It made automating complex business processes feel approachable, fast to build, and easy to maintain, even when scaling solutions across teams.","I liked least the frequent version changes and stability issues, which sometimes broke existing workflows and required extra effort to re-test and maintain automations.",AI and Automation Engineer,Information Technology and Services,Used the software for: 2+ years
uipath,Utilizing Uipath as your company's RPA resource leads to improved efficiency,"It's important to list all operating processes so RPA can be implemented effectively, this includes examining which workers are performing which tasks, how many hours they spend on each task, and which tasks can be replaced by RPA.. Uipath's service offers suggestions on how to manage and utilize large amounts of material. In addition, the resource planning and allocation framework, also known as RPA, is offered by Uipath in the form of consulting. RPA makes it possible to speed up operations by automating robots that observe human jobs. Any application can automatically repeat basic tasks by hundreds or even thousands of robots that can easily identify their functions. By repeating the same functions without having to enter data multiple times between applications, mistakes are reduced.",Sadaharu K.,4.0,"September 3, 2022","Minimizing costs can be achieved by focusing work on basic tasks. This allows for a wide range of business efficiency services such as technology consulting, business consulting, and customer support. Costs can be minimized by focusing work on basic tasks. This enables a wide range of business efficiency services, such as technology consulting, business consulting and customer support. The robot has an algorithm capable of recognizing images and characters. Thanks to this, the robot can instantly recall new procedures without the need for any preparatory work. Hiring talented, pricey employees will lead to more creative work that improves the overall efficiency of your business.",A large operating system is required to maintain the expense. It's private but costs a lot. It's necessary to examine what people are doing when implementing RPA closely.,Marketing Planner,Information Technology and Services,Used the software for: 1-2 years
uipath,Automate Repetitive Processes easily with UiPath,"I like the low-code environment that is easy for both beginners and experts in the field to learn. Very intuitive, UiPath Studio is an application, not a web application, so it's much faster and more stable than other low-code tools such as Oracle Integration Cloud. Great online learning through the UiPath Academy, perfect for those new to UiPath or RPA. Easy to hear and very informative. Also, it does not take forever to understand or understand. UiPath Go and third-party support are very helpful in creating automation, as it's likely that someone has already done the same. Automation is open source, so it's very easy to get started. The easy-to-use orchestrator allows you to deploy your robot with minimal stress, and switching from a DEV environment to a PROD environment is very easy.",Yasser A.,3.0,"April 17, 2022","Data scraping is accurate and extracts the data completely. Excel automation makes it easy to format your data as needed. UiPathGo offers many custom activities such as chatbots and vision automation to help you integrate your application with UiPath. No other tool offers such a possibility. The recording performance is excellent. In particular, both desktop recording and web recording work very well.","Extracting data from an iframe is difficult, but still possible. It's a good idea to provide an Ubuntu version of the UiPath Enterprise RPA platform.",Chief Executive Officer,Marketing and Advertising,Used the software for: 6-12 months
uipath,Proceed automatically with mechanical paperwork,"For example, I open 20 Excel sheets, hit the same macro button, print, and move the finished job to the full folder. Despite appearing clear, the task can be completed manually. If you leave it to the robot, you can certainly finish it without omissions. By accumulating this level of content, overtime will be reduced.",Ana A.,4.0,"August 16, 2022","It is possible to create everything from the creation of a simple engraving robot to complete flowcharts. From beginner to expert. From individual work in the office to running hundreds of processes across the enterprise, the balance between price and content is very good. Even in the BtoG world, popularity is high. The interface seems difficult at first glance, but if you study in the online academy, you can make a decent robot.","There are too many products, making it challenging to distinguish between them. I wish they would make the sales method easier for fans to understand, including the wording on the home page.",Security Architecture Discipline leader,Banking,Used the software for: 1-2 years
uipath,UiPath does it best: Your Automation Companion,"The user interface is easy to understand and maneuver around. This software will assist you in getting started with RPA development much more rapidly if you are a beginner in the field. Complex issues with business automation are resolved via the use of a framework. Have basic tools, like recorders, for getting started, and then more complex capabilities, like the UiExplorer, for making the automation more robust after that.",Meraz H.,5.0,"May 24, 2022","An easy-to-learn low-code environment for beginners and pros. UiPath is quicker and more reliable than web-based low-code technologies like Oracle Integration Cloud. UiPath Automated processes, as we all know, the DE RPA software to implement must be simple enough for employees to use without extensive programming knowledge, as well as intelligent and sophisticated enough to take advantage of the most advanced learning and further advance your power of automation.","To begin, there is an urgent need to enhance the OCR and image-based automation operations. In addition, I think the cost is a bit steep in comparison to the prices of other similar products. It would be wonderful if there was any way to have the cost brought down. There is room for improvement in automation, which would make software development much simpler. In addition, training on the subject of dynamic selectors is necessary. This is due to the fact that the majority of online applications are dynamic, making it difficult to comprehend the appropriate selectors and how to put them into practice.",Assistant Manager,Information Technology and Services,Used the software for: 2+ years
uipath,"Using Uipath RPA , this is an alternative for businesses and individual users","The shared usage of the web site and software is a fascinating way to behave and fits better for the company. Mainly, this is a recovery method that preserves ventures and certificates and enables them to be accessed on certain devices. With respect to process automation, it functions well. You will easily define which activities are required and then guide the processes to the appropriate destinations. On the wall, this RPA device indicates the way forward. You must download a software, UiPath Lab, in order to create a robot. The requirements of the project and configuration of the process automation program should be implemented in it.",Ronald C. R.,5.0,"April 20, 2020","Some of the latest innovations in process control utilizing robotics. When before it was a costly and limited estate, then. For through technologies, that is now feasible, nowadays it is also possible to carry out the whole phase of a personal computer. UiPath is a program that enables you to create a robot to conduct various functions, from email management to administrative routines. It was Artificial Intelligence and Robotic Automation of Processes (RPA) that enabled this possible and appeared as the scientific future. Those two fields of research and growth have progressed in prospects, allowing for major transformations.",Anyone who may not understand basic programming may have difficulty utilizing it.,Creative Content Manager,Entertainment,Used the software for: 1-2 years
uipath,Formidable when you pay your dues at the outset.,UiPath has given us an opportunity for operations analysts to be able to focus on more not tactical work. One of them cut the time the company spent processing invoices from three hours a day to 20 minutes.,Tim A.,5.0,"July 14, 2025","It’s very cool that we can automate tasks that we do over and over, like pulling regulatory data off of reports or updating an old system. It’s saved me hours of manual entry every week.","The learning curve is steep. It’s tough to do it quickly if you don’t have someone dedicated to RPA. Documentation is decent so far, but still assumes a lot of prior technical knowledge.",Strategic Operations Director,Pharmaceuticals,Used the software for: 2+ years
uipath,Automate your Operational Task and focus on what matters! ,"I like very much the creation of a bot for certain activities, and they are still running on a weekly base. Easy to use, especially for repetitive work ensuring always doing the tasks exactly the same each time. Love it!",Daniel H.,5.0,"October 24, 2025","UiPath is globally used in our company. In my team have automated many operational tasks (covering capacity of 2 FTEs) allowing us to focus on more strategic areas. It is easy to use, but most important easy to understand for the ones not using regularly. This is important as we can contribute directly in the automation solution.","At least in our company the learning curve is done alone. There is a lot of information and learining material in youtube, but it is difficult to start.",Business Process Manager,Automotive,Used the software for: 2+ years
uipath,A powerful Robotic process automation software,A very user friendly and reliable RPA tool with constant addition of new functionality .The UiPath studio is the best development IDE as all functions can be searched and inserted into the process with just a drag and drop,Netra S.,4.0,"November 17, 2024",The entire development is based on drag and drop functionality of the required functions .Minimal programming knowledge required to develop a RPA bot Extremely easy to deploy using the cloud orchestrator,No option to disable auto updates in the settings,Senior RPA Developer,Oil & Energy,Used the software for: 2+ years
uipath,UiPath: Automate Your Way to Productivity,Found it to be a powerful tool for automating repetitive tasks and increasing productivity,Verified Reviewer,5.0,"October 16, 2024","One of the best things about UiPath is its ability to integrate with other software applications, such as Microsoft Excel or Salesforce. This means that users can automate tasks across multiple platforms, making their work more efficient.","Some potential cons of UiPath include a steep learning curve for more complex workflows, limited support for certain programming languages.",Develper,Information Technology and Services,Used the software for: 2+ years
uipath,Best RPA software out there,"Very good, it's definitely the best RPA-software out there. The newer capabilities aren't always great, but their document understanding is getting a lot better too and I'm really curious where they're going with AI Agents.",Erik V.,5.0,"November 11, 2024","Cutting edge RPA software, that's improving all the time and expanding capabilities","In the past they've shipped new features too soon, before the new product had matured enough.",Technical consultant,Information Technology and Services,Used the software for: 2+ years
uipath,easy of use,,Gisele F.,4.0,"February 20, 2025",UiPath is affordable and has capable tools to perform unique tasks and commands.,It is very convenient and accessible at any moment,Founder and Head of Brand,Market Research,Used the software for: 1-2 years
