product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
mailchimp,Chimp Does the Heavy Lifting,"Very positive overall. reliable, intuitive, and well-suited for what we do. So long as you don't create newsletters (as an example) that are overly long and have too much content, the ROI can be good. Drilling down on users is important to me to see who is clicking and reading what.",Patrick S.,4.0,"March 2, 2026",The dashboard is really easy to use and the templates are pretty good. One of the big plusses is mailchimp canva integration. Pricing is reasonable for what you are getting. The mobile versions of the emails sometimes are different form on-screen.,"There are WP integration security issues that have come up by my hosting provider. While I keep all my software up-to-date, I have to keep scanning/repair software running in the background at all times. Sometimes verifying a website can be a process. An easier solution would be nice, ie: verifying website by email address only.",Corporate Finance,Consumer Services,Used the software for: 2+ years
mailchimp,"Solid Email Marketing Software, Product Continues to Evolve","Overall we had a positive experience. We were very early adopters of Mailchimp and used it for many years. We were able to grow our list considerably and for some team members that were not super technical, we were still able to train them on it which was encouraging.",Jeff C.,4.0,"April 2, 2026","Pretty easy to use overall, support was always responsive. The product continued to evolve over the years and we did get a lot of use out of it.","Compared to some other similar softwares we've used at our hospitality group, the pricing made some jumps over the years that was a little frustrating.",Marketing Director,Marketing and Advertising,Used the software for: 2+ years
mailchimp,"Yes, it sends emails.. for an increasing fee each month—with minimal value add over time. ","Overall I think Mailchimp is an adequate, yet outdated tool. It sends emails. It manages contacts and lead flows. That's about it which is frustrating for the price and poor customer support.",Anna B.,3.0,"February 25, 2026","I like that it does what it was designed to do: send emails. I think it has strong value in the area of spam filtering as emails typically land in-inbox. It is also quite easy to use. When you are trying to do A/B testing or manage lead flows, it is effective in that area.","Customer support is lacking, especially on free plans. You wait in long queues often for subpar support. The user interface is bleak and that's largely due to lack of features. Contact management is difficult. The price constantly increases without additional features or value. Definitely not worth the extreme cost.",Co-founder and CEO,Management Consulting,Used the software for: 2+ years
mailchimp,Easy to use Newsletter Software,I've been using Mailchimp for years. Its easy to use. Probably the easiest newsletter tool I've used over the years. Its easy to send test messages and schedule a send.,Mandie K.,5.0,"March 5, 2026","Its so easy to use. Just drag and drop. Its easy to add photos, text boxes and I like the template options that make it easy to create and not start from scratch.","The price has gone up over the years, making it a little less affordable for small businesses. Sometimes, I click on a box in the newsletter to change the text and have to remember to go to the right side to edit the text.",Marketing Director,Arts and Crafts,Used the software for: 2+ years
mailchimp,A Reliable and Versatile Tool for Email Marketing,"I’ve used Mailchimp in many ways, not only for sending campaigns but also to integrate it with external systems like our management software and website. It’s been a valuable tool that helps keep all our communication organized and professional.",Cristiano F.,5.0,"April 4, 2026","I really appreciate how solid and reliable Mailchimp is. It offers great integration options, even through APIs, which makes it easy to connect with almost any tool or platform.","The pricing can be a bit high, but considering the quality and the features you get, I think it’s worth the cost.",Consultant,Marketing and Advertising,Used the software for: 2+ years
mailchimp,The Best Tool for Small-to-Medium Businesses,Mailchimp's customer support team have been very helpful during the onboarding and regular use of the tool. They are quick to respond and very willing to dive into the nitty gritty details of our account to troubleshoot issues.,Taylor O.,4.0,"April 2, 2026","MailChimp is incredibly intuitive and has some of the best pre-built templates and segments for small to medium sized businesses. The pricing is extremely competitive, particularly for nonprofits like my organization.",The reporting systems are a bit primitive and don't allow any automation. Being able to schedule regular report delivery to stakeholders would make the tool even more valuable.,Digital Marketing Manager,Non-Profit Organization Management,Used the software for: 6-12 months
mailchimp,Why Mailchimp is a win for small nonprofits!,"For small nonprofits, Mailchimp works well because it is designed for simple email newsletters, announcements, and community updates rather than ecommerce marketing. It is easier for small teams or volunteers to use and typically offers more affordable pricing for smaller contact lists. In contrast, some competitors are built for data-driven ecommerce marketing, which most nonprofits do not need.",Stacy C.,4.0,"March 9, 2026",I used Mailchimp for several years for several non profit clients that I service from a marketing perspective. I found it works very well for my smaller non profits because it is easier to navigate. There are so many drop and drag templates that help them with their messaging. It also is more cost effective then some of the other options.,"A drawback of using Mailchimp is that it offers less advanced data tracking and segmentation compared to platforms. This can make it harder to personalize communications based on supporter behavior or engagement. However, this is for advanced communications which many small nonprofits do not need.",Development Director,Non-Profit Organization Management,Used the software for: 2+ years
mailchimp,Mailchimp a reliable marketing platform,"Overall we are very happy with mailchimp, the platform offers everything that we need and the price is fair and the use of the platform it is very easy to use and we can teach the rest of the team fairly quick.",Osman F.,5.0,"March 24, 2026",From the very beginning the team was very proactive and care about our needs and propose realistic plan on how can we succeed.,I would say that the platform itself there are certain features that needs to be updated as to gather some data requires some manual effort,Marketing Support Manager,E-Learning,Used the software for: Less than 6 months
mailchimp,Simple and economical ,"I’ve used this service for years. Simple to use, I can make emails to my customers as fancy or basic as I like. Love being able to copy and edit previous campaigns so that I’m not always starting from scratch.",Christine B.,4.0,"March 19, 2026","Love that I can use a free account for my small business. As the business grows, I’ll want to expand to different email lists, which is an option with the paid account.",I need to flip back and forth between the app and the online version to use all of the email creation tools. Not sure why they’re not all available in one place.,Pilates transformation expert,"Health, Wellness and Fitness",Used the software for: 2+ years
mailchimp,Mailchimp is WORTH IT!!,"Mailchimp is well worth the subscription price if you have a larger email subscriber number. If you can use the free version, it is EXTREMELY worth it!",Verified Reviewer,5.0,"April 5, 2026",Mailchimp has great email marketing and newsletter tools for a lower or free price! It is easy to glean email performance metrics and tailor messages for your audience. You can tailor and design your email's appearance very easily.,"One downside of Mailchimp is that the number of contacts per email list is limited by the tier you pay for. If you want more advanced email metric data, you will have to pay for a higher tier of Mailchimp.",Community Affairs Consultant,Food & Beverages,Used the software for: 6-12 months
