product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
columns,"Great tool, very powerful and big value for your money","The maker of Columns is very dedicated to help onboarding new users and also to extend the capabilities of the tools based on customer needs. Only for that i really recommend investing your time and money into that tool, because you get high value out of it !",Ulrich F.,5.0,"September 21, 2023","After a little learning curve, i'm able to generate all the visualisations i need using data from Notion, Airtable and CSV. Very happy with Columns !","I would say it's the fact the because it's powerful, it can be complex to master, there are so much possibilities using it...",CEO,Management Consulting,Used the software for: Less than 6 months
columns,"Simple, yet powerful data visualization tool",I am happy with Columns.ai so far. I can easily visualize my data in the preferred charts or visualization formats and share them with my clients or my audiences.,Mohan N.,5.0,"April 19, 2023","It's a simple and powerful tool to visualize the data. I can present the data I've in various visualization formats available and the most important thing is it quickly does that. I haven't seen any performance lag till the moment. I can connect the data from various other applications like CSV, Google Sheets, APIs etc. and convert them to user-friendly visual graphs. I used to rely on Excel for visualizing data, but its limitations led me to try Columns.ai. Now, I can embed centralized charts on my website and update the data easily. I can also export the chart to images and share them if needed.It's a basic, simple and elegent platform to visualize the data.","Well, not a dislike but the Columns team can add some advanced visualizations and complex interactivity to the system. The team behind Columns is solid and they've been updating the system frequently and I believe there'll be a time where Columns will become one of the preferred visualization tool amongst others.",Product Manager,Computer Software,Used the software for: Less than 6 months
columns,"Columns, a product with a possible good outcome",Currently Columns is missing several essential functions to be called a worthy product.I see the potential and growth of the product towards a working environment for the future which if they survive can be a very good add on for other options.,Alexander B.,3.0,"April 25, 2023",The basic interface is ok and therefore initially ok to use with small amounts of data or public data.Data reports are easy to publish.,- I miss a lot of features which are standard available in other reporting products and/or tools- Lot of the data needs to be brought into the cloud for reporting due to lack of proper integrations- Roles and Rights are missing especially when you work with different teams to allow access to certain data- Its very you in development and many standard options in other products are missing.,CxO,Information Technology and Services,Used the software for: Less than 6 months
columns,Canva for data,"Overall experience is great, very smooth data connection, helpful with AI recommendations to generate data insights, and straightforward to design beautiful story in a deck.",James H.,5.0,"April 18, 2023","I like the concept that Columns discover and shape data stories for me, get insights out of my data, and make it ready for presentation, sharing and embedding with access control is great!",Dashboard - it has a function to freely filter a dashboard which is called Page on Columns,Founder,Financial Services,Used the software for: 1-2 years
columns,Columns: A Promising Data Visualization Tool with Room for Growth,"While I had a positive experience using Columns for visualizing data, I ultimately decided that the product wasn't the best fit for my needs. As an analyst, I often need to embed auto-updating tables within internal documents and systems for use by other team members. Unfortunately, Columns doesn't offer a way to create and embed tables in this way, or at least I couldn't find it.",David S.,4.0,"April 18, 2023","One of its key strengths is its ease of use, especially compared to more complex tools like Looker Studio. With Columns, users can quickly and easily create charts and graphs that accurately represent their data.","Despite its strengths, there are some areas where Columns could use improvement. One of the most noticeable drawbacks is its user interface. While the tool is easy to use, the overall design and layout are not particularly visually appealing. This could be a turnoff for some users who prefer a more polished and aesthetically pleasing interface & results.",Director of Installation,Construction,Used the software for: I used a free trial
columns,"Great idea, but I am spoiled with Tableau","Bought it on sale on a whim. product is interesting, but needs more growth",Keith C.,3.0,"April 27, 2023",,"I like having other options especially with less expensive BI tools. Product shows a lot of promise, but does not compare to Tableau or Power BI. Limited toolset, types of vizes",Senior Business Intelligence Engineer,Information Services,Used the software for: 6-12 months
columns,Columns is the budget data visualization tool that you have been looking for!,Columns has been robust from a data visualization standpoint but this has been exceeded by the caliber of customer support you receive from the team. Columns.ai is an elite SaaS that will level up the way you make charts.,Verified Reviewer,5.0,"November 27, 2023",- Create charts and maps with ease - Create evergreen data visualizations with Google Sheets integration - Clone charts as templates for future charts,"- More pre-made templates will likely come with time, but the truth is this tool has quite appealing starting themes for your data visualizations.",CEO,Market Research,Used the software for: Less than 6 months
columns,New but promising product,,James M.,4.0,"April 26, 2023",I like the simplicity that it can provide for people who do not need the other more expensive and longer learning curve options,Nothing. It is not super powerful bu that is its niche,ceo,Insurance,Used the software for: 6-12 months
columns,Great expirience,Great,igor lobo vieira C.,5.0,"July 13, 2023",only con is that its not 100% free. I like the way it sets me in the right path with really intuitive tools.,Made complex graphs accessible by non-technical staff.,director,Information Technology and Services,Used the software for: I used a free trial
columns,data analysis with ai help,It is flexible system,Bader Q.,4.0,"May 1, 2023","it is easy to use , data handling simple interface to the graph that you are looking for.",Looking to get customized dashboard with multiple data figures and reports,Sales,Retail,Used the software for: Less than 6 months
columns,Great product!,,Kefu Z.,5.0,"August 27, 2022",Very easy to use for someone who doesn’t have a lot of IT knowledge. Save me a lot of time!,Not that I known of at this time………………..,N/A,Airlines/Aviation,Used the software for: I used a free trial
columns,Great ease of use,,Tunde B.,5.0,"May 17, 2023",Column is easy to use and the integration is robust,There is nothing to dislike about Columns,ceo,Real Estate,Used the software for: Less than 6 months
columns,I love this product,Easy to read and understand,bei W.,5.0,"August 27, 2022",It looks nice and professional. Easy to use and understand.,I like them all. I didn’t find anything unlike,Software engineer,Information Technology and Services,Used the software for: Less than 6 months
