product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
browsecontrol_by_currentware,Threat free browsing environment facilitation tool,It has powerful security monitoring tools that detects threats that can affect workflows. It has blocked many ransomware attacks that could destroy confidential data and expose company secrets to third parties.,James R.,4.0,"August 21, 2023",The cyber attack response automated system safeguards our data from malware attacks. BrowseControl provides real-time insights on security situation from workloads. It has simple configuration procedure with other applications that saves time and resources for entire implementation process.,I have not discovered performance weaknesses from the operation protocol of this platform.,Marketing Specialist,Marketing and Advertising,Used the software for: 6-12 months
browsecontrol_by_currentware,A Comprehensive and Feature-Rich Web Filtering Solution,"Overall, BrowseControl is an excellent web filtering solution for businesses of all sizes. It offers a wide range of features that make it easy to configure and manage the system. However, the cost may be prohibitive for smaller organizations with limited budgets.",Javier G.,4.0,"January 25, 2023","BrowseControl is an excellent web filtering solution that provides a comprehensive range of features to help businesses keep their networks secure. It has an intuitive user interface that makes it easy to set up and manage the product. The filtering rules are highly intuitive and customizable, making it easy to configure the system to meet the specific needs of the organization. Furthermore, the reporting and analytics features provide invaluable insight into user browsing activity, making it easy to monitor and enforce web usage policies.","The main downside of BrowseControl is its cost. While the product is fairly priced for the features it offers, it may be too expensive for smaller businesses with limited budgets. Additionally, some of the features are a bit tricky to configure, so it may be beneficial to have a dedicated IT team to manage the system.",IT Manager,Telecommunications,Used the software for: 6-12 months
browsecontrol_by_currentware,"Works Well, Great Support","The system works very well. Features like being able to provide a custom block screen are great. Being able to rename the system from the actual PC name helps to better identify the system in the admin interface. You can create a custom installer for client systems. It's easy to update the client settings, and to import settings from an existing client to a new one.",Ethan C.,4.0,"March 17, 2022",The software is easy to distribute to client systems.,The administrative software can be slow and a little bit cumbersome. The list of systems is missing a search or an easy way to filter the full list of installed systems. This may have changed with the newer web based interface.,Director of Operations,Information Technology and Services,Used the software for: 2+ years
browsecontrol_by_currentware,Lucky to find this!,I am really lucky to find this out. COOL one. Kudos to developers.,Verified Reviewer,5.0,"July 29, 2021","Easy to install in Server and Client Workspace. Its a Web based application, has lot of features like allowing or disallowing the internet access at the scheduled time and lot more.","I feel like its a complete feature rich software already, sufficient for Small and Mid Scale companies.",Technical Project Manager,Information Technology and Services,Used the software for: Less than 6 months
browsecontrol_by_currentware,Very Glad We Found BrowseControl,"Since going live with BrowseControl, the number of requests that have come in about the ""blocking"" software not working has decreased dramatically. Before, it was almost a daily issue, and now it happens every now and then. This is fixed by restarting the Client Service.",Jude M.,5.0,"August 14, 2019","BrowseControl is very simple to setup, and it is very easy to install on the client's computer. Also, the ongoing administration of the devices is easy to maintain.","The password keeps getting reset to the default value on our client's computers. This is a little concerning overall, but this is not a threat with our current client base.",CEO,Information Technology and Services,Used the software for: 6-12 months
browsecontrol_by_currentware,Powerful network security control application,Internet security has been great challenge for all the enterprise but after deployment of this platform we have experienced positive changes. Data exchange and secure browsing has been enhanced with efficient security controls.,Bryson H.,4.0,"August 7, 2023",It prevents members in the organization from visiting vulnerable areas in the internet. Browse control tests authenticity of browsers before operations. It provides alerts when there are data threats that can affect workflows.,This is powerful product that I highly count in enhancing browsing safety.,Data Engineer,Financial Services,Used the software for: 1-2 years
browsecontrol_by_currentware,A great web filtering solution!,,Evana W.,4.0,"June 13, 2023","I recently switched to BrowseControl for our company's web filtering and I couldn't be happier. The set up process was fast and easy, the features are comprehensive, and the support team is always available to help with any issues we have. Plus, it's a great value for the money since they offer competitive packages that meet our needs.","The administrative software may have some performance issues and lagging. Aside from these concerns, I have no other complaints. Overall, it's very straightforward.",Sales And Marketing Associate,Information Technology and Services,Used the software for: 6-12 months
browsecontrol_by_currentware,Software that Punches above it's weight ,"the purchase and on boarding process was very smooth and customer support is very efficient . I had an executive who helped with the renewals although it was a non working day in his country , I would recommend it to anybody.",Anoop P.,4.0,"March 17, 2022",The software is easy to install and was cheap to purchase and Cost wise very high ROI. What we especially like about the product is the ease of report generation and monitoring such that it could be taught to no technical staff like the HR executive for instance. It required very less resources and licensing model is simple,Interfaces although easy to use feels a bit outdated,System Administrator,Automotive,Used the software for: 2+ years
browsecontrol_by_currentware,Full Control over App and Internet Usage at Par,"By blocking access to high risk websites, we reduce financial risks.",Jamie S.,4.0,"September 25, 2022",BrowseControl categorize web contents to ensure they comply with our internet use policies.,Doesn’t incorporate all endpoint security tools such as dark web monitoring tools.,Human Resources Consultant,Sports,Used the software for: 2+ years
browsecontrol_by_currentware,Blocking of dangerous sites.,"A few months ago we decided to try this platform because we already use other of their products for work and we were really surprised by its performance, it has allowed us to detect many irregular behaviors in the workstations and block malicious sites and possible dangerous file downloads.",Aeryn B.,5.0,"July 13, 2022",I like it because I can monitor our employees and keep them from being distracted. It allowed us to block video and social networking sites that some employees were using. It allows us to quickly block unauthorized downloads by our security protocols.,There is nothing I dislike about this software.,Artificial Intelligence Engineer - VR/AR,Computer Software,Used the software for: 6-12 months
browsecontrol_by_currentware,Great software and support,We have used other web filtering and block programs before and CurrentWare has been the best for us and at a great price. Some of our workstations work via VPN and once the agent is installed it still does what we want.,Ken W.,5.0,"August 27, 2019",The software actually does what was advertised and the support is great same day! We were able to have the software up and running on the same day with no issues or even a call/email to their support. We are able to have the control over web access on either the hardware level or user level. We chose user level since our users move from workstation to workstation. Plus we are able to create user groups that define a level of access and move the users between them as needed.,The only Con that comes to mind is sometime while upgrading the license needs to be reapplied. Not a big issue but only con I have.,IT Manager,Recreational Facilities and Services,Used the software for: 2+ years
browsecontrol_by_currentware,BrowseControl Review,BrowseControl doesn’t grant access to websites that go against out computer policies.,Philip S.,5.0,"April 16, 2023",I like how BrowseControl filter website contents to ensure they are compliant with our policies.,"Thanks to Currentware, I seldom encounter issues when using BrowseControl.",CEO,Airlines/Aviation,Used the software for: 1-2 years
browsecontrol_by_currentware,BrowseControl and a very Secure Data Management Package.,BrowseControl is the effective Cloud system to migrate data and other information management and easy on data analytics creation.,Valarie V.,5.0,"June 9, 2022",BrowseControl is a professional data flow management platform with secure environment for easy project data management. The simplicity is effective and the easy to manage big data across Cloud services is excellent and the reports are very accurate.,No issues on BrowseControl and the features configuration and the training on its basic usability is excellent.,Project Manager,Construction,Used the software for: 6-12 months
browsecontrol_by_currentware,An effective web filtering solution!,,Emma M.,4.0,"June 21, 2023","I recently started using BrowseControl to better manage my team's web browsing and it has been a godsend. The software is very user friendly, allowing me to easily customize internet restriction policies for each user or department with granular control. It also allows me to block websites based on URLs and categories which is great for controlling the content my team can access.","For someone who is not tech-savvy and not properly trained to use this, it can be challenging to navigate through the platform.",Business Development Specialist,Computer Software,Used the software for: Less than 6 months
browsecontrol_by_currentware,High security network monitoring,,Al L.,5.0,"May 23, 2022",BrowseControl ensures that our internal network is secure with its high-end network monitoring infrastructure.,BrowseControl should have a native MAC version which would be definitely useful for us.,Head of IT Business Applications,Computer & Network Security,Used the software for: 6-12 months
