product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
culture_amp,Delivering insightful feedback with Culture Amp. ,"We've been having a challenge tracking the employee goals and progress, and also updating them respectively which affected their overall evaluation. With Culture Amp, it is now much easier to track the employee performance and give credit where due. It has enabled us to gain valuable insights into employees' experiences, identify areas for improvement, and make data-driven decisions to enhance their company culture and overall performance and productivity. Overall, Culture Amp is an Excellent and easy to integrate software for any organization with intent of improving their employees performances.",Frankline K.,5.0,"August 1, 2023",This is one of the most user friendly software that integrates top quality analytics to gain insights onto the employee performances while ensuring that the user interface is easy to use and is available to employees at all levels in the organization.,"I feel the 1-on-1s feature should be upgraded in that, it should be able to send an email of responses whenever a direct report or manager updates the conversation or shares a reply. Other than that, Culture Amp is the best.",Administrative Supervisor,Farming,Used the software for: 1-2 years
culture_amp,Great platform for employee surveys,"My company purchased the survey module from Culture Amp last year. We looked at 10 or so other vendors, 2 of them making it to the final round, and Culture Amp being our final choice due to the experience we had during the sales process, the great UI, and and the support offered by their company. We've been happy with the tool after running one large company-wide survey and a couple of smaller ones. Culture Amp works hard to make sure employee data is kept confidential.",Zach H.,5.0,"November 5, 2024","Lovely UI, easy to manage employee data, configure surveys, and track results through the tool.",There is very little to speak negatively about Culture Amp. The application is great and support has met expectations.,Senior Systems Analyst,Information Technology and Services,Used the software for: 1-2 years
culture_amp,"Culture Amp is great with people sciences, but the tool itself is terrible",Not helpful with more strategic initiatives.,Patty K.,1.0,"August 6, 2024","Not good for large scale and high growth organizations. Their integration with Rippling is a joke and leads to terrible data and duplicative profiles. Very buggy -- when you run performance cycles the UX is different for self reflection vs performance. It means you have to manually update and edit everything. Also, they don't have on demand customer service -- just the chat bot, so if you need anything more complex.. like talent grids or ways to review calibration modules, you have to contact your CS team and in our experience their solutions are super limited. Mostly they tell you to just download the CSV and then manually create reporting or detailed info outside of the system. Not great.",UX is terrible -- it is not user friendly at all.,Chief People Officer,Financial Services,Used the software for: 2+ years
culture_amp,Worth the money!,,Verified Reviewer,5.0,"December 30, 2022",I love that Culture Amp just makes things so simple for the People team now. They have survey templates readily available so we don't even have to design the surveys anymore. It's very user friendly for employees to take the survey and the reporting is the best part. It really protects anonymity while allowing you to take targeted action.,"While the Performance features have many of the things you would expect in an OKR software, it's not as strong as their survey module yet. For example, there are opportunities to improve in the features for adding and tracking OKR progress. This is a newer feature for them though so I am hopeful to see where they will be at in a few years from now.",Head of People Operations,Farming,Used the software for: 6-12 months
culture_amp,Best tool to measure employee engagement & performance management ,"Has been very good, however a bit expensive",Yitzhak Vini S.,5.0,"July 17, 2023",Ease of use & the analytics of the engagement survey is very good,Poor integration with google calendar & inability to send reminders in performance reviews,People Success Generalist,Internet,Used the software for: 1-2 years
culture_amp,"Not for people with learning difficulties, good software but awful product support","My experience has been terrible, not due to the software but due to the Product Support team. They take hours to get back to you and it does feel like they are not concerned with smaller clients.",Verified Reviewer,2.0,"April 20, 2023",The software platform is robust. It has a lot of helpful features.,"Setting up the engagement survey can be painful, especially with awful product support. Most guides are in writing, so dyslexics will find get confused. They have a lot of bespoke terminology that takes time to get used to.",Director,Biotechnology,Used the software for: 1-2 years
culture_amp,"First time using, amazing so far",Overall the tool has been amazing from a user's perspective. I'm excited to continue to use especially now that our organization is asking for our opinions on returning to work in the office.,Gustavo O.,5.0,"June 11, 2021",Culture amp is a leader in its space when it comes to employee engagement and I can see why! At this moment our organization is only using culture amp for employee engagement. So far I've noticed that (1) it's easy to get out to your employees (2) the tool is very easy to use (3) it's very appealing and looks really nice (4) Great customer support (5) easy to use for both HR managers and users.,"I've heard from the HR team that at times it can be difficult to manage the system from the admin side, however, from a user's perspective - the tool has been amazing.",Sales Development Representative,Financial Services,Used the software for: Less than 6 months
culture_amp,Excellent tool for annual engagement,Really positive. The engagement/survey side has been most used by our business. We are still encouraging employees to use the 1-2-1 functions more as not everyone has adopted them.,Emily R.,5.0,"March 10, 2025",The fact it summaries answers from employee engagement surveys into themes (this has saved us lots of time!),"Doesn't always sync perfectly to our employee list, so we are reminding people about surveys on our intranet and very occasionally a new starter hasn't been included (as lists haven't synced)",Senior Business Partner - Resourcing,Environmental Services,Used the software for: 1-2 years
culture_amp,A great tool to drive performance and engagement,Very positive. Our employees are much more active in our surveys now that Culture Amp is processing all of the responses. It's also much easier to analyze results when you're not running it through a google form.,Jeremy C.,5.0,"April 20, 2023",Culture Amp makes it easy to set up performance management and employee engagement activities. Their customer service is quick to respond to any questions we might have. The ease of use is fantastic.,Confidentiality protections are tough to undo if you set them up wrong. Definitely make sure you read up on them before releasing a survey!,People Operations Generalist,Education Management,Used the software for: 1-2 years
culture_amp,"Versatile, knowledgeable and people-centric platform","I would definitely recommend using Culture Amp to any company over the size of 50 (I am not sure that the investment would be worth it for smaller organisations), as it really helps shaping and monitoring the most important element of any organisation: culture (it's in the name, after all!)",Valentino F.,4.0,"June 1, 2023","Culture Amp has a bit of everything that contributes to build a company culture. From surveys to performance, from engagement to 1:1s, to the ever-important feedback exchanges, the possibilities seem endless! The science to back up things like engagement survey, recognition and 360 feedback is solid, and that is what makes CA the best in class for me.","The platform might not be super intuitive for non-expert users. The naming convention might need some getting used to (but the same can be said for other platforms), and the mechanics of how certain things work are sometimes a little intricate.",People Generalist,Retail,Used the software for: 6-12 months
