product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
retrace_by_netreo,Agrxis Review on Retrace by Netreo,"Retrace by Netreo has provided me with excellent service. Retrace has genuinely impressed me as someone who appreciates effective application monitoring and troubleshooting. The platform offers thorough insights into the functionality and health of my applications, enabling me to proactively find and fix problems. I value the user-friendly layout that makes it simple for me to browse through the many metrics and reports. My apps' stability and peak performance have been made possible by the real-time monitoring features and adaptable alerts. The sophisticated debugging and root cause analysis features have also significantly reduced the amount of time and effort I had to spend finding and fixing problems. My apps have been optimized thanks to the incorporation of performance indicators and thorough reporting.",Joseph M.,5.0,"May 16, 2023","Retrace by Netreo is a thorough and user-friendly approach to application monitoring, which is what I loved most about it. Retrace has beyond my expectations, and I place a high value on effectiveness and dependability. The platform has many capabilities that have been really helpful to my application management procedures. I've been able to prevent problems before they arise and guarantee the best possible performance of my applications thanks to the real-time monitoring and notifications. The thorough reporting and performance indicators have given me useful information for pinpointing bottlenecks and streamlining my apps. I'm especially grateful for the powerful debugging and root cause analysis tools, which have helped me solve problems quickly and efficiently. Retrace is a delight to use thanks to its simple navigation and intuitive user interface.","Thus far, my experience with Retrace by Netreo has been very positive and I have not encountered any issues or concerns.",Senior Engineer,Civil Engineering,Used the software for: 2+ years
retrace_by_netreo,Great bug detection and fixing solution!,My overall experience with the Stackify Retrace is quite satisfying. I can easily afford the software for the great features it is offering. I can develop applications more efficiently and effectively. It is easy to use. I will recommend it to all the programmers or app developers out there.,dishant S.,5.0,"April 7, 2019","Stackify Retrace is an excellent application monitoring and bug fixing solution. I love the bug management system of the Retrace. It is also highly effective and efficient in fixing them. It can easily monitor in real-time how the app is working and the exact intervals at which the features of the app didn't work correctly or when the app crashed. It keeps all the logs of the app so that, it will be easier to detect and fix the failures. I found it very useful while developing .net applications. The dashboard is one of the main highlights. You can quickly get all the details like error logs, crash report, etc. in only one place.","Customer response staff is very supportive and helps you to figure out your issues. But, on an incident, I got a very late response from them. I think it MUST be improved. Moreover, I find the log filtering a little tricky. Many a times, the log parameters which I don't want to see in the report were also there. It makes the analyzing process slow.",crowd sourcing,Computer Software,Used the software for: Less than 6 months
retrace_by_netreo,"Decent idea, abysmal customer service and support","They are essentially no better than scammers and fraudsters, and I highly advise anyone considering this tool to look elsewhere.",Verified Reviewer,1.0,"August 26, 2021","Before it was aquired by Netreo, the team there were very helpful in setup and support. The pricing was also much more competitive.","The monitoring tool stopped collecting traces with no warning issued. I logged in to find Stackify non-functional. Customer support blamed me for not magically knowing that I needed to install the latest version, then refused a refund of the (now exhorbitant) monthly fees.",Co-Founder,Computer Software,Used the software for: 6-12 months
retrace_by_netreo,An amazing product for A to Z bug tracking and fixing,"Our product management and testing has become more easy with the use of Retrace, kudos team !",ELDHOSE K.,4.0,"November 20, 2018","We really loved their centralized logging feature, Stackify helps us more to find bugs on the system and to take proper measures in time. The main interesting feature we noted is that we can run tests and Stackify will revert back with the accurate results, also a proper monitoring on the stack can be done using Retrace. The major advantage is that one can do all the needful activities like code profiling, monitoring and logging on the single system. We dont need to depend on any other third parties for the same.",The code deployment system has lot of issues as it takes time to integrate onto to their system and the deployment takes lot of time. Rectify this issue and you will have a great tool and platform.,CEO,Computer Software,Used the software for: 6-12 months
retrace_by_netreo,Finding failures is easy with Stackify,Stackify gives peace of mind when it becomes extremely hard to find bugs. Just go for logs and you get to exact point where the application stalled. It gives alot information about the application. It is one of many tools that .net developer must have.,ravi R.,4.0,"December 21, 2018",It gives in depth knowledge of what all is happening with our application. .net developer finds it very supportive in daily tasks. After one time setup it quiet easy to use. We debug with the help of log monitoring techniques given by Stackify.,Filtering logs is not as easy with Stackify. We end up searching through many logs unwantedly sometimes. But it gives Stackify power to find everything which is also good sometimes.,Associate Software Developer,Computer Software,Used the software for: 1-2 years
retrace_by_netreo,"Easy to get started, outstanding customer support","I am using Stackify to monitor a multi-tier application in AWS, and was amazed at how easy it was to immediately get all of the servers reporting data on the app with no extra configuration. Our development team has been equally pleased with how simple it has been to have the application's logs fed right to Stackify and accessible from a single dashboard for our product support team. On top of that, the communication from the company has been outstanding. Even though our app is small, they have given us all the attention in the world. The team at Stackify has even provided multiple conference calls demoing their solution to different players in our company throughout the development cycle. And not a single bit of communication we received from Stackify during our evaluation was sales-focused - they really wanted to make sure that we knew exactly what we would be getting. After initially evaluating a competitor whose products seemed overly confusing and whose costs would have exceeded our total AWS bill, Stackify was an easy choice.",Aaron M.,5.0,"September 4, 2015","Very easy to use - doesn't get in the way of development with a steep learning curve. Awesome, accessible support team always at the ready, which was especially nice when we started using more of the advanced features of AWS. For example, when we were talking about writing scripts to help automate parts of our environment, they sent over some scripts to take care of automatically installing Stackify within the hour, saving me a lot of time and research. As a newbie to AWS and the cloud, this saved hours of work.","Honestly, we haven't experienced a single drawback is using Stackify as an APM provider.",Software Developer/Build Engineer,Information Technology and Services,Used the software for: 6-12 months
retrace_by_netreo,DevOps out of the box!,"Until Stackify, there was no one tool to do monitoring, performance dashboards, log aggregation, and more. This same technology would come with 5 or more software/hardware products and 5 or more bills as well. Stackify does all of this in one package and provides you the actionable insights necessary to target problems when they happen and point you directly to where they are happening and all systems/software affected.",Jake D.,5.0,"February 12, 2015","Log aggregation is by far my favorite feature. Beyond this, the dashboards provide the window directly to your systems, stacks and help interrelate software and hardware systems, even across multiple data centers and cloud sites.","Putting on my software engineer hat, I would like to have the ability to prescribe templates for how I want to view certain aggregations of logs for certain app stacks to better represent that stack right out of the box instead of having to select it each time.",CTO,Used the software for:,
retrace_by_netreo,Easy solution to get centralized logs in a hurry.,Scouring the web for centralized logging solutions to use for a Java-based solution I am currently working at. I came across Stackify. Initially it was somewhat down my list of candidates - with much more flashy. But after trying a bunch we ended up with Stackify due to how easy it was to get useful logs into the system. And how well it works with Java out of the box.,Kristoffer P.,4.0,"March 17, 2015",* Easy to set up for Java * Intelligently collects and groups Java exceptions allows,- Does not really provide any tools advanced analyses of logs - Requires some additional code to proper shut down - The logging appender itself throws connection exceptions fairly often that ends up in the general overview of how the application is doing,Computer Software,Used the software for:,
retrace_by_netreo,makes DEV Ops so much easier,"In most of my career I've been a consultant at major corporations, mostly concerned with 'getting it done'. Most of these companies have entire departments focused on operations and don't need me doing that job, but some of my smaller clients have asked that I take these roles on as well and until I found Stackify I felt like there was too much. I still feel that way but at least now I can see trouble spots and drill in. Instead of having to spend all my time finding the hotspot I can now spend that time fixing the hotspot.",Steven R.,5.0,"November 9, 2015","I love the graphs, and the details and the ease of navigation, plus when I was stuck on a particular issue, the Stackify support was very helpful.","The documentation is there for sure, but more is always better.",Computer Software,Used the software for: 6-12 months,
retrace_by_netreo,"Easy to set up, a hit with the whole team","Stackify allowed us to quickly set up a centralized logging system which was easily accessible to developers, qa and product for review and analysis.",Tom G.,5.0,"March 23, 2015",It was very quick/easy to set up.,,CTO,Internet,Used the software for:
