product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
cybeready,this is great way to train our users,Great product which is now supported by management,Shany K.,5.0,"March 31, 2022",the implementation was very easy almost like out of the box to use,"I would like to have the option to edit the text with test editor inside the messages (bold, Italics, Etc.)",CISO,Automotive,Used the software for: 6-12 months
cybeready,CybeReady is like having another member on the team,"Cybeready is exactly what we needed! The whole experience has been positive from the initial sales demo through to purchase and deployment, but more importantly they have continued to be supportive and responsive to our needs and challenges. Great technology and a strong team behind the product. Given that phishing and Business Email Compromise is a threat to all businesses, Cybeready has been a great investment and I would recommend it to any business, regardless of size.",Mark W.,5.0,"March 31, 2022",I've used other phishing simulation and security training platforms for a number of years. They have one thing in common: they all take too much time to manage. CybeReady is just the opposite. It was so easy to configure with the help of their support engineer and we only need to log in weekly to review the stats. It truly is autonomous. The quality of the phishing simulations is excellent. Lots of variety and many of them replicate real world attacks. The platform is very easy to use and support has been great.,It took a little while to understand some of the graphs but the support team has been excellent and very responsive. The cost was higher than some competitors but worth the extra investment since I only have a small team and cant afford to spend hours managing the platform or creating phishing simulations; Cybeready does that for you.,Head of Cyber Security,"Health, Wellness and Fitness",Used the software for: 1-2 years
cybeready,Problems from the beginning...,,Wilfredo.. L.,1.0,"February 14, 2025",Product Roadmap looked great Initial Sales Person,Poor Support False Promises of Features Features not on par with competition,Chief Information Officer,Computer & Network Security,Used the software for: 1-2 years
cybeready,"A smart, effective and efficient way to increase employees' cyber-security awareness...","Great (both proactive and when needed) customer support. Improved employee awareness, reduced number of high-risk users. Effectively addressed compliance, awareness and training-related, obligations.",Vassilis V.,5.0,"March 29, 2022","Easy to use/customize/manage, great reporting out-of-the-box, seamless integration with existing systems.","Nothing to report here...! Really, all the features/KPIs/metrics/reporting we needed were there before we ask for them...!","Head of Information Security, Business Continuity & Data Protection",Insurance,Used the software for: 1-2 years
cybeready,Awesome Cyber Security SaaS,,Liran W.,5.0,"March 28, 2022","very easy to deploy and manage, great customer service","I don't feel that something is missing, I think its a great product",CIO,Non-Profit Organization Management,Used the software for: 2+ years
cybeready,Positive Experience,,Eduardo R.,5.0,"March 28, 2022",The overall software experience is very pleasant and easy to use. Both the analytics and learning cycle management pages are well thought out.,Loading the analytics dashboards can sometimes take some seconds and user management (which is planned to be redone in a couple of months).,Senior Cybersecurity Analyst,Utilities,Used the software for: 2+ years
cybeready,Easy to use standardized product,"The overall experience was good, especially since CybeReady was willing to customize a few e-mail templates for us. From time to time it we had a long wait in order to get a response though.",Alina S.,4.0,"March 29, 2022",CybeReady is easy to use and is a highly automated system. It allowed us to send simulated phishing mails to our users once a month. These e-mails were selected randomly from a pool that could be reviewed beforehand. The set-up was easy and the statistics were nice.,"All of the simulated phishes were more or less similar, meaning that towards the end of our campaign (we used it for 12 months) the users knew exactly what to look for to identify them. It might make sense to add a few additional domains. The statistics were nice, but as we used gamification and users could win prizes for participating, it would have been nice to customize the reports a little bit.",Cyber Security Assurance Lead,Real Estate,Used the software for: 6-12 months
cybeready,Review for cyberready ,,hen R.,5.0,"March 28, 2022","Easy to use, quick implementation. User friendly",None. There isn't any thing that needs to be improved,CISO,Consumer Goods,Used the software for: 1-2 years
cybeready,CybeReady Blast review,"CybeReady solution help us improving our security awareness to the next level, highly recommend.",Oren K.,5.0,"March 28, 2022","The BLAST - Behavioral Adaptive Simulation & Training is a full-service solution, easy to use, accurate reports, good integration step by step guides and easy to implement.","Portal Analytics metrics Dashboard, I think more improvement can be done to simplify the analytics metrics .",IT Security Manager,Marketing and Advertising,Used the software for: 6-12 months
cybeready,The system is excellent and provides a perfect solution for studying information security in a compa,I love the system she gives a lot to the company.,yuval S.,5.0,"March 28, 2022",I most like the ability to send a phishing email.,I least get along with the reports in the system.,Cyber &System Lead,Pharmaceuticals,Used the software for: 6-12 months
cybeready,A good tool driven by an attentive team.,"a good tool, easy to use, easy to configure",Benjamin A.,5.0,"March 31, 2022","There is no need to connect the software to your IdP to use it A good pre selection of thema A ""configure and forget"" tool","dashboard could load faster, powerbi as backend is not the best solution but the proposed charts are relevant",M.,Commercial Real Estate,Used the software for: 1-2 years
cybeready,A must have software,,Guy A.,5.0,"March 29, 2022",Great service support and easy to use.,Nothing so far.,IT,Non-Profit Organization Management,Used the software for: 2+ years
cybeready,Good software,,Fede K.,4.0,"March 29, 2022",easy to set up does not take much time to administer,It is missing that the users are not synchronized with the active directory,IT Manager,Plastics,Used the software for: 1-2 years
