product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
infor_sales_catering,Making my Life easier!,I have been a huge advocate of reserve since I learned how to utilize it. It truly makes work easier and more organized!,Sarah S.,5.0,"August 10, 2018",Reserve puts everything in one place and makes life easy. It saves time in my busy schedule and keeps me organized. The email template and ability to look back on emails it helps me so much!,"For our business, reserve doesn't fit to golf tournament needs quite as well as I think it could. It would also be great if we could have a floor plan section of the program. Implementing the menus to fit to BEOs takes a lot of time some times but is also very worth it once done correctly!",Events Sales Director at Riverwalk Golf Club,Management Consulting,Used the software for: 2+ years
infor_sales_catering,Woodbine Entertainment Group Reserve Interactive ,"Our experience with sourcing, negotiating and implementing Reserve at our venues has been extremely positive at every level of the project. In October 2015, we decided that we needed to update our existing systems. Through our review and initial planning process we invited 4 companies to bid on our RFP. Of the four we invited, three submitted quotes which ranged by thousands of dollars. Reserve was priced in middle of the three slightly higher than lowest quote based on our initial ask but once we worked through our wants the final cost was substantially higher then we initially anticipated. Reserve was very understanding of our budgetary constraints in the initial year of our project and worked with us on a multi-year agreement that worked for both organizations. Throughout the demo and review phase of our process, Account Specialist Suzanne was very accommodating in making our times work for us, which included a very early west coast morning to accommodate an east coast group. Suzanne was very informative on the system capabilities and when she didn't have answers to the many of our questions, she would always engage the appropriate people who could provide the required answers. Suzanne remained in the loop from the initial call right through the implantation phase at which time Melanie and the implementation team took over. The implementation team at Reserve were equally as accommodating and very helpful in leading and assisting us with getting all three properties and eight sites ready for use. Their knowledge of the system allowed for us to change some of our own processes in order to maximize the software's power and efficiencies. Their process included weekly calls to keep the project on track and address any ongoing challenges and concerns. During the initial weeks Melanie's team was very helpful in finding work-a-rounds for some of our accounting and tracking processes. Since going live with our first property (3 months), Reserve has had 2 system updates, including some improvements we requested for our operational needs. They have been very receptive to adding additional system change requests for future development, which is very encouraging and reinforces the decision to go with Reserve.",Joseph A.,4.0,"September 8, 2016","- Having our Reservations, Event and Club Membership all in one system - Bread crumb feature - Great search functionality - Copy features VERY helpful & easy to use - Access from any internet connection on any device (phone access not a great experience but in a pinch great for quick info) - Extremely easy to use - Licensing model allows us to provide access to unlimited people within the organization - Event & Membership Leads module allows for review of sales teams efforts and performance - User rights functionality allows to set a number of user restrictions for different categories - Reporting Module very easy to use for creating reports - Great Customer Service & learning documents - Ability to set up View List with in the different Modules for quick access to information - Ability to email from within the system & auto-saving communication","- Report Module does not provide an option to access all report fields, currently fields available are based on type of report looking to create - Unable to quickly view asset inventory of rooms - Reservation Module cannot report on custom fields - Unable to inventory items in Reservation Module - E-signature limited in functionality, no counter signing option - E-signature requires sending in two separate emails - Limited billing functionality in Membership Module - Cannot create a regular event spanning multiple sites (operations gets confused using both Event Documents & Master Event Documents - Unable to print View Lists","Director, Hospitality & Event Sales",Hospitality,Used the software for: Less than 6 months
infor_sales_catering,Useful but not user-friendly,The ability to have everything on one site helped a lot. The communication between client and venue is also streamlined and simplified.,Verified Reviewer,3.0,"November 14, 2017","It is really useful and has great features. The design of the documents (event orders, contracts, etc) is customizable and nice looking.",It is a hard software to learn and not as user-friendly as one would think. The design of the software is dated.,Catering Director,Hospitality,Used the software for: 6-12 months
infor_sales_catering,Epic Sales Management Tool,"I have been working with Mike and Reserve now for almost 10 years and with all three of the companies I have been in a sales leadership role with. 5 years ago when I came to American Golf as the Vice President of Sales and Marketing for one of the largest Golf Management companies in the world, One of the first orders of business I had was to bring Mike and his team in. We needed to replace our aging, clunky, and hard to use CRM System and Reserve was literally the first thing I said to our CEO we need to start figuring out a way to bring on board. There is no better team on the planet to work with, and we have placed this decision to bring Reserve into American Golf as one of the best decisions this organization has made in a very long time. I know we have a partner not a vendor and look forward to many years of success with Reserve as the backbone of our sales processes and functionality.",Troy S.,5.0,"June 25, 2016","These ease of use and speed of training was the number one thing that got our attention. We were up and running within 30 days of having the data ready to load. Our team went from an archaic system to state of the art in less than 30 days. The other amazing thing about this software is that generational gaps simply do not exist. People of all ages and computer savvy successfully use the system everyday. Of course you have people who adopt things faster but we have not had anyone say this is too advanced or it is difficult for our more veteran sales people to use. Finally, The ability for the software to be customized to each person while still operating under the basic structure of what we want them to do is simply amazing!!! Having someone be able to tweak something that allows their brain to process things a certain way while still having us be able to monitor and track things at a global level is something other software can't do or can't do as well and with such ease...",If there was any flaw it would be that people can access it from anywhere with their user name and password. If you have hourly employees they can access it off the clock unless you have the steps in place to limit the access. I can't even really say that is a flaw because they have a solution for it you just have to remember to set the limits on people access if you want that to be the case.,Vice President of Sales & Marketing,Hospitality,Used the software for: 2+ years
infor_sales_catering,Change is Good!,"The customer service with ReServe is exceptional. We are able to get more detailed in our reporting and in this age of data and analytics, that is vital. Overall, it's just been a pleasure to partner with them.",Verified Reviewer,5.0,"September 20, 2018","The reporting and available functions. We were using an older version of the software, so it did take me some time to adjust to the cloud based version, but having used it for several months now, I love it. I typically find that if I ask support more questions about what I need it to do, the functionality is there, I just need to understand how to use it more efficiently.","Getting used to some of the changes with the cloud based version. This is nothing to do with the software, it's more to do with using something for 12 years and having to re-learn. As stated above, I have found that most of my concerns can be resolved with a little digging and time with support",Director of Sales,Food & Beverages,Used the software for: 2+ years
infor_sales_catering,Reserve User for 8 years,Customer service is great!,Verified Reviewer,4.0,"September 20, 2018","Cloud based system is accessibly from anywhere which is great. The system allows you to have multiple windows open at the same time, so you can work on multiple events/reports as needed. The chat system for help is great.",Some of the steps required to create or edit an event can be simplified.,Senior Sales Manager,Food & Beverages,Used the software for: 2+ years
infor_sales_catering,Great Software!,"Reserve Interactive is overall a really really good software. I find it quite easy to navigate. It has so many great features and after using it for a few months, I can't think of any that I would add. It has everything that I need. Their help desk and developing department have been amazing! It just seems that they really listen and care about their clients and software. I would highly recommend this software! Good job Reserve!",Tamara P.,5.0,"August 17, 2016","Let's start with help desk. They are excellent! Another major thing: Reserve Interactive listens to their clients and develops and upgrades their software accordingly. How awesome is that! Not every software company does that and I'm speaking from experience. There are a lot of features in this software that I really like such as; Love the way contracts, banquet event orders etc. look. Extremely nicely laid out, easy to read and very professional looking. I actually had clients comment on it. I love love love the ""internal note"" feature! Batch emailing feature is coming soon and I am super excited about that. Etc., etc.","I don't find ReserveU easy to navigate. I would love to see the ""search bar "" and just be able to type in what i need instead of going through the whole list. It's cumbersome and takes time, which most of us don't have. That's why I just chat with help desk instead :) Design of the home page and event page is something I'm still getting used to. I find it a bit messy for the lack of the better word, or just not very clear.",Sales & Catering Manager,Hospitality,Used the software for: Less than 6 months
infor_sales_catering,The implementation and support teams have been absolutely fantastic in helping with our transition.,,Verified Reviewer,5.0,"February 2, 2018",The best part about this software is that just about everything has the ability to be customized. I can create documents and reports that work best for me and my team and anything that makes our daily work schedules a little bit easier is a huge PLUS.,"Getting accustomed to a new software is always challenging, as everyone becomes comfortable with old practices. At this time, my least favorite part of this software is the layout. While I do enjoy customizing many things, there are things that are not relevant to my daily use (Personnel, Memberships, Reservations, etc) in this software that just clutter my view. With that being said, it is a new program to us and maybe I haven't yet learned all the navigation and capabilities of what is right now just ""getting in my way.""",Premium Sales Coordinator,Used the software for: Less than 6 months,
infor_sales_catering,Great Product,,Verified Reviewer,5.0,"August 20, 2018",Easy to navigate. Menus and items are easy to build. Safe and secure.,I have no cons to list. Works great for my business.,Accounts Manager,Restaurants,Used the software for: 2+ years
infor_sales_catering,Great Product!,"Most of our issues with not being able to run an accurate projection report and an accurate costs report are solved with the reporting feature. Otherwise, it works out so well to have auto-calculation of quantity and hours.",Kristal K.,5.0,"September 27, 2018",I was looking for more accurate reporting and it does anything I need it to do! So great in that way. The lifecycle makes sense for my organization and it continues to keep us from making as many operational and sales errors as we were before.,"Adding in items can be a bit clunky and there is some rigidity in the document production that makes it a bit difficult to mesh with our organization but in the grand scheme, not terrible.",Director of Special Events Operations,Food & Beverages,Used the software for: Less than 6 months
infor_sales_catering,"Overall, working with the entire team has been amazing from start to finish!",Increased sales team accountability and tracking has led to higher overall conversion rates and increased sales.,Samantha N.,5.0,"May 9, 2018","In no particular order: live chat functionality, CRM capabilities, ease of use, ongoing support and education, and Reserve's ability to adapt the software to our brand's very particular needs.",There are minor details or changes we'd like to have that aren't customizable without affecting other areas of the software - which is challenging.,Director of Sales,Entertainment,Used the software for: 6-12 months
infor_sales_catering,Reserve is easy to use and easily accessible across multiple systems.,,Kelsie P.,5.0,"July 11, 2018",I like that you can access Reserve on your Iphone or Android. It makes it easy to work from anywhere and check dates even when you are on a site visit with a client.,The event page has a lot of information to scroll through it is cumbersome to sort through. It would help if each user to set up the view on the event page so that the information that you need is at the top of the page.,Event Coordinator,Used the software for: 6-12 months,
infor_sales_catering,"I have been very pleased with the implementation, ease of learning and use of the system",,Mike B.,5.0,"March 29, 2018",I have found the customizable parts very helpful. I can make simple changes without having to have a team member from ReServe Interactive make changes. However if I have a problem the online chat is always there to get a quick answer.,Really I can say I don't have a CON with this. I have found it to be perfect for our needs and very easy to give training for new employees. it is very user friendly.,Facility and Maintenance Manager,Used the software for: 6-12 months,
infor_sales_catering,LV Review ,the entire team at Reserve are great to work with and help you to solve any issues that arise. Customer service is a corner stone of our business and we are happy to work with people that feel and operate the same way.,Lynette V.,5.0,"September 22, 2018",1.) Payment Processing Integration 2.) E-Doc Sign 3.) User Friendly,"Would like the ability to customize reporting more, but support is helping me with ways to accomplish what we are looking for.",DOS,Food & Beverages,Used the software for: 6-12 months
infor_sales_catering,Great Feature Rich Software,,Jennifer H.,4.0,"January 22, 2019",ReServe has improved the way we communicate with clients by storing e-mail communications directly within the software and allowing us to see at a glance where an event is within the booking process. It allows us to follow up with clients in a timely manner and helps us convert proposals into contracted bookings.,"There is a learning curve to using this software, information is stored on several different pages so it can be time consuming to update a change in all of the locations.",Events Manager,Hospitality,Used the software for: Less than 6 months
infor_sales_catering,Reserve Review,Loved Reserve Anywhere. Reserve cloud is more labor intensive to use - more steps to accomplish a BEO,Elizabeth M.,5.0,"August 18, 2016","ease of document creation, the support team is great","Software is missing crucial elements that we need- - the ability to print a call report of all the emails generated and received for an event, the ability to enter appointments in reserve that sync to google calendar, the ability to see how an item had been service charged or taxed after entering onto a BEO",Director/GM,Food & Beverages,Used the software for: Less than 6 months
infor_sales_catering,Quality Service,We use the program daily to book and help plan Weddings and other banquet events. Its been very helpful with keeping all events organized.,Katie W.,5.0,"September 9, 2016",,,Hospitality,Used the software for: 6-12 months,
infor_sales_catering,The customer support was great to work with. One of them was wonderful with the onboarding procedure,quicker processing time- more bookings- less money spent on stamps,Samantha L.,5.0,"August 11, 2017",Ease of use-cloud based- constantly customizable. reduces half of the time that used to be spent on setting up events,"We are a small company so having functions and events as separate things is not necessary for us. It is the only time that the staff gets confused, as they input the time line into the function but it doesn't show as event",Catering Director,Used the software for: Less than 6 months,
