product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
hatica,Fully featured analytics for development teams.,,Verified Reviewer,5.0,"March 27, 2023","It was important for us to have visibility into who is getting stuck in their workflows. This, combined with productivity metrics like code churn, provided us with insights we had no idea we needed. The fully featured nature of Hatica is what drew us to the platform.",Nothing for now. Will update my review if I come across any cons.,Software Engineer,Computer Software,Used the software for: 6-12 months
hatica,"Love the work analytics and slack based stand-ups, saves me hours of work ",,Verified Reviewer,5.0,"February 7, 2022","Hatica saves me hours of work by automating the standup. It also provides a loosely coupled, non nudging way to get regular updates from the team. The github related productivity graphs are industry first and i look at them to provide actionable feedback to the team from time to time. The insights are really useful for managers","Some configuration changes require raising a support request, would prefer to have them within the app",Chief Technology Officer,Computer Software,Used the software for: Less than 6 months
hatica,Async check-ins for distributed teams ,,Ashwin K.,5.0,"February 8, 2022",We’re a globally distributed team that uses Hatica’s stand-ups daily. We have been able to respect our global team’s time zones and allow people to work without interruptions by giving them the flexibility to provide their check-in at their convenience.,The product is still new and I’m waiting to see it develop.,Senior Director,Internet,Used the software for: 6-12 months
hatica,In line with the SPACE framework ,,Rohan S.,5.0,"April 5, 2022","I really believe in the comprehensive engineering management approach of the SPACE framework. I couldn’t find a tool that put the framework in practice, especially combining developers’ digital well-being and experience and productivity metrics. But I discovered Hatica and after using the platform and speaking with the founders about their approach to dev management, I am convinced that Hatica is the best tool to manage engineering productivity.",There are so many metrics that you’re able to measure - it can get overwhelming at first.,Software engineer,Computer Software,Used the software for: 6-12 months
hatica,Great experience,,Tarun J.,5.0,"April 5, 2022",So far having a great experience with Hatica. Really liking the DORA metrics and the maker time dashboard which are useful to measure my team’s meeting load and also identify whether they have enough time to concentrate on serious projects.,Platform doesn't have support to customise dashboards.,Associate software engineer,Information Technology and Services,Used the software for: 1-2 years
hatica,"Visibility, insights, and better decision-making",,Chandana C.,5.0,"January 15, 2022",Provides really valuable visibility that serves especially useful for remote and hybrid team management. Absolutely enjoy the daily and weekly work snapshots that give insights into our team’s progress. It helped us visualize where our efforts have yielded results and prompted areas where we have to align better.,"I’d like a little more autonomy while using the platform - for example, I’d like to filter metrics by branches - something that I can’t do yet. I hope to see them provide these self-maneuverable options.",Operations Manager,Internet,Used the software for: 6-12 months
hatica,Helps us take proactive action and deliver results on schedule ,,Ayush A.,5.0,"February 17, 2022",We’ve been using Hatica for our team’s performance metrics. Their reports feature makes our team management more proactive - We are able to identify and deal with issues as they occur rather than addressing the problems after they occur and this has helped our team to deliver results without delays.,"The platform is still new, so there are some potential avenues for improvement which I believe they’re working on. I’m excited about the new features that are in the pipeline.",Cofounder,Consumer Services,Used the software for: 1-2 years
hatica,One of the best tools to manage DORA metrics ,,Aditya S.,5.0,"February 18, 2022",I really wanted to optimize my team’s cycle time metric but was kind of working in the dark. We tried Hatica reports and we were able to identify issues and lags in our pick-up times. Our cycle time is now consistently meeting our benchmark goals.,Can the reports also include links or articles about industry averages and best practices? It would help to see how our team is performing when compared to big players.,Sr Software Engineer,Information Technology and Services,Used the software for: 1-2 years
hatica,Innovative platform that is simple to set up and use,The ability of the API to filter metrics by custom groups is somewhat restricted.,Abhishek B.,4.0,"March 27, 2023","To gain insights into how our teams function and what we can do to improve, we use the Hatica app. It gives us the information we need to increase the speed of our delivery and set effort priorities. My favourite feature is their activity heatmaps.",The ability of the API to filter metrics by custom groups is somewhat restricted.,Sde 1,Computer Software,Used the software for: Less than 6 months
hatica,Great for DORA metrics,,Naveen A.,5.0,"March 3, 2022",The best thing about this tool is that it provides a very easy setup and continuous updates into our Devops. We use the DORA metrics dashboard a lot and its been very useful in making our release quality better.,"I would suggest that they start building community support and documentation to help users self-navigate the platform. Right now, I had a helpful onboarding call but I also like having resources to access on-demand.",Director of engineering,Computer Software,Used the software for: 6-12 months
