product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
helpspace,HelpSpace is an excellent all-in-one solution that will handle all of your customer support needs,HelpSpace truly helped with solving these problems in our company: Hosting our technical help document. Creating Help centers and hubs for our saas products. Managing all of our support emails all in one dashboard. Making our company support experience seamless.,Max W.,5.0,"May 5, 2022","HelpSpace is an excellent all-in-one solution that will handle all of your customer support infrastructure needs in one place! From reconciling all of your company's support emails in one inbox, to creating, hosting help centers and technical document hubs. Plus generate fantastic widgets that you can place on your website to make your support process seamless. We switched from Help Scout to HelpSpace and couldn’t be happier! Before finding this gem (HelpSpace) we were using Help Scout for over four years, and the cost of Help Scout and lack of features were killing us and eventually became unmanageable. Additionaly you need to pay an extra monthly fee for almost every single feature in Help Scout! Meanwhile, HelpSpace is providing all of those features (plus extra) without any additional costs ( not to mention you can’t compare the cost of two platforms as HelpSpace is way cheaper!. Another advantage we have found in investing in and switching to HelpSpace is that their team has big plans for this platform, and they are rapidly developing & adding new features. Their support team is top-notch as well. The bottom line is is you looking for a support powerhouse, HelpSpace should be your weapon of choice. We can’t recommend it highly enough!",I genuinely don't have a bad thing to say about HelpSpace HelpSpace. It’s a truly solid support platform. It just needs some more integrations with other apps.,CFO,Marketing and Advertising,Used the software for: 1-2 years
helpspace,keep it up!,"We've got a userbase of several 1000 customers, with a mix of business enquiries and (mostly) technical helpdesk questions. It's excellent to triage & assign.",Kris V.,4.0,"September 8, 2023","It's simple, inexpesnive & API integrations are rather easy","The reason why I'm taknig the effort for this review: I think you'd benefit from adding a bit on the ""insights/reports"" section. I'd like to see trends in amount of tickets we get per user, per tag (is the nature of helpdesk tickets changing?), how much time my agent are taking to tackle tickets (this is a key metric for us: I'd like a max of 10' per ticket, but there's no way for me to monitor this). I know some are spending too much time on support but I have no metric to demonstrate this and to incentivce them.The time between opening & closing tickets is useful, but not super critical. I much more like time spent per ticket (should be possible somehow to track, I think)",co-founder,Computer Software,Used the software for: 6-12 months
helpspace,Value for money,Quick and simple. Very affordable.,Etienne B.,4.0,"January 28, 2022","Helpspace is simple to use, does the job and has some fine features that absolutely add value (knowledge base works well). For the price you pay, you get a good amount of software.",Helpspace does sometimes lacks features or professional UX that more advanced (and more expensive software) has. But for starting companies is a great choice.,Co-owner,Financial Services,Used the software for: 6-12 months
helpspace,A beautifully simple customer support system ,,Verified Reviewer,5.0,"February 17, 2021","HelpSpace had everything I needed to start a customer support system with limited time and resources. In a few clicks, I have a fully searchable knowledge base with my own branding and custom domain, saving me weeks. As well as help centre, there's also the option to host blog and documentation sites too - so if you have product updates, or technical documentation, you can have a separate website for each. As well as documentation, you get a customisable contact form/widget that doubles up as a pretty amazing ticketing system. My customers to get in touch, and I don't have to get lost in emails thanks to the system. It's pretty straight forward to set up, but their customer support is great and their documentation is pretty complete if you get stuck. Probably the best part is how all of this works together and embeds into my site. It's simple to customise and embed, and you can also customise it further using the JavaScript API. It's really flexible, so you can embed your help centre or 'contact us' widget as a large popup modal, or as a smaller widget. For example, my product is a newsletter editor, so on my editor pages, I trigger the HelpSpace modal from a menu item in my own navigation, rather than using their Widget button. Whereas on other pages, I display the floating widget button.","Whilst the app is pretty complete as an early product (at the time of writing this), there are still some smaller features in progress. They have a public roadmap though so you can see what's coming next, or ask the support team who are responsive and helpful in sharing the progress.",Creator,Design,Used the software for: Less than 6 months
helpspace,A helpdesk-platform-dream come true,"If you search for a helpdesk platform that is really easy to use and fast and - most importantly clearly arranged I can tell you: You found it. There are so many different options out there, but most are either cluttered with buttons and text or seem unfinished. Helpdesk is the only tool out there (afaik) that combines that simplicity with a really great UI to give your team a really amazing UX. My team has mentioned a noticable increase in speed of operation - because they intuitively find the right button to click and the platform also loads amazingly fast. And nowadays - especially in marketing - timing is key ;) Furthermore they offer such a great set of 3 amazing tools: Documentation, Help Center, Blog. Documentation is your digital manual for products or services, Help Center is your knowledge base and Blog is ... well a blog. All load very fast, look really professional and work extremely great. I had nearly no learning curve for my team as they found every option very fast. CONCLUSION: Helpspace might lack some features in this earlier stage but the features they offer are far beyond most competition. (Especially for the price!) They have an amazing support and development team so I'm sure they will amaze us in every single way in the future. It's not a huge set of unfinished tools which look and feel unfinished but the preferable less functions work great and are rock-solid. I'll rely my own and my clients businesses on them. And that's helpspace.",Mario K.,5.0,"January 14, 2021",• Multiple channels in one place to filter and guide topic related questions and always keep track. • Knowledge base and E-Documentation feature • Fast platform and reliable and efficient workflows • All you need to kickstart your business without wasting time in learning or clicking,• No direct message / Chat Now - feature (but that's on top of the roadmap) https://supportcenter.helpspace.com/article/148/roadmap • Some minor graphics glitches (e.g. headline line break in blog module) that are all fixed in no-time (had more but sent them a message two days ago and yesterday they were already fixed) • No option to select custom main color (for branding) - but that's not really important • Local german translation not 100% ready (but that's no problem as we mostly have international clients),Full-Service Design & Marketing-Agentur,Marketing and Advertising,Used the software for: Less than 6 months
helpspace,Neat simple and effective ticket management system with great support team!,Very satisfactory - been very reliable and this is the key!,Lukasz D.,4.0,"January 14, 2023",Pleasant Design and Being able to help with its translation.,Some rigidity and lack of implementation of features available elsewhere.,CEO,"Health, Wellness and Fitness",Used the software for: 6-12 months
helpspace,A well thought out purpose-built product ,"I have been pleasantly surprised by it. I absolutely love that while it has all the features I need, it is very simple.",Gaurabh M.,4.0,"March 3, 2021","Helpspace is a very well thought out product. Every feature is there for a reason and there is nothing that shouldn't be. This tells me that the team behind Helpspace has got a keen understanding of what I want as a user of the product. That said, they have also managed to provide flexibility and options where you need it, for example the idea of having different themes for the Docs feature is brilliant. What's even better is that they ensure that all their features work well together, such as the ticketing feature working with the Docs feature.","At the moment, I haven't found anything that I don't like. However if there is one thing I would like to request, it would be to make every feature with a responsive layout so I can easily edit even my documentation on my mobile device. (currently the ticketing feature is responsive and works well on the mobile)",Chief Product Officer,Information Technology and Services,Used the software for: Less than 6 months
helpspace,An amazing helpdesk that is beautifully designed!,"While looking for a suitable helpdesk solution for my startup I compared all the big named providers, all of which provide free plans for startups but restrict certain features that are important. After approaching HelpSpace and getting a response within minutes I was setup and ready to go. As I've already said it's a beautifully designed product that works incredibly well. So, if you are looking for a helpdesk or are looking to move...check them out!",Ashley Y.,5.0,"November 1, 2022","I love how well made this helpdesk is, it's clear and super easy to use. Setup took me less than 5 minutes with very clear instructions and great customer service. I've not been using it long and already I'm a big fan.",None - I've looked and cannot find any cons to this amazing software.,Founder / CEO,Retail,Used the software for: Less than 6 months
helpspace,"Excellent product, easy to use and bug free",I highly recommend it if you are looking for a simple ticket system. It has really helped me organize my agency's support system much better.,Gerardo M.,5.0,"February 16, 2022","I've been using Helpspace for a few months now and it's the best ticketing system I've ever tried. I really love it. It has the necessary functionalities to fit perfectly into my agency's workflow. There are too many tools out there, with too many features that complicate adoption and use. Helpspace is perfectly developed, without bugs. The UX UI is very well taken care of, being clear and clean. It is a simple but fast and effective software.","I would really like to see the option to add tasks. I am looking forward to seeing how they will incorporate tasks into the ticketing system but I am confident that it will be very well developed. Personally, it is the only functionality that is missing. I also think that the reports could be a little more complete. Perhaps to be able to see the information by company and not by user.",Company Owner,Marketing and Advertising,Used the software for: 6-12 months
helpspace,My best support solution for my company,,Eric B.,5.0,"February 16, 2022",Everything is easy to setup. From users to workspace to agents. The widget is easy to customise. For me this solution is so easy and powerfull that i is now my favourite solution to offer support to my clients.,It would be good to centralise all social media channels and receive messages in helpspace.,Founder,Consumer Goods,Used the software for: 6-12 months
