product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
rocketium,Rocketium is the best producer for your adverts.,"Since I am a planning engineer and often need to create pictorial reports on the project's completion and progress, Rocketium helped me produce my own clips through which I was able to explain the progress stages of work in audio and video with the addition of panels that include data, tables, and graphics.",Ayman S.,5.0,"October 4, 2021","Rocketium is a fantastic tool that is simple to use and allows users of all skill levels to quickly design and modify posters and films. It also allows you to build enormous posters and panels in a tiny amount of space that are easy to keep or share via e-mail. Rocketium's ready-made templates encourage design enthusiasm and the ease with which you can stick and remove images and backdrops, as well as change fonts and font sizes, making you feel like you're in a drawing class.","ِActuality, it is difficult to find unwanted things, it is very easy to enter the application, all tools and settings are clear and you can easily access them, also the automatic adjustments and presets provided by the application make the design and editing processes very easy.",Sr. Planning Engineer,Construction,Used the software for: 2+ years
rocketium,Fast and complete tool for Video Automation,We are in the media industry and thanks to Rocketium we were able to easily integrate their API in our CMS to let our Journalist complement their articles with video stories. This lets journalist with little to no video making training quickly turn around photo galleries and user videos in engaging short videos.,Enrico K.,5.0,"June 22, 2020","Rocketium system makes it easy and fast to create simple videos, what make them better than any other similar systems in their price range is the API that really lets you easily integreate and leverage their technology in your own workflow.","There is nothing i really dislike about it, in the last couple of years their team has really improved both their frontend and their API and have been attentive and quick to respond to any issues.",Senior Full Stack Developer,Online Media,Used the software for: 2+ years
rocketium,Better than others but still need further improvments,We're quite happy with it and looking for further improvments and consideration of the feedbacks.,Sumeet M.,3.0,"December 16, 2018","We've been using Lumen and certainly it's better than L5. As it has a feature of custom voice and theme for each slides. Secondly, it has more themes than other tools available. Also the music library is also large.",We couldn't create a single slide at the end with all the credits in it as the very same feature is available in Lumen5 and Wave. Secondly there's very limited free images and videos available to use.,Founder,Media Production,Used the software for: Less than 6 months
rocketium,Rocketium Rocks!!!,"Our customer had a requirement to create videos based on pre-approved templates. We integrated our solution with the Rocketium API to automate the entire video creation process. Rocketium's mixture of technology, template design and their people deliver quality at scale.",Richie M.,5.0,"June 16, 2020",Rocketium provides a platform to create high quality videos affordably at scale. Our original use case was outside of their offering but they were able to work with us to meet our requirements and added the features to their platform as part of the base offering. Their API is robust and their support is second to none. I highly recommend Rocketium.,"No cons to speak of, every hurdle has been addressed. With all API integrations there is a learning curve but nothing too painful...",President,Media Production,Used the software for: 6-12 months
rocketium,Great platform for creating programatic videos,"We needed to quickly create thousands of videos, and the Rocketium team was helpful in setting us up to do that.",William R.,5.0,"July 15, 2020","The API makes it easy to generate video files at scale. Rocketium was able to translate our video template into a design and JSON format, so that we could creates many videos with unique content. [SENSITIVE CONTENT HIDDEN] from the custom success team is very helpful in troubleshooting issues and helping our team get results.","A few parts of the API documentation were a bit confusing, but the customer success team helped clarify.",Director of Product Management,Online Media,Used the software for: 6-12 months
rocketium,Great video editing app!,,Elena P.,5.0,"February 7, 2018","I use the free version, but I also tested the paid version (which, of course, gives you a lot more to play with). The free version, although limited, is still pretty good to help you make a great looking video, if you don't mind the Rocketium logo at the end. I like the fact that they have free photos and clips inside the app, which you can insert into your videos. Of course, you can also use your own. It's easy to use and anybody can learn it quickly enough.","The Rocketium logo at the end, but that's the price of free :). You can't do a lot of things with the free option, but you can do enough.",Data Analytics & Logistics Manager,Used the software for: 1-2 years,
rocketium,Functionally usable and good,,Mark S.,4.0,"April 18, 2019","It's a straightforward UI that allows you to get your video up and out there fast. I like that it allows switching between slides and customizing very efficient, where some others are a bit clunky. It renders video fast compared to some others, as well, though it's nominal. The ability to add voice to the videos is a great feature too. Adding images and music is simple and easy.","I can't get past the feel of their templates. It's just ... a bit older feeling. Slightly outdated ... can't put my finger on it, but it just doesn't have the modern look that is mostly expected. But the bottom-line is ... get your content out there and this does that.",Profit Executive,Marketing and Advertising,Used the software for: 6-12 months
rocketium,Leading solution,,Oliver B.,5.0,"August 5, 2019","There’s stock quality videos available for free within the app, meaning you can quickly build professional looking videos with ease. This is a standout feature in this category. If you need to create cheap but good social video ads, I recommend this tool.",Mobile app is a good idea but needs a fair bit of work.,SEO Strategist,Financial Services,Used the software for: 2+ years
rocketium,Give Rocketium the title of World's Easiest Tool to Create Social Media Video ,,Naveen D.,5.0,"March 20, 2018",I love using rocketium !! They made the complex process of creating Videos in a matter of few minutes. I used to create videos using After Effects which used to take a really long time to create a single video but after using rocketium . I can pump out many videos in a matter of minutes. Thak you so much rocketium team.,I would never say this as a con but there are only a few templates in the basket but I strongly believe many templates are being baked and will be served hot and fresh soon to the rocketium customers.,Visual Designer,Used the software for: Less than 6 months,
rocketium,Rocketize your Content Marketing Effort,Amazing!,Ron Elius S.,5.0,"July 22, 2019","The ease of use is what I love about Rocketium. The video templates cater to my chosen industry, and that’s a huge help for us because time is saved for customization not searching blindly in the age of information overwhelm.","Customization is limited for different templates but anyways, it's way better than a boring video that had no value in it.",Freelance B2B Copywriter for the Food & Beverage Companies,Marketing and Advertising,Used the software for: 1-2 years
