product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
ninja_reports,Great product for easy daily PPC reporting,I save a lot of time using this product. Daily reports of my PPC campaigns in my inbox are a dream come true!,Brandon S.,5.0,"June 27, 2018",Quick and easy reports in my inbox every day that outlines my ROI and spend across several channels including Google and Facebook,Wish there were a few additional channels for reporting but the team at Ninja Reports has informed me they are working on it and will release updates soon. They have been very responsive to changes/updates so far.,Operating Partner,Used the software for: 1-2 years,
ninja_reports,I've used Ninja Reports free email reports and it's very use to use.,Easy way to read analytics for people who aren't familiar with Google Analytics,Verified Reviewer,4.0,"June 26, 2018",It's very user friendly. I linked my Google Analytics account and it was instantly ready. I added emails so we get a weekly report and I forgot about it! It's nice that it doesn't require maintenance or updating.,I wish it was more customizable; I would like to change the metrics I see in the report but maybe this is possible with a paid account.,Managing Editor,Used the software for: 6-12 months,
ninja_reports,Unable to get Facebook account to sync/integrate,Uhm....,Chris W.,1.0,"June 26, 2018",The sample report. It's amazing. It looks like the best solution I have seen yet for our agency to pass along to clients.,"The part where it doesn't work for me. You see, I sync/integrate my Facebook account with my twenty something ad accounts, set a report to be scheduled and it never comes. When I go back in, the integration with my Facebook account is gone. It's like it never happened.",Chief Marketing Scientist,Used the software for: 6-12 months,
ninja_reports,Get this and you will regret why not get it sooner...!!,Glad that I got it and really want to explore more how to get the most out of it.,Matt S.,5.0,"December 2, 2022",1. Provides all the information you need2. Keeps you safe on the road3. Shows you are in control and ahead of traffic,"Not much....If there is a way to customize the UI for some functional use / specific use would be great. But at the moment, the UI is pretty clean and neat.",Director,Media Production,Used the software for: 6-12 months
ninja_reports,"Well priced, decent software, which lacks certain important features","Not many, Signed up for the free trial and in the end decided to go with a better solution. I feel like they have the right idea but need to make it more customizable",Verified Reviewer,5.0,"June 26, 2018","Integrates with analytics, adwords and facebook ads. Can schedule reports to run automatically. It is one of the most affordable reporting solutions on the web","Cannot edit the physical report, they include all the important stats but you cannot pick and choose. We use a manager account for adwords, and it's not possible to physically go into the manager account and choose which accounts to have a report for, it just takes the entire mcc. It's not possible to add multiple data sources to one report as well.",search engine strategist,Used the software for: Less than 6 months,
ninja_reports,NinjaCat Pulls From Multiple Platforms to Try to Ease Reporting,"Overall, I think that NinjaCat does make reporting easier, however I think it could be simplified to make it a bit more user friendly for someone that is not as familiar with the various tactics and quirks of the platform.",Tara T.,3.0,"December 10, 2019",It is convenient that you can save templates to pull on an as needed basis and only need to update the necessary information month over month.,"There can be issues access data when there are multiple users trying to pull reporting at the same time each month, which I have seen in the recent past. Also it makes it more difficult to use that you cannot use keyboard shortcuts or cut and paste images from other sources. Screenshots need to be saved, then uploaded in order to include them in reporting.",Account Manager,Marketing and Advertising,Used the software for: 6-12 months
ninja_reports,"Great All Around Analytics, Social & PPC Reporting Tool",Makes reporting much faster than it was before with other tools. I estimate I save 10-20 minutes per report with this tool after all my client profiles were setup.,Megan R.,5.0,"June 29, 2018","This is a very robust tool for a lot less than the other guys. I have used lots of other tools, some were wonderful but expensive or the right price but limited to Facebook reporting. I really wanted something I could compile all my clients different parts of the business from Google analytics to Facebook, Twitter, Adwords & Facebook ads. This tool does everything I need and nothing I don't need. I use it only for monthly reporting.",Took me a couple attempts before I understood the difference in templates & the individual reports. I do not like that that any small change I need to show from client to client requires a different template. There are only so many templates available to use for the base subscription before you have to upgrade.,Head Wanderer,Hospitality,Used the software for: Less than 6 months
ninja_reports,I had mixed of experience with this tool. It has great features helped in getting great insights,,Verified Reviewer,4.0,"June 26, 2018","Easy to use, flexibility, on track reports, great insights, weekly tracking, and updates, faster loading time, etc.",one thing I particularly didn't like about ninja reports is it sometimes used to give generic reports which we can easily get somewhere else. The insights sometimes didn't used to be great,Senior SEO Executive,Internet,Used the software for: Less than 6 months
ninja_reports,Automated Reports at a Great Value,Nice automated reports for clients.,Verified Reviewer,5.0,"June 29, 2018",Ninja allows me to automate client reports so I don't have to worry about it. And the pricing is very attractive compared to similar platforms.,I wish there were more data integrations available such as Facebook ads but apparently it's coming soon.,Owner,Used the software for: Less than 6 months,
ninja_reports,Easy to use and understand visual reporting tool ,,Mike P.,5.0,"June 27, 2018","The easy integrations take seconds and setting up recurring reports is a snap. You can get updates daily, weekly or monthly.","Would like to be able to add more statistics from Google Analytics such as: top pages, goals, referrals etc.",Sales Development,Used the software for: Less than 6 months,
ninja_reports,Well worth the money for great looking automated reports,Saves time. Adds credibility to clients.,Kevin B.,4.0,"June 26, 2018",Ease of use and set up. Reports are very attractive and lens credibility to our clients. Saves much more in time than the small monthly fee.,Small learning curve. More customization would be good but for a small monthly fee you cant expect too much personalization.,Pres,Marketing and Advertising,Used the software for: 6-12 months
ninja_reports,Facturas online,"Permite simplificar la modalidad del envío de factura en varios clicks, ademas de poder instalar la aplicación en tu teléfono celular y poder crear las facturas desde donde te encuentres.",Cesar C.,5.0,"April 13, 2020","Excelente software de modalidad libre, que permite crear de forma muy fáciles con plantillas predispuestas, facturas para enviar a tus clientes. Ademas te ofrece muchas herramientas, como aviso de lectura de emails, y estadísticas de venta, compra y gasos. Tiene muchísimas funciones para poder integrar con el trabajo habitual de tu empresa. También es posible para los conocedores, ingresar en el código de programación de la factura y cambiar o modificar desde allí lo que desees.","Si intentas utilizarlo de forma gratuita, hay varias opciones que no estarán disponibles para hacer modificaciones, eso limita un poco el estilo de trabajo que quieras o necesites crear.",Gerente General,Telecommunications,Used the software for: I used a free trial
ninja_reports,Great overall products; haven't had any reason to contact customer support which is a good thing .,Better email marketing campaigns with more in depth customer reports then I ever had before .,Kevin M.,5.0,"June 28, 2018","Organization , ease of use and easy to read and comprehend. The best easy to use email campaign marketing software in my opinion. The detail of analytics is unmatched by most competitors websites. Love love love the adwords reporting tool.",Not to many downsides to this software. Took me a little bit to get familiar with using a email builders/scheduler but learning to use one takes your marketing to a whole other level. Overall love this product and the fact that you offer a free trial,Sales Representative,Telecommunications,Used the software for: Less than 6 months
ninja_reports,"Good tool, but no need",,Ievgenii R.,5.0,"July 2, 2018","Easy start, build in integrations, no coding needed.","Too simple for our purpose, limited amount of integrations, competitors are more powerful and cheaper (free). Tool can't solve all requirements for reporting. Building as additional tool - too expensive.",Head of BI,Used the software for: I used a free trial,
ninja_reports,I've been using Ninja reports for quite a while and I've always had a good experience. ,easy to use makes me optimize my time on setting things up.,juan pablo P.,5.0,"June 26, 2018",I like the fact that it provides cool templates and a very powerful widget library. I like also the option to have a woocommerce add-on.,sometimes it doesn't load very fast. I've read about some serious security vulnerabilities and that makes me worry.,Web Designer,Consumer Services,Used the software for: 1-2 years
ninja_reports,"The software is fantastic and is great for automated reporting, especially with AdWords.","It made it incredibly easy for me to generate reports automatically, and send those reports to clients.",Dennis U.,4.0,"June 29, 2018","I liked how easy it was to set up an automated report, and the reports themselves are very nicely displayed. I also like that it's easy to whitelabel.",The cons are the level of customization the software currently offers. Not being to instantly generate and look at a report is a negative. The only way I found to generate reports is with the weekly or monthly option.,Owner,Marketing and Advertising,Used the software for: Less than 6 months
ninja_reports,"Tedious, aggravating time with customer service",,Jessa H.,3.0,"June 29, 2018","I had used this software with a previous agency and really like the format and ease of understanding the reports, so when I brought ads management in house, I really wanted to set this up for our team.",I cannot get the test reports to set up. It says they are sending daily but have never gotten a report. Customer service originally started helping me then when I was still having the issue. I reached out again in a new ticket and was told that it will not work because of Facebook's new security and privacy policy settings. This was never originally brought up to me so I spent a lot of tedious time trying to get a product to work that the team knew wouldn't.,Marketing Manager,Used the software for: Less than 6 months,
ninja_reports,Simple and Seamless.,,Kyle S.,5.0,"June 26, 2018",I loved not having to use Google Docs to create my own reports. Professional layouts and reports were generated automatically and it helped free up a ton of my time.,If you're just starting out - there are no cons. This will have everything you need. I'll be using NR for a while.,Owner,Used the software for: Less than 6 months,
ninja_reports,Used in a trial basis for our clients. Tried a few reports.,,Luiz A.,3.0,"June 26, 2018","It's really easy to get your reports rolling, almost no effort at all. Linking accounts was easy too, even our non programmers could do it.",The visual of the report in itself is very bland. I really wish to customize it for each client as some of our clients utilize another language (portuguese).,CTO,Marketing and Advertising,Used the software for: Less than 6 months
ninja_reports,"Good way to automate reports for clients, it sends it automatcally","Not much really, facebook ad manager can now do everything ninja reports do without leaving the platform.",Gustavo A.,3.0,"June 29, 2018",Ninja Reports is really easy to set up and automate reports. These reports can be sent daily if needed.,Not much is going on with the reports its dead simple and with little to none customization is really hard to recomend over the competitors.,VP,Used the software for: Less than 6 months,
ninja_reports,Difficult,,Madison P.,3.0,"June 26, 2018",I like what this software *says* it will do. I would love to have automatic reports sent to my company and clients.,"The integration with Facebook will not work, and I could not find any FAQs to assist. I worked on this for quite a while. It was very frustrating.",CTO,Used the software for: Less than 6 months,
