product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
prefix,Quick insights and easy setup,Prefix allows us a quick view of how all of our web apis are behaving and if there any unexpected errors or performance issues we need to address. Using it in conjunction with ReTrace provides even deeper insights without slowing down our production code.,Scott W.,5.0,"December 16, 2016",Easy to setup and use.,Getting detailed logging can sometimes take playing around with your config settings to get the ideal results.,Systems Architect,Computer Software,Used the software for: 6-12 months
prefix,Awesome product bugs beware,This is by far the most wonderful bug tracking and fixing tool I have ever used. I helped solve a lot of performance issue in my project and meet my deadlines,Michael M.,5.0,"December 20, 2016",,,Software Developer,Individual & Family Services,Used the software for: 6-12 months
prefix,Easy to use and help me in identifying issue in our applications,I have been using prefix for awhile now and issues it identifies are spot on. It has helped me so much in writing better code hy reducing how many calls to our database i was making and help me identify exactly why a few pages where taking so long to load. It is a great product and i am looking forward to seeing what stackify comes up with next.,Patrick M.,4.0,"December 16, 2016",Easy to use and clearly shows you exactly where any issue may be happening,When new updates cone out i have had to renstall the product instead of just an upgrade,Senior Software Developer,Publishing,Used the software for: 1-2 years
prefix,Awesomeness,"By far one of the best and easiest to use profiling tools I've ever used. Most of the other tools are either to hard to setup or don't give me what I want. Prefix shows me exactly what I need to see on one screen, exceptions, SQL queries from EF, load times. It has become a tool I use daily for software development",John H.,5.0,"December 22, 2016",Easy to setup Easy to use and understand Pretty much all the info I need to debug and tune my apps,None that I can think of,Senior Information Technology Consultant,Information Technology and Services,Used the software for: Less than 6 months
prefix,"A great, non-intrusive profiler",,Emre S.,5.0,"May 30, 2017","Just use it out-of-box. Without additional configuration or whatsoever, it tells you more than you need. Great tool to measure query times, inspect memory leaks, hidden exceptions.",Stack trace is already good now but it think guys behind this awesome product can do better in that area. UI filter can be improved a little as well.,Software Developer,Internet,Used the software for: I used a free trial
prefix,Extremely valuable free tool for .Net devs,Within 60 seconds of using Prefix I discovered a nested loop that was performing over 100 DB calls that I was completely unaware of. This was after 3 different senior devs had already attempted to optimize the exact code in question for performance. I was instantly sold on the product.,Ben B.,5.0,"December 15, 2016",Quick to discover problem areas in running code. Free. Quick to install. New features being added rapidly.,Sometimes it's a little confusing when the prefix icon appears in the system toolbar (on windows) if prefix is really running and taking up a lot of resources or if it's just in a sort-of idle mode.,Used the software for: 6-12 months,,
prefix,Very easy to install and configure,,Lincoln Q.,5.0,"August 29, 2017","You start to profile you application within seconds. You can find exactly what you searching for. Profile database times, ORM times and all other stufs that matters.",,Arquiteto de Soluções,Information Technology and Services,Used the software for: I used a free trial
prefix,my goto tool to debug sql and mvc,,Adrian T.,5.0,"December 6, 2017","So easy to set up and works instantly, Haven't found a single issue as of yet that would make me think negative about it.",,Used the software for: Less than 6 months,,
prefix,"Slick, smooth and easy to use","I've been using Stackify's Prefix offering to help identify bottlenecks in both new and legacy websites. The ability to see SQL queries along with the various web requests is an absolute god send. When you find that request that should be using a cache but is smashing the database, those problems get solved so easily with Stackify",Nikolas R.,4.0,"December 21, 2016",It's ease of set up. Getting up and running is (almost) as simple as install and go.,Sometimes the Visual Studio integration can be tricky to get to work. I'm yet to try profiling custom code with it.,Senior Developer,Public Relations and Communications,Used the software for: 6-12 months
prefix,Best profile tool,A must have tool to profile asp.net application. Be able to check how many SQL requests are made to database and check what are they is a real pros ! (Entity framework generate some mess sometime),Julien M.,5.0,"December 16, 2016",Profiling by requests SQL requests,Partial dotnetcore support,Développeur Xamarin (iOS/Android/Windows),Computer Software,Used the software for: Less than 6 months
