product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
reflektive,"Functional and useful, but some small UI changes would help",,Melvin L.,5.0,"October 27, 2019","Easy to use, customizable. Has a great workflow which makes it easy to do evaluations. Like the fact the site is fairly lightweight.",No way to compare quarter to quarter performance without opening up multiple tabs for referencing. Does not autosave.,Media activation manager,Marketing and Advertising,Used the software for: 1-2 years
reflektive,Makes Performance Management so much easier,I had a great experience with it and thought it really improved the way we handled the performance management process. This tool is continually growing and looking forward to see where they take it.,Verified Reviewer,4.0,"July 7, 2020","My favorite thing about Reflektive is that it brings most of the activities for Performance Management right into a users Outlook. They can give and receive feedback, prepare for a check-in with their manager and also update their goals. Really like this tool and how it looks at Performance Management. Helps bring about a continuous process.",Sometimes the app in outlook was a little buggy and had a slight issue with SSO sometimes. We were able to get around this but did have a few slight issues with this.,Learning Specialist,Medical Devices,Used the software for: 1-2 years
reflektive,"It’s me, not you, Reflektive.","To be fair, our organization perhaps is leveraging Reflektive differently from other organizations. Real-time feedback/compliment is our secondary goal; performance measurement (eg annual review) is our primary objective. The goal-setting functionality is truly subpar; even the most rudimentary rich-text formatting functions are missing. Worse is the “reporting” feature when you retrieve the annual goals. I cannot in my right conscience recommend Reflektive such a use case.",Verified Reviewer,3.0,"August 11, 2020","The UI/UX is largely intuitive and self-explanatory. SaaS built in the modern era should not mandate any training but a 2-minute quickstart. Anything but, in my humble opinion, defies end users’ expectations. Reflektive, fortunately, belongs to this IKEA-like category. Unwrap, fumble a little bit, assembled!","There are a few things that don’t sit well with me. However, I like least about Reflektive’s lackluster Outlook integration. Our organization uses Office 365, and the streams of scheduled updates often break the Reflektive addin. When it breaks, the addin doesn’t break quietly. You cannot snooze the Reflektive quite as easily as Clippy the Paperclip.",Senior Product Manager,Financial Services,Used the software for: 2+ years
reflektive,Decent Talent Management System,,Sarah P.,4.0,"July 19, 2024",Reflektive had good reporting features and 360 feedback distribution.,Reflektive eventually did not meet our needs.,People Operations Specialist,Computer Software,Used the software for: Less than 6 months
reflektive,"Does what's needed, nice UX, could use some improvements","By using Reflektive, it's been easier for our team to recognize each other's accomplishments in front of colleagues and we're enjoying the ease of positive feedback.",Verified Reviewer,4.0,"December 19, 2019",The Slack and Gmail/GSuite integrations work well and our team utilizes both frequently. The recognition wall and anniversary functions especially get a lot of use in our office.,"The process of building a review can be clunky and confusing, since there's no easy way to see which questions are being designated for self/manager/peer, which is an essential function of the product. There's also no mass edit option, which is frustrating, and means that building or editing reviews can take a while for something that should be fairly straight forward.",Brand Marketing Assistant,Entertainment,Used the software for: 6-12 months
reflektive,Reflektive for Company Goals,"Reflektive was average. It could get the job done, but I would make sure to do some side by side comparisons with other similar tools before making a final choice",Verified Reviewer,3.0,"July 21, 2020","It was one place where all company goals could be seen, with the option for public goals (transparency, visibility)","The workflow wasn't horrible, but it also wasn't the easiest to use either. There were a decent about of complaints from employees, though we ended up moving to another tool where the workflow is possibly even worse","Sr. Manager, Engagement Management",Marketing and Advertising,Used the software for: 1-2 years
reflektive,Reflektive Review!,,Sierra H.,5.0,"October 9, 2018","How easy it is for our team to shout out and celebrate employees- helps employee morale and a really easy, positive thing to implement.",Nothing I can think of- I really like how it links to our slack.,Recruiter,Food & Beverages,Used the software for: 1-2 years
reflektive,Easy to write peer reviews,,Verified Reviewer,4.0,"April 3, 2019","Doesn't seem too sophisticated of a program, but makes it easy to write and receive reviews.","Design and layout seems to be simple, almost too simple and not as sleek as you might expect",Sales,Information Technology and Services,Used the software for: 1-2 years
reflektive,Simple and easy to use,,Kenneth P.,5.0,"May 4, 2018",The ui is sleek and modern. There isn't a whole lot of fluff in the console. Goal setting is straight forward and simple. The overall console is easy to use.,The UI is really empty looking. There isn't a whole lot to look at or helpful documentation guides that stand out to the individual.,Deployment Specialist,Used the software for: Less than 6 months,
reflektive,Reflektive is a decent tool for tracking 1-1's ,Overall the product is good enough it just didn't manage to take hold in my company.,Verified Reviewer,4.0,"September 30, 2020",It is a great tool for tracking goals and 1-1's. The goal tracking is especially well done as goals are easy to capture manage and thus achieve.,"The thing I least like about Reflektive is it's just hard to reach. With other tools, there are great slack integrations or desktop apps. With Reflektive people just didn't want to visit the website.",UX Designer,Computer Software,Used the software for: 1-2 years
reflektive,"Your Complete Performance Management, Employee Engagement and HR Analytics Tool","Overall I love that the tool comes with performance features, engagement features, and HR analytics. It's a complete tool for your organization.",Gustavo O.,5.0,"June 15, 2021","What I love most about this platform is that this is a complete system for your organization. HR teams can manage performance, employee engagement, and HR analytics. This make it so easy for users as well! Instead of having to go to different platforms for performance reviews, check-ins and engagement surveys - this can all be done in one place. The tool also sends you emails reminding you about your check-ins, reviews, and surveys.",I think that the one issue is that it can be really easy to forget to use Reflektive. Although the platform does send you weekly reminders for checking and quarterly emails for performance reviews - it can be easy to forget to use it. It still feels like an extra step when you have to log in every time to use it.,Sales Development Representative,Financial Services,Used the software for: 2+ years
reflektive,Super simple,,Verified Reviewer,4.0,"August 1, 2019","Reflektive is SUPER easy to use. All of your goals, reviews, and feedback from your manager and coworkers can easily be logged. My company also uses this as a sort of platform for general positive feedback among coworkers on a monthly basis, which is a great thing to see","I think it would be great if Reflektive actually just did more things. It does what it does really well, but seeing them integrate more features that would benefit the manager-managee relationship would be really great too. Why use 5 tools when you could just use this 1 for everything?",Email Marketing Associate,Internet,Used the software for: Less than 6 months
reflektive,"Simple concept, easy to use.",Reflektive is a good way to provide reviews and self check-ins. It could benefit from having more features and I would definitely like to see improvements on how it handles text formatting for it's inputs. Good software but with a lot of room for improvement.,Verified Reviewer,4.0,"October 12, 2019","Easy to use, UI is relatively modern and streamline.","Could benefit from having more features, some text areas should have rich-text support and, if possible, markdown as well. Sometimes you copy a formated text, and it displayed correctly formated on the text area, but once you save you lose all the formatting.",Software Developer II,Computer Software,Used the software for: 6-12 months
reflektive,Fun concept,"self-assessment, team performance evaluation",Verified Reviewer,5.0,"February 20, 2019","Accurate, easy and time-saving. additional great features like team review, co-worker reviews.","It has a very defined performance rating and draws a strong line which puts either good or bad category, whereas there needs to be gray area while doing reviews for human work.",Quality Engineer,Automotive,Used the software for: 1-2 years
reflektive,Reflektive,,David B.,5.0,"October 2, 2019","Great hr application. Define goals, post pictures.",No cons that I can think of at the moment.,Sales,Public Safety,Used the software for: 2+ years
reflektive,Easy to use,,Kavita S.,5.0,"December 12, 2018",I liked how easy it is to use. To enter and see and archive.,"I don't like that when you are approving, there is no fail safe to make sure it is all done. Since the percentage wasn't changed I missed out on a bonus.",Accounts Payable Specialist,Broadcast Media,Used the software for: 1-2 years
reflektive,Reflektive Review,,Olivia S.,4.0,"March 3, 2022",The layout in each prompt is easy to use and it's easy to see how many fields you have to fill out. It allows you to save your progress and come back to it later on without submitting it.,The reminders of where you left off blend in with the new assignments and the constant band reminder distracts from the work at hand,Account Executive,Food & Beverages,Used the software for: 1-2 years
reflektive,Not User Friendly,Started off strong but not the tool we were hoping for.,Verified Reviewer,3.0,"March 3, 2020","Great features that, if implemented correctly, would be useful. Ability to use with Gmail is great for on-the-spot recognition.","Not intuitive for the end user, too many clicks to get to the functionality needed. Cascading of goals was not a simple process and easily misunderstood by end users.",Talent Acquisition,Computer Software,Used the software for: 6-12 months
reflektive,Good employee engagement software,-overall positive experience,Alicia D.,4.0,"January 11, 2022",-easy to submit employee recognition -easy to create and track the progress of goals,-would have liked to see more reporting capabilities on peer to peer feedback,Account Director,Marketing and Advertising,Used the software for: 1-2 years
reflektive,Pretty straighforward,,Joshua D.,3.0,"December 12, 2018","Fairly easy to use and user friendly, not much training needed.",Haven't come across anything I don't like yet.,Workforce Management Analyst,Hospital & Health Care,Used the software for: Less than 6 months
reflektive,Holistic performance management platform,"I appreciate that Reflektive combines performance goals, reviews, recognition, and coaching into one platform. I like this more holistic approach which focuses on developing and supporting employees, instead of simply evaluating them.",Meghan W.,4.0,"December 11, 2019","I like that my goals, performance reviews, 1:1 agendas, and company recognition is all in one place. I appreciate the recognition wall which helps create a culture of appreciation and graciousness, and I appreciate that we can share our goals within our organization so we can ensure we're aligned and transparent.",Setting up goals and aligning them with team members was a bit confusing and felt almost over engineered.,UX Researcher,Information Services,Used the software for: Less than 6 months
