product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
format,Best website service out there!,"I’m able to use this service for all my online display needs. As a photographer, it’s critical to be able to display my professional portfolio as well as individual client galleries, a contact and services page and list of qualifications. This service allows me to EASILY customize and provide all of these.",Lydia B.,5.0,"October 22, 2019",There’s nothing I don’t like about about this software. I can’t wait to be completely switched over from my current website provider. My favorite thing about this service is the ability to easily manipulate my website from the app.,Honestly I can’t think of a single thing I don’t like about Format. Other than maybe the fact that everything in life can’t be this easy and friendly.,Freelance Photographer/ Studio Owner,Photography,Used the software for: 2+ years
format,There are better options now,"At the time I started my website, Format's pricing was competitive with the market. It seemed to offer enough features and service quality to be worth the price. Now that a few years have passed, it seems there are more cost effective options.",Heather F.,4.0,"November 16, 2022","It seemed to be really designed with creative professionals in mind. I liked that I didn't have to skim through tons of templates and features for blogs and other non-portfolio based website structures. It also has a great design sensibility. I felt I could easily create a clean looking portfolio that emphasized my artwork, as opposed to distracting the user with a flashy design.","For the price I was paying, I felt that I wasn't getting the most out of my investment. The caps on the number of images or projects I could include felt very limiting, but the next tier of subscription felt above my budget and was filled with other perks and features that I didn't need and didn't want to be paying for.",Freelance Designer and Artist,Graphic Design,Used the software for: 2+ years
format,Cancel Culture Thrives at Format ~ They Censored Hundreds of Hours of My Work,"Format decided that some of my edgier content violated their terms and services so they cancelled my service leaving me without a website. This could have put me out of business or lost me important opportunities ~ we'll never know ~ and they wouldn't even tell me what exactly I did that violated their paragraph #428 Section 3, paragraph 16, line 87. Decent software but a bug fail on this aspect. Perhaps they folded when they got an anonymous compliant? Or maybe they just don't like art, free expression, ideas and open dialog? All I know is they are against my free speech even though I was very careful to be legal, polite and correct.",Frank P.,3.0,"September 5, 2020","I like the software quite a bit although like anything there is a learning curve and you have to have some design and web experience to get the most out of it. I know that I could never afford the one-off coding that went into their system. When people complain about boring templates they don't realize that the Format app allows you to drastically change the look and feel of each template, enough so that you can be unique and make it your own. I think the customization of their templates is their most powerful attribute.","While the mobile versions look good on most phones, not so much with tablets. And while you can use the mobile app to possible correct a typo (maybe) you really can't design a full website from your phone.",photographer,Photography,Used the software for: 2+ years
format,"The ABSOLUTE BEST WEBSITE BUILDER for artists, photographers, and creatives!","CUSTOMER SERVICE is top notch, and many of them are artists themselves. I love those folks, they’re all very friendly and helpful.",Jay L.,5.0,"November 17, 2019","GORGEOUS, BEAUTIFUL, and CREATIVE themes made for artists. The themes feel like you walked into a web site gallery! No unnecessary clutter that distracts the viewer from the artwork. The software is kept up to date and its easy to use.","No problems , I like it once I learned how to navigate it.",Art Teacher and Photographic Artist,Photography,Used the software for: 6-12 months
format,Great Marketting Tool but in need of updates for photographers,"Really incredible, their customer service is second to none, everyone in the team is very knowledgeable about their software and willing to walk you through anything you need to know",Verified Reviewer,5.0,"October 10, 2018",This is a great visual software that showcases my work really well,The best photography display option for me does not go fully across the screen- it would be great to have a bit more flexibility with the software to enable this and other updates so that the display matches the current trends.,Lifestyle and Advertising Photographer (specialising in Kids),Photography,Used the software for: 2+ years
format,Beautiful website for creatives,,Verified Reviewer,5.0,"December 31, 2018","Easy to use, simple, designs up to date and responsive","Even though the company is based in Canada (Toronto), there is no option to be charged in $CAD.",Productrice et Réalisatrice,Broadcast Media,Used the software for: 2+ years
format,Basic photo sharing site with tons of issues,,Greg G.,3.0,"May 7, 2019",I used Format to set up a photo portfolio site for someone who is very technology-phobic. He uses Lightroom to edit photos and wanted something easy that integrated with LR and allowed him to upload photos directly to the app. Format does this - and has nice enough galleries.,"Don't use Format if you want to do much customization. There are limits on everything, and it seems that the people who created it don't truly understand the needs of photographers who want something a little beyond the box. While you can change font sizes and such, you are stuck with their minimal design options and if you like something from one design/theme, you can't have it in another.",Social Media Marketing Manager,Photography,Used the software for: 2+ years
format,My time with Format has been amazing. The customer service has gone above and beyond!,,Verified Reviewer,5.0,"December 3, 2017",I love that this website is catered to creatives and allows for maximum options for refining the website to your needs.,Better options for the online store within their price plans. I would like to see a partnership with external online shops (e.g. SmugMug),Social Media and Community Manager,Retail,Used the software for: 2+ years
format,Fantastic ease of use ,A great website at a fantastic cost.,Sam D.,5.0,"June 6, 2018","The best thing about this software is the price, I went from livebooks to format and will never go back.",There is very very little I don't like about the software. It is very easy to use. If I had a complaint it would be for more variety and more options but this is minor.,Assistant Professor of Photography,Higher Education,Used the software for: 1-2 years
format,Great for opening an online store!,,Nic G.,4.0,"January 24, 2019","The main factor that brought us to Format was the ability to easily setup and maintain an online store to sell our products. All the payments go thru Paypal, so there is no worries of unsecured transactions happening! Format also makes it really easy to set up discount codes for customers to use. The price per year is also really hard to beat for the features that are included.",I've been using Format for about 4 months and haven't ran into any issues so far!,Musician,Food Production,Used the software for: Less than 6 months
