product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
b2metric,AI BASED CAMPAIGN MANAGEMENT WITH B2METRIC ML STUDIO PLATFORM,,Verified Reviewer,5.0,"November 20, 2020","B2Metric ML Studio is a robust AutoML pipeline solution for our automotive big data predictive analytics. We implemented our spare parts marketing & sales data with B2Metric and create stock optimization and sales forecasting ML model with highly good accuracy. Since, I am not a data scientist and I can manage our ML models without difficulty.",We need drag and drop capabilities for our non-technical users. You need some technical skills to use BMS.,Aftersales Spare Part Purchasing Senior Specialist,Automotive,Used the software for: 1-2 years
b2metric,Great solution for data analysis,We built our weekly data analysis reports architecture with B2Metric. They have done an excellent job by providing a solution for our endless needs as an OTT startup.,Koray D.,5.0,"August 9, 2021",B2Metric team is quite engaged and very open to tailor the product as needed. The product is easy to use and well integrated.,Visual components can be improved but more than enough to get the job done.,Head of Growth,Media Production,Used the software for: 6-12 months
b2metric,B2Metric,"Special design to facilitate user experience Explaining the results of the models by supporting them with visuals According to industry knowledge, b2metric's guidance Very fast access to model results",Ertuğrul Y.,4.0,"January 4, 2021",Supporting the model with visual analysis Fast running of the model after data loading Easily adding additional analyzes according to the company's request Offer code access,Lack of flexibility in data preparation Company-specific design takes time,Customer Analytics and Modelling Speacialist,Insurance,Used the software for: Less than 6 months
b2metric,B2Metric Predictive Analytics For E-Commerce,,Gokhan M.,5.0,"December 15, 2020",B2Metric ML Studio is a powerful marketing solution for e-commerce predictive analysis. Its sales forecasting and churn prediction dashboards give new insights every day.,We need more marketing data source integration.,Marketing Manager,Retail,Used the software for: 1-2 years
b2metric,Smart and talented team to work with,A great and dedicated team works behind the application. They are open to expend current case into the wider perspective.,Mehmet I.,5.0,"September 19, 2021",We are working with B2Metric for our big data predictive analytics and to optimize our workflows. We implemented our sales data to B2Metric ML Studio and created AutoML based optimization models with highly good accuracy score without a data science team. It is an easy to use and powerful solution for analytic teams.,Additional data integrations may be provided to diversify data import methods.,CRM & Data Analytics Dept. Manager,Retail,Used the software for: 6-12 months
b2metric,Powerful Automated Machine Learning Solution,,Hüseyin P.,5.0,"September 23, 2021","As a global Insurance company, we choose B2Metric ML Studio as a customer journey predictive analytics solution for our campaign optimization. We implemented life insurance data with B2Metric and create customer churn prediction, cross-selling forecasting and campaign optimization machine learning models with highly perfect accuracy. Moreover, I am not an expert data scientist and I can manage our ML models easily with this tool.",They have to increase drag and drop features for specialist level employees.,Head of Digital Sales Channels,Financial Services,Used the software for: 1-2 years
b2metric,"works well, not expensive",,Özkan Ö.,4.0,"February 25, 2021",We are a local dot-com company operating b2b in the tourism and hospitality industry. We have experienced B2Metric products for Churn prediction and subscription upgrades and achieved significant increases. Improvement results are above our expectations,The products that customers can use more easily should be increased,COO,Hospitality,Used the software for: 6-12 months
b2metric,Fantastic Service,We were a very small and new business within the industry so it was not very easy to build a brand awereness and find the correct audience. B2 metric and it's team was very experienced and helpful to sort it out and to be fair it was more succesfull than we expect.,Tufan U.,5.0,"June 8, 2021",We are very happy to use it and it has been very helpfull to find new customers and so much easier to promote our products than using other services as a e-commerce website user. Great work.,I think everything was great. Just you need to be focused on it to figure out in the first place but with the team's help we did not struggle at all and easily handle it.,owner of the company,Retail,Used the software for: Less than 6 months
b2metric,Turnkey solution,,Ali K.,5.0,"January 27, 2021",We are working with B2Metric AutoML product for Energy consumption prediction and optimization for our IOT devices. We do not need to hire any data scientists and data engineers to create Time Series prediction and optimization models. Easy to use powerful and robust platform.,Data import methods may be expanded to support different types.,CEO,Electrical/Electronic Manufacturing,Used the software for: 6-12 months
b2metric,Baboo Review,,Hande O.,5.0,"December 11, 2020","B2Metric has a really powerful predictive analytics and product recommendation engine. B2Metric ML Studio increased my sales and customers with personalized cross-sell and up-sell options. As an e-commerce website owner, I increase my sales amount with AI.",I need realtime customer journey which is connected with my Shopify analytics.,Founder of Baboo,Textiles,Used the software for: Less than 6 months
