product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
baserow,Baserow functional modern database approach,,Domingo A.,5.0,"May 11, 2023",I probably like the functionality and having the ability to self host the product is very important to be able to fully customize and align it with the institution's requirement,The only thing we are missing is the live data view. For example is the live connection between airtable/google sheet existing table where we can see the changes to the original table in real time,Junior Research Associate,Research,Used the software for: Less than 6 months
baserow,Highly recommended visual database for long-term use,"I enjoy using Baserow and am happy to be part of the community. Open-sourcing your own product is not always easy in terms of intellectual property and old-school business mindset. I've migrated from Airtable/SmartSuite to Baserow and use Baserow for summary and visual data management that works well with other databases like Cloudflare D1 and MongoDB (integrated with Make.com). When it comes to Application Builder that the Baserow team is currently working on, according to their webinar, they plan to integrate other data sources and to develop a chart/graph feature, so I'm looking forward to using it. (Competitors/alternatives could be not only Airtable, but also Retool and Softr) Overall, Baserow is a cost-effective and strategic solution for your digital transformation.",Mana K.,5.0,"April 25, 2024",- Cost effective from free to 5 USD per month - Simple and clean interface - Simple but useful API endpoints - Nice and supportive community - Application builder is evolving now - Open-source mindset and movement,- Application builder could have more feature (expectation for the future) - Filters should be sent as POST request rather than a GET parameter,Consultant,Online Media,Used the software for: Less than 6 months
baserow,Great effort. needs many improvements. ,"over all support is very good. sadly, without the certain features we cannot sign up. in order for baserow to excel, it must: offer all the airtable features, for less $, or offer better platform for the same (or more) $.",mazin M.,3.0,"May 25, 2023",clean interface. seems to load much faster than airtable. support is by far exceeds others.,"Baserow, is missing many features offered by airtable. Such as the view imbed feature, where we can imbed a certain view, with automatically generated I frame, with options to convert the ""grid"" view into card format, (horizontal), that's very pleasing to look at. another, is hidden items. with baserow there is no option to hide items in order to minimize ""item headers"", but have all item's fully visible in expanded mode. in base row hidden items remain hidden, which makes the entire feature worthless. also, the controls, are as worthless as airtable, and are not compatible with mobile devices, in imbed / I Frame mode. Serious IOs compatibility as well, just like the competition.",COO,Medical Devices,Used the software for: 6-12 months
baserow,Best Open Source Self-Hosted Airtable Alternative,"Perfect solution for a small business that needs a database, wants an inexpensive and scalable solution and that wants to control its data.",Daniel R.,5.0,"May 25, 2023","If you want the ease of use of solutions like Airtable but at the same time control over your data and no vendor lock-in, look no further than Baserow!",The product is stable but not fully mature yet. Do not expect perfect UI/UX that other solutions like Rows or Airtable might offer.,CTO,Human Resources,Used the software for: 6-12 months
baserow,Build a database without programming skills,"Great, we are so thankful that this is available free of charge.",Tuula R.,5.0,"April 30, 2024","My [sensitive content hidden] and I were in need of a low-cost solution for managing thousands of data points to track seed accessions for ecological restoration. We were losing data with Google sheets and unable to cross-reference collection data, seed farming and overall lifecycle of seed lots. We tried a costly database used by large-scale seed farmers and it didn't meet our needs; it was slow, the interface was ancient and the workflow was not intuitive. Baserow is elegant, super fast and intuitive to use.","There is a learning curve; however compared to the time we would have invested in learning Python or another programming language to custom-build a database, this is much faster.",Operations Manager,Environmental Services,Used the software for: Less than 6 months
baserow,Why did I ever use Airtable?,Great for managing all the data in dev and organize it before putting it in our primary database.,Marshall R.,4.0,"April 23, 2024",Infinite rows. Needed in products like these.,"The load time, the lack of Google cloud setup support, every so often it'll be buggy and I'm not sure what resources to upgrade - does it need more memory? A larger machine? Another instance? That feedback would be remarkable.",Engineer,Online Media,Used the software for: Less than 6 months
baserow,Baserow: The Low Code Base we all wanted,Very good. I'm rooting for this platform to succeed in the long run.,Jacob B.,5.0,"May 16, 2023","I like that it is using a FOSS model, and features self-hosting. The UI is much more laid back compared to competitors like SmartSuite and Airtable. Which can be a bit much with the UI colors. Baserow has the cleanness of a tool like Notion which I prefer.Also, the templates are really good. Would love to be able to help expand them.Love how the forms work as well as public sharing, it's just better than Airtable's setup here. Something nice about the cloud-based version.","The user access is really bad. There should be a way to share a single base without everything in the workspace without having to go to the highest plan. Even then going through teams only for that kind of access is archaic and harder for users to manage. I have files I'd like only certain people to access, and sometimes on an individual basis. I would love it if Baserow had a feature to let guests edit public files without an account. Similar to a form.Wish it had more ""extension"" features, maybe a click-up or notion direct integration. Zapier helps here, though, I want to use this as a database inside of other tools directly. There are a lot of systems that do project management very well and it would be better to use this inside of those than lock it as a competitor of those systems to ""compete"". The pricing model is what it is, but I don't like it. A huge reason of why I've switched out of Airtable was cost. It seemed like you kept upgrading and upgrading and still were missing key features behind a payroll. For a team that got expensive. Baserow is much cheaper, but I'd feel more inclined to pay for the premium if I got more for it. Not just one user, not all of these scope limitations, a real value add for an org. This software is competing against google sheets which works just as well for 90+% of people with the same use cases for absolutely no cost. Figuring out how much you're going to pay for a team with most of these base software's is going to require thi",Managment,Marketing and Advertising,Used the software for: 6-12 months
baserow,Use Baserow instead of Google Form,,Yoann C.,4.0,"May 19, 2023",easy to deployeasy to useeasy to understand,we have to replace Google Forms and it cannot do it,President,Education Management,Used the software for: 1-2 years
baserow,Affordable and Growing alternative to Airtable and Notion,"Overall, I had a solid experience using Baserow and I would recommend it to anyone coming from a background of using Notion or Airtable. I had connection issues with Notion and Airtable where I am from. However, I could easily fix that problem by hosting an instance of Baserow in my own server.",Zachary S.,5.0,"May 12, 2023",I think the most I liked about Baserow was that it offered a lot of the features I was expecting coming from using Notion. I also worked with Airtable before and I think that Baserow can substitute both those platforms. But it exceeds them because Baserow is open source. That's what I like about this app. You can host it wherever you want and you get a solid user experience. I certainly see myself using this app for my day to day needs and for my clients as well. Also preparing templates with this app is easy and I would definitely pursue that angle as well.,"I feel like a rich text field like HTML or Markdown is missing in Baserow. I saw it in their development roadmap and I can't wait to also see that field in the list of fields Baserow offers. This is important to me because with this field, I won't have to rely on google docs, or uploading markdown files to the attachment field for writing longer form content.",Entrepreneur,Design,Used the software for: I used a free trial
baserow,Easiest way to set up a database,,Cameron P.,5.0,"April 23, 2024",I love that I can have a database created without much work and it also has a full fledged API available for me to use the data in an app.,Something I'd love to see in Baserow is more customizations with the CSS of the App Builder. That'd make it so much better,Design Engineer,Computer Software,Used the software for: Less than 6 months
