product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
advanced_web_ranking,My go-to web ranking software in my SEO toolbox,Overall AWR is one of the top software packages I have ever purchased and it is a valuable part of my monthly SEO work.,Edward P.,5.0,"October 7, 2020","There are so many things to love about AWR, but even with all the amazing features it offers, the greatest asset is their team! I have had nothing but positive interactions with their team since first buying the desktop version of their software many years ago. When it was time to migrate to the cloud version they were extremely helpful and made sure our transition was seamless. Could not ask for better support. For the software itself - the interface is very clean and easy to navigate, the features are robust, and the the information it provides me for our clients is invaluable.","I don't really have any con's for this software. The only slightly negative thing I can think of is that I have occasionally been confused as to how to achieve a specific end result with the software. There are so many interactive screens and reports to choose from that a new user can sort of get lost trying to figure it all out. Of course, I was a new user over 5 years ago. =)",SEO Analyst,Internet,Used the software for: 2+ years
advanced_web_ranking,Best keyword ranking tool,We've been using AWR for 3 years now and are really happy with the results and performance. We can use it as whitelabel tool for our agency and can add many users and clients to the backend,Verified Reviewer,5.0,"August 5, 2022",Plain simple: just gets keyword rankings and does the job really well. No other unnessesary features that would make the tool too expensive.,"If you need daily tracking, it becomes quite expensive when you track it for multiple domains and countries.",CEO,Marketing and Advertising,Used the software for: 2+ years
advanced_web_ranking,Track SEO campaign keywords easily ,,Ruth C.,3.0,"March 14, 2018",This historical rank tracking tool stands up to many others I've tried. One of the best things about this tool is that it stores a cached version of the serp so you can look back and see exactly what was appearing for clients on a particular day or month. Also integrates and connects with Search Console for a website which makes it useful to have all the information in one place.,Only downside is that you have to wait up to 24 hours for data to be collected when you add in new keywords you want to track. I also found the interface difficult to navigate around the first couple of times I logged in.,Product Marketing Manager,Used the software for: 1-2 years,
advanced_web_ranking,Best in the market,"Does what it needs to do, essential for any SEO agency.",Verified Reviewer,5.0,"February 15, 2022","The ease of set up of accounts, through to the pricing structure gives this tool the edge over others. The API download and exports allow you to take control of your data and are not restricted to only using the platform.",Keyword units do need to be managed. No live reporting feature. There could be a better competitor dashboard of why a ranking drops or increases.,Head of SEO,Marketing and Advertising,Used the software for: 2+ years
advanced_web_ranking,Love AWR - Its My Life,"Only positive, can only recommend to SEO agencies or clients at any level of their business",Daniel T.,5.0,"June 28, 2023","AWR is incredibly clear and easy to use. I have been using it for 8 years. It is not complicated, always robust, accurate and always works, making it the most essential SEO tool that we use as part of our reporting. AWR is not always in the same light as SEMrush or AHRefs, but I have used AWR since the beginning and we are a big agency and I use SEMrush second. The customer service team are always, they are very personable, they actually remember stuff about my business and my life (they remembered what hobbies I do), they have staff there who have worked there for years, they are fast to respond and I feel like I know them - and other tools can't say that.","I don't really have any, I am happy with the service. Although, I do think its cool that SEMrush tells you everything that you rank for and they have the full audit - these are nice features and would probably make AWR complete.",SEO Director,Information Technology and Services,Used the software for: 2+ years
advanced_web_ranking,Our prefered ranktracker for many years,"Having multiple options to track keywords for our clients, this is still our prefered tool.",Nils V.,5.0,"March 9, 2022","The dashboard is userfriendly and the data is reliable. There are many options to track keyword rankings, like desktop, mobile, local search engines.",I would like to have a client portal so clients can log in to see there rankings.,CEO,Marketing and Advertising,Used the software for: 2+ years
advanced_web_ranking,Does what is should...and does it well,,Nicholas F.,5.0,"October 21, 2020",It's really clear to use both internally and for less experienced customers. It's also quick and easy to search for information to answer the questions that are relevant to you...and it's got some powerful reporting too.,It would be nice if it had some more integrations to allow us to share the data with more ease.,Director,Marketing and Advertising,Used the software for: 2+ years
advanced_web_ranking,Longtime User Says It All,,Gary M.,5.0,"March 8, 2022","AWR makes it incredibly easy for my SEO company to support its clients, with a variety of Web Analytics tools. AWR's customer support is superior and always prompt and courteous.",I can't think of a thing I don't like about using AWR.,CEO,Internet,Used the software for: 2+ years
advanced_web_ranking,State Of The Art Tool,I have been using this software for 6+ years. In average I monitor 15 websites. This tool is superior to all others in its class. Just my two cents.,Juergen H.,5.0,"September 23, 2020","Unlimited websites, only limited by monthly keyword units Can almost instantly pull ranking results All aspects of monitoring are covered A wealth of possibilities, fine-tune your needs","Comes at a price, however, the software is constantly being developed and the price remained largely constant for years.",IT Guy,"Health, Wellness and Fitness",Used the software for: 2+ years
advanced_web_ranking,Excellent Software for SEO and ORM Professionals,Very satisfied and easy to use.,Todd W.,5.0,"June 24, 2019",I have been using AWRCloud for a while now and I find it to be a very useful and accurate program for tracking ranking and delivering client reporting details. The support team is responsive and I often stumble upon new features that improve the user experience. I would highly recommend to SEO and ORM professionals.,"I can't really think about any negatives, although it took me a while to figure out that Google Local ranking needs to be added manually and is not automatically included in reporting.",CEO,Public Relations and Communications,Used the software for: 2+ years
advanced_web_ranking,Advanced Web Ranking,Le système de comparaison des résultats avec des sites en compétion permet d'ajuster le site pour son contenu. Les outils d'analyse des contenus apportent une aide précieuse pour cela.,Thierry D.,4.0,"September 24, 2019","Une fois bien maîtrisées toutes les fonctionnalités, il est possible d'obtenir des informations très pertinentes sur le positionnement d'un site web pour des mots clés choisis, pour les réseaux sociaux et bien d'autres critères.",Certains moteurs de recherche commencent à faire blocage lors de l'utilisation de ce logiciel et empêchent ainsi la remontée des données.,Manager,Computer Networking,Used the software for: 2+ years
advanced_web_ranking,Excellent Ranking Software,,Harry L.,5.0,"October 14, 2020",Software is very flexible and full-featured. I like the ability to customize my rankings from a specific town. Their customer support is very good. They respond quickly to problems.,Inability to schedule rankings and reports to be run on specific future dates.,Owner,Marketing and Advertising,Used the software for: 2+ years
