product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
dark_web_id,Dark Web ID,,Brian W.,5.0,"November 18, 2022",The Dark Web monitoring coupled with the Bull-Phishing simulator to train users make a great combination. We can take care of compromised passwords and prove the importance of our password policies to our users. The phishing simulator helps us identify which users may be prone to attacks and help us determine what help they may need.,It was a little difficult to get our spam blockers to let the phishing simulation emails through.,President,Information Technology and Services,Used the software for: 2+ years
dark_web_id,Dark Web ID: Dark Web Monitoring and Proactive/Strategic Defense,Dark Web ID monitoring and Live Data Searches (ad hoc searches of the dark web for a prospective customer's domain credentials) is an extremely effective tool to raise the consciousness and awareness of customers regarding the long term threats exposed by stolen credentials on the dark web which are in turn being sold or published to hackers and then used to attack companies of all sizes and business arenas.,Mike L.,5.0,"September 13, 2019","The key benefit to me as an MSP and as a business owner is that DWID allows me to monitor how my employees (or the employees of my customers (or supply chain) are using their business credentials (email address - which is typically their Network Login UserID + the business domain name, as well as some password that is uncomfortably akin to an actual Network Login Password -- to login to third party websites or accounts. That employee misuse of the company's sensitive security data exposes the company to extreme vulnerability from a variety of attacks. DWID permits the company to monitor and put an end to this improper use of business (and even personal) credentials by employees and the supply chain as well.","I've always been concerned about misuse of this technology by MSPs (IDAgent Partners) to scare customers into purchasing not only DWID, but also other MSP security solutions without first fully educating the customer on how best to protect themselves from dark web threats.",Chief Innovation Officer,Information Technology and Services,Used the software for: 2+ years
dark_web_id,yet another product that needs some life breathed into it,,Ravi B.,2.0,"September 8, 2023","It's cheap, it does report on darkweb junk. It sorta integrates with some other tools","Hard to get integrations working, bad user interface, confusing licensing model (for the sales reps), VERY LIMITED FEATURES",CEO,Computer & Network Security,Used the software for: 1-2 years
dark_web_id,Easy and awesome protection for clients,We have saved our clients a few times by getting to them before someone logged in as them when their logins were on the darkweb,Mike S.,5.0,"July 24, 2023","Very simple to set up, easy to monitor domains for clients to keep them safe and secure!","There isn't anything to not like about darkwebID. Support is great, system is easy to use",It Operations Managet,Information Technology and Services,Used the software for: 2+ years
dark_web_id,Used the product for a few years now,Great pre-sales tool as well as monitoring for potential breaches.,John B.,5.0,"December 7, 2022","Automated Dark web scanning good, allows additional IP addresses and personal email accounts to also be included. The inclusion of the training / phishing component is also good.","The training and awareness module is a little ""clunky"" when managing lists of users to be included in a campaign. The additition of dark web scanning of company data (rather than searching by the company domain name) would be an added benefit when it comes to proposing to clients. Also, automated training / awareness for accounts that have been identified as exposed on the dark web to save some admin.",Operations Director,Information Technology and Services,Used the software for: 2+ years
dark_web_id,Kaseya - Where acquired products go to wither and die,"I hate being forced into a bullshit 3 year contract for this product - especially when, until recently, the terms to prevent autorenewal were borderline unethical. How about making the terms month-to-month and earning my business every month.",Mike C.,3.0,"November 18, 2022",It works. I mean it's functional and does what it's told.,"- The UI for creating campaigns is horrific. Seriously, they give a very tiny window to set your courses/modules onto and there's no way to effectively set the order in which the training modules are delivered.- The client-facing reports are poorly laid out and hard to read properly.- There's been virtually no improvement, enhancement, or innovation in the product in the 2+ years I've been using it.",Owner,Information Technology and Services,Used the software for: 2+ years
dark_web_id,Review of Dark Web ID,"Good service, straightforward setup",Caleb B.,4.0,"November 28, 2022","Easy to use --- circa 2 years ago was a big difference maker to demo to clients and prospects --- now a bit of a commodity as folks are like ""oh ya my banking app/password manager shows me that""",a system to directly message end users about what to do if they have a breach detected --- right now labor is spent on communicating the breach to the end user and what to do.,Vice President Central Sales,Information Technology and Services,Used the software for: 2+ years
dark_web_id,Seriously don’t.,The idea is great. But the execution is poor at best.,Guy H.,1.0,"November 18, 2022",It was easy to setup. My subscription included phishing campaigns and security training. Those were the only things that were actually useful,The reports were so vague that it was pointless. My clients that received “breach” information and not once could find a correlating website or credential that matches. The passwords that were “breached” were never a password that they used. Most my clients after 6 months opted out.,Owner,Computer & Network Security,Used the software for: 2+ years
dark_web_id,"You Can Get In, You Just Can't Get Out","The product was fine, the company was terrible.",Aaron S.,3.0,"May 4, 2020","The software is easy to use, and is able to tell you when an account has been found out on the dark web.","The support has been awful. They are great when signing you up, but then if you ever decide to leave, good luck. Calls to our account manager, his boss, the sales department, the support department, and the accounting department go unanswered and unresponded. Emails to the same departments and people never get responded to as well. I've tried to cancel our account back in December, and for 5 straight months they have charged our credit card and not once responded to any of my requests during this time. I have to get American Express to do a chargeback each month which is a real pain.",Business Manager,Information Technology and Services,Used the software for: 1-2 years
dark_web_id,Dark Web ID Review,"I am lukewarm on the product. I receive alerts, but the alerts tend to not provide benefit.",Robert K.,3.0,"November 22, 2022",The potential to allow clients to become aware of their information on the Dark web,Most times the information provided is not useful,None,Computer & Network Security,Used the software for: 2+ years
dark_web_id,A product that works,Overall I am very happy with the product. It works and its simple to use.,dallas B.,5.0,"November 23, 2022",I like that this Dark Web ID is always running in the background. Set it and forget it makes an IT Systems Administrator happy.,"I would like to see that once we deem a breach taken care of, it would not come back for me to have to deal with again.",Systems Administrator,Construction,Used the software for: 1-2 years
dark_web_id,Dark Web ID is a good value and easy to manage,,Carl H.,5.0,"November 18, 2022",Easy to administer and provides valuable notifications to ensure that user account management stays compliant.,"I feel that the products delivers a simple, easy to use interface. We use it to notify clients directly of any breaches of credentials.",President CEO,Information Technology and Services,Used the software for: 2+ years
dark_web_id,Absolute Garbage,We deeply regret purchasing this more than any other software in the history of ever. Broken on multiple levels. Useless empty reports. Does not function as advertised. Awful support model.,Michael F.,1.0,"February 24, 2022","On it's face, the only thing that ever seemed positive about this product was the initial sales pitch from Kaseya.",Non functional empty reports. Glitchy frequently offline web portal. Poor navigation and web-design. Limited features that seem deeper than they actually are.,General Manager,Information Technology and Services,Used the software for: 6-12 months
dark_web_id,Stay Away From This,"We were very excited to use this software for prospecting. However, when we tried to do a live search in a prospecting meeting, the data was so old and so wrong, the prospects was not impressed at all. We felt their disappointment and lost the deal.",Hani E.,1.0,"November 18, 2022","The report the software generates look good as far as formatting, colors, layout.","The data it pulls over are worthless considering the cost of the software. Also, you can get the same information for free from other sources. Our password managers gets us the same, if not better and more accurate information.",CEO,Information Technology and Services,Used the software for: 6-12 months
