product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
wp_cerber_security,Very good solution to spam contact form submissions,,Chris F.,5.0,"April 27, 2020","I run WP websites with contact us forms. I was getting hundreds of spam contact form submissions. I looked around for a solution. I tried to fix the contact form 7 plugin with security features. The spammers defeated everything. I came across WP Cerber and tried it. It has a submission form checker. So far it has stopped all the spammers, but the real customers get through.","It can occasionally block users of the website who we desire, so false positives.",Attorney,Legal Services,Used the software for: 6-12 months
wp_cerber_security,An excellent security plugin,Extremely important to use a security plugin since Wordpress is very popular and consequently is the target of attacks and invasion attempts. The most complete version has many useful and interesting functions that greatly increase the level of protection. Super recommended.,Sidnei E.,5.0,"August 9, 2020",Cerber Security in its Free version brings numerous features. Login attempts are logged and blocked; The Control Panel has very separate and clear tabs. Legacy mode is useful for loading before other components used on the site. Blocking uploads of PHP files is particularly useful on sites that share files in PDF or .jPG format submitted by users via forms.,I would like a less monochrome and more youthful graphical interface.,Senior Webdesigner,Graphic Design,Used the software for: I used a free trial
wp_cerber_security,WP Cerber for the uninitiated,I outsourced the build of my Amazon Affiliates website in Wordpress and took delivery of a live site which had basic security. Enhancing the security was my first priority. Although I have an IT background I am a raw beginner with managing my own website. I noted that I had free WP Cerber and looking at this I decided to try the free trial of Professional right away. I worked through the guidance provided in the Getting Started pages with great care. Disaster. I was locked out of my WP admin site and my website broke completely. I then spent the next two days working through multiple blogs to resolve the issues. The WP Cerber Reset file didn’t work and ultimately I had to uninstall all plugins completely via my host site files and rebuild bit by bit. I still don’t really know what the problem was although I suspect a conflict between plugins. I reinstalled WP Cerber because notwithstanding my experience I am nervous about security and wanted to resolve everything and understand the impacts of the changes that were being recommended. I still considering implementing the pro version so that I can sleep at night knowing that someone is out there defending my website from attack.,Elaine V.,4.0,"October 22, 2019",I gain great satisfaction from seeing lists of suspicious activity being blocked and denied including locking out of subnets of suspicious actors. I appreciated all of the options available to tighten security and the guidance provided by the website on how to implement it.,Despite the guidance I experienced issues with implementation of the Free Pro version. For the neophyte it is a minefield to work out what to implement and what to avoid since the impacts are not fully understood.,Director,Printing,Used the software for: I used a free trial
wp_cerber_security,My 3 years use experience ,"I have been using the WP Server Security plugin since 2019 February as the primary security and security related control tool for my blog site. It has extraordinary features to monitor, configure and the tools to prevent almost all nasty attacks on the site. It is unbelievable how many attacks are coming to a site on the public internet. Attacks are mostly coming to take control of your site in a way to upload vulnerable codes into the site and run them. Apparently there are some common codes hidden in some old version plugins which attackers are probing them continuously. It is also the usual attack type to get your login screen and try to log into your site as the administrator. Creating spam comments looks the most simple malicious action among others. Keep in mind that all these attacks are coming from automated tools and repeating thousands times. WP Cerber Security has all the required precautions to prevent them. It has facilities to hide your login screen, identify attacks and stops them repeating, gives you control which require in various levels of expertise to configure your site to minimize attack attempts among all other useful and effective abilities.",Ismail C.,5.0,"May 10, 2022",It is an easy one stop tool to have a secure site,This is a comprehensive software gives you control of your site which require in various levels of expertise to configure your site.,Site owner,Non-Profit Organization Management,Used the software for: 2+ years
wp_cerber_security,One of the best security plugins for Wordpress,"Even the free version gives you enough insights to understand how important it is to secure the own Wordpress installation. I have a lot of actions blocked and this makes me feel much better every day working on my site. I use the Genesis framework along with Imagely Themes and all my plugins work seamlessly together, WP Cerber perfectly fits in without giving me any annoying moments of instabilities etc.",Ananda P.,5.0,"February 2, 2020","The installation was quick and without any issues, as it should be. Afterwards you familiarize yourself with a well structured ""Getting started Guide"" and more information right at hand. The information provided makes all the available security measures accessible even for non-techie people. After I spent ~20 minutes everything was setup properly and is protecting my site flawlessly. Changed login URL and few other ""standards"" hardened my Wordpress site effectively.","The advertising on the right always attracts my eyes and the German translation is sometimes bit strange. Other than that it does what it should, keeps my site up and secure. I would expect bit more explaining information about the Anti-Spam Protection options as this doesn't become really clear what if and how. Up until now I didn't get any spam comments with the free version but maybe this changes with more traffic.",Project / Customer Excellence Consultant,Information Technology and Services,Used the software for: 6-12 months
wp_cerber_security,Simple yet effective.,Simple and elegant at what it does the ability to ignore a vital part of any websites security knowing that your safe and simply a click away from real time updates on a number of issues makes Cerber a valuable asset in any defence.,scott N.,5.0,"February 2, 2022","From locking out annoying automated bots from trying to get access to your backend to simply one click hardening and the never ending list of secure options to select from Cerber for us is a simple yet intuitive addon that we never knew we needed, it's seamless integration with a number of our websites and simply being able to launch and forget knowing that everything is continuously running as you left it, its now in the top 5 of all programs that we will add to any future and current ongoing WordPress structured websites we launch.","The simplicity of the software made is simply over look the need to turn off the constant reminders on however many lockouts were happening, even our dedicated security mailbox couldn't handle the sheer influx of emails that were being sent out - thankfully a couple of check boxes later and this was resolved took us a while to get there however.",CEO,Music,Used the software for: 6-12 months
wp_cerber_security,We are non-technical ,Perfectly satisfied and looking forward to months of peace of mind especially as I am non-technical.,David D.,5.0,"January 17, 2022","About three months ago, I had the unfortunate experience of having our site attacked by hackers who left the main files inundated with a virus and the site taken down by our hosting company. I turned to them for help, but they could only refer me to a third party who would charge a great deal. We are a small association of non-technical professionals who pay an annual fee for the site's upkeep and other administration. Not enough in the bank to pay out for exorbitant prices. I looked at various solutions that would clean the area. Amongst the solutions looked at was WP Cerber Security. Attracted by their website information and offer of a free version that appeared to provide more than most of their competitors was an easy alternative for me. I ran the scan and followed the outcome to clean the files that had become compromised. I have continued to leave the free plugin active and checked almost daily to see how it prevented further malicious activity. I am so impressed with the software that today; I have recommended our members convert the free version to the pro version for peace of mind and security. It is a no-brainer, and I can safely recommend its use to anyone searching for a solution.",The scan takes a long time to complete this is not a negative but can be a bit frustrating when one is busy. Also if you try to add a site to the safe listing it can be a bit confusing to carry it out correctly.,sretambew,"Health, Wellness and Fitness",Used the software for: Less than 6 months
wp_cerber_security,"WP Cerber, Just What I Needed","I have done a lot of research and tested several different plugins over the past few months. Of those, the plugins are either too simple and didn't offer the options I wanted or were too difficult to understand. I can't afford to spend a couple of days trying to learn and implement a plugin. WP Cerber falls right in the middle for me. It is simple enough to set up quickly but advanced enough to offer all the options I like to have at my disposal. I have now transferred all of my client's sites and my own over to WP Cerber.",Verified Reviewer,5.0,"January 18, 2021","WP Cerber is loaded with options making it easy to secure your/client sites from the majority of attacks. The UI and instructions are simple to understand, making implementation quick and painless. The advanced menus and options allow you to increase your site's security as you better understand what you need.","There have been a couple of instances where it has blocked me from accessing or doing something that I should have been. However, this was my fault, and I was still learning the plugin's ins and outs.",Freelancer,Internet,Used the software for: 1-2 years
wp_cerber_security,My line of defense for Worpress ,"I researched many security solutions for wordpress, some big and fancy, some look fantastic but unknown and I chose one that was simple to use and has proven, day after day to be my line of defence. WP Cerber Security does its job well, produces reports and defends your site (lots of hard work) from malicious software's and the general sniffer on the web. (full of them). I was so glad to come back from a weekend off and see that my site had been protected by WP Cerber from illegal hackers and stopped a possible intrusion by blocking the intruders IP sub-domain from accessing the site, its a smart software. By detecting suspicious behaviour it analyses the level of threat and takes action. I am a happy customer and do recommend WP Cerber to all worpress administrators, the paid version and the free version are great, but the paid version maintains all the updates, servers and programming to keep them at the top of their game so if you are pro go paid.",Robert C.,5.0,"August 28, 2019","Security on the web is a must and there is absolutely no way around that. Working with wordpress is great, all the plug-ins, builders and a fantastic community of great people, but there is always the other side, with popularity comes illegal hacking. We work with a php based system and it has its vulnerabilities, some known and easy to solve some still not known and there you can get into in deep trouble, CW Cerber is simple to use and to get familiar with, it helps you with many options and possibilities.","Up to now, all working well. Maybe a tutorial on their site is a good idea, many people don´t have a tech background so having small, to the point, videos is important.",founder,Human Resources,Used the software for: Less than 6 months
wp_cerber_security,What i think of WP Cerber Security,"So far, using WP Cerber Security has been a fantastic experience for me. I have had little or no issues with it. Its security features are very standard and should be able to hold of basic to sophisticated wordpress attacks.",Verified Reviewer,4.0,"February 27, 2021","WP Cerber Security comes with a good anti spam, and anti ddos feature. It also comes with a sophisticated malware scanner and a 2factor authenticator to prevent hackers from gaining access into your website.","WP Cerber Security team could make its UI much better. Sometimes i get lost in the crowd of buttons to click, aside from that WP Cerber Security works pretty well",Founder,Online Media,Used the software for: Less than 6 months
