product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
weever,Awesome to navigate!,,Yesenia R.,4.0,"April 7, 2021",The navigation tools are easy to follow and I was able to understand where everything was!,Setting up my forms was a bit complicated in the beginning.,Great!,Writing and Editing,Used the software for: Less than 6 months
weever,Simple and effective,This is a great product that has streamlined our work systems and has been a huge success at all levels of operation.,Nicki V.,5.0,"May 14, 2021","This software is extremely easy and simple from the users standpoint. It makes conducting checks, submitting forms, and annotating abnormalities extremely easy for operators. The ease of use made it easy to transition and immediately integrate in our plant.",Overall the software is great. What few issues we've had have been addressed quickly. They have also taken several of our Improvement requests and created the function we've asked for.,CI Engineer,Food Production,Used the software for: 6-12 months
weever,Quality in evolution,,Lays P.,3.0,"June 10, 2022","Helped to improve employee engagement in the aspects of agility in the delivery of reports, accurate forms, action projects, and development in the company's billing.","The functionality and scope of the software were compromised by limiting use only to the web system, thus increasing the investment cost.",Physiotherapist,Hospital & Health Care,Used the software for: Less than 6 months
weever,Weever Forms Has Simplified Data Capture,"Positive receptiveness of the Factory, quick adoption, integrated into our daily management systems.",Verified Reviewer,5.0,"May 12, 2021","Prior to Weever, we collected the majority of our information through physical paper. This was cumbersome, slow, and often difficult to read. The administrative task of capturing this information in an actionable format (often through manual conversion to MSFT Excel) was incredibly time consuming. Due to this barrier, we often not do anything with the paper forms. Because we could not easily action against this information, it would often disengage our Team Members. After transitioning the vast majority of our paper forms to Weever Forms, our ability to digest this data has increased immensely. We no long lose time on administrative tasks such a transcribing paper forms. Due to this, we can easily action against data that is being inputted through Weever Forms. Lastly, the ability to connect to Weever via PowerBI has opened up a whole new avenue for drilling into data.","Nothing immediately comes to mind. I've only had to contact Weever support once due to a service outage and the response was immediate and the fix occurred quickly during ""off hours"".",Supply Excellence Manager,Food Production,Used the software for: 1-2 years
weever,How Weever helped us manage our factory in the COVID 19 crisis.,We have been able categorize waste more efficiently through a waste report generated each shift. We have developed more rigorous Cleaning and Inspection logs for our operators and managers. This has helped to significantly reduce the amount of contaminated product due to improper cleaning. There are so many avenues where Weever can have a significant impact on the efficiency of our business.,Michael M.,4.0,"October 22, 2020",It was a no-brainer to use Weever for COVID-19 factory inspections. We were able to delineate where and what needed to be sanitized. All areas of the plant could be put on one form to be reviewed by management for compliance. I cannot imagine how we would have accomplished this using paper forms. It was a great fit!,"Complex forms can be slow to download. And, slow does promote use of the product. I wish that there was a shared knowledge base that would detail how different industries created different forms. I am sure that I have been guilty of reinventing the wheel many times. This is not a fault in the software. I just would like to see a better sharing platform.",Training Coordinator,Food Production,Used the software for: 2+ years
weever,Forms Manager - 3.75 out of 5,,Verified Reviewer,4.0,"January 25, 2019","Forms manager is dynamic, yet simple. The software can be applied to various departments. The software's tools are easy to setup, allowing for custom fields the capture the desired information.","The software lacks any form of data base. Individual forms can be exported easily, but require user manipulation to add to a separate data base outside of the software.",Process Engineer,Consumer Goods,Used the software for: 6-12 months
weever,Auditing App,We use the tool all of the time and is an effective way for us to communicate any issues with clinical managers. It works for outbreak prevention and management when an outbreak occurs.,Verified Reviewer,5.0,"February 1, 2019",This software has allowed my team to complete audits and send professional reports with pictures and comments in a timely manner. The reports are so much more professional looking then a paper tool,It relies on a wifi connection which can sometimes be spotty,Manager Infection Prevention and Outpatients,Hospital & Health Care,Used the software for: 2+ years
weever,Accountability made easy,Great for inspections and audits. Simple product that is easy to use for administrators and staff.,Verified Reviewer,4.0,"February 12, 2019",Scheduling inspections is really easy with this product. Our staff get alerts when an audit or inspection is due. The forms take them through the process so they get it right every time. I like the builder and the reports. The In Progress section helps everyone understand where projects are at if an inspection fails.,"Would be great to have more flexibility for the workflows, like when multiple signatures need to be added, but I understand they are launching a new product soon that will let us do that.",Principal,Design,Used the software for: 6-12 months
weever,Weever's Process Manager,"Awesome, the team at Weever is top shelf! Weever Process Manager enables the users tremendous flexibility to make changes or adds on the fly. This is critical for a successful implementation.",Tim K.,5.0,"October 8, 2020",The software solved a long standing void in our manufacturing segment.,"It was not really backwards compatible, which is okay because when you are building it out you need to stay moving in positive direction.",Controller,Construction,Used the software for: Less than 6 months
weever,Bethany's review,My overall experience so far is wonderful. Everything is organized just the way I like it,bethany B.,4.0,"May 2, 2021",I can find everything I need in 1 spot. Very easy to navigate.,So far I havent found anything I do not like,Manager,Biotechnology,Used the software for: 1-2 years
weever,Good App,I reviewed the app to see how the staff i supervise might find it useful,Thomas F.,4.0,"February 8, 2019",The app is convenient and because it is on my phone the is no difficulty accessing the tool when I need it.,I do not always remember the issues found within the app until I begin.,Superintendent,Education Management,Used the software for: I used a free trial
weever,At Inspections...,With Weever we are giving our operators an easy to use tool that helps to embrace new working systems. This is helping to tackle the natural resistance to change.,Jesus R.,4.0,"February 14, 2019",I like that the app is easy to configure,The way to design the forms to be applied for the inspections are not so flexible nor visually friendly as other options,WCM Leader,Consumer Goods,Used the software for: Less than 6 months
