product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
polarion_alm,Simple & Effective ALM Tool,Simple Tool with a quick learning curve.,Rahul P.,4.0,"August 3, 2022","Simplicity to maintain documentation (test cases, requirements) is one of the most useful features of this ALM tool.",The reports that can be generated from Polarion are of basic nature. They could add facilities to add more kinds of reports/dashboards based on the data available to Polarion ALM.,Senior Software Engineer,Industrial Automation,Used the software for: 2+ years
polarion_alm,Head Programmable Systems R&D,"We are using Polarion ALM since 2006 in Software as Medical Device development. It is fully integrated into our process landscape and serves as a perfect basis for full traceability. Proprietary configurations, widget pages and embedded scripts allow full coverage of aspects like requirement , document, test usability and risk management. Furthermore, additional processes like tool validation and management activities are supported.",Mario G.,5.0,"February 24, 2023","+ Polarion ALM provides full Traceability+ Polarion ALM provides the ability to configure all elements (workitems, documents widget pages,...) which allows high degree of adaption to internal processes+ Integrated electronic signature and document workflow ease document release+ Provides wide range of functionality to cover all software development related process elements+",- Document editing is not state-of-the-art,Head Programmable Systems R&D,Medical Devices,Used the software for: 2+ years
polarion_alm,Good first impression during evaluation but impossible to make it run on our server,"We tested Polarion on a Siemens' server during approximatively 15 days, and it looked really nice. As a former DOORS 9 administrator, I found it really user-friendly (this is the main criticism I heard from users with D9): the documents can be edited as LiveDocs, but requirements can still be easily tagged, and linking seemed quite easy. As we had no requirement management tool for the moment, it was important to have a good word importer too. And, compared to the other products we tested, Polarion's one is the best I experienced. Licensing pricing seemed quite correct too. Not the cheapest, but not the most expensive. So we ordered licenses for our team and installed it in one of our server... Since we installed it in end of January, I saw it run only one time. Contacting Siemens's support was really hard (my colleague took approx. one week to get in touch with them), and after many hours spent trying to solve the problem, Polarion's server is still down, and we had to come back to our old habit of writing specs with Word. I am really regretting not to have asked IBM for a pricing of DOORS NG... As during the 3 years I was DOORS 9's administrator, IBM's support has always been easy to contact and efficient...",Agnes B.,1.0,"March 10, 2021",GUI user-friendly Word round-trip very quick and efficient Web-based application,Impossible to make it run on our server,Software engineer,Construction,Used the software for: Less than 6 months
polarion_alm,Polarion Review by engineering manager in OCM,"I am an engineering manager and fusion organizational management lead for my company, the software we deployed for our transformation,now now resulted better experience and result for maintaining all the business information in one place safely""",Saravana K.,5.0,"November 29, 2024","Software is very simple to use based on a very simple infrastructure, most likely is a web tool so easy to access and use.",Sometimes the intranet issue is there it will be slow.,Engg manager,Mechanical or Industrial Engineering,Used the software for: 1-2 years
polarion_alm,Powerful but Complex ALM Solution,,Mohamed Amine H.,5.0,"February 23, 2025",Polarion plays a key role in the field of requirement engineering. It helps eliminate silos and singularity in the developpement and enables real-time communication between users and more scalablity.,Working with Polarion may require extensive training to fully utilize the tool.,Ingenieur,Airlines/Aviation,Used the software for: 6-12 months
polarion_alm,Polarion is the tool for people who know what they are doing..,"Polarion is our de-facto standard for product documentation. Everything is catalogued, earchable comparable and versioned. The Support answers very competent and really helps you usually in a matter of hours",Lutz D.,4.0,"August 17, 2022","Polarion is superflexible and very configurable. If you use the standard configurations, you use less than 20% of the product. The power of Polarion lies in its customization. There are already a lot of extension examples in the contained sdk. Studying these examples make your head spin as you discover a lot of additional possibiities to adapt Polarion closer to your processes. But also as a standalone product with standard configuration you have a tool with a super solid versioning concept. You can look and compare every version of your documents, WIs, testruns, heck you can even examine when configuration were changed. In this way it is very difficult to lose information. Also Polarion is super stable. The underlaying SVN-Repository and its datastructure is still backwards compatible with very old versions. Plugins usually work also after every updates (sometimes the JDK changed and you need to recompile).","It is easy to shoot yourself into the foot. With all this flexibilty it is an easy mistake to fulfill every small wish in every small team. This leads to disfunctioning cross team processes. However this is an organizational issue, not the tools fault. But as the tool is very flexible and if you are a person who really like to adapt a tool very perfectly you can overengineer and get lost. A Polarion Consultant usually knows the limit of customization you should not cross.",Continuous Integration Engineer,Medical Devices,Used the software for: 2+ years
polarion_alm,10+ years experience with Polarion ALM and still very happy with it,"We have been using Polarion ALM for test management and in the meantime for requirements management and several other purposes for over 10 years and we are still very happy with it! It is a great tool for managing both manual and automated tests, as well as tracking test results. Same goes for requirements management and the other ALM functionality. The built-in reporting features are also very helpful, allowing us to quickly generate detailed reports on the status of our tests, requirements and any other information which are stored in Polarion. Overall, we have found Polarion ALM to be a very valuable tool that has helped us to improve the quality of our projects.",Thomas K.,5.0,"August 5, 2022","Polarion is extremely customizable to our company needs. Especially we like that it can be ""tailored"" to specific workflows and processes. But also, it is easy to build own extensions and plugins. Additionally, there are many community-created extensions and plugins available that can be used with Polarion. So, we could implement our way-of-operating in Polarion but not vice versa.","If you've ever updated your Polarion software, you know that the process can take a long time to complete. The reason for this is that the software needs to reindex all of your data after the update. This process can take several hours, or even days, to complete, depending on how much data you have in your system.",Team Manager,Automotive,Used the software for: 2+ years
polarion_alm,Best Technical Management Software for V Cycle Development,"We are using this software for embedded software development in automotive oem as well as tier 1 supplier, requirement exchange is really good across teams. All other features are useful like source code management, test management, across V cycle.",Verified Reviewer,5.0,"September 17, 2022","Requirement Management is one of most useful feature from Polarion ALM, it also provide well integrated solution for Change Management and Source Code management.",Integrations with third party tools and automation using scripts shall be added.,Solution Architect,Automotive,Used the software for: 2+ years
polarion_alm,Product development and writing requirements ,I do use the tool for entering/writing records and files including test plans/STDs and other more. I also use it for test execution and traceability matrix generate.,Murad O.,4.0,"June 19, 2020",As one that was involved in writing requirements to the development team per our intended use: Traceability matrix is the most complicated module in the SW and it is just done properly and in a correct way. The navigation within the tool is also easy and reasonable.,"there is no such thing in Polarion organization by 'Folders' or 'Tree', everything is done by searching and it is enough not to give the right name or it was forgotten, you will easy get lost.",Reliability engineer,Medical Devices,Used the software for: 2+ years
polarion_alm,Easy to use tool for requirements and systems engineering,Clean and easy usage across all relevant topics for requirements and systems engineering.,Max P.,5.0,"June 25, 2022","For me the greatest advantage of Polarion is how easy you can handle the traceability over multiple levels of development between the requirements (customer requirement to system requirement to component requirements etc.), different levels of test cases, issues and change requests. Report pages provide you a quick and easy overview of your data. Polarion has an intuitive user guidance and different project templates help to establish agile development in the company to develop systems efficiently. Also, when developing huge systems, the performance of Polarion is still good.","If you want to have very specific reports or functions, that are not available by default or in the extension portal, you need to build that by yourself, using the open API",Systems Engineer,Automotive,Used the software for: 2+ years
