product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
ironworker,"With their unique cloud features, IronWorkers are simple to set up and maintain","IronWorker is mostly used by us to schedule tasks that would otherwise call for running CRON on a dedicated computer. IronWorker makes it simple to schedule jobs in a cloud environment, especially a persistent one. Before, a computer running a cron daemon was required. Do it now. It's absolutely wonderful. simple to use And it supports PHP natively.",Atul K.,4.0,"February 18, 2023","It is quite simple to assure consistency with your local environment because IronWorkers deploys the workers using Docker containers. My PHP code is immediately executed by IronWorker. Jobs may be easily scheduled. The scheduler is a fantastic feature, too. simplifies the process of running PHP functions in the cloud without the need to set up servers or containers. They all agree that using this tool will help you maintain order in your creative process.","The dashboard doesn't provide a means to change code. Uploading the full solution is necessary in order to update the code, even for a little modification. Typically, this is not an issue. The upload procedure is quite laborious. To edit my code online in a browser window would be ideal. For the previous several years, the product hasn't undergone much innovation, but I don't think that's necessary.",Technical Team Lead,Computer Software,Used the software for: 6-12 months
ironworker,"Highly scalable infrastructure, plus fast and easy code releases thanks to Docker integration","Overall, I am very satisfied with IronWorker and I have recommended it to my friends and colleagues",Verified Reviewer,4.0,"January 4, 2019",I love that Iron Workers can now be loaded using Docker containers! Speeds up release time exponentially and makes testing significantly easier since my local environment is always the same as the production environment. It is also fairly easy to push workers directly from my code base (PHP) or create crons that are run from the command line.,"The docker documentation is poor. Each time I needed to launch a worker in a new environment, I needed to talk with Iron support team to help them build the Dockerfile. IronWorker doesn't appear to be primary product of Iron either (that would be IronMQ), so updates to the platform are somewhat infrequent.",CEO,Internet,Used the software for: 2+ years
ironworker,Very useful product,,Verified Reviewer,3.0,"January 8, 2019",API is very easy to use. Easy to navigate the website,"System goes down occasionally. Also often the timer for the worker will continue counting even after the job succeeds in our system, and will only stop counting when the page is refreshed.",QA Engineer,Financial Services,Used the software for: 2+ years
ironworker,"Simple set up, very good support, and clean interface",I like Iron Worker. I don't use all of the features but it has helped a lot with scaling up and streamlining functions in my app.,Dan M.,5.0,"January 11, 2019","It's simple but scalable, the support is very good. When setting up I had a lot of questions and they respond quickly. I like the interface, the ability to easily see exactly what is contained in each request is great and the API is straightforward.","There is not much middle ground on the pricing, it's either an opening price point plan with more limited features, and then the next level jumps up significantly in price. I am using this for an app that is not processing a up huge volume of traffic so I am able to get by with the features on the lowest price point plan, but I would like something offered in the middle that doesn't jump up in price so steeply. I should mention I am using the worker via the Heroku app. The only other negative is that the worker has gotten hung up on me a couple of times but it has only happened minimally and they are quick to resolve once I report it.",VP - US,Internet,Used the software for: 6-12 months
ironworker,DevOps solution to speedup the Software development.,Iron Worker helps in simplifying the development and focus on the cost cutting. The custom auto scaling helps to set the threshold limit so we should not run out of budget. The opensource server-less computing with help of IronFuncation give the wings to application and help in integrating with the containers .,Abhinav K.,5.0,"March 28, 2019",Iron Worker helps in managing the multiple management portfolio to speed up the software development and delivery. It also provides the flexibility while designing the deployment cycle for different level of architecture. Brief metrics help in auditing and identifying area of improvements. Simple Queue Service is much more enhanced and provide the multiple option like sharing the queue and generating the report and analytics to get the area of cost cutting. SQS dashboard help to analysis all the things in the single panel window. Authentication is provided with the token which make the queue share possible without compromising with the security.,REST based API configuration is little complex and we need to go through the documentation before implementation as user interface for setup wizard should be user friendly and simple.,Sr Software Integrator,Computer Software,Used the software for: Less than 6 months
ironworker,Nice but a little expensive,"Overall I was really thankful for it and initially it enabled me to do some things that would have been very, very difficult on other platforms.",Verified Reviewer,5.0,"January 7, 2019",I used Iron Worker for a couple of automated processes like running subscription payments for the gym software that I built. I found a PHP plugin that got me up and running really quickly and initially the cost was very low. I couldn't have had everything working as quickly and as well as I did with any other platform than Ironworker.,"Quite honestly it got expensive to the point that it was cost prohibitive. It ended up being cheaper for me to spin up an EC2 instance and run my processes using cron jobs on a virtual server. I haven't checked the pricing recently so it might have changed, but at the time it became too expensive to use.",Director of Technology,"Health, Wellness and Fitness",Used the software for: 2+ years
ironworker,Iron.IO Makes Worker Deployment Simple,"Overall, I throughly enjoy my experience with Iron.IO except for a few caveats.",Verified Reviewer,5.0,"January 8, 2019",The hybrid service is excellent and allows for greater control for my usage and us very simple to deploy new instances with one command.,"They Autoscaling is not true autoscaling... It will not automatically add the Security Groups when scaling up. Therefore, I still need to be available to add security.",DevOps,Computer Software,Used the software for: 2+ years
ironworker,The ORIGINAL serverless platform,"This is a great solution to the ""cloud cron"" problem. Scheduling of jobs is easy. No need to have a cloud instance running cron.",Daniel M.,5.0,"January 5, 2019",I love the ability to schedule jobs to run at regular times. Native PHP support is also a great plus.,Occasionally jobs stall in the queue and need to be manually pushed through. This has not happened recently.,CTO,Legal Services,Used the software for: 2+ years
ironworker,Effective cloud message queue,"We use Iron Worker for the rise.global SaaS software to handle post score bulletin activities such as data cleaning, email notification queue. It works well out of the box and is very reliable.",Toby B.,5.0,"January 4, 2019",Easy to set up and create additional message queues Very robust and reliable,You can't see messages waiting in the queue,Contract Software Developer,Internet,Used the software for: 2+ years
ironworker,Background Jobs,We were trying to implement background jobs and orchestrations. Background jobs can still be achieved but for orchestration we had to move to AWS Step functions.,Pratyush P.,4.0,"January 21, 2019","Iron IO and Iron Worker are all easy to use. Its also well documented, so quite easy to get started",I think its nice with all hardware scaling and all. But from software point of view its small. You dont have too many options or configurations.,Full Stack Engineer,Internet,Used the software for: I used a free trial
