product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
inside,"INSIDE has proven to increase website revenue, enhance customer engagement and reduce customer servi",,Verified Reviewer,5.0,"April 9, 2018",What I like about Inside is that it is very easy to use and they have a good technical support team to answer any questions.,What I like the least about INSIDE is that I have to pay a monthly budget to be able to use their service.,Gerente de Contenido,Used the software for: Less than 6 months,
inside,Unique among other platforms,I love how this platform was put up together. The way it was designed was meticulously thought of. It gives visual representation of what we most of the time see as text only. Not only that - the people we work with are a delight to talk to. They help us resolve our issues quicker.,Cherry Paula C.,5.0,"October 14, 2020",I like how it is being interactive for agents. It was totally different from the other platforms with the same purpose. It was not boring. A bit expensive but they are evolving on the area that we need which is what i really wanted to see.,"Whenever I use it, it takes up a lot of bandwidth. Sometimes it slows down my connection, sometimes doesn’t.",Project Manager,Electrical/Electronic Manufacturing,Used the software for: 2+ years
inside,Glitches,,Aquinda W.,3.0,"October 14, 2020",Disposition options are easier to access,"Closes out chats while working, chat showing long times when just receiving chat, dispostition not working all the time",Client Services,Consumer Services,Used the software for: 6-12 months
inside,Great visual & user friendly system,Has been great to work with. We have had alot of wins customising and integrating system and they have been helpful throughout. Looking forward to getting more and more value out of Powerfront & Inside.,Brooke C.,4.0,"October 14, 2020",The visual layout and being able to watch customers move throughout the website. The ability to add customisation into other systems like our CRM. Has been easy for our agents to pick up especially during COVID when many were taught on the fly.,Features like being able to have the webchat set to on constantly even if an agent isn't online yet - We'd like it to be open 8am - 6:30pm like clockwork. Credit card masking feature is creating a few issues internally.,Product Owner,Utilities,Used the software for: 1-2 years
inside,Inside makes it easy for agents and executives to engage,From our perspective we are using a very simple level of Inside but are increasingly becoming aware of the further potential of the platform. As we adopt new elements we continue to improve our user experience,Steve H.,5.0,"October 14, 2020",The visual interface is superior to other solutions making engaging with customers fun and interesting. We've recently begun deploying the BOTS feature and are finding it helpful to assist customers without adding more agents,Nothing comes to mind. Inside offers so much more capability than we are currently using,Customer Advocacy Manager,Retail,Used the software for: 2+ years
inside,Unique & Engaging,"Overall it has been great! There has been a trial and error process to determine what browser works best with Inside (currently we're finding Edge offers the smoothest experience), and the range of options Inside grants does prove training new colleagues a bit more difficult, but the end result works wonders.",Lazarus B.,5.0,"October 14, 2020","While there is an initial learning curve, Inside provides a great experience once you've got a handle on things. The UI/UX is a breath of fresh air, and the available features (co-browse, visiting other channels, visually representing each colleagues current chat pool) are a massive step up from our alternative chat client.","Inside is substantially more process intensive than our alternative chat client, this can prove an issue on less than capable hardware.",Customer Advisor,Telecommunications,Used the software for: 1-2 years
inside,Inside for Me,"Overall Inside is a great tool, that allows us to work with our customers in a way that is best for them.",Dale P.,4.0,"October 14, 2020","Inside is a useful tool that allows us to talk to the customer in a what that is better for our customers. In today's world of multitasking, being able to chat with us allows the customer to do other things while waiting for our responses, unlike talking on the phone.","We still experience freezing at times, and there are some functions we would like to see that are not available to use right now, they may come with an enhancement down the road.",Serior Service Representative,Retail,Used the software for: 2+ years
inside,Pro chat,"Being ablet to control how many customers i can chatted with and my overall experince of inside is fantastic i really love inside, i'm being using inside since 2015 and you guys did a really good job in updating the system with new features etc keep it up",Esther M.,5.0,"October 14, 2020",Love how it helped customers can completed their purchase online and the sound i get when they completed a sale :),"Nope you guys are doing a great job, i love inside i find it very effective to deal with customers and the best platform ive ever used:)",Customer Advisor,Consumer Services,Used the software for: 2+ years
inside,A Good Start,,James G.,4.0,"October 14, 2020",Inside has made it easier to consolidate high volume inboxes and webchat into one platform that can be accessed anywhere my team are working from. It has been a good step up from Outlook.,There is room for improvement about how the program forwards email to different user groups in our organisation that are required to complete the ticket prior to responding to the customer.,Channel Manager,"Health, Wellness and Fitness",Used the software for: 1-2 years
inside,INSIDE is FUN!,"The best. Within Spark, this is the best software to chat with the customer. I have been using this for more than 4 years and I would still prefer to use this software.",Eileen S.,4.0,"October 14, 2020","- I feel like I am just playing a game. The layout is good and we can change the theme. Helps for my overall well-being. :) - I can access my KPI's, sales, productivity, surveys in just one click. - I can see what the customer's typing in real time without them sending it yet. For me this is the best feature with INSIDE.","Sometimes I can't keep up with the updates :) For the past years, its full of jargons and too technical to read. But I noticed that, you have change and added Guides and Manuals, Videos and tutorials, release notes and support. However, Inside is easy to use so all good.",Customer Advisor,Telecommunications,Used the software for: 2+ years
inside,Customer support coordinator,,ALESSANDRA M.,5.0,"October 14, 2020",Semplicità nell': utilizzo e nella comprensione,Pratico stabile intuitivo di semplice utilizzo.,Customer client coordinator,Consumer Services,Used the software for: 2+ years
inside,Pretty good software - lots of customising,,David H.,4.0,"October 14, 2020",I love the fact the the UI is so balanced and we have so many options for dispositions and sub-channels. A real life saver.,That the routing algorithm doesn't seem to be transparent in how chats are routed (if done reactively),Channel Support Champion,Telecommunications,Used the software for: Less than 6 months
inside,Interactive and easy,,Vincenzo P.,5.0,"October 26, 2020",The easy way to use it. The graphics and the report section.,The fact that during the conversation there is no sound notification of a new message at all.,Customer Care Assistant,Information Services,Used the software for: Less than 6 months
inside,The best chat application,,Vaishali P.,5.0,"October 14, 2020","Inside has all the features which we can use for responding to the customer without wasting time. Tools like product inquiry, attachments, templates, past history for chats, the chat statistics, review platform for the customer, this is a great package, a software which has everything.",At times the product screen won't link to our website eway.ca,Customer Service Representative,Consumer Services,Used the software for: Less than 6 months
inside,Joy of Inside,I quite enjoy using inside. It makes the job easy to do on a daily basis.,Patricia B.,5.0,"October 15, 2020","I like how easy it is to click and add a message to the customer, send them offers, or transfer them to another department if necessary.",At times there are glitches that need to be fixed when an update is made.,Proactive web chat,Retail,Used the software for: 2+ years
inside,INSIDE tools review,I have been using the tool more than two years and I can say it did the job well done on helping me cater the customers needs with ease of use.,Karl Anthony L.,5.0,"October 14, 2020",user friendly and no problems with using with my other tools.,"Sometimes slow on response, and I get more than two customers at a time.",Customer service representative,Outsourcing/Offshoring,Used the software for: 2+ years
inside,PF Inside review - Live chat,Quite good in terms of exchanges. Not always easy to discuss possible new features implementations,pietro S.,4.0,"October 15, 2020",User Interface is intuitive and easy to use,Reporting section is not friendly and very hard to customize in order to have relevant information to drive the business,Global Client Service project manager,Luxury Goods & Jewelry,Used the software for: 2+ years
inside,Inside tool review,Great journey overall,Prashant V.,5.0,"October 18, 2020","One of the best tool used to chat with customer, its been 2 days and never faced a latency or outage from inside. Great journey overall",Features to manually remove or put people on limited,Team leader,Banking,Used the software for: 2+ years
inside,Molto soddisfatta,Inside è un applicativo che permette la gestione dell'assistenza a 360°,Laura D.,4.0,"October 26, 2020",L'intuitività dell'applicativo e la versatilità,Attualmente sono soddisfatta con il pacchetto acquistao,Customer Support Specialist,Human Resources,Used the software for: 2+ years
inside,Review on Livechat,NA,Xiaoqing A.,5.0,"October 15, 2020","Easy to navigate, change settings, able to do it alone, other users are able to do so.","some features wanted was only available at the later part, eg VA.",Customer Executive,Retail,Used the software for: 2+ years
inside,Chat for our Organization,,Tammy S.,4.0,"October 14, 2020",It is simple to run reports and find any type of data needed. Nice user interface as well,It can be somewhat buggy but in general runs well,Command Center Manager,Retail,Used the software for: 2+ years
inside,Great support,,Jeannette O.,5.0,"October 15, 2020","Getting adjusted to any new software takes a moment but the best part of this is the immediate help and support I've gotten from the INSIDE team. From getting accustomed to the software to implementing new changes and adjustments, their support team has always been responsive and helpful to make this work for us. The visuals and overall use is pretty self explanatory and a fantastic way to visualize the way our customers shop and view our inventory. It's allowed us to understand their needs and be able to make suggestions and secure sales.","Setup was tricky to do on our own, but the support team was great at helping us with that.",Senior Wholesale Account Manager,Retail,Used the software for: 1-2 years
