product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
p4,Hard to master,"Perforce is great, when you master it. It becomes a very powerful and useful tool once you know how to use it.",Dominic C.,5.0,"May 12, 2020","Perforce is the perfect software if you want to work with a team remotely on the same project. In video game development, you could have 500 people working on the same game at the same time. Perforce allows everyone to work on specific things within the project from their own computers.","Perforce's user interface is very complicated to understand and to master. Many people that I know, including me, make a lot of mistakes after and there is not enough information online to figure it out.",Quality Assurance,Computer Games,Used the software for: 2+ years
p4,Solid easy to use source control,"We use Helix Core to store everything related to software - source code, artifacts, design documents, tests, test results, etc. It handles everything we throw at it with ease. In over 15 years of using Helix Core, we have not had any issues with data integrity, speed or storage.",Matthew C.,5.0,"August 12, 2021","The software is hosted by our company, is easy to manage, easy to maintain and does it's job. The primary focus for the tool is source control. While Helix Core allows for integration with other applications, it has remained true to being first and foremost a world-class source control management tool.","Remote depots were slow and confusing, though that has seen much improvement in the past few years. Setting up the remote depots was not difficult in the final analysis, but getting our remote contractors to manage Helix was problematic. We would use remote depots again if the need arose, but internet speed increases, remote clients can just VPN into our network.",Senior Software Engineer,Biotechnology,Used the software for: 2+ years
p4,Essential but lacks user-friendly set-up process,,Yogesh M.,3.0,"January 13, 2025",It's one of the essencial part of the workflow and a useful tool to manage the game project.,It's very difficult to set-up and manage.,Game Artist,Computer Games,Used the software for: Less than 6 months
p4,best source control software around,"i've been using this product for almost 20 years, and i'm not planning to change any time soon. it does what i want. it's pretty easy to use. it can do just about anything you need it to do. the company stands behind their product, and they support it very well. what more needs to be said.",Verified Reviewer,5.0,"May 26, 2019","i have been using this product (both as Helix and Perforce) since 2000, and it's wonderful. it has just about every feature you could want. on those rare occasions when i had to contact their support department, i got answers immediately, and whatever the problem was, it was resolved very quickly. over the years, there was only one thing i wanted that the software couldn't do, but i easily created a workaround that did exactly what i needed.","several years ago there was a feature called ""windows explorer integration"". that feature has gone away in the more recent versions, which is too bad, as it was quite useful. there are other ways to do the same thing, but it was a nice feature to have around.",Owner,Computer & Network Security,Used the software for: 2+ years
p4,Helix,Helix is used in the main big studios to share files in a project. And is very important to learn and understand well this software before working in the industry.,Verified Reviewer,5.0,"May 11, 2020",Perforce is used in a lot and studios and also used in many 3D animation school. You can share large document/ modify them and post them back in the project,"It could get confusing , there aren't tutorials and you can easily erase files in a important project. without a good internet connection transfering file could take alot of time",3d artsit,Computer Games,Used the software for: 2+ years
p4,"Great tool, easy to use but missing some important functions like searching capabilities and sorting",It is a good source control program,Verified Reviewer,5.0,"October 7, 2017","Easy to use, has most common features intuitive. I like most the revision graph that assists in finding the history of a file.","Search capabilities are poor. There is not enough filtering capabilities while searching for files, jobs, Change Lists or any other entity. I would also expect the ability of more complex searches to combine filters. e.g. search all jobs/Change lists by a certain user for a specific branch. Such option does not exist.","R&D and deployment, Development Manager",Telecommunications,Used the software for: 2+ years
p4,A powerful tool once you learn how to use it,"My overall experience has been both using it for testing and software development. On on hand, I will occasionally be tasked to look at previous revisions to locate when a bug was introduced in our software. On the other hand, I also upload my own work to our repository, as a part of the project.",Wesley C.,4.0,"December 5, 2018","What I like most is how powerful it is when it comes to moving between revisions. Even in huge projects, it is not difficult to revert back to and older, or newer, version of your project.","While this software is powerful, it is also difficult to use. It can take a lot of time and practice, and even some mistakes, before you fully grasp what the software can do.",Tool Support Specialist,Computer Games,Used the software for: 1-2 years
p4,Helix Core Review,,Shih H.,4.0,"October 6, 2017",the GUI interface with side-by-side compare is very useful. the shelve feature is also something better than git stash,"I had a hard time install p4 command line version in Ubuntu 14. https://www.perforce.com/downloads/helix-command-line-client-p4 it downloaded the website index.html, not any installer file it might be better to support apt-get for ubuntu version. Or have the app in the Ubuntu marketplace",Embedded Software Engineer,Used the software for: 2+ years,
p4,High quality product with new features being added continually,,Ann R.,5.0,"October 6, 2017","Excellent control at file level, easy tracing of history, multi-platform support, good UI interface. We've had hundreds of developers using it for thousands of lines of code in hundreds of branches over many years and been very happy. We've had very good support.",It is difficult to rename or move files without causing issues for merging. I hear our enterprise license is very expensive.,software engineer,Computer Software,Used the software for: 2+ years
p4,"I love properties of perforce like finding differences, merging, code review capabilities and UI",,Ashish C.,5.0,"October 6, 2017","File comparison between different versions. Labeling and branching. Filtering with different user names, dates, and changelists.",Merging should be more intelligent. I get sometimes unwanted changes also merged when automatic merge is on. The merge UI is not so great.,Principal Software Engineer,Computer Networking,Used the software for: 2+ years
