product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
conductor,Not a content editor! It's a Super Charged SEO Content and Website Analyzing Monitor!,I have had super positive experiences with everyone at ContentKing. They are amazing and really care about the SEO community at large. They are definitely a company to follow in this space!,Joseph K.,5.0,"September 7, 2020","I liked that once you set it up, it just runs and keeps you posted on any changes or details that need fixing. It is a hands-free tool that just does what you need it to do: KEEP YOUR SITE RANKING! I like how it allows you to see different views with graphs that you can change with a simple click. You can sort pages that need attention by ""order of importance"" and ""order of severity."" This allows me to do what I need to do in the quickest fashion possible. I like the WordPress Plugin as well as the Chrome extension. (these two tools makes sure that I am on point SEO no matter what) - It keeps me posted and accountable to my site for any issues. It keeps track of my content where I don't have to! Yay! It simplifies my life!","The only thing I dislike is the name. The name makes the tool sound like an ""editor"" like many of the other tools out there. It is not an editor. It is not a content manager, it is a Content SEO auditor/monitor.","CTO, Director of SEO Operations",Marketing and Advertising,Used the software for: Less than 6 months
conductor,My contentking ,"My experience with contentking has been great. It's collaboration with other tools such as slack, Microsoft team and others has a great impact on my website.",Verified Reviewer,5.0,"September 9, 2023","I love it because it works well with external project management workflow. A feature like cloud-base helps me a lot especially in writing, editing and so much more",The negative thing with contentking is that it does not go beyond websites auditing and track. The price per page is also an issue and it makes it hard to choose the right plan,Freelancing,Writing and Editing,Used the software for: 1-2 years
conductor,Complete SEO Analytics Tool,"My overall experience with using Conductor Searchlight has been productive and satisfactory. Because the investment my marketing team made into the tool generated positive return of investment through incremental lift in non-food products orders, revenue and margin, specifically, from the organic search channel. The tool interface was intuitive with both keyword optimization and analytics features complimenting each other and easy to find. The automated search keyword ranking trends, location of SEO errors and recommendations on how to resolve them, made making content changes more efficient.",Gaurav G.,3.0,"February 9, 2020","Conductor Searchlight tool enabled me to analyze organic search driven traffic and conversions for specific keywords. So, I could work with my copy writing team to optimize content of landing pages and make them more search friendly. Additionally, I was able to include high volume keywords in title and meta description tags of every landing page. As well as, add internal links based on SEO insights and recommendations provided by Searchlight. If there were pages with broken links or 404 issues, I was able to quickly find those and fix them by implementing 301 redirects.","Conductor Searchlight tool depends on integrating with Google search API and Adobe Analytics. If this integration is not done, Searchlight offers limited SEO insights which can also be pulled through Google Search console. Due to limited SEO technical support provided by Conductor and Adobe, sometimes the additional task of implementing integration becomes a burden on the client development team. So, the value of Searchlight tool can be maximized only if client has robust technical support to do integration.",E-commerce Web Analytics & SEO Specialist III,Retail,Used the software for: 1-2 years
conductor,SEO Safety and change monitoring at a great price,"Content King has saved us a few times, highlighting issues that would have caused a decline in SEO performance, such as: - We accidently blocked one of our sites from being crawled by search engines via the robots.txt file - An error caused canonical tags to change pointing to redirect URLS - During website migration Title tags changed from what they were previously Without ContentKing, we any have not noticed any of these until we randomly stumbled across them. With ContentKing we get notified within hours.",Max P.,4.0,"December 14, 2021","The ability to crawl websites in real time and then alert and track the changes is really what sets this tool apart from its competitors. Actually, there are no exact competitors at the time of this review, as all the competition are just website crawlers, but don't actually offer the proactive crawling, alerting and change monitoring that Content King does. Their customer service is second to none and probably the best customer server I have ever received.","Compared to other website crawlers, Content King is somewhat lacking in the number of different things it can check for. However, the real time crawling and alerting is what sets this apart from the others.",Regional Head of SEO,"Health, Wellness and Fitness",Used the software for: 6-12 months
conductor,Life saver on migrations & continuously checking all our clients,"ContentKing has become an integral part of the service we offer clients, we give clients access and almost sell it through to them.",Gerry W.,5.0,"May 11, 2020","Having used ContentKing for several years now, the value it adds to our clients - being the first to spot when things break, constantly monitoring before / during / after a migration - being able to see changes is incredible. I have recommended this tool now to all my friends because it really is the best. Strength is in simplicity, I put a client in, I get results I don't worry too much about configuration at first - but then I can 'tune' it to capture far more data on the results.","The only thing missing at the moment is JavaScript - I know this is being worked on, every other suggestion I have made has been jumped on but this is a real challenge, my only other complaint is that the export is a Zip CSV which when I just want a dozen URLs is a bit of a challenge, however you can link through to filtered reports.",SEO Consultant,Internet,Used the software for: 1-2 years
conductor,Efficient and user-friendly tool for SEO quality,"Our company manages a portfolio of 42 websites, so having a tool which monitors the SEO quality of multiple domains is essential for us. ContentKing provides a clear overview of issues with context, which makes it easy for less experienced marketeers to fix SEO issues for their own brands. At the same time we can compare the scores across multiple domains, which gives a good overview.",Diantha D.,5.0,"May 12, 2021","The possibility to create segments for high priority pages with instant alerts when something changes in these segments prevents high-impact mistakes. This is very useful in protecting the SEO quality of money maker pages, but also in noticing platform issues after a release.","ContentKing's reporting features are available, but not very elaborate. More customization could benefit the clarity of the tool.",Global SEO Lead,"Leisure, Travel & Tourism",Used the software for: 2+ years
conductor,Never Let an SEO error fall through the Cracks,We like it!,Jordan F.,5.0,"April 8, 2022","We were using a scanning software where we made a bi-monthly scan of the site to pick up any technical SEO issues that arose. With ContentKing, we now have 24/7 scanning and notifications of issues that arise on the client site.","A few false alerts arrive, but we'd rather sift threw those than be in the dark.",Founder & Marketing Specialist www.moonandowl.com,Marketing and Advertising,Used the software for: 6-12 months
conductor,Intuitive SEO Platform,"My overall experience with Conductor Searchlight SEO platform has been positive. Because I was able to correlate organic search keyword rankings to the traffic and conversions driven from them. And make optimization changes in copy, title tags and description meta data of landing pages based on the comprehensive SEO insights provided by Searchlight tool. Once Searchlight becomes an office integrated partner of Google Analytics and integration with it becomes easier without having to depend on API work by developers, its usage and adoption will grow tremendously to justify spending additional dollars on it.",Craig S.,3.0,"February 26, 2020","Conductor SEO platform is easy to use and offers quick organic search insights to improve traffic and conversions from search engine marketing tactic. I could browse its interface to find keyword ranking reports by landing pages as well as competitor reports to compare search results of my apparel e-commerce website without spending too much time. The visual charts and trends made it easy for me to see when my website's search engine rankings started trending down, so I could make copy and meta data changes to improve those rankings. Due to such optimizations, I was able to lift search roi and sales.","Conductor SEO platform is dependent on web analytics software like Adobe or Google Analytics to track organic search engines' driven landing page traffic and product revenue. It doesn't have its own tagging process to track search driven e-commerce website performance. So, additional development and integration effort goes behind enabling connection of Searchlight tool to analytics tools through their API. This extra efforts slows down maximizing the adoption of Searchlight in a marketing team, initially.",Small Business Owner,Apparel & Fashion,Used the software for: I used a free trial
conductor,Too complex for non-techies,"Where there's definitely need for what ContentKing does, it can be overwhelming for those that just want to monitor changes to the website(s) they monitor or are responsible for. If you are not tech savvy, you will feel lost, with too much of the information and advice you get being clearly aimed at people with more technical knowledge of websites and coding. Even the support at times just isn't able to explain in simple words what's wrong. Where this might be no issue for developers and more technically skilled SEOs, webmasters, marketers etc., it will not help the less tech savvy people, making ContentKing an expensive solution that is too overwhelming as well as too technically focused.",Nathan V.,3.0,"December 10, 2020",There's a lot that you can do with ContentKing and it's definitely got a lot of great features. The most useful thing is the monitoring of changes to your web pages. Most of the other features can be found in other tools that audit your website too though. I would personally prefer a cheaper solution (or a stripped subscription) for the monitoring of the page changes only.,"It's just too big and complex if you just want to monitor your website(s). The information you get is at times too focused on the more technically skilled developers and SEOs, making it just too much for the regular webmaster, SEO or marketing people. The huge databases and servers needed for this service probably makes it so expensive too. If you can get tools to monitor specific things that you want to monitor, you will not need ContentKing to do it all.",SEO specialist,Marketing and Advertising,Used the software for: 1-2 years
conductor,ContentKing is a great analytical tool that has given us greater insight into our clients' websites.,"ContentKing has allowed us to keep better track of our clients' websites, discover new opportunities for optimization, pinpoint content management risks and focus our efforts to educate our clients.",Koen V.,5.0,"May 17, 2018","Our clients rely on us to optimize their websites and boost traffic and conversion. Our work is never finished, which means we need tools that never stop looking. One of the biggest advantages of ContentKing is that it supports us in every step of our process. New clients often think they need a complete rebuild of their website. ContentKing helps us determine whether that is actually necessary and, if so, why it is necessary. And once we've built the new website, it keeps track of a wide range of important on-site metrics that might slip through the cracks otherwise.","ContentKing requires users to specify an allotment of pages for each website they want to track. While this certainly helps keep the total number of tracked pages within the bounds of our plan, it is often difficult to determine exactly how many pages a given website has in advance. It would be helpful if ContentKing gave some insight into this number, allowing us to more accurately adjust the tracking budget.",Content Strategist,Used the software for: 2+ years,
conductor,Conductor review,Personally it my favourite keyword research tool and came with the additional benefit of Deepcrawl (now Lumar),Ryan B.,5.0,"August 14, 2023","The most self intuitive tool. Comes with Deepcrawl (now Lumar), the account managers are great and they really take feedback on board. Felt like more of a partnership than a business/client relationship","At the time of use a backlink tool was often rumoured as a future integration but I never saw it come to fruition, maybe it has since....",Search Strategist,Non-Profit Organization Management,Used the software for: 1-2 years
conductor,A tool I can't live without,A vital tool to speed up our work process,Verified Reviewer,5.0,"April 3, 2023",One of the best things is the real time monitoring of critical elements that can influence the SEO of a website. I really love the support too. They are awesome!,Not sure there is something I don't like. Probably the use of credits. You need to allocate 1000 credits to each website. It doesn't matter if the website has 10 or 999 pages you still have 1000 URLs less :),SEO,Marketing and Advertising,Used the software for: 6-12 months
