product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
globalsuite,Best all-in-one GRC,"I've been using GlobalSuite for a few months now on various client projects related to compliance and regulations, and it's been giving me quite good results.",Verified Reviewer,5.0,"March 19, 2025","- Very comprehensive for a single tool (honestly, I didn't expect to find such well-done business continuity functionality in a GRC). - Good base information with preloaded regulations and risk/control catalogs. - Almost everything can be customized risk evaluations, BIA catalogs and methodologies, etc. The tool adapts to what you need. - The surveys are gold. Collecting and consolidating information from risk assessments, updating inventory, or doing other assessments is usually an odyssey, but the tool really automates and greatly facilitates this task. Just for this, it's already worth it.","If I had to point out a downside, it would be the initial learning curve. You need to dedicate some time to fully understand the tool (they offer training courses; I've taken the basic and the business continuity ones, and they are 100% worth it).",Consultor,Information Technology and Services,Used the software for: 6-12 months
globalsuite,Todo lo necesario para el GRC de la seguridad de la información en un único lugar,Nuestra compañía utiliza esta herramienta desde hace más de 10 años cumpliendo con todos los requisitos necesarios para mantener con éxito el buen gobierno de la seguridad de la información y la continuidad de negocio.,Pablo M.,5.0,"May 8, 2025",Tener integrado todo lo necesario para realizar y mantener el SGSI y la Continuidad de Negocio es una única herramienta es fundamental y Global Suite no solo cumple sino que vas mucho más allá.,la curva de aprendizaje y familiarización con el entorno puede ser un poco lenta.,CISO,Facilities Services,Used the software for: 2+ years
globalsuite,Globe Suite,,Bill W.,5.0,"May 9, 2022","Convenient to use, well thought out user int.",Connectivity is not always smooth but after initial handshake all good,Engineer,Automotive,Used the software for: 1-2 years
globalsuite,Tu mejor aliado para automatización.,"La herramienta GRC brinda un adecuado nivel de automatización para aquellos que saltan de un esquema de gestión de excel, nos encanta el nivel de personalización disponible en la herramienta y la posibilidad de visibilizar Indicadores, planes y trazabilidad ya sea de un programa de seguridad de la información o de un sistema de gestión, otro punto que nos encanta son las encuestas que se envían a los asset owner para realizar la evaluación de riesgos sin tener que utilizar un usuario con un rol especifico dentro de la herramienta.",Wendy Caribel N.,5.0,"February 21, 2025",Definitivamente el nivel de personalización de herramienta para las metodología de evaluación de activos y riesgos.,Quizá el costo para mantener mas metodologías de riesgos,Consultor de Seguridad de la Información,Telecommunications,Used the software for: 2+ years
globalsuite,Prueba Interna GlobalSuite,EXCELENTE equipo de trabajo.,Anahí F.,5.0,"May 7, 2024",La herramienta tiene un uso fácil e intuitivo.,Faltan pequeñas mejoras pero por el momento me ayuda a gestionar mi información.,Consultor Senior,Banking,Used the software for: 2+ years
globalsuite,Global Suite Solutions,"En general la herramienta es una excelente solición, como todos los sistemas tiene opciones de mejora pero constantemente se está actualizando la herramienta.",Verified Reviewer,5.0,"April 24, 2023",El modulo de Cumplimiento en conjunto con Gestión de Riesgos y Controles facilita la integración de distintos marcos de control del negocio a 1 matriz de riesgos y controles.,"Creo que podría mejorar el uso de las encuestas, para que sea más automatizado.",Director General,Information Technology and Services,Used the software for: 2+ years
globalsuite,Una herramienta potente con adaptabilidad,"Mi experiencia general con GlobalSuite ha sido positiva en el sentido de que me permite trabajar Continuidad del Negocio, ERM y Riesgo Operacional desde un mismo entorno. La centralización de información y la trazabilidad entre riesgos, procesos, controles y evidencias hacen el trabajo más ordenado y reducen la dependencia de documentos dispersos.",Emilio G.,5.0,"November 14, 2025","La herramienta me permite centralizar información, unificar criterios de evaluación y mantener una trazabilidad clara entre procesos, riesgos, controles y evidencias. Esto facilita el trabajo diario y reduce la dependencia de hojas dispersas, haciendo más sencillo mantener todo actualizado y demostrar cumplimiento cuando es necesario.",La curva de aprendizaje puede ser elevada si se carece de experiencia previa en la materia. Solucionable con la ayuda del proveedor.,KAM,Management Consulting,Used the software for: 2+ years
globalsuite,Optimizando la gestión de GRC con GlobalSuite Solutions,"Gracias a GlobalSuite Solutions muchas empresas peruanas han logrado automatizar y optimizar sus procesos internos de gestión de riesgos, cumplimiento normativo, seguridad de la informacion, continuidad de negocios, entre otros modelos, logrando entornos de trabajo con información consolidada y de forma colaborativa, mejorando mucho la experiencia y el tiempo empleado por los responsables de los sistemas de gestión en general.",HERNAN S.,5.0,"March 27, 2025","Herramienta GRC muy completa e innovadora que de forma permanente genera nuevas funcionalidades y se alinean a los estandares internacionales de mayor uso como las normas ISO, NIST, entre otras, y se encuentra tambien adecuado a las regulaciones locales de muchos países. Es muy intuitiva y tiene varias características de valor como la integración de la IA para la gestión de riesgos.","GlobalSuite Solutions posee varias funcionalidades que facilitan la gestión interna de diversas normativas de cumplimiento, es posible que puedan considerarse mejoras en la gestión de proyectos que posee la herramienta y que estan relacionados a los procesos de implementación de estas normativas antes mencionadas.",Risk and Cybersecurity Manager,Information Technology and Services,Used the software for: 2+ years
globalsuite,Valoración Globalsuite,,Cecilio G.,3.0,"April 3, 2025",Es una herramienta completa con posibilidad de cargar bastante información.,"Me parece una herramienta poco intuitiva quizá por la cantidad de información que se puede volcar. Por ejemplo, si te descargas un documento, adivinar que está en mi perfil me ha costado un poco (porque no se anuncia en el mensaje de descarga que está en mi perfil). Por otro lado, en el registro de brechas de seguridad no se muestran todas las brechas que has registrado (y te tienen que explicar que es necesario marcar ""todos""). A mi modo de ver, una vez que accedes a ese apartado deberían aparecer todas las brechas registradas.",Cumplimiento Normativo,Banking,Used the software for: 2+ years
globalsuite,Um software completo para Gestão de Riscos e Compliance,"Sou certificado para implementar a solução, então uso a ferramenta todos os dias. E todos os dias me encanta as possíbilidades que a ferramenta proporciona. Sempre recebe várias atualizações, tanto para ajustes e correções, como incluindo features que os clientes indicam.",Mario N.,5.0,"February 14, 2025","É customizável e adaptável a qualquer modelo de gestão de riscos. Uma solução completa para gestão de riscos, permitindo o gerenciamento de controles, planos de ação e gap analysis. Possibilidade de ampliar a solução com módulos específicos, como Auditoria e Continuidade de Negócios.","Tem uma curva de aprendizado e, por ser totalmente configurável, necessita de apoio para implementação. Porém, após a implementação do modelo, possibilita uma agilidade na reunião de dados e na tomada de decisões.",Head de Demonstração e Implementação,Computer Software,Used the software for: 2+ years
globalsuite,Reseña Global Suite,,Rodrigo G.,5.0,"March 21, 2025","Valoraría la calidad del producto como alta. Es una herramienta completa, fácil de usar y muy útil para la gestión de continuidad de negocio y riesgos.","Lo que menos me ha gustado es que algunas funciones podrían ser más intuitivas y personalizables. Sin embargo, en general, la herramienta es muy útil y eficiente.",Consultor Continuidad Negocio,Management Consulting,Used the software for: 1-2 years
globalsuite,"LA herramienta para gestión de riesgos, cumplimiento normativo y auditoría que siempre querías","Fantástico. Una herramienta muy completa, con multitud de funcionalidades superando bastante las opciones disponibles en el mercado, y con un equipo de soporte y desarrollo maravilloso.",Rosemary O.,5.0,"March 21, 2025","Me encanta la cantidad de funciones que ofrecen, su alto nivel de personalización, y la incorporación de IA para estar aún más preparado para el futuro.","La única cosa que diría es que de tanta potencia que ofrece, supone una curva de aprendizaje alta, ya que para sacarle el máximo provecho hay que estudiar.",Consultora de Ciberseguridad y Continuidad de Negocios,Information Technology and Services,Used the software for: 6-12 months
globalsuite,Global Suite en positivo,"Global Suite es ideal para integrar la identificación, análisis y evaluación de riesgos de manera sencilla y eficiente.Es una herramienta potente qiue permite abordar de manera efectiva los riesgos operativos y de cumplimiento garantizando un control más preciso de los posibles impactos.",Gladys N.,4.0,"March 21, 2025","Como está estructurada la plataforma, lo que permite que sea intuitiva la navegación entre los diferentes módulos.",Lo que menos me ha gustado es la interfaz grafica.,Consultor,Management Consulting,Used the software for: 1-2 years
globalsuite,Reseña Globalsuite consultor ciberseguridad y continuidad de negocio,,Pau M.,5.0,"March 20, 2025",Todas las prestaciones que ofrece globalsuite y lo comodo que es utiizar la aplicación de escritorio.,Pueder abrumador en un inicio pero te acosumbras rápido a la aplicación.,Consultor de ciberseguridad y continuidad de negocio,Management Consulting,Used the software for: 6-12 months
globalsuite,Contenta con el porducto,,SARA G.,4.0,"March 12, 2025","Poder adaptar mi necesidad a la herramienta, siendo totalmente moldeable","Es un poco complejo de entender al prinicipio, me habría gustado un poco más de simplicidad a modo de ejmplo no tener que estar cambiando de gestión a análisis para gestionar un aplicativo, me habría gustado que todo estuviese en un único sitio para desde ahí haberlo podido gestionar todo.",GERENTE JURÍDICO,Financial Services,Used the software for: Less than 6 months
