product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
google_cloud_vision_api,Google Cloud Vision paves the way for amazing future developments in cloud-platform IoT.,I was given a free trial demonstration of some of the ostensible development aspirations that might be achieved through user and administrator dedication to the offerings of Google Cloud Platform's Cloud Vision app service and programming interface.,Jay A.,5.0,"July 18, 2019","I received a particularly surprising treat to demo this software at the scale and magnitude of professional engineering behind the code working through Google Cloud Platform delivery in that I experienced real-time, device-free, visual symbiosis of a technological platform of visual sensory augmentation that one would more commonly expect out of Virtual Reality Glasses or Augmented Reality devices. I saw my surrounding environment through significantly-increased intelligence and orthographic transformation of what was essentially a behind-the-scenes look in to what quantifies intelligent aesthetic design, as well as etiologies of visual intelligence. The prospects for this Google Cloud Platform software product are magnificent to the layperson, and to developers, alike, who aspire to create rich deliverables in user experience.","The platform is a Google Cloud Platform Project, and as such, it's a newly-burgeoning software platform for development. It's geared towards a technically-advanced user, to be sure.",Institute Director,Higher Education,Used the software for: I used a free trial
google_cloud_vision_api,Ideal for team that is working on building a product around OCR,"I have worked with multiple OCR engines, including other professional OCR engines available and I would definitely recommend using cloud vision if you are just starting out.",Verified Reviewer,4.0,"June 9, 2019","1. The accuracy is way higher as compared to other professional OCR engines available in the market for the use case that I am tackling. 2. Response time is decent (though it depends on the sizes of the images uploaded to the service) 3. Easy to configure and setup 4. The pricing scheme is also very good, its pay per use 5. Does not require any image pre processing for most of the OCR use cases, just upload an unprocessed image. Most of the heavy weight lifting for OCR process is done by the service 6. Provides an excellent benchmark if you are planning to build your own OCR engine.","1. Documentation could be improved 2. The logging from the library could be improved to better understand failure scenarios 3. It would be good have an offline service too, always requires a connection to the internet. (Unlike its counter part mobile vision) 4. Once or twice I have observed that their backend update to the service added some extra OCR characters to the response, which broke the logic I had previously built on. So, there is a need to constantly check the response being returned from the service 5. Some advanced configurations that could be useful are missing or not documented. For example, there is no font training available with the service.",Technical Lead,Information Technology and Services,Used the software for: 2+ years
google_cloud_vision_api,Best From Segment,,Manoel F.,3.0,"February 27, 2020",Great interface and several functions. Simple and easy to use.,It could work offline and improve advanced settings.,Free Lancer,"Health, Wellness and Fitness",Used the software for: Less than 6 months
google_cloud_vision_api,Google cloud,Overall its a good platform for storing files.,Verified Reviewer,5.0,"May 23, 2019","Stores small, medium as well as large files (Even which are difficult to send or store). Folders can be created as well organised easily. Eases storage issue. Makes it easy to access the data from anywhere. Secure platform.",Sometimes the formatting in excel sheets gets little messy.,Front Desk & Jr. Recruiter,Financial Services,Used the software for: 2+ years
google_cloud_vision_api,NextGen!,,Allison B.,5.0,"December 14, 2018",This tool makes OCR and photo recognition easy.,"Implementation can be a little tricky and a way to ""teach"" this for your own use-case could be helpful",Director of Marketing,Facilities Services,Used the software for: 1-2 years
google_cloud_vision_api,Gives lots of details about images using Artificial Intelligence,"We have been using Google Cloud Vision for a client who has given us thousands of user submitted images that are to be used in a personalised mail merge. To avoid any images that contain objectionable content, we avoided the cost and tedium of having to manually look through thousands of images, by using Google Cloud Vision API. It was able to classify images that were offensive, and remove them from the catalog. There was a cost involved, but it was less than employing somebody to do it, if we could have even found someone.",Jeannette S.,4.0,"March 24, 2019","I like the feature that can read text in an image, even if it is obscure text like signage or unusual fonts. It picks up this text and outputs it in the data stream that comes from Google Cloud Vision.","It is very complicated to set up Google Cloud Vision, including API keys, permissions, and programming languages. We have been working with a developer who has made us a simple drag and drop tool that organises the images into folders, but it is still a complicated workflow.",International Customer Relations,Printing,Used the software for: 1-2 years
google_cloud_vision_api,My view of the site is fantastic,I wish you more excellence and success,Hammam S.,4.0,"February 28, 2019",The design and the way people are interested in offering everything to them is easy for them,I think only prices But I wish you more success and success and this side I think does not affect your strong company,graphic design,Design,Used the software for: 2+ years
google_cloud_vision_api,Computer vision solution from the future,,Verified Reviewer,5.0,"March 5, 2019",Quick and easy to integrate with any language. High Accuracy,It is more expensive compared to Amazon Recognition which provides the same service.,Ionic Mobile Application Developer,Marketing and Advertising,Used the software for: 2+ years
google_cloud_vision_api,Easy to Implement APIs for Computer Vision and Deep Learning ,"As of now, it is one of the easiest and most versatile APIs or platform for implementing deep learning into my own code. Although setup was somewhat difficult, the experience afterwards was simple and efficient. Also, since there is a large user base, there are many resources for troubleshooting or debugging code.",Verified Reviewer,5.0,"February 19, 2019","The ease of use and extensive documentation. Some other apis for computer vision are often difficult to use because of lack of documentation, however I found that that is not the case with Google Cloud Vision. There are also numerous different options such as OCR(optical character recognition) to identify text or object identification to tell the user what items are in a photo.","Setting up the platform on terminal for example has many steps and is sometimes convoluted. The documentation is there, but it is somewhat confusing.",manager,Computer & Network Security,Used the software for: 6-12 months
google_cloud_vision_api,Make your images speak,It has been a pleasure to work with Cloud Vision and see the power of the algorithms being used in the backend,Verified Reviewer,5.0,"August 31, 2019","The API is very easy to use and helps to do in depth analysis of images. There are even great tutorials out there, that teach you, how to use the Google's state of the art algorithms on your data sets, in order to get the bests of the results. Not only this, it can also help you with human annotations if you need it.","The price could be a little bit costly if looking from a student's perspective. For industrial use, it is very cost efficient.",Student,Computer Software,Used the software for: Less than 6 months
