software_category,product_id,name,url,rating,reviews_count,description
Application Development,jira,Jira,https://www.capterra.com/p/19319/JIRA,4.4,15339,"Jira is a project management tool for application development teams to collaboratively plan, track, and manage their work. Learn more about Jira"
Application Development,wix,Wix,https://www.capterra.com/p/169007/Wix,4.4,10634,"Wix is a website builder letting users create professional sites without coding using templates, AI tools, and business solutions. Learn more about Wix"
Application Development,github,GitHub,https://www.capterra.com/p/129067/GitHub,4.8,6163,"GitHub Repos, GitHub Codespaces, GitHub Actions, GitHub packages and our suite of security tools enable a fully managed DevOps cloud. Learn more about GitHub"
Application Development,microsoft_visual_studio,Microsoft Visual Studio,https://www.capterra.com/p/80230/microsoft-visual-studio,4.6,3005,Microsoft Visual Studio is an IDE that streamlines software development across various platforms and programming languages. Learn more about Microsoft Visual Studio
Application Development,google_cloud,Google Cloud,https://www.capterra.com/p/268690/Google-Cloud-Platform,4.7,2271,Cloud-based service that allows users to create anything from swebsites to complex applications for businesses of all sizes. Learn more about Google Cloud
Application Development,airtable,Airtable,https://www.capterra.com/p/146652/Airtable,4.6,2227,"Airtable is the AI-powered app platform that unifies data, maximizes collaboration, and powers smarter workflows — no code required. Learn more about Airtable"
Application Development,notepad,Notepad++,https://www.capterra.com/p/185965/Notepad,4.7,2003,A free text code editor that supports various languages and uses Win32 API and STL. Learn more about Notepad++
Application Development,microsoft_azure,Microsoft Azure,https://www.capterra.com/p/16365/Azure,4.6,1951,"Azure is a comprehensive computing platform, providing cloud infrastructure, services, developer tools, and innovations in data and AI. Learn more about Microsoft Azure"
Application Development,appy_pie,Appy Pie,https://www.capterra.com/p/140928/Appy-Pie,4.6,1389,Appy Pie is an AI App and Website Builder with prompt-based creation plus visual and selection-based editing for easy customization. Learn more about Appy Pie
Application Development,sublime_text,Sublime Text,https://www.capterra.com/p/179535/Sublime-Text,4.6,1380,"Application development tool that allows multiple selections, customizable key bindings, split editing, cross-platform usage, and more. Learn more about Sublime Text"
Application Development,bitbucket,Bitbucket,https://www.capterra.com/p/233341/Bitbucket,4.6,1343,"Bitbucket is more than just Git code management. It gives teams one place to plan projects, collaborate on code, test, and deploy. Learn more about Bitbucket"
Application Development,odoo,Odoo,https://www.capterra.com/p/135618/Odoo,4.2,1299,"Odoo is an all-in-one open-source business platform for CRM, Sales, Accounting, Website, eCommerce, POS, Inventory, HR, and more. Learn more about Odoo"
Application Development,intellij_idea,IntelliJ IDEA,https://www.capterra.com/p/136010/IntelliJ-IDEA,4.7,1256,IntelliJ IDEA is the JetBrains IDE for pro development in Java and Kotlin. Learn more about IntelliJ IDEA
Application Development,gitlab,GitLab,https://www.capterra.com/p/159806/GitLab,4.6,1216,"GitLab unifies planning, CI/CD, security, and agentic AI, eliminating the tool handoffs that slow software delivery. Learn more today. Learn more about GitLab"
Application Development,essential_studio,Essential Studio,https://www.capterra.com/p/228226/Essential-Studio,4.5,917,"Syncfusion Essential Studio® offers 1,700 software components and frameworks for developing web, mobile, and desktop applications. Learn more about Essential Studio"
Application Development,unity,Unity,https://www.capterra.com/p/158591/Unity,4.6,839,"On-premise game engine that helps developers assemble assets, create games & experiences in 3D, manage crashes, and more. Learn more about Unity"
Application Development,mulesoft_anypoint_platform,MuleSoft Anypoint Platform,https://www.capterra.com/p/275022/Anypoint-Platform,4.4,574,"The Anypoint Platform allows you to develop, deploy, and manage secure APIs, integrations, and orchestrate data across systems. Learn more about MuleSoft Anypoint Platform"
Application Development,appsheet,AppSheet,https://www.capterra.com/p/149367/AppSheet,4.7,546,"AppSheet is the intelligent, no-code app platform for everyone. Create apps to transform your workplace. Learn more about AppSheet"
Application Development,docker,Docker,https://www.capterra.com/p/148132/Docker,4.6,536,"Application development solution that enables businesses to build applications, share container images, and more. Learn more about Docker"
Application Development,mongodb,MongoDB,https://www.capterra.com/p/127374/MongoDB,4.7,469,"MongoDB is a scalable, flexible NoSQL database built for supporting AI use cases with dynamic schemas, vector search, and rich data. Learn more about MongoDB"
Application Development,codenvy,Codenvy,https://www.capterra.com/p/140776/Codenvy-Developer-Workspaces,4.4,467,"Codenvy makes on-demand developer workspaces controlled by any IDE. Download it, let us manage it for you, or run in our hosted cloud. Learn more about Codenvy"
Application Development,bizness_apps,Bizness Apps,https://www.capterra.com/p/141178/Bizness-Apps,4.7,422,Mobile apps for businesses made easy. Learn more about Bizness Apps
Application Development,salesforce_platform,Salesforce Platform,https://www.capterra.com/p/268338/App-Cloud,4.4,392,Build around the customer with AI-powered apps to create amazing experiences. Learn more about Salesforce Platform
