product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
cisco_umbrella,Quality Cloud Protection,"My particular opinion is that it is a great tool from cisco since it is very intuitive. Also, Cisco adds a layer of DNS-based protection against malware, which is very useful.",Leonardo M.,5.0,"February 28, 2023","What I like the most about this device is its stability because it protects against malware and phishing in real time, and its stability in the cloud. organization. Besides the fact that the client interface is very intuitive.","Having used this kit myself, I have not found a single fault as it is very easy to set up. Also, apart from the fact that we only have to configure what and how we want to protect and add PCs, we are quite comfortable with this product.",IT Reporting & Analytics,Entertainment,Used the software for: 2+ years
cisco_umbrella,Adir Ben Hamo,"The deployment experience with Cisco Umbrella is notably smooth and fast—DNS-layer integration can be rolled out in hours, not days. For an organization with global sites, mobile users, and third-party contractors, Umbrella simplifies protection without requiring heavy infrastructure or VPN dependencies.",Adir B.,5.0,"May 5, 2025","Ambrella acts as the first line of defense by blocking access to malicious domains at the DNS level, before a connection is ever established.","This early-stage protection is vital in environments with legacy systems or remote operations (e.g., R&D labs, remote sites like Neot Hovav or Beit Shemesh).",CISO,Building Materials,Used the software for: I used a free trial
cisco_umbrella,Solid Security Software with Room for Improvement in Support,"Overall, our experience with Cisco Umbrella has been positive. There are some negative changes that are expected when a smaller company is acquired by a large corporation.",Eli P.,4.0,"May 16, 2025",Cisco Umbrella effective helps prevent malicious activity and implement content filtering by utilizing DNS filtering.,Product support since the company was acquired by Cisco has been inferior to the level of support provided by OpenDNS. Forced integration with Cisco mobile client is unwelcome.,Centralized Services Manager,Information Technology and Services,Used the software for: 2+ years
cisco_umbrella,"Lastly, Set-and-Forget Security.","We’ve had fewer security issues and urgent calls. It’s saved us time and money, making our network safer with much less hassle.",Garcia L.,5.0,"August 3, 2025","Cisco Umbrella works silently at the background fending off threats, so I don't lose sleep over every new link my team discovers. Installation was a cakewalk, and daily maintenance requires seconds. The comfort is real.","Sometimes, the customer support is late to respond, and some of the antivirus choices took me forever to locate as a new user.",Technology Solutions Manager,Printing,Used the software for: 2+ years
cisco_umbrella,Cisco Umbrella,I enjoy using Cisco and trust them with all patient information that is within the system and know that their information is protected.,Loganne Y.,5.0,"September 25, 2024",We use Cisco in our hospital across the board and it is well liked and acknowledged as user friendly and easy to use.,There isn’t anything coming to mind when I think of what I like least other than updates can sometimes take longer than expected.,Ultrasound Technologist,Hospital & Health Care,Used the software for: 2+ years
cisco_umbrella,Well worth the security,,Robert P.,4.0,"August 14, 2024","Cloud based so it is easy to manage, deploy and maintain.",The cost can be a little high but over all I believe it to be worth it.,Chief Technology Officer,Law Practice,Used the software for: 1-2 years
cisco_umbrella,The best way to safety with umbrella,"For us, the particular use of this tool has been one of the best that we have been able to implement since it is very easy to use as well as providing us with an excellent security layer, although many similar products can be obtained, we had the opportunity to use cisco umbrella, which allowed us to improve gradually.",Ernesto B.,5.0,"May 9, 2022","What we like the most about this tool are the web filters that it has since that option can be applied to different categories, in addition to that it has the option to block specific web pages. And not only that, but also the traffic and DNS services are of very good quality.","To be totally honest with the use we have had with this tool, we feel very happy during all this time that we have been using it. We have not found any errors in the product.",Digital Operations Manager,Transportation/Trucking/Railroad,Used the software for: 2+ years
cisco_umbrella,Cisco Umbrella - great web security gateway & Internet security tool ,Umbrella is great at providing visibility and security into our remote endpoints.,Verified Reviewer,4.0,"April 27, 2022","Very easy to manage and set up, great application support. Protects security for our remote endpoints.",Data leak prevention system is missing or inadequate. Reporting is too basic and generic.,Security engineer,Financial Services,Used the software for: 1-2 years
cisco_umbrella,Good URL - application filter for the money,"Overall we're happy that we get what we pay for. We would love for the administration (copy policies, etc) to be improved and wish the reporting were better.",Tom A.,4.0,"July 5, 2022","It's reasonably priced, offers critical DNS level protection, does an ok job at filtering web applications, fast/easy deployment","Reporting is not good, user forms for reporting issues do not convey enough/correct information to the administrators, cannot copy one policy to a new one",Director of Network Services,Hospital & Health Care,Used the software for: 2+ years
cisco_umbrella,Good security app,,Alejandro M.,5.0,"October 30, 2023",Once you set it up works very good protecting you from potential threats.,Takes some time to set it up and could give you problems with other apps you have,Chief,Writing and Editing,Used the software for: 1-2 years
