product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
caniphish,Reeling In Results with CanIPhish,"My experience with CanIPhish has been excellent. Working for an MSP I have several clients who were in need of this sort of service, so becoming a partner so I could more easily manage them (and resell to them) instead of managing multiple accounts across different tenants is great. The user base of my clients have been receptive to the training and the feedback from testing, and I've already seen a great improvement in their security postures.",Billy P.,5.0,"December 4, 2025","Pricing is great, customer service has been excellent, and the training modules cover everything we needed. When I onboarded I'm sure I annoyed the hell out of them with all of my questions but they were always quick to respond and super helpful.","In a previous life I used one of the bigger cyber security training / testing platforms, and they had some advanced features that CanIPhish currently lacks, HOWEVER they've been very receptive to my requests and suggestions and it seems like their development team is adding additional features all the time.",Engineer,Computer & Network Security,Used the software for: Less than 6 months
caniphish,Customer Service Review for Colton Tate and Team Members,"I would like to formally commend Colton Tate and the entire team for the exceptional level of service and professionalism they have demonstrated throughout our interactions. Their consistent communication, timely updates, and willingness to provide thorough support have been greatly appreciated. Throughout what has been a detailed evaluation process, the team has remained patient, attentive, and highly knowledgeable. Every representative I engaged with took the time to clearly explain the various pricing options available for an organization of my size, ensuring I had a complete understanding of each component. Their commitment to presenting the most suitable and cost-effective solution reflects a level of dedication and customer focus that stands out. The straightforward nature of their pricing model — free from contracts and unnecessary complexity — offers significant flexibility and contributes to potential cost savings for my organization. This transparency enabled me to confidently present the project to my leadership, where the proposal was well received due to its clarity and financial advantages. I also appreciate the team's encouragement to create a free account to test and demo the product internally. This opportunity demonstrates both their confidence in the platform and their commitment to ensuring that clients can make informed decisions based on firsthand experience. Overall, the professionalism, patience, and customer-centric approach exhibited by this team have been exemplary. I look forward to continuing to work with this outstanding group and highly recommend their services to anyone seeking a high standard of customer engagement and support.",Larry P.,5.0,"November 25, 2025","I greatly appreciate the flexibility of the pricing options, as well as the ability to create a free account to thoroughly test the product before making a commitment.","I have not encountered any drawbacks so far. My experience with the product has been positive, and everything has performed smoothly during my evaluation. The features work as expected, the interface is easy to navigate, and the overall usability has been straightforward. While all products can evolve over time, I have not identified anything that I would consider a concern based on my current use. Overall, the product has met my expectations and has delivered a solid experience.",Network Security Engineer,Insurance,Used the software for: I used a free trial
caniphish,great platform - caniphish,,Kevin C.,4.0,"March 30, 2026","contains interactive actions with users, easy to manage different user group and privide different focus based on the needs","need to manually set white list, mail admin is needed in order to make things work, if this could be done at caniphish side that would be great",Project Manager,Retail,Used the software for: Less than 6 months
caniphish,"CanIPhish, absolutely you can.","Overall it's hard to beat. Great service, great modules & support, constant improvements and updates coming through in the pipeline, and to support another local business that happens to be close is a huge win. Very happy with the system, and the price is perfect per user to be able bring this training to clients.",James F.,5.0,"December 13, 2025","Constant improvements & updates, great support when needed. Overall a one stop shop for Phish training and testing. Very easy to use and setup campaigns, the white-labeling and customization is great to resell to clients.","Any issues were at the earlier days and have all been fixed. CanIPhish and the team are very receptive to suggestions and are often already implementing into their systems. The timing of when Phishes get handed out can be a little backwards with regards to the times it delivers, but I think that is also getting some improvements soon.",Senior Systems Administrator,Information Technology and Services,Used the software for: 6-12 months
caniphish,CanIPhish Is Worth Using. ,"Overall, my experience with CanIPhish is positive. The company feels like a smaller company and my account rep has made me feel like my opinions about how the software works matters to them. I have ran a few phishing tests and training campaigns now and occasionally get frustrated working with the lists and keeping them updated. Once the campaign is running, it is pretty much all automated at that point, making management super easy. They are actively developing the software, so I look forward to seeing new features added and even possibly some of my pain points for the program addressed.",Jason H.,4.0,"December 16, 2025",CaniPhish does a great job with automating the training for campaigns. I can set up a campaign to happen over a period of time and use a wide variety of templates which prevents me from giving away the fact that I am running a campaign. (Users cannot as easily identify a phishing test.) The cost for the program is very reasonable in my opinion and compares well with other competitive products. The platform is simple and easy to use. I never feel lost navigating the menus. Simply knowing that IT runs phishing tests and is watching for people clicking on links and reporting that to their managers helps to keep us more secure as our employees stop and question if they have a phishing email or not.,"I wish it would integrate with M365 dynamic distribution lists. At this time, it does not do that. I set up those lists to further automate the setting up users, but I am now forced to make a manual list to sync with CanIPhish. I also wish that there was a better way to add users to an existing campaign.",Systems Administrator,Retail,Used the software for: 6-12 months
caniphish,CanIPhish: The Best Security Awareness Tool on the Market,"Feedback from both senior management and employees has been overwhelmingly positive, and we are surpassing all our KPIs. We couldn’t recommend it more.",Alejandro D.,5.0,"December 16, 2025","By far the best customer support we have experienced. The team is always responsive and provides thorough assistance, even under challenging timelines. The platform is so easy to use. Security awareness has never been easier. On top of that, they offer the most competitive pricing on the market. After months of research, we found no other solution offering this level of functionality at such a competitive price.","Nothing. They already have detailed guides for everything, and if something isn’t covered, they’ll create a custom one for you.",Cybersecurity Specialist,Computer Software,Used the software for: 6-12 months
caniphish,CanIphish enabled us to do new businesses ,"Excellent experience with the platform. We have developed an entire new business regarding awareness training, that fits with our clients contexts and needs thanks to the usability of CanIPhish. Security is also an excellent standard, as we are ISO 27.001.",Felipe R.,5.0,"November 25, 2025","Easey of use, customization available and the best is the willingness to help and add features. The continuos development and excellent customer support service make me feel really confident regarding what I can offer to my clients","HTML edition is tricky. Considering that almost everyone uses outlook, is difficult to get a good design. The support is in Australian hours so it has been always overnight communications from Chile, but besides that, the responses are very quick.",Gerente de desarrollo Comercial Ciberseguridad,Information Technology and Services,Used the software for: 2+ years
caniphish,CaniPhish Reviews,"Overall, my experience with CanIPhish has been quite good so far. The platform delivers what it promises, is straightforward to manage, and provides solid phishing simulation features for training purposes, with only minor areas needing improvement.",Vera T.,4.0,"December 14, 2025","CanIPhish offers excellent value for money compared to similar security awareness tools. The platform is easy to use, and the customer support team is responsive, helpful, and quick to resolve questions or issues when they arise.","One limitation is the user list management. Currently, user lists cannot be renamed once they are created, which makes organization harder over time, especially when managing multiple campaigns or departments.",Cyber Security,Information Technology and Services,Used the software for: Less than 6 months
caniphish,Best Cyber security awareness platform,"Absolutely flawless experience—10 out of 10 for quality, service, overall satisfaction, and value for money.",Baruch H.,5.0,"December 3, 2025",Outstanding value for money—significantly more affordable than competitors. Customer support is exceptional; I’ve never waited more than an hour for assistance.,The portal’s performance could be improved to ensure faster loading times and provide a smoother user experience,Software systems coordinator,Financial Services,Used the software for: 6-12 months
caniphish,The Phishing solution Ive been looking for,,David W.,5.0,"December 15, 2025","CanIPhish offers excellent value for money, delivering effective phishing awareness and real-world testing without the cost or complexity of larger enterprise security platforms. It provides the features we need at a price point that makes ongoing security awareness sustainable. Customer support has been consistently responsive and helpful. Questions are answered quickly, and the team clearly understands practical security challenges rather than just the product itself, which makes a real difference. The platform is easy to use and intuitive to manage. Campaign setup, user management, and reporting are all straightforward, allowing us to run phishing simulations and training with minimal administrative effort.",The understandable consent requirements to avoid abuse that make Voice Phishing hard for us to implement on our internal phone system,Head of Technology Operations,Commercial Real Estate,Used the software for: Less than 6 months
