product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
reqtest,ReQtest tool implemented for a Global SAP S/4 Hana ERP Project,A fantastic SaaS based requirements and testing tool that has supported the delivery of a global ERP project.,Sakunder K.,5.0,"May 14, 2020","The User Interface was very fresh and it had a great look and feel. The ability to customise the product to fit in with your project needs Requirements traceability and Test Reporting were made very easy when operating in a Global Business Test Case Management the Easy Test Tool made it a great experience for our UAT testers Bug Tracking was made easy, especially when integrating with 3rd party vendors",The Agile Board could have better reporting capabilities,SAP Programme Manager,Chemicals,Used the software for: 1-2 years
reqtest,ReQtest - Great value for the money,"Overall, ReQtest is a great value for the cost. We are able to manage testing for our projects with a strong audit trail. It is easy to use and has been an easy product to adopt across the teams we have asked to use it. Please note that we use this only in one region of a business division. Therefore the company size noted in the summary is for the division using the product.",Tricia M.,5.0,"March 5, 2019",The ReQtest application is very intuitive. It follows industry wide standards for quality testing and it is reasonably priced. Best of all the audit trail is fantastic.,The application is not very customizable which is fine for our needs but I can see where some companies might want a testing application that is more robust when it comes to customizing or having more levels of users and permissions between those types of users.,Operations Project Manager,Medical Devices,Used the software for: 1-2 years
reqtest,Supports us well in our changeprocess.,It supports our changeprocess well from request to production and we experience that the supplier is responsive to our specific needs when there is a problem or a lack of functionality.,Sören L.,3.0,"March 22, 2019",Easy to learn and start using and easy to configure to suit our needs for information and support in the changeprocess. You start at your own 'level' and can then easily improve the process gradually.,There is some issues when running Requetest in Internet explorer and because that is our corporate browser that can be a problem sometimes for us.,IT Projectleader,Wholesale,Used the software for: 2+ years
reqtest,"A great tool to plan, perform and follow up requirements and tests","As ReQtest is easy to configure it can be set up differently depending on different customer/project needs. It's a great tool to plan, perform and follow up requirements and tests.",Anna-Carin P.,5.0,"March 15, 2019","ReQtest helps working structured with requirements, tests and bug reports. Can see traceability between requirements and test result. It is cloud based so don’t need to install anything & it can easily be accessed. Have audit trails to see change history.",The price model is expensive if you have many active users.,TestLead,Information Technology and Services,Used the software for: 2+ years
reqtest,Easy to use test management tool,We have been using ReQTest for some years and we feel confident with the tool. It really helps us to manage and astructure the tests and it is very easy to use.,Verified Reviewer,4.0,"March 22, 2019","Suited for test management covering most of the features that are needed in the daily work. Easy to use Easy to customize with possibility to add fields Suitable for use of third party, ex outsourced development, vendor Good traceability from requirement all the way to bug",Miss folder/tree structure in the test cases/test runs that would make it easier to sort and identify obejcts and also reduce the clicking. Dashboard could be better with clear information om the findings on every release for example Statistics/reports could be better,Test Manager,Architecture & Planning,Used the software for: 6-12 months
reqtest,An excellent alternative to Azure DevOps,,Dorian R.,5.0,"March 13, 2019",Ease of use as an integration suite for bugs and requirements,Cost gets pretty high if you're anywhere after 10 users.,Corporate Funds Business Analyst,Professional Training & Coaching,Used the software for: 6-12 months
reqtest," Experienced analyst ,Responsible for software purchasing",,Verified Reviewer,5.0,"July 10, 2018",I was evaluating few systems from different vendors and ReQtest helped me create my requirmenets in a clear way so that the vendors could customize their offering accordingly.,Lack of automation capabilities and I would like to be able to see more direct integrations apart from JIRA,Quality Assurance Manager,Hospital & Health Care,Used the software for: 1-2 years
reqtest,Requesthandling and testleader,"Very good, and very fast and nice support",Verified Reviewer,5.0,"November 13, 2018","Easy, only have what is needed",-,Consultant,Civic & Social Organization,Used the software for: 2+ years
reqtest,Easy testing tool,Very powerful and easy to use testing tool for reporting bugs.,Damini M.,4.0,"December 11, 2019",It is very user friendly. Before this we used to create test cases using Excel but with this it is very easy to build test cases and changes can also be done as per requirement,"This tool is somehow costlier, but because this tool is very useful so we can oversee this problem .",Associate Quality Analyst,Computer Software,Used the software for: Less than 6 months
reqtest,Just started using ReQTest,"Test plans were previously built in excel which would have been impossible for a big project. ReQTest has given us an easy to use Testing Platform which details all requirements, test cases and test plans. Bugs from testing are easily recorded and with the use of links, we have full traceability. At the moment ReQTest has only be used by the administrator and we know we will really see the true potential when we have multiple users completing the test runs assigned to them.",Joanne B.,5.0,"March 1, 2019","Simplicity, ease of use and price as you can pay per active user per month",The user interface for the Test Runs as it can be difficult to see the difference between each test case and the reporting as it can be difficult to set up and has limitations although it will be sufficient for our requirements.,Project Manager / Testing Manager,Financial Services,Used the software for: Less than 6 months
reqtest,Test Manager,Is very easy to use and user-friendly!,Arvin F.,5.0,"March 1, 2019",Is very easy to use and it's user-friendly!,"Under test runs, it’s difficult to move/organizing the test cases!",Test Manager,Medical Devices,Used the software for: 2+ years
