product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
portfolio_manager,"LIQUIDPLANNER is the perfect tool for a realistic time lines for Plan projects, very dynamic and within budget!","Our experienced with Liquid Planner is so overwhelming and thrilling! And We are still excited to discover more of its functionalities that challenges our expectations by providing excellent insight and results, progress and updates available.",Juan D.,5.0,"January 16, 2025",How and what we liked about Liquid Planner is that it is made as SaaS (Software-as-a-Service) platform which definitely satisfied our expectations providing us asn AI Algorithm that is so predictive ans secure analysis of data with high standards and an interface so affluent to new design and tools.,"The lack of transparency challenged our expectations so far, it is validated as well performing tool.",Manpower affairs Support team,Staffing and Recruiting,Used the software for: 1-2 years
portfolio_manager,Direct to high project clarity with Portfolio Manager,I find great benefit in using Portfolio Manager as it gives me flexibility in assigning activities and it holds everyone accountable for making updates so I spend less time managing multiple projects.,Jackline K.,5.0,"September 11, 2025",The tagging feature work easy when I am tagging colleagues to tasks where their intervention is needed.,"Some dashboard sections were a build it myself model, but this isn’t mostly a negative as it created a consistent experience.",Agribusiness Coordinator,Farming,Used the software for: 6-12 months
portfolio_manager,"[LiquidPlanner Classic] Decent product, feels dated","Overall, LiquidPlanner does very well in a very limited capacity. However, as our company grows, we are beginning to feel that we have outgrown the platform.",Jason O.,3.0,"November 25, 2022","We use LiquidPlanner to track ongoing tasks and client budgets/burn rates. In this regards, it is easy to set up clients, projects, and tasks, and from there, to log our efforts to those tasks.","Given that prioritization works by the 'higher' a task is in the list, the greater priority it is given, prioritization has been difficult as we list projects alphabetically. That means that all tasks in project ""A"" will be prioritized over project ""Z"". We've had to create separate packages for prioritization, which leads to a lot of overhead.We have a lot of 'retainer' type clients, who have monthly budgets. We need to track ongoing work, as well as remaing budgets. In order to calculate how much is remaining in some of our reports, we have had to create tasks with assigned roles (such as ""Sr Consultant"" or ""Jr Consultant"") to 'hold' time on accounts for specific skills sets, and then, on a daily basis, go and update those 'holding' tasks. We have validated with LP support and they felt this was the easiest approach, but again, leads to a lot of overhead.The platform has not really changed since I have been using it (the last 6 years). A new version of LiquidPlanner is rolling out, but would require a full migration in order to benefit from new features. We have seen some other platforms that appear to offer significant upgrades in certain areas.","Sr Director, Ops",Computer Software,Used the software for: 2+ years
portfolio_manager,Efficient and Insightful Investment Management Tool,"Overall, my experience with a portfolio manager has been positive. It simplifies tracking and managing investments, helps make informed financial decisions, and provides a clear overview of performance, even though it can be a bit complex for newcomers and occasionally limited in real-time features.",Josh W.,4.0,"January 5, 2026","What I liked most about the portfolio manager is how it gives a clear, consolidated view of investments in one place. It makes tracking performance, balancing risk, and making informed decisions easier by presenting data in an organised and easy-to-understand way.","Some drawbacks of a portfolio manager are that it can feel complex or overwhelming for beginners, may rely heavily on accurate data inputs, and sometimes lacks real-time updates or advanced customisation unless you’re using a premium version.",Project Management,Graphic Design,Used the software for: I used a free trial
portfolio_manager,K.Kaganjo 5+ Years LiquidPlanner Experience,,Kelvin K.,4.0,"March 9, 2025",LiquidPlanner streamlines project and task management procedures by automating workflow which improves productivity and in turn leads to high ROI.,"Unfortunately, LiquidPlanner highly depends on the internet connection due to lack of offline access.",Web Developer,Design,Used the software for: 2+ years
portfolio_manager,My Great Journey with LiquidPlanner,Time and expense tracking. Team collaboration. Resource management.,Saad U.,4.0,"March 2, 2025",LiquidPlanner allows me to automate project and task management processes which saves time leading to high productivity.,"Unfortunately, LiquidPlanner does not have advanced features unlike other alternatives.",Strategy Analyst,Management Consulting,Used the software for: 2+ years
portfolio_manager,Happy Customer,The product itself is great and we rarely need assistance from the LP team to get the most out of the platform. Our reporting and ability to manage multiple projects has greatly improved since implementing LiquidPlanner into our operations.,Brandon M.,5.0,"January 11, 2021",The ability to dynamically update your entire portfolio based resource availability or task completion helps our small team set the right expectation and understand the impact each project produces across our customer base.,"Its built for enterprise integration, so in our industry the lack of integration into our CRM systems was limited.",VP and GM,Information Technology and Services,Used the software for: 2+ years
portfolio_manager,My Expertise with LiquidPlanner,,Adewale O.,4.0,"December 10, 2024","I occasionally use LiquidPlanner in my current organization. I like how it makes it super easy to plan, track and manage projects and tasks automatically.","Apart from lack of offline access, I do not have any other issue attached to LiquidPlanner.",Sales Funnel and Marketing Automation Expert,Internet,Used the software for: 2+ years
portfolio_manager,My Experience with LiquidPlanner,,Oyekanmi O.,4.0,"January 16, 2025",LiquidPlanner enables me to save time by automating workflow such as project and task management.,"Ever since I started using LiquidPlanner, I have never experienced any flaw apart from lack of robust PPM features unlike alternatives such as Teamwork.com.",Asset Manager,Machinery,Used the software for: 2+ years
portfolio_manager,Sophisticated Tool for PPM: LiquidPlanner,,Solomon O.,5.0,"December 16, 2024","LiquidPlanner allocates a wide range of features in one single integrated repository such as TM, PM and RMM.",I slightly dislike that LiquidPlanner lack offline access unlike alternatives such as Daptiv.,Production of Wiring Harness,Automotive,Used the software for: 2+ years
portfolio_manager,LiquidPlanner Review by COO ,,Jonathan L.,5.0,"October 10, 2024",LiquidPlanner automates over 87% of manual task and project management procedures which saves time and improve productivity.,I do not like that LiquidPlanner lack some capabilities such as instant messaging and internal communications.,Chief Operations Officer,Retail,Used the software for: 2+ years
portfolio_manager,Evolving Exceptional Online Project Tracking,,Ronald O.,5.0,"May 7, 2024","Prioritizing task in order of their urgency. Tasks editing and updating. Collaboration of tasks and project. Cloud invoicing and billing. Time ,expense (budgeting) and activity tracking. Impressive architecture and web-user-interface as well as GUI design.","Considering its Incredibility, nothing to regret.",Project Officer,Non-Profit Organization Management,Used the software for: 2+ years
