product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
fieldshare,Fieldshare - One Year Later,"Project management has changed from a scrambled mess to something much more manageable and organized, helping keeps us on track. Having tasks outlined right from project initiation to end of projects so nothing gets missed, and all the site information all together and easily accessible helped us fix project management issues we had been having before we started using Fieldshare.",Shannon A.,5.0,"December 1, 2022","Presenting all our projects together, easily accessible on a map with all the site information has made project management so much easier. Being able to customize the information we need, filter through projects and easily track past and future activities required makes sure that we don't loose track of sites in the mix. I also appreciate the ability to create custom forms such as Daily Field Reports or Change of Scope forms, as an example.","There was a bit of a learning curve and adjustment to the change to using Fieldshare but the Fieldshare team is always very willing to help, provide training and accommodate, as needed.",Manager - Site Assessment & Reclamation,Environmental Services,Used the software for: 1-2 years
fieldshare,Fieldshare in the Oilfield,We are into the program on a daily basis and it is extremely user friendly and easy to navigate for new users.,Aly P.,4.0,"November 10, 2022",We utilize Fieldshare to communicate with companies who hire us. It is an easy way to share real time information with the client and the interactive map gives great visuals for grouping work and confirming locations.,"The reporting side of things could use a bit of improvement. That being said, we have not dove into the program on this side as much as there is probably a lot more opportunities that we even know of with it.",Assistant Reclamation Manager,Oil & Energy,Used the software for: 6-12 months
fieldshare,Fieldshare Review,Fieldshare is a great way to track our sites and costs associated with them. The ability to store documents directly within the system is an advantage as well.,Rick R.,4.0,"March 9, 2022",Having the map view is beneficial in looking at the site attributes. Like the daily cost tracking and dashboard features. Easy to pull data out and manipulate it further.,"Lack of integration with other systems - PowerBI, AFE Navigator, OpenInvoice/OpenTicket",Environmental Coordinator,Oil & Energy,Used the software for: 2+ years
fieldshare,Fieldshare Review,"We are able to accurately capture our ARO and make and track changes live as work in the field is completed, leading to better communication and reporting of progress",Eric F.,4.0,"February 14, 2022",The software is intuitive leading to easy implementation,Importing shape files could be easier/faster,Environmental & Sustainability Scientist,Oil & Energy,Used the software for: 2+ years
fieldshare,Project Management,Great. Never used or heard about it before. Would recommend it.,Randal V.,5.0,"November 10, 2022",Fieldshare has the ability to do a lot of things. Is a great tool.,Navigating from the Dashboard feature back out. Some dashboard features maybe need some improving or additional tutorial help to explain things better on how to use the search tool effectively.,Environmental Analyst,Environmental Services,Used the software for: 6-12 months
fieldshare,Fieldshare for Project Management,,Alexandra G.,4.0,"April 30, 2024","Fieldshare is a useful platform for me and my coworkers to add and share information about the work completed and next steps. It has a friendly user interface and I love the fact that the entries show in chronological order, making it easier to find specific entries.",The Fieldshare Mobile app is slightly less user friendly than the desktop version. Navigation and creating entries could be easier.,Project Supervisor,Environmental Services,Used the software for: 1-2 years
fieldshare,De-Fractionization of a teams software,,Paul S.,4.0,"November 10, 2022","The software was able to successfully combine the features of a number of different other programs (mapping, spreadsheets, databasing) and combine them into a one stop shop for the team and external collaborators to use and contribute to. The project management, cost and budget side of the software is excellent.","Any features missing from the program have been able to be adapted around, or customized by the FS team. The App doesn't work with the # of sites we have, but with future upgrades we are confident in its ability to work for us.",Environmental Advisor,Oil & Energy,Used the software for: 6-12 months
fieldshare,Fieldshare Review,"During my demo and trial period (and tour of their facilities), it was apparent to me that Fieldshare's development team are very capable and that the [SENSITIVE CONTENT] truly cares about his employees. The software itself is very versatile and user-friendly.",Wesley L.,5.0,"February 9, 2022","The software has many existing capabilities and Fieldshare have a strong, tight-knit programming team.","The mobile version of Fieldshare was still under development at the time and had not been released, but this may have since changed.",Structural Engineer,Civil Engineering,Used the software for: I used a free trial
fieldshare,Fieldshare Review,"Where this software really helps us is being able to collect, store and retrieve our data. As the organization grows it allows us to keep a corporate memory of projects that we work on as team members come and go.",Nick D.,5.0,"March 9, 2022",It allows us to manage data from multiple sites with multiple project managers and staff contributing to the database,Not issues at this point. Some users need a lot of coaxing to move away from the old way of storing data on spreadsheets.,President,Environmental Services,Used the software for: Less than 6 months
fieldshare,Fieldshare review,Very good.,Nick G.,4.0,"November 23, 2022",The combination of mapping and documentation in one place.,"Nothing, really. The document organization could be improved a bit I think.","Manager, Operations Support",Oil & Energy,Used the software for: 1-2 years
fieldshare,"Overall, good product","Mostly, budget management is the most useful with this product. Mapping is good if PC is supporting enough.",Jihun K.,5.0,"November 23, 2022",Mapping of sites and the details of contents are satisfying.,"Sometimes, access problem and lagging occur. (May be my PC conditions)",Intermediate Environmental Professional,Environmental Services,Used the software for: 6-12 months
fieldshare,Review,,Marina M.,4.0,"November 10, 2022",Easy to use; easy to find files and folders.,No problems with the software. I find it easy to use.,Owner/Environmental Consultant,Environmental Services,Used the software for: 6-12 months
fieldshare,User friendly,,Janet T.,4.0,"November 23, 2022",It is easy to use and easy to find your way around,"Not easy to change a password as a user and not an administrator, I wish it had the option to remember my password or autopopulate when I put in my user name.",Senior Environmental Scientist,Oil & Energy,Used the software for: 1-2 years
