product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
echobox,Editor in Chief,"Echobox has changed our entire way of working with social media, which has made the editorial office more efficient.",Henrik E.,5.0,"January 7, 2025",Echobox is easy to use and saves the editors tons of time that they can use to write articles instead. Their algorithm often finds what can go viral. The contact with our success manager has always been perfect. They respond quickly and are always professional.,It would be fantastic to have a local contact who can see trends for the Nordic countries,Editor in Chief,Media Production,Used the software for: 2+ years
echobox,An amazing social media scheduling tool that saves your team hours of work every day,Echobox is the mot user-friendly social media scheduling tool out there and the Customer Support team are very approachable and proactive too.,Thomas C.,5.0,"February 27, 2025","Echobox allows us to automate social media postings, saving invaluable time for our social media team.",Echobox does not provide as in-depth analytics as some of its competitors.,"Associate Editor, Audience Engagement",Newspapers,Used the software for: 2+ years
echobox,Do what you pay for...,"Really unpleasing, the sales team never answered on why their promises were in fact lies, we lose precious time trying to fix it where actully the truth: that simply does not work...",Lena L.,1.0,"November 5, 2021",Avoid you to have to think about time slots and that's it...,"impossible to post videos... And the increase of reach NEVER happened, all the opposite, our reach was WORSE. The IA was useless (no posts in the afternoon for no reason).",Head of Partnerships,Online Media,Used the software for: 6-12 months
echobox,Optimizing Social Media Engagement: Our Experience with Echobox,"At eCycle, we adopted Echobox to optimize the distribution of our content on social media, increase engagement with our posts, and expand the audience of our website. The tool has proven to be essential for the publication flow of our content, employing an intelligent approach to determining the best times, types of content, and captions. In addition to simplifying the process, it has delivered excellent results. In a short time, we have observed improvements in both reach and engagement on social media, as well as increased traffic generated, especially from our newsletters, which are now also automated. This automation enables our team to concentrate on strategic tasks that are essential for the business. The dashboard is intuitive, and the implementation was quick. The support team is extremely attentive and always available. Without a doubt, Echobox is worth every investment!",Cláudia C.,5.0,"October 24, 2024","Content Distribution, Optimizing Posting Schedule, Audience Engagement, Automated Publishing, Performance Analytics, Centralized Management, Automation of Newsletters, Content Performance Measurement, User-Friendly Interface.","Instagram schedule not available, lack of analytics, customized reports",Co-founder and Head of Marketing,Internet,Used the software for: 6-12 months
echobox,A huge time-saver and growth-driver,"Using Echobox helps us coordinate much more easily between the different team's posts and saves several hours of work every week. Since we started using Echobox, hour performance on Facebook increased rapidly.",Daniel N.,5.0,"August 18, 2020","Echobox is extremely easy to use, even for team members that are not familiar with social media posting. It is very helpful to be able to easily access analytics to see how posts performed in order to decide what to re-share or optimize. The ability to set up A/B tests within the tool has greatly supported our growth.",We are very happy with the provided features and user experience. I cannot think of any major negative aspects.,Director Audience Development,Online Media,Used the software for: 1-2 years
echobox,"Social Media promotion and monitoring with results and an efficient, intutive interface","Especially pleased that when we encountered operational or management problems, Echobox customer service was very responsive.",Jon E.,5.0,"January 18, 2022","Its easy to use interface and its AI capabilities, which has helped us in scheduling and identifying best performing social media.",No serious issues at this time. Efficient and easy to use.,Executive Director,Online Media,Used the software for: 6-12 months
echobox,Smart Social Media Publsihing Tool for Publisher,,Raweewan K.,5.0,"May 10, 2023","A substantial boost in reach, engagement, and followers since we began using the platform. And the statistics have been increasing for more than a year now, based on Echobox CTR analytics, because it helps us learn what our audience prefers and enjoys reading.",The analytics dashboard can be improved to provide more details on social media performance such as reach and engagement numbers.,Digital Specialist,Publishing,Used the software for: 2+ years
echobox,A great efficient way to manage our accounts,"Echobox has been a real asset to the Audience team at The Independent. When we first started using it in December 2017, it still had the odd hiccup, but it has improved so imeasurably since then, I rarely have problems - and if I ever do, Echobox are very responsive and helpful.",Ben K.,5.0,"May 26, 2020","I like that Echobox is easy to use, and feels like it complements our media output. It is accessible, so it's easy for me to teach others on the team, and in the company more generally, how to use it. I like that we can run so many social media accounts through it. It has saved us valuable time we used to spend on posting, and really helps us deliver more traffic to the site.","I suppose that the number ranking on stories could be a bit better tuned in some areas, but largely I know when something is numbered a bit wrong. Also, it would be nice to expand some features, such as the time frames you can view (maybe adding in some more specific, 1 hour, 30 mins, etc...).",Deputy Head of Audience,Publishing,Used the software for: 1-2 years
echobox,Extremely helpful,,Frosso M.,5.0,"January 19, 2023","The most helpful assistant , saves a lot of time by sharing the posts automatically, the algorithm is extremely helpful with what will be most likely be liked by our readers and the fact that we can schedule posts whenever we want is advantageous.",It would be perfect if there was an application for iOS. §,journalist,Newspapers,Used the software for: 2+ years
echobox,"Useful tool, but still far from perfect",,Alessandro S.,4.0,"May 26, 2020","Echobox is both a platform to manage social media posts and an AI. It's really useful because it picks up contents from your feed history and let you manage them, assigning to three main categories (evergreen, breaking and normal) and time options. Then you can let it organize shares&future reshares.","Instagram scheduling not so good. Sponsored parternships on Facebook not possible. Once you create and archive of contents, you can't edit it. It's somewhere in Echobox's intelligence.",editor,Media Production,Used the software for: 2+ years
