product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
kamaé,Fun et décalé mais surtout utile !,"En tant que commercial dans l'informatique, je dois montrer à mes clients que nous sommes vigilants à la fois sur les menaces cyber et sur la règlementation RGPD pour protéger leurs données.La force de Kamaé est de rendre fun et intéressant ces thématiques assez complexes en les vulgarisant.Nous avons plusieurs collaborateurs qui ont reporté à notre administrateur IT des mails de Phishing après avoir suivi les sessions Kamaé.",Alexis D.,5.0,"December 12, 2022",- Facilité d'intégration avec un compte Office365- Les infos ultra pertinentes qu'on peut appliquer aussi bien au domaine pro que perso- Le ton décalé et fun qui donne envie de suivre les cours- la gamification qui permet de se challenger avec ses collègues- Les challenges du mois qui permettent de revoir les bases,"Pour un utilisateur comme moi, la possibilité de se comparer uniquement avec les membres de son équipe mais pas avec les autres équipes.",Commercial,Information Services,Used the software for: 6-12 months
kamaé,"Une fois testé, Kamaé est totalement adopté.",,Giulia A.,5.0,"December 12, 2022","Le produit est très intuitif et facile d'utilisation. Le design moderne et sous forme d'échanges textuels rend la formation réelle et même personnalisée. Je tiens à saluer d'ailleurs les personnalisations. Le produit donne envie d'être utilisé régulièrement d'être le premier usage.Le contenu de la formation est riche et complet, permettant de progresser rapidement dans un délai acceptable.Kamaé rentre parfaitement bien dans un quotidien bien rempli et permet un moment de pause.",Les leçons sont très vites terminées. Il en faudrait davantage.,Sales Consultant,Management Consulting,Used the software for: 6-12 months
kamaé,Une aide indispensable à la sensibilisation ,"Kamaé nous permet de bien faire attention aux grands fléaux du 21ème siècle, à savoir les problèmes de cyber sécurité. Avec des explications claires, des mises en pratiques et des rappels, la plateforme permet vraiment d'ancrer les bons réflexes à avoir en cas de doute.",Christophe R.,5.0,"December 12, 2022","Produit très simple à utiliser qui utilise un système de gamification pour augmenter l'adoption des utilisateurs. Cours simples, rapides et efficaces.","PAs grand chose à dire, peut être avoir encore plus de cours à disposition mais c'est facile à dire ;)",Consultant Formateur Senior,Information Technology and Services,Used the software for: 1-2 years
kamaé,Outil ludique et instructif,"Il suffit de quelques minutes de temps en temps pour se prendre au jeu. On s'attacherait même un peu aux personnages... ;)Plus sérieusement, je trouve que c'est un outil très simple d'utilisation qui permet de mettre tout le monde sur la même longueur d'onde, de construire un socle commun de connaissances pour toute une équipe, sur des sujets essentiels qui nous concernent tous.",Sophie M.,5.0,"December 22, 2022","Kamae se veut très facile d'accès, c'est intéressant tout en étant ludique ! C'est un outil bien conçu, pour apprendre sans trop de contraintes. De plus, les challenges mensuels font des rappels et permettent d'entretenir les nouvelles connaissances acquises !","Il y a un système de ceintures quand on gagne des points, et le seul point frustrant pour moi est qu'on ne peut pas encore atteindre la ceinture la plus haute, l'aspect ""jeu"" est donc un peu limité pour l'instant.",Consultante BI,Information Technology and Services,Used the software for: 6-12 months
kamaé,Positivement addictif,"Vidéos courtes qui vont droit au but. Je ne suis pas fana de la gamification des formations, qui souvent te font entrer dans un univers auquel tu n'adhérent pas obligatoirement. J'ai eut peur au début de l'utilisation de Kamae, mais au final, pour Kamaé, c'est une expérience très agréable.",Damien P.,5.0,"November 27, 2023","Simple et instructif, cela m'a permis de comprendre des points de cyber auxquels je n'aurais pas fait attention, alors que je pensais être plutôt au point sur le sujet.",Je n'ais pour l'instant pas de greffe sur Kamaé,Account Manager,Computer Software,Used the software for: 1-2 years
kamaé,Kamaé est un très bon outil de sensibilisation à la cybersécurité,,Antoine P.,5.0,"December 12, 2022","Le fait de proposer une interface simple pour définir une base de cybersécurité dans une entreprise est une très bonne chose, le concept est efficace et ne prends pas la tête.",Il manque encore quelques fonctionnalités qui seraient appréciables mais l'équipe de Kamaé y travaille ;),Ingénieur Infra et Réseaux Cloud,Information Services,Used the software for: 6-12 months
kamaé,Super outil pour apprendre à se protéger,,Arnaud K.,5.0,"April 12, 2023","Sécurisation de mon entreprise grâce à la formation continue de mes employés et moi-même, sur le plan pro et utile sur le plan perso également.","j'aimerais encore plus de formations, je suis déjà ceinture noire !",CTPO,Real Estate,Used the software for: 1-2 years
kamaé,Avis KAMAE,Très bon ressentit global,Nicolas B.,5.0,"December 15, 2022",Tres sympa lors de l'utilisation du logiciel,un peu lent quelques fois mais correct dans l'ensemble,Consultant BI,Information Technology and Services,Used the software for: 6-12 months
kamaé,Une plateforme simple et intuitive pour se former aux risques cyber,,Edward K.,5.0,"December 12, 2023",La rapidité et la simplicité de sa mise en oeuvre. Des contenus mis à jour très régulièrement ce qui incite à s'y connecter souvent.,Peut être le manque de personnalisation du parcours pour éviter des redondances dans l'apprentissage mais c'est vraiment un point mineur ! :),Account Executive,Computer Software,Used the software for: 6-12 months
kamaé,Utilisation Kamaé,,Edwina B.,5.0,"December 13, 2022",Kamaé est vraiment simple d'utilisation. L'interface st faite de façon a vraiment avoir l'impression que l'on interragit avec une personne et de façon plus globale elle est friendly.,"Pas de problème particulier, hormis le fait que certains cours peuvent sembler long mais au final ça permet de bien integrer les notions et bien répondre aux questions.",Consultante BI,Computer Software,Used the software for: 6-12 months
