product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
crisp,Great Product,"We have a great experience with Crisp. The tool is awesome, the support team very reactive if you need anything. What more can we ask for?",Simon C.,5.0,"March 25, 2024",Crisp is easy to setup and get started with. The chat is great and the surrounding features like the chat bot and the various integrations make it even greater. The live translation can be very handy sometimes.,The language detection of the live translation is not always perfect but you can change it manually so no big deal.,CTO,Information Technology and Services,Used the software for: 2+ years
crisp,Winning tool - Crisp.chat,"Overall great and highly recommend this to anyone looking for an omnichannel solution where AI will most certainly bring relief to your team where high volume queries are things a system can handle without agent involvement since the data sits in your backend system. Crisp team is innovative, creative, and their support is wonderful.",Leandi M.,5.0,"March 30, 2026","An amazing chat and communication tool, allowing a multitude of customized plugins to come into their workspace safely. They are quick to action bugs and their support is fantastic when any issues are raised. As with any other tool, it's a learning curve but the Crisp team has made this so easy to go from old school tree-branch methods and a bunch of if statements to bring in AI and handle these scenarios seemlessly. It's value for money already bringing us a 40% reduction in queries (and increasing) due to their AI handling mundane queries obo our agents.","Cons we faced: 1. The search function can't identify exact matches yet, so if you're looking to search for an order ID or a specific string of text, it either won't find it, or it will bring back what it might be. *Search doesn't work perfectly yet but we know the team is working on this. 2. There is no way to see what an Agent was up to exactly during their day, log on / idle / log out + unique conversations handled vs resolved, etc. How many queries are inbound (that comes in from a client) VS outbound (that we created). 3. Unable to extract raw data when doing an export via analytics - only topline numbers come through (almost like Power BI where you decide what underlying information the users are allowed to see when they export their report) This caused some headaches when our QC teams needed the session ID's to review the Agents and their ratings. For this, we had to build a custom data warehouse to host all our crisp conversations which allowed our data team to build the reporting our business requires. The downside to this is that we don't match the Crisp analytics because the underlying goals are different. Example, we would want to see if Agent X reached their daily target ""today"" and even if they did, it won't show in case Agent X resolved a query that was received last night - it will only reflect on the previous day's data for Agent X which leaves a gap.",Product Manager and Conversational AI,"Leisure, Travel & Tourism",Used the software for: 1-2 years
crisp,"Crisp - doesn't send all of our responses, support team doesn't care","Terrible customer support, they seem to not care at all for their users.",Alex B.,1.0,"October 7, 2024","Its cost effective, but not much else to like about it.","Crisp often doesn't send our support team's responses to our users, and when we bring this up with them it takes a lot of arguing and persistence for them to finally fix it. This causes our customers to think we've ignored them, its a really big problem, especially when we're trying to offer great custom support.",Founder,Computer Software,Used the software for: 6-12 months
crisp,Been using crisp for a year,I would say it's good if you're looking an easy way to manage support tickets thanks to a great UX/UI,Lydie L.,4.0,"June 20, 2025","What I love the most is the UX design and the support availability, the fair pricing too It's very helpful for our team","Some issues with our proxy (Crisp is not shown to every user) - No possibilities to put a form in the ""contact us"" in the footer of our helpdesk - The stats need more info like first response, users who contact us the most... - No product tour - No banner to announce something to our users",Customer Support,Human Resources,Used the software for: 1-2 years
crisp,Straightforward and Cost Effective Solution for Sales and Support,We've been using Crisp for about 7 years so far on one of our projects and our experience is great so we are integrating it into the new projects.,Verified Reviewer,5.0,"April 15, 2025",User-friendly interface that makes it easy to manage conversations and respond to customers promptly. It is simple but powerful. Simple straightforward pricing unlike in some competitors where you have to pay extra for every feature you use. Great support!,Nothing really. Just writing something here so it let's me post the review :),CEO,Computer Software,Used the software for: 2+ years
crisp,Simple and straightforward to use,The service they give from their customer representatives is really good. They really want to help and make you a fan.,Verified Reviewer,5.0,"November 10, 2025",It is relatively simple and straightforward to use. We implemented it quickly and it was up and running without any major issues.,It took some time to learn how it all works and what features we wanted to use for our particular use case.,Founder,Internet,Used the software for: 6-12 months
crisp,A great product to organize the work of your customer support department!,"There is no option to mark conversations as unread. Because of this, our support department sometimes misses requests.",Oleksandr A.,5.0,"April 22, 2025","Crisp is a simple and easy to set up product that we connected to our sites in 10 minutes! The service has many ready-made integrations with other products, as well as a built-in system for organizing a knowledge base.","There is no option to mark conversations as unread. Because of this, the support line sometimes misses requests",CEO and Founder,Accounting,Used the software for: 2+ years
crisp,A power user's support platform,"A great tool overall, with some minor hickups. I wish they'd focus a bit more on refining the user experience, at the moment it feels a bit too much like a product developed by developers to other devs or power users.",Santeri S.,4.0,"April 4, 2025","Very versatile, a true power user tool for customer support among other things.","Kinda buggy here and there. Knowledge base editor uses Markdown, and the WYSIWYG editor isn't living up to the name (you don't always get what you see). Editing articles can be cumbersome, especially if they've been imported.",Tech Support Specialist,Marketing and Advertising,Used the software for: Less than 6 months
crisp,Crisp helps us provide best-in-class support to our technical customers,"Crisp has enabled us to provide our customers with best-in-class support. We regularly get comments about the quality of our support, and Crisp helps us achieve this by making the interface for our support and engineering teams so easy to use.",Matthew E.,5.0,"April 7, 2025",The seamless switch between chat communication and email is really great.,"The lack of support for longer lived open conversations, and the ability to share these conversations between multiple team members.",CTO,Information Technology and Services,Used the software for: 2+ years
crisp,The World’s a Better Place with Apple in It,"Overall, my experience with Crisp has been really positive. The support team is responsive, helpful, and always quick to assist when needed. It makes a big difference.",Isaiah M.,5.0,"June 20, 2025","The support team at Crisp has been outstanding—always responsive, friendly, and ready to resolve issues.","While Crisp is great overall, I feel the customization options are somewhat limited and could be improved.",Onboarding Specialist,Automotive,Used the software for: Less than 6 months
