product_id,review_title,description,author,rating,date,pros,cons,author_profession,author_industry,author_duration
float,"A powerful resource management, planning, and scheduling software","Extremely educational, easy to use even for a first time user",Tichaona Redemptor R.,4.0,"February 19, 2024","Forecasting Budgets: Accurate resource planning is essential for budgeting. Float helps you manage capacity, plan projects, and forecast budgets effectively. It’s like having a financial advisor for your project resource.",As a Software there is no free version or trial version that do not require you to enter your banking detail,Chief information officer,Information Technology and Services,Used the software for: 6-12 months
float,The best app for planning and working with a team,I can't imagine working without Float.,Remek R.,5.0,"August 28, 2023","Clear, minimalistic and great interface with awesome interactions/microinteractions. Integrations with tools like Asana, calendars, collaborations with the team, and simplicity of use! Fantastic mobile apps.","I don't have any points to add here, I have not had any problems using Float - maybe a desktop application for Mac would be useful ;)",Head of Design,Design,Used the software for: 2+ years
float,Great value. Lots of potential,I've been using CETA scheduling software for the last 4 years in big VFX companies and I must say that Float is not there yet but is actually getting broadly comparable. In the last 4 months that I introduced it into my new team it's proved to be quite useful to keep track of the progression of our projects. During these months I've seen that it has already improved in many areas that I'm excited to see what comes next. I can see it can become a really powerful software.,Laura P.,3.0,"September 5, 2019",There aren't may softwares that let you schedule a team in such an easy and organised way. I think most softwares nowadays are too complex and make you spend more time organising tasks than actually working on them. Float is so clear and simple you can actually use it to manage big projects without spending too much time on it.,"It's getting better, but it would be very useful if we could: - Right click on a pencil and be able to copy it over into a different person. - Book more than one person on the same project (for example if two workers are on the same project because one of them is doing a training but you don't want to charge twice for that time). - Lately when I try to schedule more than 1 project in one day on the same person I get a message saying I can't schedule anyone for more than 24 hours) even if I'm not exceeding the 8 normal working hours. It'd be great if that could be fixed. - It'd be good if milestones were more visible. - I think reports should be a bit less complicated and more visual. - It'd be really helpful if you could group projects up in folders when you go to the Projects tab as at the moment we have like... 45 different projects going on and although we color code them it's difficult to organise all of them. -I'd like to have more than only three types of view when looking at our schedules a part from 'Days, 'Weeks' and 'Months'. It'd be great if you could 'Archive' users as well as projects. So when a worker it's not working at the company anymore and you don't want to pay for it on Float you can kind of 'Archive' him (so you are not able to book him on anything but still you can see him on the boards so you don't loose what it's been scheduled on him.)",Production Coordinator,Media Production,Used the software for: Less than 6 months
float,Solid Product,"It's helped us grow a lot and help more people. It's really helped us spend less time doing admin work and more time doing real work and helping people. It takes some getting used to and commitment but it's beautifully designed, intuitive, and a big part of our success.",Adam S.,5.0,"June 27, 2022",How easy it is to use. It's easy to jump in and also complicated enough that you can really use some advanced features.,There are of course small issues here and there but none worth mentioning at all. It's truly a great product and really helpful.,CEO,Marketing and Advertising,Used the software for: 1-2 years
float,Great tool!,Overall we love to use float. We especially like the time logging features.,Martijn D.,4.0,"June 15, 2022","The interface has a great overview. Adding projects and tasks is intuitive and the colours make every tasks and project stand out. Logging time is really easy. We were not interested in a ""log-per-minute"" type of application but rather one where you can just log bigger blocks. Float helped us plan and log our time better.","Planning a project is not super extensive. Float has some tools but the tools are a bit limited. The time tracking feature is the feature we use the most, it is a shame that is not available separately.",Strategic Designer,Design,Used the software for: 6-12 months
float,MID-SIZE CREATIVE TEAM (20 ppl),,Alessandro M.,4.0,"August 28, 2023","Float is a powerful tool that can help the managers to make sure the team is not overloaded (or underloaded :) ).At the same time we have a clear vision if we, as a team, we can take more projects to work on or we have to raise our hand because we are in difficult",Visually could be more appealing. User interface is easy but it could be more eye-catching for the creative team,Senior Producer Coordinator,Consumer Goods,Used the software for: 6-12 months
float,An all rounder for project scheduling and costing,Very impressive. Easy to use and reports are easy to download,Natalie H.,5.0,"February 11, 2025",The ease of managing projects costs and scheduling,"When deleting an entry, you sometimes need to refresh the page to change the cursor back to normal",Office Manager,Construction,Used the software for: 2+ years
float,Would Recommend,"It has been great to work with Float so far. Compared to other programs I have used at other jobs, this one is very efficient. The process is streamlined end to end.",Cameron W.,5.0,"April 21, 2025",Float is easy to use and navigate. This program is very user friendly and can be taught to any employee.,"I have nothing negative to say about Float. Possibly, they could do some sort of update to speed up loading time.",Trainer,Sports,Used the software for: Less than 6 months
float,Good Tool but not Great!,"Its okay, they can improve on UI and color schemes to mske it look better",NIKITA S.,4.0,"February 17, 2025","Ease of usage, its quite straight forward.","User Interface, which is so Basic.?The colour combination on screen are not great, so I get confused where to find what",Senior Test Consultant,Information Technology and Services,Used the software for: 2+ years
float,Task Scheduling Made Easy,"I've been using Float for 3 years now, and my experience with it has been very positive. I use it every day, and it has made scheduling tasks and tracking progress so much easier for me. It’s a tool that’s become an essential part of my workflow, helping me stay organized and manage projects more efficiently.",Miłosz J.,5.0,"September 9, 2024","Ease of use, drag-and-drop scheduling, time tracking, clean interface","Very basic Gantt Chart features, lacking options when it comes to exporting schedules",Project Manager,Hospitality,Used the software for: 2+ years
float,Great software for Designer,Great,Hattie Y.,5.0,"August 29, 2023","To visually schedule a whole department of designers, which is easy editable","I find the reporting a little tricky when there are archived members. Also similar to when purchases are pro-rata for new users added part way through the billing cycle, it would be better if credits were applied for users removed part way through the cycle too",Head of Finance,Design,Used the software for: 2+ years
float,"You might manage without it, but you really shouldn't","Good, really helps to smooth things out by communicating the schedule to everyone concerned, easy to learn and use, support is fast and friendly.",Lewis F.,5.0,"June 17, 2022","Zapier integration, user interface/layout, ability for others to view the schedule without being a billed user, flexibility, detailed reporting function, contstant improvements and updates.","I'd like to have employee birthdays displayed on the schedule somehow, other calendars use suitable icons e.g. cake with candles. There's really nothing else important I'd ask for.",Director,Mechanical or Industrial Engineering,Used the software for: 1-2 years
float,Imaging floating through production or traffic management meetings!,"We have been using it for almost 2 years, overall we are happy although it took a bit to get the hang of things. The customer service was super nice and helpful the couple of times I have reachedout.We have tried the time recording module a few months back but the price was too much for us at that time.",Marta K.,5.0,"March 21, 2023",That once you get the hang of it is great tool for my team (about 40 team members). The big board gives great overview and the filters work like charm! As long as you have set them up correctly. This took a bit to click through all the team members but once done it make traffic management SO much easier!,"Lack of multiple currencies, very cumbersome managment of retainer projects (those that need to be repeated month by month). Phases don't really work for me as it's too much maintenance and it's not the easiest to do",Head of Delivery,Information Technology and Services,Used the software for: 1-2 years
float,Great tool,"Easy-to-use tool, efficient but needs more flexibility.",Samuel E.,4.0,"November 12, 2024",Float Streamlines project scheduling and resource allocation.,Float has limited customization options for unique workflows.,Database administrator,Retail,Used the software for: 1-2 years
float,It's a good tool for the purpose,I really don't have any strong feelings about float,Sophia W.,4.0,"June 12, 2024",It lets me log whether I worked today and correctly assign projects,Slightly annoying process to log multiple blocks for the same day,Junior Data Analyst,Information Services,Used the software for: 6-12 months
float,Project planning,,Ronald W.,4.0,"August 3, 2024",I like that Float allows me to easily plan and manage my projects.,The pricing can be a bit much for someone just starting out.,Graphic Design,Design,Used the software for: Less than 6 months
float,FLOAT - EI,,Antony L.,4.0,"May 10, 2024",minimalistic style makes it easy to identify different tasks and task blocks,"It's a bit basic in terms of what you can do with scheduling, could be more autonomous when assigning tasks in terms of setting your own colour permanently",Environmental Engineer,Environmental Services,Used the software for: 6-12 months
float,Great Software for Project Managers,Great tool overall to track hours and availability of teammates over multiple projects,Angel L.,5.0,"August 30, 2023","overall it is easy to use and has a lot of great quality of life features for our firm. It would be great to have the ability to integrate it with our financial software, but still a great tool for scheduling out projects and teammates.",It would be great to have more integration options to make it more efficient for expense tracking.,Project Manager,Architecture & Planning,Used the software for: 1-2 years
float,An easy and time efficient tracker,Benefits of a clearer history on tasks done in the past - so i can remember when i did certain tasks,Verified Reviewer,5.0,"August 22, 2023",The ability to keep on top of project time allocation and their tasks.,Would like a complete visual when logging time of the percentage of time that project has been allocated and the percentage of the allocation you're taking away when logging,Research Executive,Research,Used the software for: 6-12 months
float,"Featureful, but lacking some that counts most",,Verified Reviewer,4.0,"May 9, 2024","The general UI is very nifty and responsive, and the scheduling view is great for visualising timelines. When managing a specific project, it's great for visualising timelines and tasks across the team.","It lacks certain reports and integrations, most importantly in the revenue tracking and headcount allocation space. This means that we had to resort to ""hacks"" to record information, and then visualise this data elsewhere. We also had to use hacks on other softwares to set up the right invoicing / approval / billing processes.",Principal,Computer Software,Used the software for: 1-2 years
float,Float Keeps You Organized,"Float took about a week to get the hang of and since then it is an integral part of our work day, keeping track of all the different projects we work on. It is a quick and easy program to use and let's you spend more time working and less time with housekeeping.",Jared D.,4.0,"June 27, 2022","Float has a user-friendly, ""card""-based, grid interface where you can schedule your tasks for the day and see what you are scheduled to work on days (or weeks) in advance. My job is project-focused where we have a large team who are all working on different projects and Float keeps everything running smooth by showing who is on which project and tracking all the utilization all the while. Also it's very easy to update your Float Card and log your time each day.","Sometimes Float can be dense especially when you first start using it, there's a lot of different options and bells and whistles, but once you get the hang of it, it is very easy to update your calendar and tasks.",Lead Curator,Broadcast Media,Used the software for: 6-12 months
float,Great tool to manage your team,It helps manage my team's work,Yevhenii K.,4.0,"August 22, 2023",UI is excellent. I like it very much. I am very comfortable managing a team's work as well as my own,"In the past, I said that the logging button is hard to find on the navbar. Now this button is clearly visible. I'm grateful to Float for listening to customers",QA/DevOps,Information Technology and Services,Used the software for: 2+ years
float,Easy to use for work complete & future tasks,"Generally a very good experience with float and it meets all my needs as an individual employee. Only note is that its hard to export specific information for myself, as noted in the Cons section of this review",Abbey M.,5.0,"August 28, 2023",Scheduling is easy for both myself and others. My office operates of a flexible hybrid schedule so its great that I can also indicate what days I will be in the office.,"With the introduction of hybrid work after covid, I use float to indicate what days I am in the office using the status feature that already exists. For tax purposes, It would be very useful if I as an individual employee could export the days and hours each day that I worked from home for the past year.",Facade Consultatn,Construction,Used the software for: 2+ years
float,Float simplifies project management with its intuitive interface. ,,Verified Reviewer,5.0,"August 22, 2023","Clearer timelines improve productivity.""""Team collaboration made effortless.""""Real-time tracking saves guesswork.""""Resource allocation is now a breeze.""""Easier planning, better outcomes","Lacks certain advanced features.""""Syncing issues with other tools.""""Pricey for small teams.""""UI can be occasionally clunky.""""Needs better notification settings",Design Engineer,Design,Used the software for: 2+ years
